Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Output Code","Read Out","Number of Sections","Display Characters - Height","Actuator Type","Contact Rating @ Voltage","Contact Material","Contact Finish","Mounting Type","Termination Style","End Caps","Section Width","Panel Cutout Dimensions","Features","Operating Temperature"
http://www.ia.omron.com/data_pdf/cat/a7bs_a7bl_ds_e_6_2_csm25.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/A7BS-206-S-1.jpg,SW267-ND,A7BS-206-S-1,Omron Electronics Inc-EMC Div,SWITCH THUMB BCD 0.1A 50V/28V,198,0,"11.84000","0","1","Bulk","A7BS","Active","BCD","0 ~ 9","1","0.189"" (4.80mm)","Pushwheel","0.1A @ 50VAC/28VDC","-","-","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.315"" (8.00mm)","-","External Stoppers","-10°C ~ 65°C"
https://www.ia.omron.com/data_pdf/cat/a7ps_a7ph_ds_e_6_1_csm29.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/A7PS-206-1.JPG,SW1477-ND,A7PS-206-1,Omron Electronics Inc-EMC Div,SWITCH THUMB BCD 0.1A 50V/28V,109,200,"16.47000","0","1","Bulk","A7PS","Active","BCD","0 ~ 9","1","0.268"" (6.80mm)","Pushwheel","0.1A @ 50VAC/28VDC","-","-","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.394"" (10.00mm)","-","-","-10°C ~ 65°C"
-,//media.digikey.com/Photos/APEM%20Comp%20Photos/SH6S1311AKULS2.JPG,679-3557-ND,SH6S1311AKULS2,APEM Inc.,SWITCH THUMB BCD 0.1A 40V,579,2600,"17.12000","0","1","Tray","SH6","Active","BCD","0 ~ 9","1","0.122"" (3.10mm)","Pushwheel","0.1A @ 40VAC/DC","Copper Alloy","Gold","Through Hole, Right Angle","PC Pin","-","0.236"" (6.00mm)","Rectangular - 14.20mm x 6.00mm","-","-20°C ~ 80°C"
https://www.ckswitches.com/media/1386/3.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/301119000.jpg,CKN1186-ND,301119000,C&K,SWITCH THUMB DEC 0.1A 120V/28V,233,0,"38.87000","0","1","Tray","3","Active","Decimal","0 ~ 9","1","-","Thumbwheel","0.1A @ 120VAC/28VDC","Copper Alloy","-","Panel Mount, Screw","Card Edge/Solder Pad","Sold Separately","0.350"" (8.89mm)","-","-","-40°C ~ 65°C"
https://www.ckswitches.com/media/1386/3.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/302119N00.JPG,CKN1866-ND,302119N00,C&K,SWITCH THUMB BCD 0.1A 120V/28V,113,0,"58.76000","0","1","Bulk","3","Active","BCD","0 ~ 9","1","-","Thumbwheel","0.1A @ 120VAC/28VDC","Copper Alloy","-","Panel Mount, Screw","PC Pin","Sold Separately","0.350"" (8.89mm)","-","-","-40°C ~ 65°C"
"//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Alcoswitch%20PDFs/DPS9,%20DPS10%20Series.pdf",//media.digikey.com/Photos/TE%20Connectivity/DPS9131AK.JPG,450-2417-ND,DPS9131AK,TE Connectivity ALCOSWITCH Switches,SWITCH THUMB BCD 0.4VA 20V,293,0,"33.66000","0","1","Bulk","DPS9","Active","BCD","0 ~ 9","1","0.268"" (6.80mm)","Pushwheel","0.4VA @ 20VAC/DC","Copper Alloy","Gold","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.315"" (8.00mm)","-","-","-20°C ~ 80°C"
https://www.ckswitches.com/media/1386/3.pdf,"//media.digikey.com/photos/CK%20Comp%20Photos/302119100,%20302319000,%20307119000.jpg",CKN5042-ND,307119000,C&K,SWITCH THUMB HEX 0.1A 120V/28V,116,0,"78.03000","0","1","Tray","3","Active","Hexadecimal","0 ~ 9, A ~ F","1","-","Thumbwheel","0.1A @ 120VAC/28VDC","Copper Alloy","-","Panel Mount, Screw","Card Edge/Solder Pad","Sold Separately","0.350"" (8.89mm)","-","-","-40°C ~ 65°C"
//media.digikey.com/pdf/Data%20Sheets/APEM%20Components%20PDFs/DPS9_Series_Ds.pdf,//media.digikey.com/Photos/APEM%20Comp%20Photos/DPS9111AK2.jpg,679-4015-ND,DPS9111AK2,APEM Inc.,SWITCH THUMB DECIMAL 0.1A 40V,200,0,"15.12000","0","1","Tray","DPS9","Active","Decimal","0 ~ 9","1","0.268"" (6.80mm)","Pushwheel","0.1A @ 40VAC/DC","Copper Tin Alloy","Gold","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.315"" (8.00mm)","-","-","-20°C ~ 80°C"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=1210,//media.digikey.com/Photos/APEM%20Comp%20Photos/SMCD131AK2.jpg,679-3541-ND,SMCD131AK2,APEM Inc.,SWITCH THUMB BCD 0.1A 40V,84,470,"12.78000","0","1","Tray","SMCD","Active","BCD","0 ~ 9","1","0.193"" (4.90mm)","Pushwheel","0.1A @ 40VAC/DC","Copper Tin Alloy","Gold","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.300"" (7.62mm)","-","-","-20°C ~ 80°C"
https://www.ckswitches.com/media/1386/3.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/302109000.jpg,CKN5014-ND,302109000,C&K,SWITCH THUMB BCD 0.1A 120V/28V,77,0,"38.87000","0","1","Tray","3","Active","BCD","0 ~ 9","1","-","Thumbwheel","0.1A @ 120VAC/28VDC","Copper Alloy","-","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.315"" (8.00mm)","-","-","-40°C ~ 65°C"
https://www.ckswitches.com/media/1386/3.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/322100000.JPG,CKN9647-ND,322100000,C&K,SWITCH THUMB BCD 0.1A 120V/28V,30,0,"107.25000","0","1","Bulk","3","Active","BCD","0 ~ 9","2","-","Thumbwheel","0.1A @ 120VAC/28VDC","Copper Alloy","-","Panel Mount, Snap-In","Card Edge/Solder Pad","Included","0.315"" (8.00mm)","Rectangular - 31.00mm x 24.28mm","-","-40°C ~ 65°C"
https://www.ckswitches.com/media/1386/3.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/302309000.jpg,CKN5037-ND,302309000,C&K,SWITCH THUMB BCD COMP 0.1A 120V,68,0,"38.87000","0","1","Tray","3","Active","BCD Complement","0 ~ 9","1","-","Thumbwheel","0.1A @ 120VAC/28VDC","Copper Alloy","-","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.315"" (8.00mm)","-","-","-40°C ~ 65°C"
https://www.ckswitches.com/media/1386/3.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/301109000.jpg,CKN5013-ND,301109000,C&K,SWITCH THUMB DEC 0.1A 120V/28V,40,0,"38.87000","0","1","Tray","3","Active","Decimal","0 ~ 9","1","-","Thumbwheel","0.1A @ 120VAC/28VDC","Copper Alloy","-","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.315"" (8.00mm)","-","-","-40°C ~ 65°C"
https://www.ckswitches.com/media/1386/3.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/302109100.jpg,CKN5035-ND,302109100,C&K,SWITCH THUMB BCD 0.1A 120V/28V,100,0,"48.81000","0","1","Bulk","3","Active","BCD","0 ~ 9","1","-","Thumbwheel","0.1A @ 120VAC/28VDC","Copper Alloy","-","Panel Mount, Snap-In","Card Edge/Solder Pad with Component Mounting","Sold Separately","0.315"" (8.00mm)","-","-","-40°C ~ 65°C"
https://www.ckswitches.com/media/1386/3.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/301409100.JPG,CKN10077-ND,301409100,C&K,SWITCH THUMB RES DEC 0.1A 120V,84,0,"48.81000","0","1","Bulk","3","Active","Resistor Decade","0 ~ 9","1","-","Thumbwheel","0.1A @ 120VAC/28VDC","Copper Alloy","-","Panel Mount, Snap-In","Card Edge/Solder Pad with Component Mounting","Sold Separately","0.315"" (8.00mm)","-","-","-40°C ~ 65°C"
https://www.ckswitches.com/media/1386/3.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/302119100.JPG,CKN5039-ND,302119100,C&K,SWITCH THUMB BCD 0.1A 120V/28V,57,0,"48.81000","0","1","Tray","3","Active","BCD","0 ~ 9","1","-","Thumbwheel","0.1A @ 120VAC/28VDC","Copper Alloy","-","Panel Mount, Screw","Card Edge/Solder Pad with Component Mounting","Sold Separately","0.350"" (8.89mm)","-","-","-40°C ~ 65°C"
https://www.ckswitches.com/media/1386/3.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/302109n00.JPG,CKN1865-ND,302109N00,C&K,SWITCH THUMB BCD 0.1A 120V/28V,26,0,"58.76000","0","1","Bulk","3","Active","BCD","0 ~ 9","1","-","Thumbwheel","0.1A @ 120VAC/28VDC","Copper Alloy","-","Panel Mount, Snap-In","PC Pin","Sold Separately","0.315"" (8.00mm)","-","-","-40°C ~ 65°C"
https://www.ckswitches.com/media/1386/3.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/307109000.jpg,CKN5038-ND,307109000,C&K,SWITCH THUMB HEX 0.1A 120V/28V,31,0,"78.03000","0","1","Tray","3","Active","Hexadecimal","0 ~ 9, A ~ F","1","-","Thumbwheel","0.1A @ 120VAC/28VDC","Copper Alloy","-","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.315"" (8.00mm)","-","-","-40°C ~ 65°C"
https://www.ckswitches.com/media/1386/3.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/302329003.JPG,CKN9645-ND,302329003,C&K,SWITCH THUMB BCD COMP 0.1A 120V,22,0,"82.75000","0","1","Bulk","3","Active","BCD Complement","0 ~ 9","1","-","Thumbwheel","0.1A @ 120VAC/28VDC","Copper Alloy","-","Panel Mount, Screw","Card Edge/Solder Pad","Sold Separately","0.350"" (8.89mm)","-","Dust Lens, Sealed Contacts","-40°C ~ 65°C"
https://www.ckswitches.com/media/1386/3.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/303109101.JPG,CKN9646-ND,303109101,C&K,SWITCH THUMB BCD 0.1A 120V/28V,15,0,"88.18000","0","1","Bulk","3","Active","BCD","0 ~ 9","1","-","Thumbwheel","0.1A @ 120VAC/28VDC","Copper Alloy","-","Panel Mount, Snap-In","Card Edge/Solder Pad with Component Mounting","Sold Separately","0.315"" (8.00mm)","-","Sealed Contacts","-40°C ~ 65°C"
https://www.ckswitches.com/media/1386/3.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/301409103.JPG,CKN9643-ND,301409103,C&K,SWITCH THUMB RES DEC 0.1A 120V,29,0,"92.70000","0","1","Bulk","3","Active","Resistor Decade","0 ~ 9","1","-","Thumbwheel","0.1A @ 120VAC/28VDC","Copper Alloy","-","Panel Mount, Snap-In","Card Edge/Solder Pad with Component Mounting","Sold Separately","0.315"" (8.00mm)","-","Dust Lens, Sealed Contacts","-40°C ~ 65°C"
https://www.ckswitches.com/media/1386/3.pdf,//media.digikey.com/Photos/CK%20Comp%20Photos/332710P00.jpg,CKN10234-ND,332710P00,C&K,SWITCH THUMB BCD 0.1A 120V/28V,10,0,"205.80000","0","1","Bulk","3","Active","BCD","0 ~ 9","3","-","Thumbwheel","0.1A @ 120VAC/28VDC","Copper Alloy","-","Panel Mount, Screw","PC Pin","Included","0.350"" (8.89mm)","Rectangular - 35.31mm x 25.91mm","-","-40°C ~ 65°C"
https://www.ia.omron.com/data_pdf/cat/a7d_a7dp_ds_e_6_1_csm27.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/A7D-206,%20A7D-106.jpg",SW504-ND,A7D-106,Omron Electronics Inc-EMC Div,SWITCH THUMB BCD 0.1A 30V,91,0,"7.31000","0","1","Tray","A7D","Active","BCD","0 ~ 9","1","-","Pushwheel","0.1A @ 30VDC","-","-","Panel Mount, Screw","PC Pin","Sold Separately","0.200"" (5.08mm)","-","-","-10°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a7bs_a7bl_ds_e_6_2_csm25.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/A7BS-206.jpg,A7BS-206-ND,A7BS206,Omron Electronics Inc-EMC Div,SWITCH THUMB BCD 0.1A 50V/28V,45,0,"11.84000","0","1","Tray","A7BS","Active","BCD","0 ~ 9","1","0.189"" (4.80mm)","Pushwheel","0.1A @ 50VAC/28VDC","-","-","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.315"" (8.00mm)","-","-","-10°C ~ 65°C"
http://www.ia.omron.com/data_pdf/cat/a7bs_a7bl_ds_e_6_2_csm25.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/A7BS-207-1.jpg,SW268-ND,A7BS-207-1,Omron Electronics Inc-EMC Div,SWITCH THUMB BCD 0.1A 50V/28V,65,0,"12.75000","0","1","Bulk","A7BS","Active","BCD","0 ~ 9","1","0.189"" (4.80mm)","Pushwheel","0.1A @ 50VAC/28VDC","-","-","Panel Mount, Snap-In","Card Edge/Solder Pad with Component Mounting","Sold Separately","0.315"" (8.00mm)","-","-","-10°C ~ 65°C"
http://www.ia.omron.com/data_pdf/cat/a7bs_a7bl_ds_e_6_2_csm25.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/A7BS-206-PM-1.JPG,Z6053-ND,A7BS-206-PM-1,Omron Electronics Inc-EMC Div,SWITCH THUMB SPDT 0.1A 50V/28V,40,0,"13.75000","0","1","Tray","A7BS","Active","SPDT","+/-","1","0.189"" (4.80mm)","Pushwheel","0.1A @ 50VAC/28VDC","-","-","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.315"" (8.00mm)","-","-","-10°C ~ 65°C"
https://www.ia.omron.com/data_pdf/cat/a7ps_a7ph_ds_e_6_1_csm29.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/A7PH-207-1.jpg,Z6054-ND,A7PH-207-1,Omron Electronics Inc-EMC Div,SWITCH THUMB BCD 0.15A 125V/28V,45,0,"30.87000","0","1","Bulk","A7PH","Active","BCD","0 ~ 9","1","0.268"" (6.80mm)","Pushwheel","0.15A @ 125VAC/28VDC","-","-","Panel Mount, Snap-In","Card Edge/Solder Pad with Component Mounting","Sold Separately","0.394"" (10.00mm)","-","-","-10°C ~ 65°C"
//media.digikey.com/pdf/Data%20Sheets/Crouzet%20PDFs/84211_Series.pdf,-,966-1813-ND,84211M02LNNS,Crouzet,SWITCH THUMB BCD 0.1A 250V/50V,8,0,"31.67000","0","1","Bulk","84211","Active","BCD","0 ~ 9","1","0.180"" (4.57mm)","Rocker","0.1A @ 250VAC/50VDC","Copper","Gold","Panel Mount, Snap-In","Card Edge/Solder Pad with Component Mounting","Sold Separately","0.394"" (10.00mm)","-","-","-25°C ~ 70°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1437603-2&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/DPS10131AK.JPG,450-2416-ND,DPS10131AK,TE Connectivity ALCOSWITCH Switches,SWITCH THUMB BCD 0.4VA 20V,55,0,"44.21000","0","1","Bulk","DPS10","Active","BCD","0 ~ 9","1","0.275"" (7.00mm)","Pushwheel","0.4VA @ 20VAC/DC","Copper Alloy","Gold","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.394"" (10.00mm)","-","-","-20°C ~ 80°C"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Alcoswitch%20PDFs/DPS9SG902_Dwg.pdf,//media.digikey.com/Photos/TE%20Connectivity/4-1437603-7.JPG,450-1780-ND,4-1437603-7,TE Connectivity ALCOSWITCH Switches,SWITCH THUMB HEX 0.4VA 20V,37,0,"53.89000","0","1","Bulk","DPS9","Active","Hexadecimal","0 ~ 15","1","0.169"" (4.30mm)","Pushwheel","0.4VA @ 20VAC/DC","Copper Alloy","Gold","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.315"" (8.00mm)","-","-","-20°C ~ 80°C"
https://www.ia.omron.com/data_pdf/cat/a7d_a7dp_ds_e_6_1_csm27.pdf,-,Z12175-ND,A7DP-206,Omron Electronics Inc-EMC Div,SWITCH THUMB BCD 0.1A 30V,100,0,"6.66000","0","1","Tray","A7DP","Active","BCD","0 ~ 9","1","-","Pushwheel","0.1A @ 30VDC","-","-","Panel Mount, Snap-In","PC Pin","Sold Separately","0.200"" (5.08mm)","-","Pen-Push Actuator","-10°C ~ 70°C"
https://www.ia.omron.com/data_pdf/cat/a7d_a7dp_ds_e_6_1_csm27.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/A7DP-206-S07-1.JPG,Z12176-ND,A7DP-206-S07-1,Omron Electronics Inc-EMC Div,SWITCH THUMB BCD 0.1A 30V,100,0,"6.92000","0","1","Bulk","A7DP","Active","BCD","0 ~ 9","1","-","Pushwheel","0.1A @ 30VDC","-","-","Panel Mount, Snap-In","PC Pin","Sold Separately","0.200"" (5.08mm)","-","Internal Stoppers, Pen-Push Actuator","-10°C ~ 70°C"
https://www.ia.omron.com/data_pdf/cat/a7d_a7dp_ds_e_6_1_csm27.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/A7D-206-S06-1.jpg,Z12174-ND,A7D-206-S06-1,Omron Electronics Inc-EMC Div,SWITCH THUMB BCD 0.1A 30V,100,0,"10.34000","0","1","Bulk","A7D","Active","BCD","0 ~ 9","1","-","Pushwheel","0.1A @ 30VDC","-","-","Panel Mount, Snap-In","PC Pin","Sold Separately","0.200"" (5.08mm)","-","Internal Stoppers","-10°C ~ 70°C"
http://www.ia.omron.com/data_pdf/cat/a7bs_a7bl_ds_e_6_2_csm25.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/A7BS-207.jpg,Z11570-ND,A7BS-207,Omron Electronics Inc-EMC Div,SWITCH THUMB BCD 0.1A 50V/28V,100,0,"11.47000","0","1","Tray","A7BS","Active","BCD","0 ~ 9","1","0.189"" (4.80mm)","Pushwheel","0.1A @ 50VAC/28VDC","-","-","Panel Mount, Snap-In","Card Edge/Solder Pad with Component Mounting","Sold Separately","0.315"" (8.00mm)","-","-","-10°C ~ 65°C"
http://www.ia.omron.com/data_pdf/cat/a7bs_a7bl_ds_e_6_2_csm25.pdf,-,Z12171-ND,A7BS-206-S,Omron Electronics Inc-EMC Div,SWITCH THUMB BCD 0.1A 50V/28V,99,0,"11.84000","0","1","Tray","A7BS","Active","BCD","0 ~ 9","1","0.189"" (4.80mm)","Pushwheel","0.1A @ 50VAC/28VDC","-","-","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.315"" (8.00mm)","-","External Stoppers","-10°C ~ 65°C"
//media.digikey.com/pdf/Data%20Sheets/APEM%20Components%20PDFs/DPS9_Series_Ds.pdf,-,679-4016-ND,DPS9141AK2,APEM Inc.,SWITCH THUMB BCD COMP 0.1A 40V,86,0,"16.00000","0","1","Tray","DPS9","Active","BCD with Complement","0 ~ 9","1","0.268"" (6.80mm)","Pushwheel","0.1A @ 40VAC/DC","Copper Tin Alloy","Gold","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.315"" (8.00mm)","-","-","-20°C ~ 80°C"
https://www.ia.omron.com/data_pdf/cat/a7ps_a7ph_ds_e_6_1_csm29.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/A7PS-206.jpg,Z11572-ND,A7PS-206,Omron Electronics Inc-EMC Div,SWITCH THUMB BCD 0.1A 50V/28V,30,0,"16.47000","0","1","Tray","A7PS","Active","BCD","0 ~ 9","1","0.268"" (6.80mm)","Pushwheel","0.1A @ 50VAC/28VDC","-","-","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.394"" (10.00mm)","-","-","-10°C ~ 65°C"
https://www.ia.omron.com/data_pdf/cat/a7cn_a7cn-l_ds_e_4_1_csm26.pdf,-,Z11571-ND,A7CN-L206-1,Omron Electronics Inc-EMC Div,SWITCH THUMB BCD 0.1A 28V,100,0,"16.84000","0","1","Tube","A7CN","Active","BCD","0 ~ 9","1","0.134"" (3.40mm)","Pushwheel","0.1A @ 28VDC","-","-","Panel Mount, Snap-In","PC Pin","Sold Separately","0.236"" (6.00mm)","-","Locking Actuator","-10°C ~ 65°C"
https://www.apem.com/us/index.php?controller=attachment&id_attachment=1209,//media.digikey.com/Photos/APEM%20Comp%20Photos/PICOD131AK2.JPG,679-3560-ND,PICOD131AK2,APEM Inc.,SWITCH THUMB BCD 0.1A 40V,39,1320,"16.88000","0","1","Tray","PICOD","Active","BCD","0 ~ 9","1","0.122"" (3.10mm)","Pushwheel","0.1A @ 40VAC/DC","Copper Alloy","Gold","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.300"" (7.62mm)","-","-","-20°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/APEM%20Components%20PDFs/DPS9_Series_Ds.pdf,-,679-4017-ND,DPS9301AK2,APEM Inc.,SWITCH THUMB HEX 0.1A 40V,94,0,"17.51000","0","1","Tray","DPS9","Active","Hexadecimal","0 ~ 9, A ~ F","1","0.169"" (4.30mm)","Pushwheel","0.1A @ 40VAC/DC","Copper Tin Alloy","Gold","Panel Mount, Snap-In","Card Edge/Solder Pad","Sold Separately","0.315"" (8.00mm)","-","-","-20°C ~ 80°C"
https://www.ia.omron.com/data_pdf/cat/a7ps_a7ph_ds_e_6_1_csm29.pdf,-,Z12185-ND,A7PS-207-1,Omron Electronics Inc-EMC Div,SWITCH THUMB BCD 0.1A 50V/28V,50,0,"17.55000","0","1","Tray","A7PS","Active","BCD","0 ~ 9","1","0.268"" (6.80mm)","Pushwheel","0.1A @ 50VAC/28VDC","-","-","Panel Mount, Snap-In","Card Edge/Solder Pad with Component Mounting","Sold Separately","0.394"" (10.00mm)","-","-","-10°C ~ 65°C"
