Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Switch Function","Contact Rating @ Voltage","Actuator Type","Mounting Type","Actuator Height off PCB, Vertical","Actuator Length, Right Angle","Actuator Orientation","Termination Style","Outline","Illumination","Illumination Type, Color","Illumination Voltage (Nominal)","Operating Force","Ingress Protection","Features","Operating Temperature"
http://spec_sheets.e-switch.com/specs/P010299.pdf,//media.digikey.com/photos/E-Switch%20Photos/TL1105SF160Q.jpg,EG1839-ND,TL1105SF160Q,E-Switch,SWITCH TACTILE SPST-NO 0.05A 12V,46924,0,"0.40000","0","1","Bulk","TL1105","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Standard","Through Hole, Right Angle","-","8.35mm","Side Actuated","PC Pin","7.10mm x 6.55mm","Non-Illuminated","-","-","160gf","-","-","-20°C ~ 70°C"
https://www3.panasonic.biz/ac/e_download/control/switch/light-touch/catalog/sw_lt_eng_6s_long.pdf,//media.digikey.com/photos/Panasonic%20Photos/EVQ-9P105M.JPG,P13586STR-ND,EVQ-9P105M,Panasonic Electronic Components,SWITCH TACTILE SPST-NO 0.05A 12V,202000,0,"0.40325","0","2000","Tape & Reel (TR)","EVQ9P","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Standard","Surface Mount","5.00mm","-","Top Actuated","J Lead","6.10mm x 6.00mm","Non-Illuminated","-","-","350gf","-","-","-40°C ~ 85°C"
https://www3.panasonic.biz/ac/e_download/control/switch/light-touch/catalog/sw_lt_eng_6s_long.pdf,//media.digikey.com/photos/Panasonic%20Photos/EVQ-9P105M.JPG,P13586SCT-ND,EVQ-9P105M,Panasonic Electronic Components,SWITCH TACTILE SPST-NO 0.05A 12V,204004,0,"0.84000","0","1","Cut Tape (CT)","EVQ9P","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Standard","Surface Mount","5.00mm","-","Top Actuated","J Lead","6.10mm x 6.00mm","Non-Illuminated","-","-","350gf","-","-","-40°C ~ 85°C"
https://www3.panasonic.biz/ac/e_download/control/switch/light-touch/catalog/sw_lt_eng_6s_long.pdf,//media.digikey.com/photos/Panasonic%20Photos/EVQ-9P105M.JPG,P13586SDKR-ND,EVQ-9P105M,Panasonic Electronic Components,SWITCH TACTILE SPST-NO 0.05A 12V,204004,0,"Digi-Reel","0","1","Digi-Reel®","EVQ9P","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Standard","Surface Mount","5.00mm","-","Top Actuated","J Lead","6.10mm x 6.00mm","Non-Illuminated","-","-","350gf","-","-","-40°C ~ 85°C"
https://www3.panasonic.biz/ac/e_download/control/switch/light-touch/catalog/sw_lt_eng_6s_long.pdf,"//media.digikey.com/photos/Panasonic%20Photos/EVQ-P1B05M,%20EVQ-P1D05M,%20EVQ-P1F05M,%20EVQ-P1K05M.jpg",P10888STR-ND,EVQ-P1D05M,Panasonic Electronic Components,SWITCH TACTILE SPST-NO 0.05A 12V,12000,0,"0.40325","0","2000","Tape & Reel (TR)","EVQP1","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Standard","Surface Mount","5.00mm","-","Top Actuated","J Lead","6.10mm x 6.00mm","Non-Illuminated","-","-","250gf","-","-","-40°C ~ 85°C"
https://www3.panasonic.biz/ac/e_download/control/switch/light-touch/catalog/sw_lt_eng_6s_long.pdf,"//media.digikey.com/photos/Panasonic%20Photos/EVQ-P1B05M,%20EVQ-P1D05M,%20EVQ-P1F05M,%20EVQ-P1K05M.jpg",P10888SCT-ND,EVQ-P1D05M,Panasonic Electronic Components,SWITCH TACTILE SPST-NO 0.05A 12V,12717,0,"0.84000","0","1","Cut Tape (CT)","EVQP1","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Standard","Surface Mount","5.00mm","-","Top Actuated","J Lead","6.10mm x 6.00mm","Non-Illuminated","-","-","250gf","-","-","-40°C ~ 85°C"
https://www3.panasonic.biz/ac/e_download/control/switch/light-touch/catalog/sw_lt_eng_6s_long.pdf,"//media.digikey.com/photos/Panasonic%20Photos/EVQ-P1B05M,%20EVQ-P1D05M,%20EVQ-P1F05M,%20EVQ-P1K05M.jpg",P10888SDKR-ND,EVQ-P1D05M,Panasonic Electronic Components,SWITCH TACTILE SPST-NO 0.05A 12V,12717,0,"Digi-Reel","0","1","Digi-Reel®","EVQP1","Active","SPST-NO","Off-Mom","0.05A @ 12VDC","Standard","Surface Mount","5.00mm","-","Top Actuated","J Lead","6.10mm x 6.00mm","Non-Illuminated","-","-","250gf","-","-","-40°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3s.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/B3S-1000P,%20B3S-1100P,%20B3S-1000.jpg",SW836TR-ND,B3S-1000P,Omron Electronics Inc-EMC Div,SWITCH TACTILE SPST-NO 0.05A 24V,310000,0,"0.40650","0","1000","Tape & Reel (TR)","B3S","Active","SPST-NO","Off-Mom","0.05A @ 24VDC","Standard","Surface Mount","4.30mm","-","Top Actuated","Gull Wing","6.60mm x 6.00mm","Non-Illuminated","-","-","160gf","IP67 - Dust Tight, Waterproof","Sealed - Fully","-25°C ~ 70°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3s.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/B3S-1000P,%20B3S-1100P,%20B3S-1000.jpg",SW836CT-ND,B3S-1000P,Omron Electronics Inc-EMC Div,SWITCH TACTILE SPST-NO 0.05A 24V,311447,0,"0.82000","0","1","Cut Tape (CT)","B3S","Active","SPST-NO","Off-Mom","0.05A @ 24VDC","Standard","Surface Mount","4.30mm","-","Top Actuated","Gull Wing","6.60mm x 6.00mm","Non-Illuminated","-","-","160gf","IP67 - Dust Tight, Waterproof","Sealed - Fully","-25°C ~ 70°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3s.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/B3S-1000P,%20B3S-1100P,%20B3S-1000.jpg",SW836DKR-ND,B3S-1000P,Omron Electronics Inc-EMC Div,SWITCH TACTILE SPST-NO 0.05A 24V,311447,0,"Digi-Reel","0","1","Digi-Reel®","B3S","Active","SPST-NO","Off-Mom","0.05A @ 24VDC","Standard","Surface Mount","4.30mm","-","Top Actuated","Gull Wing","6.60mm x 6.00mm","Non-Illuminated","-","-","160gf","IP67 - Dust Tight, Waterproof","Sealed - Fully","-25°C ~ 70°C"
