Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Contact Timing","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Actuator Length","Contact Material","Contact Finish","Mounting Type","Termination Style","Features","Operating Temperature"
https://www.ckswitches.com/media/1418/gs.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/GS02MSAKE(T&R).jpg,CKN9106CT-ND,GS02MSABE,C&K,SWITCH SLIDE SPST 0.4VA 20V,3176,0,"6.25000","0","1","Cut Tape (CT)","GS","Active","SPST","Not Specified","On-Off","0.4VA (AC/DC)","20V","20V","Standard","1.27mm","Copper","Gold","Surface Mount, Right Angle","Gull Wing","Epoxy Sealed Terminals","-40°C ~ 85°C"
https://www.ckswitches.com/media/1418/gs.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/GS02MSAKE(T&R).jpg,CKN9106DKR-ND,GS02MSABE,C&K,SWITCH SLIDE SPST 0.4VA 20V,3176,0,"Digi-Reel","0","1","Digi-Reel®","GS","Active","SPST","Not Specified","On-Off","0.4VA (AC/DC)","20V","20V","Standard","1.27mm","Copper","Gold","Surface Mount, Right Angle","Gull Wing","Epoxy Sealed Terminals","-40°C ~ 85°C"
http://www.nkkswitches.com/pdf/Aslides.pdf,//media.digikey.com/photos/NKK%20Switches%20Photos/AS13CV-RO.JPG,360-2613-ND,AS13CV,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,365,296,"4.42000","0","1","Tray","AS","Active","SPDT","Non-Shorting (BBM)","On-Off-On","0.4VA (AC/DC)","28V","28V","Standard","3.80mm","Phosphor Bronze","Gold","Through Hole, Right Angle, Vertical","PC Pin","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/Aslides.pdf,"//media.digikey.com/photos/NKK%20Switches%20Photos/AS12AV-RO,%20AS13AV-RO.jpg",360-2126-ND,AS13AV,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,157,1749,"4.42000","0","1","Tray","AS","Active","SPDT","Non-Shorting (BBM)","On-Off-On","0.4VA (AC/DC)","28V","28V","Standard","2.50mm","Phosphor Bronze","Gold","Through Hole, Right Angle, Vertical","PC Pin","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://www.nkkswitches.com/pdf/Aslides.pdf,"//media.digikey.com/photos/NKK%20Switches%20Photos/AS12AH-RO,%20AS13AH-RO.jpg",360-2125-ND,AS13AH,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,107,1749,"4.42000","0","1","Tray","AS","Active","SPDT","Non-Shorting (BBM)","On-Off-On","0.4VA (AC/DC)","28V","28V","Standard","2.50mm","Phosphor Bronze","Gold","Through Hole, Right Angle","PC Pin","Epoxy Sealed Terminals","-30°C ~ 85°C"
http://switches-connectors-custom.cwind.com/Asset/GF-124-Dimension-DRAWING.pdf,//media.digikey.com/Photos/CW%20Ind%20Photos/GF-124-0196.JPG,CWI337-ND,GF-124-0196,CW Industries,SWITCH SLIDE SPDT 500MA 125V,1145,0,"4.44000","0","1","Bulk","GF","Active","SPDT","Not Specified","On-On","500mA (AC/DC)","125V","125V","Standard","5.08mm","Copper","Silver","Through Hole","PC Pin","-","-10°C ~ 104°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825011&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Alcoswitch%20Photos/ASF4204.jpg,450-1563-ND,2-1825011-1,TE Connectivity ALCOSWITCH Switches,SWITCH SLIDE 4PDT 300MA 115V,543,0,"4.44000","0","1","Tube","ASF","Active","4PDT","Shorting (MBB)","On-On","300mA (AC)","115V","-","Screwdriver Slot","Flush","Copper Alloy","Silver","Through Hole","PC Pin","Tape Seal","-40°C ~ 80°C"
https://www.ckswitches.com/media/1433/s.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/S202121MS02Q.jpg,CKN10661-ND,S602131MS02Q,C&K,SWITCH SLIDE DPDT 12A 125V,152,0,"4.46000","0","1","Bulk","S","Active","DPDT","Not Specified","On-On (Line Voltage Selector)","12A (AC), 1A (DC)","125V","125V","Screwdriver Slot","1.27mm","Copper","Silver","Through Hole","PC Pin","No Marking","-30°C ~ 65°C"
https://www.ckswitches.com/media/1427/v.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/V80114SS05Q.JPG,CKN9156-ND,V80114SS05Q,C&K,SWITCH SLIDE DPST 10A 125V,145,0,"4.47000","0","1","Bulk","V","Active","DPST","Not Specified","On-Off","10A (AC), 4A (DC)","125V","30V","Screwdriver Slot","Flush","Copper","Silver","Panel Mount","Quick Connect - 0.110"" (2.8mm)","O - Marking","-30°C ~ 85°C"
https://www.ckswitches.com/media/1433/s.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/S202031MS02QE.JPG,CKN9892-ND,S202031MS02QE,C&K,SWITCH SLIDE DPDT 6A 125V,244,0,"4.86000","0","1","Bulk","S","Active","DPDT","Not Specified","On-On","6A (AC), 1A (DC)","125V","125V","Standard","8.51mm","Copper","Silver","Through Hole","PC Pin","Epoxy Sealed Terminals","-30°C ~ 65°C"
