Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Mounting Type","Termination Style","Ingress Protection","Features","Operating Force","Release Force","Pretravel","Differential Travel","Overtravel","Operating Temperature"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sk.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/D3SK-xxL.jpg,SW1539DKR-ND,D3SK-A1L,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NO 1MA 5V,2840,0,"Digi-Reel","0","1","Digi-Reel®","D3SK","Active","SPST-NO","Off-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","Gull Wing","-","Board Guide, Left Operating Lever","41gf","-","-","-","-","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-ss_p.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/SS-3GPT,%20SS-01GPT.jpg",SW778-ND,SS-01GPT,Omron Electronics Inc-EMC Div,SWITCH SNAP ACT SPDT 100MA 125V,1119,0,"1.01000","0","1","Tray","SS-P","Active","SPDT","On-Mom","100mA (AC/DC)","125V","30V","Round (Pin Plunger)","Chassis Mount","Quick Connect - 0.110"" (2.8mm)","IP40","-","153gf","20gf","0.024"" (0.6mm)","0.006"" (0.15mm)","0.015"" (0.4mm)","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sh.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/D3SH-A1L.JPG,SW1045TR-ND,D3SH-A1L,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NO 1MA 5V,5000,0,"1.07942","0","1000","Tape & Reel (TR)","D3SH","Active","SPST-NO","Off-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","SMD (SMT) Tab","-","Board Guide, Left Operating Lever","31gf","-","-","-","-","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sh.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/D3SH-A1L.JPG,SW1045CT-ND,D3SH-A1L,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NO 1MA 5V,6339,0,"1.99000","0","1","Cut Tape (CT)","D3SH","Active","SPST-NO","Off-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","SMD (SMT) Tab","-","Board Guide, Left Operating Lever","31gf","-","-","-","-","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sh.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/D3SH-A1L.JPG,SW1045DKR-ND,D3SH-A1L,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NO 1MA 5V,6339,0,"Digi-Reel","0","1","Digi-Reel®","D3SH","Active","SPST-NO","Off-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","SMD (SMT) Tab","-","Board Guide, Left Operating Lever","31gf","-","-","-","-","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sh.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/D3SH-A0R.JPG,SW1044TR-ND,D3SH-A0R,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NO 1MA 5V,3000,0,"1.07942","0","1000","Tape & Reel (TR)","D3SH","Active","SPST-NO","Off-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","SMD (SMT) Tab","-","Right Operating Lever","31gf","-","-","-","-","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sh.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/D3SH-A0R.JPG,SW1044CT-ND,D3SH-A0R,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NO 1MA 5V,3053,0,"1.99000","0","1","Cut Tape (CT)","D3SH","Active","SPST-NO","Off-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","SMD (SMT) Tab","-","Right Operating Lever","31gf","-","-","-","-","-25°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d3sh.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/D3SH-A0R.JPG,SW1044DKR-ND,D3SH-A0R,Omron Electronics Inc-EMC Div,SWITCH DETECTOR SPST-NO 1MA 5V,3053,0,"Digi-Reel","0","1","Digi-Reel®","D3SH","Active","SPST-NO","Off-Mom","1mA (DC)","-","5V","Angled Toggle (Detector)","Surface Mount, Right Angle","SMD (SMT) Tab","-","Right Operating Lever","31gf","-","-","-","-","-25°C ~ 85°C"
https://www.ckswitches.com/media/1321/zmadetect.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/ZMA03A150S06PC.JPG,CKN10159-ND,ZMA03A150S06PC,C&K,SWITCH SNAP ACTION SPDT 3A 125V,1956,0,"1.09000","0","1","Tray","ZMA","Active","SPDT","On-Mom","3A (AC/DC)","125V","24V","Lever, Simulated Roller","Through Hole","PC Pin","-","-","49gf","11gf","0.055"" (1.4mm)","-","0.049"" (1.25mm)","-40°C ~ 85°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825043&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/UP01DTANLA04.jpg,450-2035-ND,UP01DTANLA04,TE Connectivity ALCOSWITCH Switches,SWITCH SNAP ACT SPDT 100MA 125V,4059,0,"1.15000","0","1","Bulk","UP01","Active","SPDT","On-Mom","100mA (AC/DC)","125V","30V","Lever, Straight","Through Hole","PC Pin","-","-","50gf","8.000gf","0.120"" (3.0mm)","0.031"" (0.8mm)","0.025"" (0.6mm)","-40°C ~ 80°C"
