Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Circuit","Switch Function","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Color - Actuator/Cap","Actuator Marking","Illumination Type, Color","Illumination Voltage (Nominal)","Termination Style","Ingress Protection","Features","Panel Cutout Dimensions","Operating Temperature"
http://switches-sensors.zf.com/us/wp-content/uploads/sites/7/2012/10/Rocker_CR_Datasheet11.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/cre22f4dbbne.JPG,CH801-ND,CRE22F4DBBNE,ZF Electronics,SWITCH ROCKER SPST 20A 125V,5396,0,"1.23000","0","1","Bulk","CR","Active","Panel Mount, Snap-In","SPST","On-Off","20A (AC)","125V","-","Concave (Curved)","Black, Red","ON OFF, Vertical","-","-","Quick Connect - 0.250"" (6.3mm)","-","Two-Tone Rocker","Rectangular - 28.50mm x 12.10mm","-20°C ~ 85°C"
http://switches-sensors.zf.com/us/wp-content/uploads/sites/7/2012/10/Rocker_CR_Datasheet11.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/CRE22F4BBBNE.jpg,CH800-ND,CRE22F4BBBNE,ZF Electronics,SWITCH ROCKER SPST 20A 125V,4470,0,"1.23000","0","1","Bulk","CR","Active","Panel Mount, Snap-In","SPST","On-Off","20A (AC)","125V","-","Concave (Curved)","Black, Red","No Marking","-","-","Quick Connect - 0.250"" (6.3mm)","-","Two-Tone Rocker","Rectangular - 28.50mm x 12.10mm","-20°C ~ 85°C"
http://switches-connectors-custom.cwind.com/Asset/GRS-4022-XXXX.pdf,//media.digikey.com/photos/CW%20Ind%20Photos/GRS-4022-1600.jpg,SW307-ND,GRS-4022-1600,CW Industries,SWITCH ROCKER DPDT 16A 125V,6049,0,"1.38000","0","1","Bulk","4000","Active","Panel Mount, Snap-In","DPDT","On-On","16A (AC)","125V","-","Concave (Curved)","Black","No Marking","-","-","Quick Connect - 0.187"" (4.7mm)","-","-","Rectangular - 19.20mm x 12.90mm","-20°C ~ 105°C"
//media.digikey.com/pdf/Data%20Sheets/CW%20Industries%20PDFs/NAA-111-BI11-00.pdf,//media.digikey.com/photos/CW%20Ind%20Photos/NAA-111-BI11-00.jpg,SW344-ND,NAA-111-BI11-00,CW Industries,SWITCH ROCKER SPST 16A 125V,3757,0,"1.40000","0","1","Bulk","IndicON™","Active","Panel Mount, Snap-In","SPST","On-Off","16A (AC)","125V","-","Concave (Curved)","Black, Red","OFF ON, Vertical","-","-","Quick Connect - 0.250"" (6.3mm)","-","Two-Tone Rocker","Rectangular - 28.58mm x 13.97mm","-"
http://switches-connectors-custom.cwind.com/Asset/GRS-4013A_B_C-XXXX.pdf,"//media.digikey.com/photos/CW%20Ind%20Photos/GRS-4013A-1300,%20GRS-4013C-0001.jpg",SW340-ND,GRS-4013C-0001,CW Industries,SWITCH ROCKER SPDT 8A 125V,5459,0,"1.56000","0","1","Bulk","4000","Active","Panel Mount, Snap-In","SPDT","Mom-Off-Mom","8A (AC)","125V","-","Concave (Curved)","Black","No Marking","-","-","Quick Connect - 0.187"" (4.7mm)","-","Terminal Barriers","Rectangular - 19.20mm x 12.90mm","-20°C ~ 105°C"
http://switches-connectors-custom.cwind.com/Asset/GRS-4022-XXXX.pdf,//media.digikey.com/photos/CW%20Ind%20Photos/GRS-4022-0013.jpg,SW325-ND,GRS-4022-0013,CW Industries,SWITCH ROCKER DPDT 16A 125V,4088,0,"1.56000","0","1","Bulk","4000","Active","Panel Mount, Snap-In","DPDT","On-On","16A (AC)","125V","-","Concave (Curved)","Black","O -","-","-","Quick Connect - 0.187"" (4.7mm)","-","-","Rectangular - 19.20mm x 12.90mm","-20°C ~ 105°C"
https://www.carlingtech.com/sites/default/files/documents/R-Series_Details_%26_COS.pdf,//media.digikey.com/photos/Carling%20Technologies%20Photos/RA901-VB-B-9-V.jpg,432-1118-ND,RA901-VB-B-9-V,Carling Technologies,SWITCH ROCKER SPST 16A 125V,3541,0,"1.56000","0","1","Bulk","R","Active","Panel Mount, Snap-In","SPST","On-Off","16A (AC)","125V","-","Concave (Curved)","Black, Red","O -","-","-","Quick Connect - 0.250"" (6.3mm)","-","Two-Tone Rocker","Rectangular - 28.58mm x 13.97mm","0°C ~ 85°C"
http://switches-sensors.zf.com/us/wp-content/uploads/sites/7/2012/10/Rocker_WR_Datasheet1.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/WRG32F2FBBNN.jpg,CH784-ND,WRG32F2FBBNN,ZF Electronics,SWITCH ROCKER DPST 16A 125V,2619,0,"1.56000","0","1","Bulk","WR","Active","Panel Mount, Snap-In","DPST","On-Off","16A (AC)","125V","-","Concave (Curved)","Black","O -","-","-","Quick Connect - 0.250"" (6.3mm)","-","-","Rectangular - 30.00mm x 22.00mm","-20°C ~ 65°C"
http://spec_sheets.e-switch.com/specs/M301223.pdf,//media.digikey.com/photos/E-Switch%20Photos/R1966ABLKBLKGR.jpg,EG2578-ND,R1966ABLKBLKGR,E-Switch,SWITCH ROCKER SPST 15A 125V,9984,0,"1.58000","0","1","Bulk","R1966","Active","Panel Mount, Snap-In, Right Angle","SPST","On-Off","15A (AC)","125V","-","Concave (Curved)","Black","O I","-","-","PC Pin","-","-","Rectangular - 19.40mm x 13.00mm","-30°C ~ 65°C"
http://spec_sheets.e-switch.com/specs/M060302.pdf,//media.digikey.com/photos/E-Switch%20Photos/R6ABLKBLKFF.jpg,EG1526-ND,R6ABLKBLKFF,E-Switch,SWITCH ROCKER SPST 10A 125V,6342,0,"1.65000","0","1","Bulk","R6","Active","Panel Mount, Snap-In","SPST","On-Off","10A (AC)","125V","-","Concave (Curved)","Black","O -","-","-","Quick Connect - 0.187"" (4.7mm)","-","-","Rectangular - 19.20mm x 6.65mm","-20°C ~ 65°C"
