Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Number of Positions","Current Rating (Amps)","Voltage Rating","Actuator Type","Actuator Level","Contact Material","Contact Finish","Height Above Board","Mounting Type","Termination Style","Pitch","Washable","Features","Operating Temperature"
https://www.ctscorp.com/wp-content/uploads/219.pdf,//media.digikey.com/Photos/CTS%20Photos/MFG_219-8LPSTRF.jpg,CT3120CT-ND,219-8LPSTRF,CTS Electrocomponents,SWITCH SLIDE DIP SPST 100MA 20V,14685,0,"1.26000","0","1","Cut Tape (CT)","219","Active","SPST","8","100mA","20VDC","Slide (Standard)","Flush, Recessed","Beryllium Copper","Gold","0.160"" (4.06mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/219.pdf,//media.digikey.com/Photos/CTS%20Photos/MFG_219-8LPSTRF.jpg,CT3120DKR-ND,219-8LPSTRF,CTS Electrocomponents,SWITCH SLIDE DIP SPST 100MA 20V,14685,0,"Digi-Reel","0","1","Digi-Reel®","219","Active","SPST","8","100mA","20VDC","Slide (Standard)","Flush, Recessed","Beryllium Copper","Gold","0.160"" (4.06mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/219.pdf,"//media.digikey.com/photos/CTS%20Photos/219-8LPST,%20219-8MST.jpg",CT3121TR-ND,219-8MSTR,CTS Electrocomponents,SWITCH SLIDE DIP SPST 100MA 20V,12000,0,"0.75889","0","1000","Tape & Reel (TR)","219","Active","SPST","8","100mA","20VDC","Slide (Standard)","Raised","Beryllium Copper","Gold","0.170"" (4.33mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/219.pdf,"//media.digikey.com/photos/CTS%20Photos/219-8LPST,%20219-8MST.jpg",CT3121CT-ND,219-8MSTR,CTS Electrocomponents,SWITCH SLIDE DIP SPST 100MA 20V,12303,0,"1.26000","0","1","Cut Tape (CT)","219","Active","SPST","8","100mA","20VDC","Slide (Standard)","Raised","Beryllium Copper","Gold","0.170"" (4.33mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/219.pdf,"//media.digikey.com/photos/CTS%20Photos/219-8LPST,%20219-8MST.jpg",CT3121DKR-ND,219-8MSTR,CTS Electrocomponents,SWITCH SLIDE DIP SPST 100MA 20V,12303,0,"Digi-Reel","0","1","Digi-Reel®","219","Active","SPST","8","100mA","20VDC","Slide (Standard)","Raised","Beryllium Copper","Gold","0.170"" (4.33mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/206.pdf,"//media.digikey.com/photos/CTS%20Photos/206-4,%20206-4ST.jpg",CT2064-ND,206-4,CTS Electrocomponents,SWITCH SLIDE DIP SPST 50MA 24V,5103,0,"0.78000","0","1","Tube","206","Active","SPST","4","50mA","24VDC","Slide (Standard)","Raised","-","Gold","0.334"" (8.48mm)","Through Hole","PC Pin","0.100"" (2.54mm), Full","No","-","-55°C ~ 85°C"
http://www.grayhill.com/assets/1/7/DIP_Series_90HB.pdf,//media.digikey.com/Photos/Grayhill%20Photos/90HB%202POS%20Gullwing.jpg,GH7624TR-ND,90HBW02PRT,Grayhill Inc.,SWITCH SLIDE DIP SPST 25MA 24V,9000,0,"0.79800","0","750","Tape & Reel (TR)","90HB","Active","SPST","2","25mA","24VDC","Slide (Standard)","Flush, Recessed","Copper Alloy","Gold","0.190"" (4.83mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Tape Seal","-40°C ~ 85°C"
http://www.grayhill.com/assets/1/7/DIP_Series_90HB.pdf,//media.digikey.com/Photos/Grayhill%20Photos/90HB%202POS%20Gullwing.jpg,GH7624CT-ND,90HBW02PRT,Grayhill Inc.,SWITCH SLIDE DIP SPST 25MA 24V,9912,0,"1.22000","0","1","Cut Tape (CT)","90HB","Active","SPST","2","25mA","24VDC","Slide (Standard)","Flush, Recessed","Copper Alloy","Gold","0.190"" (4.83mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Tape Seal","-40°C ~ 85°C"
http://www.grayhill.com/assets/1/7/DIP_Series_90HB.pdf,//media.digikey.com/Photos/Grayhill%20Photos/90HB%202POS%20Gullwing.jpg,GH7624DKR-ND,90HBW02PRT,Grayhill Inc.,SWITCH SLIDE DIP SPST 25MA 24V,9912,0,"Digi-Reel","0","1","Digi-Reel®","90HB","Active","SPST","2","25mA","24VDC","Slide (Standard)","Flush, Recessed","Copper Alloy","Gold","0.190"" (4.83mm)","Surface Mount","Gull Wing","0.100"" (2.54mm), Full","Yes","Tape Seal","-40°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/218.pdf,//media.digikey.com/photos/CTS%20Photos/218-4LPST.jpg,CT3110TR-ND,218-4LPSTR,CTS Electrocomponents,SWITCH SLIDE DIP SPST 25MA 24V,10000,0,"0.82504","0","2000","Tape & Reel (TR)","218","Active","SPST","4","25mA","24VDC","Slide (Standard)","Flush, Recessed","Beryllium Copper","Gold","0.104"" (2.65mm)","Surface Mount","Gull Wing","0.050"" (1.27mm), Half","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
https://www.ctscorp.com/wp-content/uploads/218.pdf,//media.digikey.com/photos/CTS%20Photos/218-4LPST.jpg,CT3110CT-ND,218-4LPSTR,CTS Electrocomponents,SWITCH SLIDE DIP SPST 25MA 24V,13418,0,"1.34000","0","1","Cut Tape (CT)","218","Active","SPST","4","25mA","24VDC","Slide (Standard)","Flush, Recessed","Beryllium Copper","Gold","0.104"" (2.65mm)","Surface Mount","Gull Wing","0.050"" (1.27mm), Half","Yes","Epoxy Sealed Terminals, Tape Seal","-55°C ~ 85°C"
