Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Coil Current","Coil Type","Features","Termination Style","Seal Rating","Coil Insulation","Must Operate Voltage","Must Release Voltage","Operate Time","Release Time","Operating Temperature","Contact Material","Relay Type"
https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_hepv.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/MFG_HE-PV.jpg,255-2778-ND,HE1AN-P-DC24V-Y5,Panasonic Electric Works,RELAY GEN PURPOSE SPST 48A 24V,576,0,"33.04000","0","1","Bulk","HE-PV","Active","Through Hole","24VDC","SPST-NO (1 Form A)","48A","250VAC - Max","80.0mA","Non Latching","-","PC Pin","-","-","16.8 VDC","2.4 VDC","30ms","10ms","-50°C ~ 55°C","Silver Nickel (AgNi)","General Purpose"
https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_hepv.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/MFG_HE1AN-W-DC12V-Y6.jpg,255-5246-ND,HE1AN-W-DC12V-Y6,Panasonic Electric Works,RELAY GEN PURPOSE SPST 90A 12V,757,0,"33.10000","0","1","Bulk","HE-PV","Active","Through Hole","12VDC","SPST-NO (1 Form A)","90A","277VAC - Max","160mA","Non Latching","-","PC Pin","-","-","8.4 VDC","1.2 VDC","30ms","10ms","-50°C ~ 55°C","Silver Nickel (AgNi)","General Purpose"
https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_sp.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/SP2-DC%20SERIES.jpg,255-1491-ND,SP4-L2-DC12V,Panasonic Electric Works,RELAY GEN PURPOSE 4PDT 10A 12V,408,30,"34.46000","0","1","Tube","SP","Active","Socketable","12VDC","4PDT (4 Form C)","10A","250VAC, 30VDC - Max","25.0mA","Latching, Dual Coil","-","Plug In, Quick Connect - 0.187"" (4.7mm)","-","-","8.4 VDC","-","30ms","30ms","-50°C ~ 60°C","Silver Tin Oxide (AgSnO)","General Purpose"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_R10&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/R10-Series_6PDT.JPG,PB600-ND,R10-E1X6-V430,TE Connectivity Potter & Brumfield Relays,RELAY GEN PURPOSE 6PDT 5A 24V,343,0,"39.71000","0","1","Bulk","R10","Active","Socketable","24VDC","6PDT (6 Form C)","5A","120VAC, 30VDC - Max","55.8mA","Non Latching","-","Plug In","-","-","18 VDC","-","-","-","-55°C ~ 75°C","Silver Cadmium Oxide (AgCdO)","General Purpose"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2964500.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2964500.JPG,277-4858-ND,2964500,Phoenix Contact,RELAY GEN PURPOSE SPDT 6A 24V,192,142,"79.49000","0","1","Bulk","-","Active","DIN Rail","24VDC","SPDT (1 Form C)","6A","250VAC, 250VDC - Max","9.0mA","Non Latching","-","Screw Terminal","-","-","-","-","8ms","5ms","-20°C ~ 50°C","Silver Tin Oxide (AgSnO)","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g7l_x.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/MFG_G7L-X-Series.jpg,Z6086-ND,G7L-2A-X DC24,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE DPST 25A 24V,71,0,"92.94000","0","1","Tray","G7L-X","Active","Through Hole","24VDC","DPST-NO (2 Form A)","25A","1000VDC - Max","95.8mA","Non Latching","-","PC Pin","Sealed - Flux Protection","-","18 VDC","2.4 VDC","30ms","30ms","-40°C ~ 85°C","Silver Alloy","General Purpose"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_R10&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/R10-E1X2.jpg,PB2302-ND,R10-E1P8-V350,TE Connectivity Potter & Brumfield Relays,RELAY GEN PURPOSE 8PDT 3A 24V,359,0,"95.54000","0","1","Bulk","R10","Active","Socketable","24VDC","8PDT (8 Form C)","3A","120VAC, 30VDC - Max","68.6mA","Non Latching","-","Plug In","-","-","18 VDC","-","-","-","-55°C ~ 75°C","Silver (Ag)","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g9eb.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/G9EB-1-B-DC12,%20DC24.jpg",Z2305-ND,G9EB-1-B DC24,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPST 25A 24V,176,178,"123.74000","0","1","Bulk","G9EB-1","Active","Chassis Mount","24VDC","SPST-NO (1 Form A)","25A","250VDC - Max","83.3mA","Non Latching","-","Screw Terminal","Sealed - Fully","-","18 VDC","2.4 VDC","30ms","15ms","-40°C ~ 70°C","-","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g9en.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/G9EN-1-UVD-DCxx.jpg,Z3835-ND,G9EN-1-UVD-DC24,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPST 60A 24V,112,0,"128.35000","0","1","Bulk","G9EN","Active","Chassis Mount","24VDC","SPST-NO (1 Form A)","60A","400VDC - Max","208mA","Non Latching","-","Screw Terminal","-","-","14.4 VDC","1.2 VDC","40ms","20ms","-40°C ~ 85°C","-","General Purpose"
"//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/G6D-F4B,G3DZ-F4B.pdf",//media.digikey.com/Photos/Omron%20Elect%20Photos/G6D-F4B%20DC24.JPG,Z3705-ND,G6D-F4B DC24,Omron Electronics Inc-EMC Div,RELAY GEN PURP SPST X 4 3A 24V,82,0,"129.55000","0","1","Bulk","G6D-4","Active","DIN Rail","24VDC","SPST-NO (1 Form A) x 4","3A","250VAC, 30VDC - Max","8.3mA","Non Latching","Lighted Indicator, Socket Included","Screw Terminal","-","-","16.8 VDC","2.4 VDC","10ms","15ms","-25°C ~ 55°C","-","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g9ea.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/G9EA-1-B%20SERIES.jpg,Z3711-ND,G9EA-1-B DC48,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPST 60A 48V,70,0,"142.33000","0","1","Bulk","G9EA-1","Active","Chassis Mount","48VDC","SPST-NO (1 Form A)","60A","400VDC - Max","102mA","Non Latching","-","Screw Terminal","Sealed - Fully","-","36 VDC","3.84 VDC","50ms","30ms","-40°C ~ 70°C","-","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g9ea.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/G9EA-1-B%20SERIES.jpg,Z1617-ND,G9EA-1-B-CA DC24,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPST 100A 24V,102,0,"154.19000","0","1","Bulk","G9EA-1","Active","Chassis Mount","24VDC","SPST-NO (1 Form A)","100A","400VDC - Max","208mA","Non Latching","-","Screw Terminal","Sealed - Fully","-","18 VDC","1.92 VDC","50ms","30ms","-40°C ~ 70°C","-","General Purpose"
