Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Features","Termination Style","Operating Temperature","Must Operate Voltage","Must Release Voltage"
http://www.altechcorp.com/PDFS/Contactors_MC.pdf,//media.digikey.com/Photos/Altech-Corporation/GMD-9M-10-DC24V.jpg,1920-1932-ND,GMD-9M-10-DC24V,Altech Corporation,MINI CONTACTOR9A380440V 3P1 NO 2,12,0,"27.48000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-"
https://gfinder.findernet.com/public/attachments/22/EN/S22EN.pdf,"//media.digikey.com/Photos/Finder%20Relays,%20Inc/22.32.0.024.1320.jpg",2066-22.32.0.024.1320-ND,22.32.0.024.1320,"Finder Relays, Inc.",RLY CONTACTOR DPST 25A 24V,0,0,"31.78000","0","1","Bulk","22","Active","Chassis Mount, DIN Rail","24VAC/DC","DPST-NO (2 Form A)","25A","250VAC - Nom","Lighted Indicator, Mechanical Indicator","Screw Terminal","-20°C ~ 50°C","19.2 VAC/DC","2.4 VAC/DC"
-,"//media.digikey.com/Photos/Finder%20Relays,%20Inc/22.32.0.024.1320.jpg",2066-22.32.0.024.1520-ND,22.32.0.024.1520,"Finder Relays, Inc.",RLY CONTACTOR 1NC+1NO 25A 24V,0,0,"31.78000","0","1","Bulk","22","Active","DIN Rail","24VAC/DC","DPST-NO/NC (1 Form A, 1 Form B)","25A","250VAC - Nom","Lighted Indicator, Mechanical Indicator","Screw Terminal","-20°C ~ 50°C","19.2 VAC/DC","2.4 VAC/DC"
-,-,2066-22.32.0.024.4320-ND,22.32.0.024.4320,"Finder Relays, Inc.",RLY CONTACTOR DPST 25A 24V,0,0,"31.78000","0","1","Bulk","22","Active","DIN Rail","24VAC/DC","DPST-NO (2 Form A)","25A","250VAC - Nom","Lighted Indicator, Mechanical Indicator","Screw Terminal","-20°C ~ 50°C","19.2 VAC/DC","2.4 VAC/DC"
https://www.gavazzionline.com/pdf/CGMC12AD.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/CGMS-9D-24S-01.png,1864-2892-ND,CGMS-9D-24S-01,Carlo Gavazzi Inc.,RLY CONT DC COIL 1NC AUX,5,0,"31.90000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-"
https://www.gavazzionline.com/pdf/CGMC12AD.pdf,-,1864-1598-ND,CGMS-9D-24S-10,Carlo Gavazzi Inc.,CONTACTOR DC COIL 1NO AUX,4,0,"31.90000","0","1","Bulk","CGMS","Active","Chassis Mount, DIN Rail","24VDC","3PST-NO (3 Form A)","9A","690VAC - Max","Auxiliary Contacts","Screw Terminal","-","-","-"
https://www.gavazzionline.com/pdf/CC9-CC22.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/CC9SA240.JPG,1864-1572-ND,CC9SA240,Carlo Gavazzi Inc.,3P CONT S 240V 50/60HZ 1NO1NC,5,0,"35.20000","0","1","Bulk","CC","Active","Chassis Mount, DIN Rail","240VAC","3PST-NO (3 Form A)","9A","690VAC - Max","Auxiliary Contacts","Screw Terminal","-5°C ~ 60°C","204 VAC","72 VAC"
https://www.gavazzionline.com/pdf/CC9-CC22.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/CC9SA24.jpg,1864-1571-ND,CC9SA24,Carlo Gavazzi Inc.,3P CONT S 24V 50/60HZ 1NO1NC,4,0,"35.20000","0","1","Bulk","CC","Active","Chassis Mount, DIN Rail","24VAC","3PST-NO (3 Form A)","9A","690VAC - Max","Auxiliary Contacts","Screw Terminal","-5°C ~ 60°C","20.4 VAC","7.2 VAC"
http://www.altechcorp.com/PDFS/Contactors_MC.pdf,//media.digikey.com/Photos/Altech-Corporation/MC-12B-AC120V.jpg,1920-2075-ND,MC-18B-AC120V,Altech Corporation,CONTACTOR 3P18A 1 NO/1 NC 120VAC,5,0,"41.10000","0","1","Bulk","MC","Active","Chassis Mount, DIN Rail","120VAC","3PST-NO (3 Form A)","18A","600VAC - Max","Auxiliary Contacts","Screw Terminal","-5°C ~ 40°C","-","-"
-,-,2066-22.34.0.024.1320-ND,22.34.0.024.1320,"Finder Relays, Inc.",RLY CONTACTOR 4PST 25A 24V,5,0,"44.94000","0","1","Bulk","22","Active","DIN Rail","24VAC/DC","4PST-NO (4 Form A)","25A","250VAC - Nom","Lighted Indicator, Mechanical Indicator","Screw Terminal","-20°C ~ 50°C","19.2 VAC/DC","2.4 VAC/DC"
-,-,2066-22.34.0.120.1320-ND,22.34.0.120.1320,"Finder Relays, Inc.",RLY CONTACTOR 4PST 25A 120V,5,0,"44.94000","0","1","Bulk","22","Active","DIN Rail","120VAC/DC","4PST-NO (4 Form A)","25A","250VAC - Nom","Lighted Indicator, Mechanical Indicator","Screw Terminal","-20°C ~ 50°C","88 VAC/DC","12 VAC/DC"
https://www.gavazzionline.com/pdf/DP_contactors14eng.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/GDP403S220V.jpg,1864-1853-ND,GDP403S120V,Carlo Gavazzi Inc.,3P DPC SCREW TERM 40A 120VAC,5,0,"45.10000","0","1","Bulk","GDP","Active","Chassis Mount","120VAC","3PST-NO (3 Form A)","40A","277VAC - Nom","-","Screw Terminal, Quick Connect - 0.250"" (6.3mm)","-5°C ~ 40°C","102 VAC","24 VAC"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_96-3100&DocType=DS&DocLang=English,-,PB3213-ND,3100-20T18999C,TE Connectivity Potter & Brumfield Relays,RELAY CONTACTOR DPST 40A 120V,0,0,"46.12000","0","1","Bulk","3100, Products Unlimited","Active","Chassis Mount","120VAC","DPST-NO (DM) (2 Form X)","40A","600VAC - Max","Insulation - Class B","Screw Terminal, Quick Connect - 0.250"" (6.3mm)","-40°C ~ 65°C","88 VAC","20 VAC"
http://www.altechcorp.com/PDFS/Contactors_MC.pdf,//media.digikey.com/Photos/Altech-Corporation/MC-12B-AC120V.jpg,1920-2076-ND,MC-22B-AC120V,Altech Corporation,CONTACTOR 3P22A 1 NO/1 NC 120VAC,5,0,"48.89000","0","1","Bulk","MC","Active","Chassis Mount, DIN Rail","120VAC","3PST-NO (3 Form A)","22A","600VAC - Max","Auxiliary Contacts","Screw Terminal","-5°C ~ 40°C","-","-"
https://www.gavazzionline.com/pdf/CC-4%20Pole.pdf,//media.digikey.com/Photos/Carlo-Gavazzi-Inc/CC9%5E4SA120.jpg,1864-1570-ND,CC9/4SA120,Carlo Gavazzi Inc.,4P CONT S 120V 50/60HZ NO AUX,5,0,"49.50000","0","1","Bulk","CC","Active","Chassis Mount, DIN Rail","120VAC","4PST-NO (4 Form A)","9A","690VAC - Max","Auxiliary Contacts","Screw Terminal","-5°C ~ 60°C","102 VAC","36 VAC"
