Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Coil Type","Coil Current","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Must Operate Voltage","Must Release Voltage","Operate Time","Release Time","Features","Mounting Type","Termination Style","Operating Temperature"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CB1A-P-12V,%20CB1A-P-24V.jpg",255-3414-ND,CB1F-P-24V,Panasonic Electric Works,RELAY AUTOMOTIVE SPDT 20A 24V,47,0,"5.74000","0","1","Tube","CB","Active","Non Latching","75.0mA","24VDC","SPDT (1 Form C)","20A","28VDC - Nom","14 VDC","2.4 VDC","15ms","15ms","Sealed - Flux Protection","Through Hole","PC Pin","-40°C ~ 85°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CB1AH-12V,%20CB1AH-24V.jpg",255-3734-ND,CB1AHF-12V,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 70A 12V,95,0,"6.60000","0","1","Bulk","CB","Active","Non Latching","150mA","12VDC","SPST-NO (1 Form A)","70A","14VDC - Nom","7 VDC","1.2 VDC","15ms","15ms","Sealed - Flux Protection","Socketable","Plug In, Quick Connect - Multiple Sizes","-40°C ~ 85°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CB1AH-12V,%20CB1AH-24V.jpg",255-2727-ND,CB1AHF-24V,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 70A 24V,50,0,"6.89000","0","1","Bulk","CB","Active","Non Latching","75.0mA","24VDC","SPST-NO (1 Form A)","70A","14VDC - Nom","14 VDC","2.4 VDC","15ms","15ms","Sealed - Flux Protection","Socketable","Plug In, Quick Connect - Multiple Sizes","-40°C ~ 85°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CB1AH-12V,%20CB1AH-24V.jpg",255-2083-ND,CB1AH-24V,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 70A 24V,41,0,"7.06000","0","1","Bulk","CB","Active","Non Latching","75.0mA","24VDC","SPST-NO (1 Form A)","70A","14VDC - Nom","14 VDC","2.4 VDC","15ms","15ms","Sealed - Fully","Socketable","Plug In, Quick Connect - Multiple Sizes","-40°C ~ 85°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CB1-12V,%20CB1-24V.jpg",255-5269-ND,CB1-T-R-12V,Panasonic Electric Works,RELAY AUTOMOTIVE SPDT 40A 12V,54,0,"7.46000","0","1","Bulk","CB","Active","Non Latching","134mA","12VDC","SPDT (1 Form C)","40A","14VDC - Nom","7 VDC","1.2 VDC","15ms","15ms","Resistor, Sealed - Fully","Socketable","Plug In, Quick Connect - 0.250"" (6.3mm)","-40°C ~ 125°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CB1-12V,%20CB1-24V.jpg",255-2726-ND,CB1-T-12V,Panasonic Electric Works,RELAY AUTOMOTIVE SPDT 40A 12V,78,0,"7.68000","0","1","Bulk","CB","Active","Non Latching","117mA","12VDC","SPDT (1 Form C)","40A","14VDC - Nom","7 VDC","1.2 VDC","15ms","15ms","Sealed - Fully","Socketable","Plug In, Quick Connect - 0.250"" (6.3mm)","-40°C ~ 125°C"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic_aep_ep_line_extension.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/AEP31024.JPG,255-3109-ND,AEP31024,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 10A 24V,44,0,"86.83000","0","1","Bulk","AEP","Active","Non Latching","52.0mA","24VDC","SPST-NO (1 Form A)","10A","400VDC - Nom","18 VDC","1.92 VDC","50ms","30ms","Sealed - Hermetically","Through Hole","PC Pin","-40°C ~ 80°C"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/EV(AEV).pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/AEV170xx.jpg,255-3597-ND,AEV17024,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 200V 24V,2,0,"351.20000","0","1","Bulk","AEV","Active","Non Latching","250mA","24VDC","SPST-NO (1 Form A)","200A","400VDC - Nom","18 VDC","2 VDC","50ms","30ms","-","Chassis Mount","Wire Leads","-40°C ~ 80°C"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic_aep_ep_line_extension.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/AEP19012.jpg,255-3106-ND,AEP19012,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 300A 12V,12,0,"488.88000","0","1","Bulk","AEP","Active","Non Latching","3.3A","12VDC","SPST-NO (1 Form A)","300A","400VDC - Nom","9 VDC","0.96 VDC","30ms","10ms","Sealed - Hermetically","Chassis Mount","Stud","-40°C ~ 80°C"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic_aep_ep_line_extension.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/AEP19024.jpg,255-3107-ND,AEP19024,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 300A 24V,3,0,"488.88000","0","1","Bulk","AEP","Active","Non Latching","1.9A","24VDC","SPST-NO (1 Form A)","300A","400VDC - Nom","18 VDC","1.92 VDC","30ms","10ms","Sealed - Hermetically","Chassis Mount","Stud","-40°C ~ 80°C"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/JS-M_Series_Rev_Dec_2011.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/JSM1-%20SERIES.jpg,255-3691-ND,JSM1AF-12V-5,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 15A 12V,99,0,"2.02000","0","1","Bulk","JS-M","Active","Non Latching","53.3mA","12VDC","SPST-NO (1 Form A)","15A","16VDC - Max","6.3 VDC","0.9 VDC","10ms","10ms","Sealed - Flux Protection","Through Hole","PC Pin","-40°C ~ 85°C"
https://b2b-api.panasonic.eu/file_stream/pids/fileversion/350,"//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CB1-12V,%20CB1-24V.jpg",CB1AF-R-12V-ND,CB1AF-R-12V,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 40A 12V,50,0,"5.18000","0","1","Bulk","CB","Active","Non Latching","134mA","12VDC","SPST-NO (1 Form A)","40A","14VDC - Nom","7 VDC","1.2 VDC","15ms","15ms","Resistor, Sealed - Flux Protection","Socketable","Plug In, Quick Connect - 0.250"" (6.3mm)","-40°C ~ 85°C"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic_aep_ep_line_extension.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/AEP51024.JPG,255-3111-ND,AEP51024,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 10A 24V,34,0,"87.61000","0","1","Bulk","AEP","Active","Non Latching","52.0mA","24VDC","SPST-NO (1 Form A)","10A","400VDC - Nom","18 VDC","1.92 VDC","50ms","30ms","Sealed - Hermetically","Chassis Mount","Quick Connect - 0.187"" (4.7mm)","-40°C ~ 80°C"
https://na.industrial.panasonic.com/sites/default/pidsa/files/panasonic_aep_ep_line_extension.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/AEP51012.jpg,255-3110-ND,AEP51012,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 10A 12V,22,0,"108.95000","0","1","Bulk","AEP","Active","Non Latching","103mA","12VDC","SPST-NO (1 Form A)","10A","400VDC - Nom","9 VDC","0.96 VDC","50ms","30ms","Sealed - Hermetically","Chassis Mount","Quick Connect - 0.187"" (4.7mm)","-40°C ~ 80°C"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/EV(AEV).pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/AEV110242.JPG,255-3040-ND,AEV110242,Panasonic Electric Works,RELAY AUTOMOTIVE SPST 10A 24V,77,0,"111.64000","0","1","Bulk","AEV","Active","Non Latching","52.0mA","24VDC","SPST-NO (1 Form A)","10A","400VDC - Nom","18 VDC","2 VDC","50ms","30ms","-","Chassis Mount","Plug In, Quick Connect - 0.187"" (4.7mm)","-40°C ~ 80°C"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ds_61215_en_cj.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/ACJ1212P.JPG,255-5869-ND,ACJ1212P,Panasonic Electric Works,RELAY AUTOMOTIVE SPDT 20A 12V,70,0,"2.50000","0","1","Tube","ACJ","Active","Non Latching","53.3mA","12VDC","SPDT (1 Form C)","20A","14VDC - Nom","7.2 VDC","1 VDC","10ms","10ms","Sealed - Flux Protection","Through Hole","PC Pin","-40°C ~ 85°C"
https://www.panasonic-electric-works.com/cps/rde/xbcr/pew_eu_en/ds_61207_en_cp.pdf,//media.digikey.com/photos/Panasonic%20Elect%20Works%20Photos/CP1W-12V.JPG,255-6158-ND,CP1W-12V,Panasonic Electric Works,CP POWER RELAY 1 FORM C WL 12V,80,0,"2.69000","0","1","Tube","CP","Active","Non Latching","53.3mA","12VDC","SPDT (1 Form C)","6A","14VDC - Nom","7.2 VDC","1 VDC","-","-","-","Through Hole","PC Pin","-40°C ~ 85°C"
