Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Positions","Mounting Type","Termination Style","For Use With/Related Products"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=108-98016&DocType=SS&DocLang=EN,//media.digikey.com/Photos/TE%20Connectivity/1393824-5.JPG,PB1614-ND,1393824-5,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 16 POS PANEL MOUNT,0,0,"21.62000","0","1","AXICOM","Active","Socket","16","Panel Mount","Solder Lug","Cradle Relays, AXICOM"
https://assets.omron.com/m/541b101861257edf/original/H3CR-A-F-G-H-Datasheet.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/P2CF-11-E.JPG,Z3224-ND,P2CF-11-E,Omron Automation and Safety,RELAY SOCKET 11 POS DIN RAIL,16,38,"21.70000","0","1","-","Active","Socket","11","DIN Rail","Screw Terminal","Multiple Series"
http://www.redlion.net/files/213/5238,//media.digikey.com/Photos/Red%20Lion%20Photos/2300200.JPG,RLC204-ND,2300200,Red Lion Controls,RELAY SOCKET 12 POS CHASSIS MT,5,0,"30.39000","0","1","-","Active","Socket","12","Chassis Mount","Screw Terminal","Multiple Series"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electric%20Works%20PDFs/NC_Relays.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/NC4-SS.JPG,255-3667-ND,NC4-SS,Panasonic Electric Works,RELAY SOCKET 14 POS CHASSIS MT,13,0,"3.17000","0","1","NC","Active","Socket","14","Chassis Mount","Solder Lug","NC4D Relays"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_R10&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/27E342.JPG,PB809-ND,27E342,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 10 POS THROUGH HOLE,10,0,"3.43000","0","1","R10","Active","Socket","10","Through Hole","PC Pin","R10 Series"
https://www3.panasonic.biz/ac/e_download/control/relay/power/catalog/mech_eng_dk.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/DK1A-PSL2.JPG,255-3727-ND,DK1A-PSL2,Panasonic Electric Works,RELAY SOCKET 6 POS THROUGH HOLE,24,0,"5.45000","0","1","DK","Active","Socket","6","Through Hole","PC Pin","DK1A Relays"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2900937,//media.digikey.com/photos/Phoenix%20Photos/MFG_2900937.jpg,277-11893-ND,2900937,Phoenix Contact,RIF-3-BPT/2X21,5,0,"5.62000","0","1","RIF","Active","Socket","8","DIN Rail","Spring Terminal","Relays, 8 Pin Octal"
https://sensing.honeywell.com/honeywell-sensing-szr-ly-series-product-sheet-009551-4-en.pdf,//media.digikey.com/Photos/Honeywell%20Photos/SZX-SLB-08P.jpg,480-6229-ND,SZX-SLB-08P,Honeywell Sensing and Productivity Solutions,RELAY SOCKET 8 POS THROUGH HOLE,12,0,"6.43000","0","1","SZR-LY","Active","Socket","8","Through Hole","PC Pin","SZR-LY Series"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2900938,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2900938.jpg,277-14787-ND,2900938,Phoenix Contact,RIF-3-BPT/3X21,10,0,"7.38000","0","1","RIF","Active","Socket","11","DIN Rail","Spring Terminal","Relays, 11 Pin Octal"
http://sensing.honeywell.com/honeywell-sensing-szr-my-series-product-sheet-009550-4-en.pdf,//media.digikey.com/photos/Honeywell%20Photos/SZX-SMF-08N.jpg,480-5937-ND,SZX-SMF-08N,Honeywell Sensing and Productivity Solutions,RELAY SOCKET 8 POSITION DIN RAIL,5,0,"7.51000","0","1","SZR-MY","Active","Socket","8","DIN Rail","Screw Terminal","SZR-MY Series"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MTacc&DocType=DS&DocLang=English,-,PB2086-ND,8-1415034-1,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 11 POS DIN RAIL,25,0,"9.26000","0","1","MT, SCHRACK","Active","Socket","11","DIN Rail","Screw Terminal","MT, SCHRACK"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=RMacc&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/RM78700.jpg,PB929-ND,RM78701,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 11 POS CHASSIS MT,20,0,"9.72000","0","1","RM, SCHRACK","Active","Socket","11","Chassis Mount","Solder Lug","RM, SCHRACK"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2271015,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2271015.jpg,277-14566-ND,2271015,Phoenix Contact,RELAY SOCKET 8 POS THROUGH HOLE,19,4,"11.81000","0","1","-","Active","Socket","8","Through Hole","PC Pin","Standard I/O Modules"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2271390.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2271390.jpg,277-5303-ND,2271390,Phoenix Contact,RELAY SOCKET 8 POS THROUGH HOLE,7,0,"12.99000","0","1","-","Active","Socket","8","Through Hole","PC Pin","Standard I/O Modules"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2966100,//media.digikey.com/Photos/Phoenix%20Photos/2966100.JPG,277-9494-ND,2966100,Phoenix Contact,RELAY SOCKET DIN RAIL,2,0,"14.18000","0","1","PLC-BSC","Active","Socket","-","DIN Rail","Screw Terminal","Miniature Relays"
http://relays.tycoelectronics.com/schrack/pdf/ACC_rohs.pdf,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/MT78745.jpg,PB871-ND,MT78745,TE Connectivity Potter & Brumfield Relays,RELAY SOCKET 8 POSITION DIN RAIL,14,0,"15.10000","0","1","MT, SCHRACK","Active","Socket","8","DIN Rail","Screw Terminal","MT, SCHRACK"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2966061,//media.digikey.com/Photos/Phoenix%20Photos/2966061.JPG,277-5093-ND,2966061,Phoenix Contact,RELAY SOCKET DIN RAIL,9,0,"16.85000","0","1","PLC-BSC","Active","Socket","-","DIN Rail","Screw Terminal","Miniature Relays"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2966074,//media.digikey.com/Photos/Phoenix%20Photos/2966074.JPG,277-5265-ND,2966074,Phoenix Contact,RELAY SOCKET DIN RAIL,1,0,"20.06000","0","1","PLC-BSC","Active","Socket","-","DIN Rail","Screw Terminal","Miniature Relays"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2967837,//media.digikey.com/Photos/Phoenix%20Photos/2967837.JPG,277-4946-ND,2967837,Phoenix Contact,RELAY SOCKET DIN RAIL,5,0,"21.13000","0","1","PLC-BSC","Active","Socket","-","DIN Rail","Screw Terminal","Miniature Relays"
http://www.crydom.com/en/products/catalog/d_rs_cn.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_DRSCN24.jpg,CC2183-ND,DRSCN24,Sensata-Crydom,RELAY SOCKET 4 POSITION DIN RAIL,1,0,"24.67000","0","1","DRSCN","Active","Socket","4","DIN Rail","Screw Terminal","CN Series"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2980319,//media.digikey.com/Photos/Phoenix%20Photos/2980319.JPG,277-4903-ND,2980319,Phoenix Contact,RELAY SOCKET DIN RAIL,4,2340,"25.68000","0","1","PLC-BSC","Active","Socket","-","DIN Rail","Screw Terminal","Miniature Relays"
-,//media.digikey.com/Photos/Phoenix%20Photos/2820149.JPG,277-7331-ND,2820149,Phoenix Contact,RELAY SOCKET 4 POSITION DIN RAIL,1,100,"28.35000","0","1","INTERFACE URELG","Active","Socket","4","DIN Rail","Screw Terminal","ST-REL, ST-OV, and ST-OE"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/5521322.pdf,//media.digikey.com/Photos/Phoenix%20Photos/5521322.JPG,277-5063-ND,5521322,Phoenix Contact,RELAY SOCKET DIN RAIL,1,28,"132.00000","0","1","-","Active","Socket","-","DIN Rail","Screw Terminal","-"
-,-,Z11271-ND,PY11-02,Omron Automation and Safety,RELAY SOCKET 11 POS THROUGH HOLE,5,0,"2.90000","0","1","MY","Active","Socket","11","Through Hole","PC Pin","MY3 Relays"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=185402&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/185402-1.jpg,PB2462-ND,185402-1,TE Connectivity Potter & Brumfield Relays,MODULAR RELAY HOLDER,543,0,"3.12000","0","1","*","Active","-","-","-","-","-"
https://industrial.omron.us/en/media/LY_Electromechanical_Relay_Datasheet_tcm849-96656.pdf,-,Z9916-ND,PT08-AR,Omron Automation and Safety,RELAY SOCKET 8 POSITION,3,0,"3.27000","0","1","LY","Active","Socket","8","-","-","-"
-,//media.digikey.com/photos/Omron%20Auto/PY11-0.JPG,Z9920-ND,PY11-0,Omron Automation and Safety,RELAY SOCKET 11 POS THROUGH HOLE,3,0,"3.58000","0","1","MY","Active","Socket","11","Through Hole","PC Pin","MY3 Relays"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/G2A_Series_Rev2010.pdf,//media.digikey.com/Photos/Omron%20Auto/PY14-0.JPG,Z9921-ND,PY14-0,Omron Automation and Safety,RELAY SOCKET 14 POS THROUGH HOLE,1,2,"3.83000","0","1","MY","Active","Socket","14","Through Hole","PC Pin","MY4/MY2K Relays"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/MK%20General%20Purpose%20Relay.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/PL11.jpg,Z838-ND,PL11,Omron Automation and Safety,RELAY SOCKET 11 POS PANEL MOUNT,10,0,"4.23000","0","1","MK","Active","Socket","11","Panel Mount","Solder Lug","MK Series, 3PDT"
