Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Style","Number of Channels","Connector Type","Mounting Type"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20P%20B%20PDFs/2IOM_Series.pdf,-,2IOM16-ND,2IOM16,TE Connectivity Potter & Brumfield Relays,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","5","2IO","Obsolete","Mini","16","Card Edge, Screw Terminal Blocks","Standoffs"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20P%20B%20PDFs/2IO_Series.pdf,-,2IO24-ND,2IO24,TE Connectivity Potter & Brumfield Relays,I/O MODULE RACK 24 CHANNEL,0,0,"Obsolete","0","4","2IO","Obsolete","Standard","24","Card Edge, Screw Terminal Blocks","Standoffs"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20P%20B%20PDFs/2IO_Series.pdf,-,2IO16A-ND,2IO16A,TE Connectivity Potter & Brumfield Relays,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","24","2IO","Obsolete","Standard","16","Screw Terminal Blocks","Standoffs"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20P%20B%20PDFs/2IO_Series.pdf,-,2IO16C-ND,2IO16C,TE Connectivity Potter & Brumfield Relays,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","24","2IO","Obsolete","Standard","16","Screw Terminal Blocks","Standoffs"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20P%20B%20PDFs/2IOM_Series.pdf,-,2IOM4A-ND,2IOM4A,TE Connectivity Potter & Brumfield Relays,I/O MODULE RACK 4 CHANNEL,0,0,"Obsolete","0","24","2IO","Obsolete","Mini","4","Screw Terminal Blocks","Standoffs"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20P%20B%20PDFs/2IO_Series.pdf,-,2IO8-ND,2IO8,TE Connectivity Potter & Brumfield Relays,I/O MODULE RACK 8 CHANNEL,0,0,"Obsolete","0","24","2IO","Obsolete","Standard","8","Card Edge, Screw Terminal Blocks","Standoffs"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20P%20B%20PDFs/2IOM_Series.pdf,-,2IOM24-ND,2IOM24,TE Connectivity Potter & Brumfield Relays,I/O MODULE RACK 24 CHANNEL,0,0,"Obsolete","0","72","2IO","Obsolete","Mini","24","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b8sm.pdf,//media.digikey.com/photos/Crouzet%20Photos/PB8SM.jpg,646-1055-ND,PB-8SM,Sensata-Crydom,I/O MODULE RACK 8 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","8","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b16sm.pdf,//media.digikey.com/Photos/Crydom%20Photos/MFG_PB-16SM.jpg,646-1056-ND,PB-16SM,Sensata-Crydom,I/O MODULE RACK 16 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","16","Card Edge, Screw Terminal Blocks","Standoffs"
http://www.crydom.com/en/products/catalog/p_b24sm.pdf,//media.digikey.com/photos/Crouzet%20Photos/PB24SM.jpg,646-1057-ND,PB-24SM,Sensata-Crydom,I/O MODULE RACK 24 CHANNEL,0,0,"Obsolete","0","3","PB","Obsolete","Mini","24","Card Edge, Screw Terminal Blocks","Standoffs"
