Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Circuit","Output Type","Voltage - Input","Voltage - Load","Load Current","On-State Resistance (Max)","Termination Style","Package / Case","Supplier Device Package"
http://www.ixysic.com/home/pdfs.nsf/0/4D1B681B1709960485256B20006A0CF9/$file/PAA140.pdf,//media.digikey.com/photos/Clare%20Photos/212-8-SMD.jpg,CLA260TR-ND,PAA140STR,IXYS Integrated Circuits Division,SSR RELAY SPST-NO 250MA 0-400V,1000,0,"3.65850","0","1000","Tape & Reel (TR)","PAA, OptoMOS®","Active","Surface Mount","SPST-NO (1 Form A) x 2","AC, DC","1.2VDC","0V ~ 400V","250mA","8 Ohms","Gull Wing","8-SMD (0.300"", 7.62mm)","8-SMD"
http://www.ixysic.com/home/pdfs.nsf/0/4D1B681B1709960485256B20006A0CF9/$file/PAA140.pdf,//media.digikey.com/photos/Clare%20Photos/212-8-SMD.jpg,CLA260CT-ND,PAA140STR,IXYS Integrated Circuits Division,SSR RELAY SPST-NO 250MA 0-400V,1252,0,"7.45000","0","1","Cut Tape (CT)","PAA, OptoMOS®","Active","Surface Mount","SPST-NO (1 Form A) x 2","AC, DC","1.2VDC","0V ~ 400V","250mA","8 Ohms","Gull Wing","8-SMD (0.300"", 7.62mm)","8-SMD"
http://www.ixysic.com/home/pdfs.nsf/0/4D1B681B1709960485256B20006A0CF9/$file/PAA140.pdf,//media.digikey.com/photos/Clare%20Photos/212-8-SMD.jpg,CLA260DKR-ND,PAA140STR,IXYS Integrated Circuits Division,SSR RELAY SPST-NO 250MA 0-400V,1252,0,"Digi-Reel","0","1","Digi-Reel®","PAA, OptoMOS®","Active","Surface Mount","SPST-NO (1 Form A) x 2","AC, DC","1.2VDC","0V ~ 400V","250mA","8 Ohms","Gull Wing","8-SMD (0.300"", 7.62mm)","8-SMD"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_he1a_aqv25.pdf,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/6SMD.jpg,255-3915-2-ND,AQV259AZ,Panasonic Electric Works,SSR RELAY SPST-NO 30MA 0-1000V,2000,0,"3.71000","0","1000","Tape & Reel (TR)","PhotoMOS™ AQV","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.14VDC","0V ~ 1000V","30mA","200 Ohms","Gull Wing","6-SMD (0.300"", 7.62mm)","6-SMD"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_he1a_aqv25.pdf,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/6SMD.jpg,255-3915-1-ND,AQV259AZ,Panasonic Electric Works,SSR RELAY SPST-NO 30MA 0-1000V,2269,0,"7.00000","0","1","Cut Tape (CT)","PhotoMOS™ AQV","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.14VDC","0V ~ 1000V","30mA","200 Ohms","Gull Wing","6-SMD (0.300"", 7.62mm)","6-SMD"
https://www3.panasonic.biz/ac/e_download/control/relay/photomos/catalog/semi_eng_he1a_aqv25.pdf,//media.digikey.com/Renders/Panasonic%20Elect%20Works%20Renders/6SMD.jpg,255-3915-6-ND,AQV259AZ,Panasonic Electric Works,SSR RELAY SPST-NO 30MA 0-1000V,2269,0,"Digi-Reel","0","1","Digi-Reel®","PhotoMOS™ AQV","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.14VDC","0V ~ 1000V","30mA","200 Ohms","Gull Wing","6-SMD (0.300"", 7.62mm)","6-SMD"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g3vm_41gr8.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/39-4-SOP-SMD.jpg,Z7997TR-ND,G3VM-41GR8(TR),Omron Electronics Inc-EMC Div,SSR RELAY SPST-NO 1A 0-40V,10000,15000,"3.72281","0","2500","Tape & Reel (TR)","G3VM","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.33VDC","0V ~ 40V","1A","130 mOhms","Gull Wing","4-SOP (0.173"", 4.40mm)","4-SOP"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g3vm_41gr8.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/39-4-SOP-SMD.jpg,Z7997CT-ND,G3VM-41GR8(TR),Omron Electronics Inc-EMC Div,SSR RELAY SPST-NO 1A 0-40V,10624,15000,"7.15000","0","1","Cut Tape (CT)","G3VM","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.33VDC","0V ~ 40V","1A","130 mOhms","Gull Wing","4-SOP (0.173"", 4.40mm)","4-SOP"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g3vm_41gr8.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/39-4-SOP-SMD.jpg,Z7997DKR-ND,G3VM-41GR8(TR),Omron Electronics Inc-EMC Div,SSR RELAY SPST-NO 1A 0-40V,10624,15000,"Digi-Reel","0","1","Digi-Reel®","G3VM","Active","Surface Mount","SPST-NO (1 Form A)","AC, DC","1.33VDC","0V ~ 40V","1A","130 mOhms","Gull Wing","4-SOP (0.173"", 4.40mm)","4-SOP"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g3vm_ay_dy.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/MFG_G3VM-41AY1.jpg,Z5417-ND,G3VM-41AY1,Omron Electronics Inc-EMC Div,SSR RELAY SPST-NO 2A 0-40V,3588,0,"3.77000","0","1","Tube","G3VM","Active","Through Hole","SPST-NO (1 Form A)","AC, DC","1.27VDC","0V ~ 40V","2A","150 mOhms","PC Pin","4-DIP (0.300"", 7.62mm)","4-DIP"
