Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Mounting Type","Coil Voltage","Contact Form","Contact Rating (Current)","Switching Voltage","Coil Current","Coil Type","Features","Termination Style","Seal Rating","Coil Insulation","Must Operate Voltage","Must Release Voltage","Operate Time","Release Time","Operating Temperature","Contact Material","Relay Type"
https://api.kemet.com/component-edge/download/datasheet/EC2-4.5NU.pdf,//media.digikey.com/Photos/Kemet%20Photos/EC2-Series-Non-Latching.jpg,399-11046-5-ND,EC2-4.5NU,KEMET,RELAY GEN PURPOSE DPDT 2A 4.5VDC,3303,0,"1.82000","0","1","Tube","EC2","Active","Through Hole","4.5VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","31.1mA","Non Latching","-","PC Pin","-","-","3.38 VDC","0.45 VDC","2ms","1ms","-40°C ~ 85°C","Silver Alloy, Gold Alloy","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5v_1.pdf,//media.digikey.com/Photos/Omron%20Elect%20Photos/MFG_G5V-1.jpg,Z6371-ND,G5V-1-T90 DC12,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPDT 1A 12VDC,2277,0,"1.88000","0","1","Tube","G5V-1","Active","Through Hole","12VDC","SPDT (1 Form C)","1A","125VAC, 60VDC - Max","12.5mA","Non Latching","-","PC Pin","Sealed - Fully","-","8.4 VDC","1.2 VDC","5ms","5ms","-40°C ~ 90°C","Silver (Ag), Gold (Au)","General Purpose"
https://www3.panasonic.biz/ac/e_download/control/relay/signal/catalog/mech_eng_gqth.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/MFG_AGQ-TH_SurfaceMount_GullWing.jpg,255-5466-2-ND,AGQ20TS4HX,Panasonic Electric Works,RELAY GEN PURPOSE DPDT 2A 4.5VDC,1800,0,"2.01000","0","900","Tape & Reel (TR)","AGQ TH","Active","Surface Mount","4.5VDC","DPDT (2 Form C)","2A","125VAC, 110VDC - Max","31.0mA","Non Latching","-","Gull Wing","-","-","3.38 VDC","0.45 VDC","4ms","4ms","-40°C ~ 85°C","Silver Nickel (AgNi), Gold (Au)","General Purpose"
https://www3.panasonic.biz/ac/e_download/control/relay/signal/catalog/mech_eng_gqth.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/MFG_AGQ-TH_SurfaceMount_GullWing.jpg,255-5466-1-ND,AGQ20TS4HX,Panasonic Electric Works,RELAY GEN PURPOSE DPDT 2A 4.5VDC,2427,0,"3.54000","0","1","Cut Tape (CT)","AGQ TH","Active","Surface Mount","4.5VDC","DPDT (2 Form C)","2A","125VAC, 110VDC - Max","31.0mA","Non Latching","-","Gull Wing","-","-","3.38 VDC","0.45 VDC","4ms","4ms","-40°C ~ 85°C","Silver Nickel (AgNi), Gold (Au)","General Purpose"
https://www3.panasonic.biz/ac/e_download/control/relay/signal/catalog/mech_eng_gqth.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/MFG_AGQ-TH_SurfaceMount_GullWing.jpg,255-5466-6-ND,AGQ20TS4HX,Panasonic Electric Works,RELAY GEN PURPOSE DPDT 2A 4.5VDC,2427,0,"Digi-Reel","0","1","Digi-Reel®","AGQ TH","Active","Surface Mount","4.5VDC","DPDT (2 Form C)","2A","125VAC, 110VDC - Max","31.0mA","Non Latching","-","Gull Wing","-","-","3.38 VDC","0.45 VDC","4ms","4ms","-40°C ~ 85°C","Silver Nickel (AgNi), Gold (Au)","General Purpose"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_T81&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/T81H5D312,%20T81N5D312%20SERIES.jpg",PB446-ND,T81H5D312-05,TE Connectivity Potter & Brumfield Relays,RELAY TELECOM SPDT 1A 5VDC,2578,0,"2.09000","0","1","Tube","T81","Active","Through Hole","5VDC","SPDT (1 Form C)","1A","125VAC, 60VDC - Max","40.0mA","Non Latching","-","PC Pin","-","-","3.5 VDC","0.25 VDC","10ms","7ms","-30°C ~ 70°C","Silver Palladium (AgPd), Gold (Au)","Telecom"
https://api.kemet.com/component-edge/download/datasheet/EA2-12NU.pdf,//media.digikey.com/Photos/Kemet%20Photos/MFG_EA2-SERIES.jpg,399-17332-5-ND,EA2-12NU,KEMET,RELAY GEN PURPOSE DPDT 1A 12VDC,3274,0,"2.12000","0","1","Tube","EA2","Active","Through Hole","12VDC","DPDT (2 Form C)","1A","250VAC, 220VDC - Max","11.7mA","Non Latching","-","PC Pin","-","-","9 VDC","1.2 VDC","2ms","1ms","-40°C ~ 85°C","Silver Alloy, Gold Alloy","General Purpose"
https://api.kemet.com/component-edge/download/datasheet/EE2-3NU.pdf,//media.digikey.com/Photos/Kemet%20Photos/EE2-Series-Non-Latching.jpg,399-17339-5-ND,EE2-3NU,KEMET,RELAY GEN PURPOSE DPDT 2A 3VDC,5701,0,"2.16000","0","1","Tube","EE2","Active","Surface Mount","3VDC","DPDT (2 Form C)","2A","250VAC, 220VDC - Max","46.7mA","Non Latching","-","Gull Wing","-","-","2.25 VDC","0.3 VDC","2ms","1ms","-40°C ~ 85°C","Silver Alloy, Gold Alloy","General Purpose"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-g5v_1.pdf,"//media.digikey.com/photos/Omron%20Elect%20Photos/G5V-1-DC3,%20G5V-1-DC5,%20G5V-1-DC6,%20G5V-1-DC9,%20G5V-1-DC12,%20G5V-1-DC24.jpg",Z3824-ND,G5V-1-2 DC5,Omron Electronics Inc-EMC Div,RELAY GEN PURPOSE SPDT 1A 5VDC,4593,0,"2.19000","0","1","Tube","G5V-1","Active","Through Hole","5VDC","SPDT (1 Form C)","1A","125VAC, 60VDC - Max","30.0mA","Non Latching","-","PC Pin","Sealed - Fully","-","3.5 VDC","0.5 VDC","5ms","5ms","-40°C ~ 70°C","Silver (Ag), Gold (Au)","General Purpose"
https://www3.panasonic.biz/ac/e_download/control/relay/signal/catalog/mech_eng_tq.pdf,//media.digikey.com/Photos/Panasonic%20Elect%20Works%20Photos/TQ2SS.JPG,255-3846-2-ND,TQ2SS-5V-Z,Panasonic Electric Works,RELAY TELECOM DPDT 2A 5VDC,22500,0,"2.29500","0","500","Tape & Reel (TR)","TQ-SMD","Active","Surface Mount","5VDC","DPDT (2 Form C)","2A","125VAC, 220VDC - Max","28.1mA","Non Latching","-","Gull Wing","-","-","3.75 VDC","0.5 VDC","4ms","4ms","-40°C ~ 85°C","Silver Nickel (AgNi), Gold (Au)","Telecom"
