Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1)","Resistor - Emitter Base (R2)","DC Current Gain (hFE) (Min) @ Ic, Vce","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Frequency - Transition","Power - Max","Mounting Type","Package / Case","Supplier Device Package"
http://www.onsemi.com/pub/Collateral/DTC143E-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/SC%E2%88%9275-3_463.jpg,DTC143EET1GOSDKR-ND,DTC143EET1G,ON Semiconductor,TRANS PREBIAS NPN 0.2W SC75,99593,219000,"Digi-Reel","0","1","Digi-Reel®","-","Active","NPN - Pre-Biased","100mA","50V","4.7 kOhms","4.7 kOhms","15 @ 5mA, 10V","250mV @ 1mA, 10mA","500nA","-","200mW","Surface Mount","SC-75, SOT-416","SC-75, SOT-416"
http://www.onsemi.com/pub/Collateral/DTC143Z-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2233LT1GOSTR-ND,MMUN2233LT1G,ON Semiconductor,TRANS PREBIAS NPN 246MW SOT23-3,438000,0,"0.02169","0","3000","Tape & Reel (TR)","-","Active","NPN - Pre-Biased","100mA","50V","4.7 kOhms","47 kOhms","80 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTC143Z-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2233LT1GOSCT-ND,MMUN2233LT1G,ON Semiconductor,TRANS PREBIAS NPN 246MW SOT23-3,439301,0,"0.13000","0","1","Cut Tape (CT)","-","Active","NPN - Pre-Biased","100mA","50V","4.7 kOhms","47 kOhms","80 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTC143Z-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2233LT1GOSDKR-ND,MMUN2233LT1G,ON Semiconductor,TRANS PREBIAS NPN 246MW SOT23-3,439301,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","NPN - Pre-Biased","100mA","50V","4.7 kOhms","47 kOhms","80 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTC114E-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2211LT1GOSTR-ND,MMUN2211LT1G,ON Semiconductor,TRANS PREBIAS NPN 246MW SOT23-3,300000,5217000,"0.02169","0","3000","Tape & Reel (TR)","-","Active","NPN - Pre-Biased","100mA","50V","10 kOhms","10 kOhms","35 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTC114E-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2211LT1GOSCT-ND,MMUN2211LT1G,ON Semiconductor,TRANS PREBIAS NPN 246MW SOT23-3,302064,5217000,"0.13000","0","1","Cut Tape (CT)","-","Active","NPN - Pre-Biased","100mA","50V","10 kOhms","10 kOhms","35 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTC114E-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2211LT1GOSDKR-ND,MMUN2211LT1G,ON Semiconductor,TRANS PREBIAS NPN 246MW SOT23-3,302064,5217000,"Digi-Reel","0","1","Digi-Reel®","-","Active","NPN - Pre-Biased","100mA","50V","10 kOhms","10 kOhms","35 @ 5mA, 10V","250mV @ 300µA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTC143E-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2232LT1GOSTR-ND,MMUN2232LT1G,ON Semiconductor,TRANS PREBIAS NPN 246MW SOT23-3,120000,0,"0.02169","0","3000","Tape & Reel (TR)","-","Active","NPN - Pre-Biased","100mA","50V","4.7 kOhms","4.7 kOhms","15 @ 5mA, 10V","250mV @ 1mA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTC143E-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2232LT1GOSCT-ND,MMUN2232LT1G,ON Semiconductor,TRANS PREBIAS NPN 246MW SOT23-3,121868,0,"0.13000","0","1","Cut Tape (CT)","-","Active","NPN - Pre-Biased","100mA","50V","4.7 kOhms","4.7 kOhms","15 @ 5mA, 10V","250mV @ 1mA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
http://www.onsemi.com/pub/Collateral/DTC143E-D.PDF,"//media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3,TO-236-3,Micro3,SSD3,SST3.jpg",MMUN2232LT1GOSDKR-ND,MMUN2232LT1G,ON Semiconductor,TRANS PREBIAS NPN 246MW SOT23-3,121868,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","NPN - Pre-Biased","100mA","50V","4.7 kOhms","4.7 kOhms","15 @ 5mA, 10V","250mV @ 1mA, 10mA","500nA","-","246mW","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3 (TO-236)"
