Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Connector Type","Length","Voltage","Barrel Depth","Wire Gauge","Shielding","Color - Cap","Color - Wire","Material - Cap"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=868355&DocType=Customer+Drawing&DocLang=English,-,868355-2-ND,868355-2,TE Connectivity AMP Connectors,LGH-3 PLUG TO CBL 16AWG 5.03',0,0,"277.71900","0","10","-","Active","LGH-3 Plug to Cable (Round)","5.03' (1.53m)","40kV","1.81"" (45.97mm)","16 AWG","Unshielded","Green","Green","Epoxy"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1218110&DocType=Customer+Drawing&DocLang=English,-,1218110-1-ND,1218110-1,TE Connectivity AMP Connectors,LGH-3 PLUG TO CBL 16AWG 5.03',0,0,"277.71900","0","10","-","Active","LGH-3 Plug to Cable (Round)","5.03' (1.53m)","40kV","1.81"" (45.97mm)","16 AWG","Unshielded","Green","Red","Epoxy"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=846985&DocType=Customer+Drawing&DocLang=English,-,3-846985-6-ND,3-846985-6,TE Connectivity AMP Connectors,LGH-1/2 PLUG TO CBL 16AWG 13.88"",0,0,"277.99200","0","40","-","Active","LGH-1/2 Plug to Cable (Round)","13.88"" (352.552mm)","10kV","0.53"" (13.46mm)","16 AWG","Shielded","Green","White","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=862546&DocType=Customer+Drawing&DocLang=English,-,862546-4-ND,862546-4,"TE Connectivity Aerospace, Defense and Marine",LGH-1/2 PLG TO LGH-1/2 PLG 16AWG,0,0,"278.58850","0","20","-","Active","LGH-1/2 Plug to LGH-1/2 Plug","12.00"" (304.800mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","Green","White","Polyester, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=834254&DocType=Customer+Drawing&DocLang=English,-,1-834254-6-ND,1-834254-6,TE Connectivity AMP Connectors,LGH-1L PLUG TO LGH-1L PLUG 16AWG,0,0,"279.66200","0","10","-","Active","LGH-1L Plug to LGH-1L Plug","11.00"" (279.400mm)","25kV","0.91"" (23.11mm)","16 AWG","Unshielded","Red","White","Polycarbonate"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=848588&DocType=Customer+Drawing&DocLang=English,-,848588-7-ND,848588-7,TE Connectivity AMP Connectors,LGH-1 PLG TO J1-21 SCKT 16AWG,0,0,"279.70500","0","10","-","Active","LGH-1 Plug to J1-21 Socket Contact, Right Angle","6.00"" (152.400mm)","20kV","0.88"" (22.35mm)","16 AWG","Unshielded","Red","White","Polycarbonate"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=839564&DocType=Customer+Drawing&DocLang=English,-,839564-2-ND,839564-2,TE Connectivity AMP Connectors,LGH-2 PLUG TO CBL 16AWG 24.38"",0,0,"282.47700","0","100","-","Active","LGH-2 Plug to Cable (Round)","24.38"" (619.252mm)","30kV","1.43"" (36.32mm)","16 AWG","Unshielded","Green","-","Epoxy, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=832692&DocType=Customer+Drawing&DocLang=English,-,6-832692-9-ND,6-832692-9,TE Connectivity AMP Connectors,LGH-1L PLUG TO CBL 16AWG 36.38"",0,0,"282.73600","0","10","-","Active","LGH-1L Plug to Cable (Round)","36.38"" (924.052mm)","25kV","0.91"" (23.11mm)","16 AWG","Unshielded","Red","White","Polycarbonate"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=108-36033&DocType=SS&DocLang=EN,-,446074-1-ND,446074-1,"TE Connectivity Aerospace, Defense and Marine",LGH-1/2 PLUG TO 1/2 PLG 16AWG 8"",0,0,"284.67900","0","10","-","Active","LGH-1/2 Plug to LGH-1/2 Plug","8.00"" (203.200mm)","10kV","0.53"" (13.46mm)","16 AWG","Unshielded","Green","White","Epoxy, Glass Filled"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1883872&DocType=Customer+Drawing&DocLang=English,-,1883872-1-ND,1883872-1,TE Connectivity AMP Connectors,LGH-1/2L PLG TO J1-21 SCKT 16AWG,0,0,"285.14720","0","25","-","Active","LGH-1/2L Plug to J1-21 Socket Contact, Right Angle","6.00"" (152.400mm)","15kV","0.89"" (22.61mm)","16 AWG","Unshielded","Green","White","Polyester, Glass Filled"
