Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Usage","Convert From (Adapter End)","Convert To (Adapter End)","Length","Shielding"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_US232R-10_R-100-500.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/MFG_US232R-500.jpg,768-1217-ND,US232R-500-BULK,"FTDI, Future Technology Devices International Ltd",CABLE USB RS232 PREMIUM 5M DB9,124,0,"35.00000","0","1","US232R","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","16.40' (5.00m)","Shielded"
//media.digikey.com/pdf/Data%20Sheets/Olimex%20LTD%20PDFs/USB-SERIAL-CABLE-F_Web.pdf,//media.digikey.com/Photos/Olimex%20LTD/USB-SERIAL-CABLE-F.jpg,1188-1018-ND,USB-SERIAL-CABLE-F,Olimex LTD,OLINUXINO SERIAL CONSOLE CABLE,424,0,"7.99000","0","1","-","Active","-","-","-","-","-"
https://cdn-shop.adafruit.com/product-files/70/FT232_3.3V_with_LED.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_70.jpg,1528-2591-ND,70,Adafruit Industries LLC,FTDI SERIAL TTL-232 USB CABLE,195,0,"17.95000","0","1","-","Active","USB to TTL Serial 3.3V","USB - A, Plug","Rectangular Connector, Female Sockets, 6 pos, 0.1""","3.28' (1.00m)","Shielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL234X%20SERIES%20RANGE%20OF%20CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/TTL-234X-xxx-AJ.jpg,768-1321-ND,TTL-234X-3V3-AJ,"FTDI, Future Technology Devices International Ltd",CABLE USB TO UART 3.3V AUDIO,115,0,"18.00000","0","1","*","Active","-","-","-","-","-"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL234X%20SERIES%20RANGE%20OF%20CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/TTL-234X-xxx.jpg,768-1323-ND,TTL-234X-5V,"FTDI, Future Technology Devices International Ltd",CABLE USB TO UART 5V .1"" CONN,19,0,"18.00000","0","1","*","Active","-","-","-","-","-"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_UC232R.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/UC232R-10-NE.jpg,768-1073-ND,UC232R-10-NE,"FTDI, Future Technology Devices International Ltd",CABLE USB RS232 NO ENCLOSRE 10CM,64,0,"18.50000","0","1","UC232R","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","0.33' (100.0mm)","-"
http://ftp1.digi.com/support/documentation/0190155_d.pdf,//media.digikey.com/photos/Rabbit%20Semi%20Photos/20-151-0178.JPG,316-1181-ND,20-151-0178,Digi International,CABLE CONVERTER RS-232 TO USB,13,0,"39.00000","0","1","-","Active","-","-","-","-","-"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL234X%20SERIES%20RANGE%20OF%20CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/TTL-234X-xxx-AJ.jpg,768-1324-ND,TTL-234X-5V-AJ,"FTDI, Future Technology Devices International Ltd",CABLE USB TO UART 5V AUDIO,63,0,"18.00000","0","1","*","Active","-","-","-","-","-"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_USB_RS232_CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/USB-RS232-WE-5000-BT_0.0.jpg,768-1080-ND,USB-RS232-WE-5000-BT_3.3,"FTDI, Future Technology Devices International Ltd",CABLE USB RS232 3.3V WIRE END 5M,39,0,"37.25000","0","1","USBmadeEZ-UART","Active","USB to RS232","USB - A, Plug","Cable, 6 Wire Leads","16.40' (5.00m)","Unshielded"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2881078.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2881078.jpg,277-7139-ND,2881078,Phoenix Contact,D-SUB USB 9 CBL W/DB9-DB25 ADPTR,4,0,"110.00000","0","1","-","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","-","-"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL234X%20SERIES%20RANGE%20OF%20CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/TTL-234X-xxx.jpg,768-1319-ND,TTL-234X-3V3,"FTDI, Future Technology Devices International Ltd",CABLE USB TO UART 3.3V .1"" CONN,0,0,"18.00000","0","1","*","Active","-","-","-","-","-"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL234X%20SERIES%20RANGE%20OF%20CABLES.pdf,//media.digikey.com/Photos/FTDI%20%28Future%20Tech%20Devices%29/MFG_TTL234X.jpg,768-1322-ND,TTL-234X-3V3-WE,"FTDI, Future Technology Devices International Ltd",CABLE USB TO UART 3.3V WIRE,0,0,"18.00000","0","1","*","Active","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/FTDI%20Chip%20PDFs/US232%20Manual%20and%20Guide.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/US232B-100-BULK.jpg,768-1099-ND,US232B-100-BULK,"FTDI, Future Technology Devices International Ltd",CABLE USB RS232 1M DB9,0,0,"33.50000","0","1","US232B","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","3.28' (1.00m)","Shielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_USB_RS232_CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/USB-RS232-WE-5000-BT_5.0.jpg,768-1081-ND,USB-RS232-WE-5000-BT_5.0,"FTDI, Future Technology Devices International Ltd",CABLE USB RS232 5V WIRE END 5M,0,0,"37.25000","0","1","USBmadeEZ-UART","Active","USB to RS232","USB - A, Plug","Cable, 6 Wire Leads","16.40' (5.00m)","Unshielded"
https://assets.tripplite.com/product-pdfs/en/u206006r.pdf,//media.digikey.com/Photos/Tripplite%20Photos/U206-006-R.jpg,TL391-ND,U206-006-R,Tripp Lite,ADAPTER USB - IEEE PARALLEL 6',8,0,"16.97000","0","1","-","Active","USB to IEEE 1284","USB - A, Plug","D-Shaped Plug, Centronics 36 pos","6.00' (1.83m)","Double Shielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_TTL234X%20SERIES%20RANGE%20OF%20CABLES.pdf,//media.digikey.com/Photos/FTDI%20(Future%20Tech%20Devices)/TTL-234X-3V3-2MM.jpg,768-1320-ND,TTL-234X-3V3-2MM,"FTDI, Future Technology Devices International Ltd",CABLE USB TO UART 3.3V 2MM CONN,0,0,"18.00000","0","1","*","Active","-","-","-","-","-"
-,"//media.digikey.com/Photos/Digilent,%20Inc/MFG_310-035.jpg",310-035-ND,310-035,"Digilent, Inc.",USB TO SERIAL ADAPTER CABLE,0,0,"19.99000","0","1","-","Active","-","-","-","-","-"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_US232R-10_R-100.pdf,-,US232R-10-BLISTER-ND,US232R-10-BLISTER,"FTDI, Future Technology Devices International Ltd",USB TO RS232 SERIAL PREMIUM CABL,0,0,"24.37500","0","10","US232R","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","0.33' (100.0mm)","Shielded"
http://www.ftdichip.com/Support/Documents/DataSheets/Cables/DS_US232R-10_R-100.pdf,-,US232R-100-BLISTER-ND,US232R-100-BLISTER,"FTDI, Future Technology Devices International Ltd",USB TO RS232 SERIAL PREMIUM CABL,0,0,"25.00000","0","10","US232R","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","3.28' (1.00m)","Shielded"
https://assets.tripplite.com/product-pdfs/en/u20918nnull.pdf,-,U209-18N-NULL-ND,U209-18N-NULL,Tripp Lite,USB TO NULL MODEM SERIAL FTDI AD,0,0,"26.91000","0","1","*","Active","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/FTDI%20Chip%20PDFs/US232%20Manual%20and%20Guide.pdf,-,US232B/LC-BLISTER-ND,US232B/LC-BLISTER,"FTDI, Future Technology Devices International Ltd",CABLE USB RS232 10CM,0,0,"28.75000","0","10","*","Active","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/FTDI%20Chip%20PDFs/US232%20Manual%20and%20Guide.pdf,-,US232B-100-BLISTER-ND,US232B-100-BLISTER,"FTDI, Future Technology Devices International Ltd",USB TO RS232 SERIAL CABLE,0,0,"31.25000","0","10","US232B","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","3.28' (1.00m)","Shielded"
-,-,2200M-USB-ND,2200M-USB,3M,USB TO RS232 CONVERTER,0,0,"34.06000","0","1","2200M","Active","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","-","-"
https://assets.tripplite.com/product-pdfs/en/u2090062.pdf,-,U209-006-2-ND,U209-006-2,Tripp Lite,2-PORT USB TO DB9 SERIAL FTDI AD,0,0,"43.96000","0","1","*","Active","-","-","-","-","-"
http://www.assmann-wsw.com/fileadmin/datasheets/DA-70119.pdf,//media.digikey.com/Photos/Assmann%20Photos/DA-70119-R.JPG,AE1488-ND,DA-70119-R,Assmann WSW Components,ADAPTER USB-SERIAL DB9/25 MALE,0,0,"Obsolete","0","20","Digitus®","Obsolete","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","5.90' (1.80m)","Shielded"
http://ww1.microchip.com/downloads/en/DeviceDoc/Acc-RN-USB-SERIAL.pdf,//media.digikey.com/photos/Roving%20Networks%20Photos/RN-USB-SERIAL.jpg,740-1032-ND,RN-USB-SERIAL,Microchip Technology,ADAPTER USB 1.1 TO SERIAL M/DB-9,0,0,"Obsolete","0","52","RN","Obsolete","USB to RS232","USB - A, Plug","D-Sub, 9 Pin Male","3.28' (1.00m)","Shielded"
http://ww1.microchip.com/downloads/en/DeviceDoc/Acc-RN-SERIAL-PRO3V.pdf,//media.digikey.com/Photos/Roving%20Networks%20Photos/RN-SRL-PRO3V-CLR.jpg,740-1050-ND,RN-SRL-PRO3V-CLR,Microchip Technology,CABLE ASSEMBLIES,0,0,"Obsolete","0","38","RN","Obsolete","USB to TTL Serial 3.3V","USB - A, Plug","Cable, 6 Wire Leads","6.00' (1.83m)","Shielded"
http://ww1.microchip.com/downloads/en/DeviceDoc/Acc-RN-SERIAL-PRO3V.pdf,//media.digikey.com/Photos/Roving%20Networks%20Photos/RN-SRL-PRO3V-BLK.jpg,740-1049-ND,RN-SRL-PRO3V-BLK,Microchip Technology,CABLE ASSEMBLIES,0,0,"Obsolete","0","38","RN","Obsolete","USB to TTL Serial 3.3V","USB - A, Plug","Cable, 6 Wire Leads","6.00' (1.83m)","Shielded"
http://ww1.microchip.com/downloads/en/DeviceDoc/Acc-RN-SERIAL-FTD5V.pdf,//media.digikey.com/Photos/Roving%20Networks%20Photos/RN-SRL-FTD5V-CLR.jpg,740-1048-ND,RN-SRL-FTD5V-CLR,Microchip Technology,CABLE ASSEMBLIES,0,0,"Obsolete","0","38","RN","Obsolete","USB to TTL Serial 5V","USB - A, Plug","Cable, 6 Wire Leads","6.00' (1.83m)","Shielded"
http://ww1.microchip.com/downloads/en/DeviceDoc/Acc-RN-SERIAL-FTD5V.pdf,//media.digikey.com/Photos/Roving%20Networks%20Photos/RN-SRL-FTD5V-BLK.jpg,740-1047-ND,RN-SRL-FTD5V-BLK,Microchip Technology,CABLE ASSEMBLIES,0,0,"Obsolete","0","38","RN","Obsolete","USB to TTL Serial 5V","USB - A, Plug","Cable, 6 Wire Leads","6.00' (1.83m)","Shielded"
-,//media.digikey.com/Photos/Microchip%20Tech%20Photos/MFG_AC102012-2.JPG,AC102012-2-ND,AC102012-2,Microchip Technology,CABLE COMM TO DB9 RS232 8POS 6',0,0,"Active","0","0","-","Active","-","D-Sub, 9 Pin Male","Rectangular Connector, Female Sockets, 8 pos","6.00' (1.83m)","-"
-,//media.digikey.com/Photos/Microchip%20Tech%20Photos/MFG_AC102012-1.JPG,AC102012-1-ND,AC102012-1,Microchip Technology,CABLE COMM TO USB-A 8POS 6',0,0,"Active","0","0","-","Active","-","USB - A, Plug","Rectangular Connector, Female Sockets, 8 pos","6.00' (1.83m)","-"
-,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_321010012.jpg,321010012-ND,321010012,"Seeed Technology Co., Ltd",USB TO TTL SERIAL CABLE DEBUGGER,0,0,"Obsolete","0","8","-","Obsolete","USB to TTL Serial","USB - A, Plug","Single Pole, 4 Female Sockets","3.28' (1.00m)","-"
