Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Cable Type","Number of Conductors","Pitch","Length","Length - Exposed Ends","Termination Style"
https://www.molex.com/pdm_docs/sd/152660053_sd.pdf,//media.digikey.com/Photos/Molex/0152660219.jpg,WM10518-ND,0152660205,Molex,CABLE FFC 20POS 0.50MM 1.18"",4382,0,"3.00000","0","1","Premo-Flex 15266","Active","FFC, FPC","20","0.020"" (0.50mm)","1.180"" (29.97mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://katalog.we-online.de/em/datasheet/6877xxxxx002.pdf,//media.digikey.com/photos/Wurth%20Electronics%20Photos/687740050002.JPG,732-3595-ND,687740050002,Wurth Electronics Inc.,CABLE FFC 40POS 0.50MM 1.97"",2837,0,"3.08000","0","1","WR-FCC","Active","FFC, FPC","40","0.020"" (0.50mm)","1.970"" (50.04mm)","0.157"" (4.00mm)","Top on One Side, Bottom on Other, Backers on Both Sides"
https://katalog.we-online.de/em/datasheet/6877xxxxx002.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/687712152002.jpg,732-5200-ND,687712100002,Wurth Electronics Inc.,CABLE FFC 12POS 0.50MM 3.94"",1824,0,"3.08000","0","1","WR-FCC","Active","FFC, FPC","12","0.020"" (0.50mm)","3.940"" (100.08mm)","0.157"" (4.00mm)","Top on One Side, Bottom on Other, Backers on Both Sides"
https://katalog.we-online.de/em/datasheet/6877xxxxx002.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/687720152002.jpg,732-5210-ND,687720100002,Wurth Electronics Inc.,CABLE FFC 20POS 0.50MM 3.94"",2249,0,"3.08000","0","1","WR-FCC","Active","FFC, FPC","20","0.020"" (0.50mm)","3.940"" (100.08mm)","0.157"" (4.00mm)","Top on One Side, Bottom on Other, Backers on Both Sides"
https://katalog.we-online.de/em/datasheet/6876xxxxx002.pdf,//media.digikey.com/photos/Wurth%20Electronics%20Photos/687640050002.JPG,732-3571-ND,687640050002,Wurth Electronics Inc.,CABLE FFC 40POS 0.50MM 1.97"",2117,0,"3.08000","0","1","WR-FCC","Active","FFC, FPC","40","0.020"" (0.50mm)","1.970"" (50.04mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://katalog.we-online.de/em/datasheet/6876xxxxx002.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/687650xxx002.jpg,732-5192-ND,687650100002,Wurth Electronics Inc.,CABLE FFC 50POS 0.50MM 3.94"",2105,0,"3.08000","0","1","WR-FCC","Active","FFC, FPC","50","0.020"" (0.50mm)","3.940"" (100.08mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://katalog.we-online.de/em/datasheet/6877xxxxx002.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/687740200002.jpg,732-3596-ND,687740200002,Wurth Electronics Inc.,CABLE FFC 40POS 0.50MM 7.87"",519,0,"3.08000","0","1","WR-FCC","Active","FFC, FPC","40","0.020"" (0.50mm)","7.874"" (200.00mm)","0.157"" (4.00mm)","Top on One Side, Bottom on Other, Backers on Both Sides"
https://katalog.we-online.de/em/datasheet/6877xxxxx002.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/687730xx0002.jpg,732-5222-ND,687730100002,Wurth Electronics Inc.,CABLE FFC 30POS 0.50MM 3.94"",161,0,"3.08000","0","1","WR-FCC","Active","FFC, FPC","30","0.020"" (0.50mm)","3.940"" (100.08mm)","0.157"" (4.00mm)","Top on One Side, Bottom on Other, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152660053_sd.pdf,//media.digikey.com/Photos/Molex/0152660101.jpg,WM10511-ND,0152660095,Molex,CABLE FFC 10POS 0.50MM 1.18"",11262,0,"3.15000","0","1","Premo-Flex 15266","Active","FFC, FPC","10","0.020"" (0.50mm)","1.180"" (29.97mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20100R10.jpg,HF10U-04-ND,100R10-102B,Parlex USA LLC,CABLE FFC 10POS 1.00MM 4"",2303,0,"3.22000","0","1","-","Active","FFC, FPC","10","0.039"" (1.00mm)","4.000"" (101.60mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152670201_sd.pdf,//media.digikey.com/Photos/Molex/0152670331.jpg,WM10548-ND,0152670331,Molex,CABLE FFC 16POS 1.00MM 12"",1112,0,"3.28000","0","1","Premo-Flex 15267","Active","FFC, FPC","16","0.039"" (1.00mm)","12.0"" (304.8mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/150200977_sd.pdf,//media.digikey.com/Photos/Molex/15020-Series-10pos.JPG,WM22831-ND,0150200115,Molex,CABLE FFC 10POS 0.50MM 12"",960,0,"3.45000","0","1","Premo-Flex 15020","Active","FFC, FPC","10","0.020"" (0.50mm)","12.0"" (304.8mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20100R16.jpg,HF16U-02-ND,100R16-51B,Parlex USA LLC,CABLE FFC 16POS 1.00MM 2"",22315,0,"3.47000","0","1","-","Active","FFC, FPC","16","0.039"" (1.00mm)","2.000"" (50.80mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20100R12.jpg,HF12U-04-ND,100R12-102B,Parlex USA LLC,CABLE FFC 12POS 1.00MM 4"",3423,0,"3.47000","0","1","-","Active","FFC, FPC","12","0.039"" (1.00mm)","4.000"" (101.60mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/150200977_sd.pdf,//media.digikey.com/Photos/Molex/Premo-Flex15020_20-Top-Bottom-Back.jpg,WM15786-ND,0150200212,Molex,CABLE FFC 20POS 0.50MM 4"",3565,0,"3.47000","0","1","Premo-Flex 15020","Active","FFC, FPC","20","0.020"" (0.50mm)","4.000"" (101.60mm)","0.157"" (4.00mm)","Top on One Side, Bottom on Other, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20100R08.jpg,HF08U-06-ND,100R8-152B,Parlex USA LLC,CABLE FFC 8POS 1.00MM 5.98"",2842,0,"3.47000","0","1","-","Active","FFC, FPC","8","0.039"" (1.00mm)","5.984"" (152.00mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152660053_sd.pdf,//media.digikey.com/Photos/Molex/0152660325.jpg,WM10528-ND,0152660319,Molex,CABLE FFC 30POS 0.50MM 3"",2231,0,"3.61000","0","1","Premo-Flex 15266","Active","FFC, FPC","30","0.020"" (0.50mm)","3.000"" (76.20mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20100R12.jpg,HF12U-05-ND,100R12-127B,Parlex USA LLC,CABLE FFC 12POS 1.00MM 5"",9611,0,"3.71000","0","1","-","Active","FFC, FPC","12","0.039"" (1.00mm)","5.000"" (127.00mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20100R05.jpg,HF05U-08-ND,100R5-203B,Parlex USA LLC,CABLE FFC 5POS 1.00MM 7.99"",1725,0,"3.71000","0","1","-","Active","FFC, FPC","5","0.039"" (1.00mm)","7.992"" (203.00mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152660053_sd.pdf,//media.digikey.com/Photos/Molex/0152660121.jpg,WM10514-ND,0152660117,Molex,CABLE FFC 12POS 0.50MM 1.18"",8530,0,"4.21000","0","1","Premo-Flex 15266","Active","FFC, FPC","12","0.020"" (0.50mm)","1.180"" (29.97mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20050R10.jpg,HFF-10U-02-ND,050R10-51B,Parlex USA LLC,CABLE FFC 10POS 0.50MM 2"",7315,0,"4.21000","0","1","-","Active","FFC, FPC","10","0.020"" (0.50mm)","2.000"" (50.80mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20050R04.jpg,HFF-04U-02-ND,050R4-51B,Parlex USA LLC,CABLE FFC 4POS 0.50MM 2"",6390,0,"4.21000","0","1","-","Active","FFC, FPC","4","0.020"" (0.50mm)","2.000"" (50.80mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20050R12.jpg,HFF-12U-02-ND,050R12-51B,Parlex USA LLC,CABLE FFC 12POS 0.50MM 2"",2997,0,"4.21000","0","1","-","Active","FFC, FPC","12","0.020"" (0.50mm)","2.000"" (50.80mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20100R20.jpg,HF20U-03-ND,100R20-76B,Parlex USA LLC,CABLE FFC 20POS 1.00MM 3"",2834,0,"4.21000","0","1","-","Active","FFC, FPC","20","0.039"" (1.00mm)","3.000"" (76.20mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20050R06.jpg,HFF-06U-02-ND,050R6-51B,Parlex USA LLC,CABLE FFC 6POS 0.50MM 2"",2488,0,"4.21000","0","1","-","Active","FFC, FPC","6","0.020"" (0.50mm)","2.000"" (50.80mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152660433_sd.pdf,//media.digikey.com/Photos/Molex/0152660427.jpg,WM11510-ND,0152660433,Molex,CABLE FFC 40POS 0.50MM 5"",375,0,"4.39000","0","1","Premo-Flex 15266","Active","FFC, FPC","40","0.020"" (0.50mm)","5.000"" (127.00mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152660053_sd.pdf,//media.digikey.com/Photos/Molex/0152660427.jpg,WM10533-ND,15266-0429,Molex,CABLE FFC 40POS 0.50MM 3"",2783,0,"4.42000","0","1","Premo-Flex 15266","Active","FFC, FPC","40","0.020"" (0.50mm)","3.000"" (76.20mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/152660430_sd.pdf,//media.digikey.com/Photos/Molex/0152660427.jpg,WM14891-ND,0152660430,Molex,CABLE FFC 40POS 0.50MM 3"",884,0,"4.43000","0","1","Premo-Flex 15266","Active","FFC, FPC","40","0.020"" (0.50mm)","3.000"" (76.20mm)","0.157"" (4.00mm)","Top on One Side, Bottom on Other, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20050R20.jpg,HFF-20U-02-ND,050R20-51B,Parlex USA LLC,CABLE FFC 20POS 0.50MM 2"",4224,0,"4.46000","0","1","-","Active","FFC, FPC","20","0.020"" (0.50mm)","2.000"" (50.80mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/photos/Parlex%20Photos/PARLEX%20CORP-%20SERIES-%20050R40.jpg,HFF-40U-02-ND,050R40-51B,Parlex USA LLC,CABLE FFC 40POS 0.50MM 2"",2829,0,"4.46000","0","1","-","Active","FFC, FPC","40","0.020"" (0.50mm)","2.000"" (50.80mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
http://www.johnsonelectric.com/en/resources-for-engineers/ffc-flat-flexible-cables/ffc-inquiry-form-and-distribution-availability/~/media/2F646F0730D94DC8AA318FF391936451.ashx,//media.digikey.com/Photos/Parlex%20Photos/050R24%20SERIES.jpg,HFF-24U-02-ND,050R24-51B,Parlex USA LLC,CABLE FFC 24POS 0.50MM 2"",2038,0,"4.46000","0","1","-","Active","FFC, FPC","24","0.020"" (0.50mm)","2.000"" (50.80mm)","0.140"" (3.56mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/150200977_sd.pdf,//media.digikey.com/Photos/Molex/15020-Series-40pos.JPG,WM11493-ND,0150200427,Molex,CABLE FFC 40POS 0.50MM 2"",981,0,"4.56000","0","1","Premo-Flex 15020","Active","FFC, FPC","40","0.020"" (0.50mm)","2.000"" (50.80mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
https://www.molex.com/pdm_docs/sd/982660435_sd.pdf,//media.digikey.com/Photos/Molex/0982660435.jpg,WM13342-ND,0982660433,Molex,CABLE FFC 40POS 0.50MM 5"",414,0,"4.61000","0","1","Premo-Flex 98266","Active","FFC, FPC","40","0.020"" (0.50mm)","5.000"" (127.00mm)","0.157"" (4.00mm)","Top on Both Sides, Backers on Both Sides"
