Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Lines","Cable Length - Unexposed","Features"
-,-,33572130700002-ND,33572130700002,HARTING,"HYBR.CABLE ASSY, DC,0,7M-2X HAN3",0,0,"146.88000","0","5","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=558057&DocType=Customer+Drawing&DocLang=English,-,2-558057-3-ND,2-558057-3,TE Connectivity AMP Connectors,CABLE ASSY PWR-PWR 8 WIRE 120"",0,0,"146.98000","0","1","AMPINNERGY","Active","Power Contacts to Power Contacts","8","10.00' (3.05m) 120""","-"
https://b2b.harting.com/files/TB_3357211xxx5004.pdf,-,33572110015004-ND,33572110015004,HARTING,"HYBR.CABLE ASSY,DC,1M,FO+POW-SM-",0,0,"150.17000","0","1","*","Active","-","-","-","-"
-,-,09457251329-ND,09457251329,HARTING,RJI CABLE IP67 HYBRID PCRAN 7M,0,0,"152.00000","0","1","*","Active","-","-","-","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/33572110XX000X_100154019DRW013C.pdf,-,33572110050001-ND,33572110050001,HARTING,"HYBR.CABLE ASSY, AC, 5M -2 X HAN",0,0,"153.16600","0","5","*","Active","-","-","-","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/33572110XX000X_100154019DRW013C.pdf,-,33572110050002-ND,33572110050002,HARTING,"HYBR.CABLE ASSY, DC, 5M -2 X HAN",0,0,"153.16600","0","5","*","Active","-","-","-","-"
-,-,09457251537-ND,09457251537,HARTING,RJI CABLE8AWG28/7HYBROUT IP67M,0,0,"153.88800","0","10","Han 3A Hybrid","Active","RJ45 Plug and Power Contacts to RJ45 Plug and Power Contacts","8 Signal, 4 Power","16.40' (5.00m) 197""","Shielded"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/10122257.pdf,-,10122257-4150LF-ND,10122257-4150LF,Amphenol ICC (FCI),CONN RCPT SAS VERT,0,0,"154.35733","0","15","Airmax®","Active","Backplane, 8 Pair, 12 Column to Backplane, 8 Pair, 12 Column","96","4.92' (1.50m) 59.0""","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/3357111XXX0001_100172821DRW012A.pdf,-,33571110100001-ND,33571110100001,HARTING,"HYBR.CABLE ASSY, DC, 10M -1 X HA",0,0,"156.27000","0","6","*","Active","-","-","-","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/3357111XXX0002_100172821DRW014A.pdf,-,33571110100002-ND,33571110100002,HARTING,"HYBR.CABLE ASSY, AC,10M -1X HAN3",0,0,"156.27000","0","6","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=558057&DocType=Customer+Drawing&DocLang=English,-,2-558057-4-ND,2-558057-4,TE Connectivity AMP Connectors,CABLE ASSY PWR-PWR 8 WIRE 144"",0,0,"158.22000","0","1","AMPINNERGY","Active","Power Contacts to Power Contacts","8","12.00' (3.66m) 144""","-"
-,-,33574510080001-ND,33574510080001,HARTING,H.CA.AS-1XHAN3A-8M-LC-D-AC;1XSC-,0,0,"159.33000","0","1","*","Active","-","-","-","-"
-,-,33574510080002-ND,33574510080002,HARTING,H.CA.AS-1XHAN3A-8M-LC-D-AC;1XSC-,0,0,"159.33000","0","1","*","Active","-","-","-","-"
-,-,09457251539-ND,09457251539,HARTING,RJI CABLE IP67/CAT6METAL HYBRID,0,0,"160.34100","0","10","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=558057&DocType=Customer+Drawing&DocLang=English,-,2-558057-5-ND,2-558057-5,TE Connectivity AMP Connectors,CABLE ASSY PWR-PWR 8 WIRE 180"",0,0,"166.14000","0","1","AMPINNERGY","Active","Power Contacts to Power Contacts","8","15.00' (4.57m) 180""","-"
https://b2b.harting.com/files/TB_20888410xxx_BL01_R411464.pdf,-,20888410150-ND,20888410150,HARTING,SYPCEMKAB.PS HAN-Q8/0 KU.PCI+BU,0,0,"166.74000","0","1","*","Active","-","-","-","-"
-,-,20888610100-ND,20888610100,HARTING,SYPCEM CABLE HAN-Q8/0/ MET,0,0,"167.08000","0","1","Han-InduNet®","Active","Heavy Duty Connector, Female to Heavy Duty Connector, Male","9","32.81' (10.00m) 394""","-"
-,-,09457251330-ND,09457251330,HARTING,RJI CABLE IP67 AWG22/7 HYBRID PC,0,0,"168.35000","0","1","*","Active","-","-","-","-"
-,-,09457251512-ND,09457251512,HARTING,RJI CORDIP67 HYBR CAT6 2XHAN3A,0,0,"168.44700","0","10","*","Active","-","-","-","-"
-,-,09457251540-ND,09457251540,HARTING,RJI CABLE IP67/CAT6METAL HYBRID,0,0,"170.76700","0","10","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=555858&DocType=Customer+Drawing&DocLang=English,-,1-555858-3-ND,1-555858-3,TE Connectivity AMP Connectors,CABLE ASSY PWR ENTRY 5 WIRE 240"",0,0,"171.81000","0","1","AMPINNERGY","Active","Power Contacts to Wire","5","20.00' (6.10m) 240""","6.00"" Exposed Wire Leads"
