Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Length","Specifications","Wire Gauge","Shielding","Style"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7243_CA,//media.digikey.com/Photos/Assmann%20Photos/MFG_AK670_2_BLACK-R.jpg,AE10624-ND,AK670/2-2-BLACK,Assmann WSW Components,CABLE USB 2.0 A-A MALE BLACK 2M,10699,0,"3.19000","0","1","-","Active","A Male to A Male","6.56' (2.00m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7242_CA,//media.digikey.com/Photos/Assmann%20Photos/AK670%5E2-R.jpg,AE9930-ND,AK670/2-2,Assmann WSW Components,CABLE USB A-A MALE 2.0 VERS,7015,0,"3.19000","0","1","-","Active","A Male to A Male","6.56' (2.00m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
http://cnctech.us/pdfs/102-1030-BE-00150.pdf,//media.digikey.com/Photos/CnC%20Tech/102-1030-BE%20SERIES.jpg,1175-1088-ND,102-1030-BE-00150,CNC Tech,CABLE USB EXTEN A-B MALE 1.5M,7496,0,"3.25000","0","1","-","Active","A Male to B Male","4.92' (1.50m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
http://www.qualtekusa.com/images/Cable%20Assemblies/PDF_2/3021007-06.pdf,//media.digikey.com/photos/Qualtek%20Photos/3021007-06.JPG,Q364-ND,3021007-06,Qualtek,CBL USB A-B CON 6' 26/28 AWG,16454,0,"3.26000","0","1","-","Active","A Male to B Male","6.00' (1.83m)","USB 2.0","26 AWG, 28 AWG","Shielded","-"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7066_CA.pdf,//media.digikey.com/Photos/Assmann%20Photos/AK672%5E2-2-R.jpg,AE1463-ND,AK672/2-3,Assmann WSW Components,CABLE USB A-B MALE 3M 2.0 VERS,13613,0,"3.30000","0","1","-","Active","A Male to B Male","9.84' (3.00m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
http://www.qualtekusa.com/images/Cable%20Assemblies/PDF_2/3025031-06.pdf,//media.digikey.com/Photos/Qualtek%20Photos/302503x.jpg,Q967-ND,3025031-06,Qualtek,USB 2.0 A MALE TO USB 2.0 MICRO,8463,0,"3.33000","0","1","-","Active","A Male to Micro B Male","6.00' (1.83m)","USB 2.0","28 AWG, 28 AWG","Shielded","-"
http://www.assmann-wsw.com/fileadmin/datasheets/AK669_2-xx-BLACK.pdf,//media.digikey.com/Photos/Assmann%20Photos/MFG_AK669_BLK.jpg,AE10611-ND,AK669/2-18-BLACK,Assmann WSW Components,CABLE USB 2.0 A-A M-F BLACK 1.8M,5869,0,"3.33000","0","1","-","Active","A Female to A Male","5.90' (1.80m)","USB 2.0","24 AWG, 28 AWG","Shielded","Extension Cable"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_7640_CA.pdf,//media.digikey.com/Photos/Assmann%20Photos/AK669-18-R.JPG,AE9934-ND,AK669-18,Assmann WSW Components,CABLE USB V1.1 EXTENSION 1.8M,4164,0,"3.33000","0","1","-","Active","A Female to A Male","5.90' (1.80m)","USB 1.1","24 AWG, 28 AWG","Shielded","Extension Cable"
https://www.molex.com/pdm_docs/sd/887328800_sd.pdf,//media.digikey.com/Photos/Molex/0887328500.JPG,WM5098-ND,0887328800,Molex,USB A TO MINI B 1.8M WHITE,6651,0,"3.47000","0","1","88740","Active","A Male to Mini B Male","5.90' (1.80m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
http://cnctech.us/pdfs/102-1030-BL-00200.pdf,//media.digikey.com/Photos/CnC%20Tech/102-1030-BL%20SERIES.jpg,1175-1097-ND,102-1030-BL-00200,CNC Tech,CABLE USB A MALE - B MALE 2M,1624,0,"3.50000","0","1","-","Active","A Male to B Male","6.56' (2.00m)","USB 2.0","24 AWG, 28 AWG","Shielded","-"
