Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","1st Connector","2nd Connector","Cable Diameter","Cable Type","Features","Fiber Type","Length - Overall","Type","Ratings"
https://assets.tripplite.com/product-pdfs/en/n36802m.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N368%20M%20Series.jpg,TL1524-ND,N368-02M,Tripp Lite,FIBER OPTIC CBL LC-ST DUPLEX 2M,12,0,"25.41000","0","1","-","Active","LC Duplex","ST (2)","-","Twin Zip","Riser, Zipcord","8.3/125","6.6' (2.0m)","Singlemode, Duplex","FDDI, OFNR"
-,-,TL2535-ND,N306-08M,Tripp Lite,DUPLEX MULTIMODE 62.5/125 FIBER,10,0,"25.41000","0","1","-","Active","SC Duplex","SC Duplex","-","Twin Zip","Riser, Zipcord","62.5/125","26.2' (8.0m)","Multimode, Duplex","FDDI, OFNR"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/16-1266-001-CSU.pdf,-,1436-2583-ND,VFA2LCSTOM3,HellermannTyton,FT LC - ST DUPLEX OM3 FIBER ASSE,10,0,"25.42000","0","1","-","Active","LC (2)","ST Duplex","0.12"" (3.0mm)","-","-","62.5/125","6.6' (2.0m)","Multimode, Duplex, OM3","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/16-1265-001-CSU.pdf,-,1436-2558-ND,VFA1LCLCOM2,HellermannTyton,FT LC - LC DUPLEX OM2 FIBER ASSE,10,0,"25.72000","0","1","-","Active","LC Duplex","LC Duplex","0.08"" (2.0mm)","-","-","62.5/125","3.3' (1.0m)","Multimode, Duplex, OM2","-"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/913M-2-1-0XXXX-PL.pdf,//media.digikey.com/Photos/CnC%20Tech/913M-2-1-0xx00-PL.jpg,1175-2072-ND,913M-2-1-00700-PL,CNC Tech,FIBER OPTIC CBL LC-ST DUPLEX 7M,10,0,"26.09000","0","1","-","Active","LC Duplex","ST (2)","0.08"" (2.0mm)","-","Plenum","62.5/125","23.0' (7.0m)","Multimode, Duplex, OM1","OFNP"
https://assets.tripplite.com/product-pdfs/en/n36803m.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N368%20M%20Series.jpg,TL1525-ND,N368-03M,Tripp Lite,FIBER OPTIC CBL LC-ST DUPLEX 3M,25,0,"26.16000","0","1","-","Active","LC Duplex","ST (2)","-","Twin Zip","Riser, Zipcord","8.3/125","9.8' (3.0m)","Singlemode, Duplex","FDDI, OFNR"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/912M-2-1-0XXXX-PL.pdf,//media.digikey.com/Photos/CnC%20Tech/912M-2-1-0xx00-PL.jpg,1175-2054-ND,912M-2-1-00700-PL,CNC Tech,FIBER OPTIC CBL LC-SC DUPLEX 7M,10,0,"26.27000","0","1","-","Active","LC Duplex","SC Duplex","0.08"" (2.0mm)","-","Plenum","62.5/125","23.0' (7.0m)","Multimode, Duplex, OM1","OFNP"
//media.digikey.com/pdf/Data%20Sheets/CNC%20Tech%20PDFs/912S-2-5-0XXXX.pdf,//media.digikey.com/Photos/CnC%20Tech/912S-2-5-0xx00-PL.jpg,1175-1959-ND,912S-2-5-01500,CNC Tech,FIBER OPTIC CBL LC-SC DUPLEX 15M,10,0,"26.46000","0","1","-","Active","LC Duplex","SC Duplex","0.08"" (2.0mm)","-","-","9/125","49.2' (15.0m)","Singlemode, Duplex","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/16-1266-001-CSU.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/VFA1LCSCOS2.jpg,1436-2562-ND,VFA1LCSCOS2,HellermannTyton,FT LC - SC DUPLEX OS2 FIBER ASSE,10,0,"26.50000","0","1","-","Active","LC Duplex","SC Duplex","0.08"" (2.0mm)","-","-","62.5/125","3.3' (1.0m)","Multimode, Duplex, OS2","-"
http://www.panduit.com/heiler/PartDrawings/C-NKNKFP52ELLNKPC--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_NKFPX2ERLLSM002.jpg,298-16311-ND,NKFPX2ERLLSM002,Panduit Corp,PATCH CORD,30,0,"26.60000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
https://assets.tripplite.com/product-pdfs/en/n82006m.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N820%20M%20Series.jpg,TL1540-ND,N820-06M,Tripp Lite,FIBER OPTIC CBL LC-LC DUPLEX 6M,17,0,"26.68000","0","1","-","Active","LC Duplex","LC Duplex","-","Twin Zip","Low Smoke, Zipcord","50/125","19.7' (6.0m)","Multimode, Duplex, OM3","LSZH"
