Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Connector Type","Number of Positions","Number of Rows","Pitch - Connector","Pitch - Cable","Length","Features","Color","Shielding","Usage","Cable Termination","Contact Finish","Contact Finish Thickness"
https://www.molex.com/pdm_docs/sd/151330206_sd.pdf,//media.digikey.com/Photos/Molex/MFG_15133_PicoClasp_2-Pos.jpg,WM16323-ND,0151330206,Molex,PICO-CLASP 2 CIRCUIT 600MM,814,0,"3.10000","0","1","Pico-Clasp 15133","Active","Socket to Socket","2","1","-","0.039"" (1.00mm)","1.97' (600.00mm)","-","Black","-","-","Crimp","Tin","39.4µin (1.00µm)"
https://www.molex.com/pdm_docs/sd/151330300_sd.pdf,//media.digikey.com/Photos/Molex/Pico-Clasp-15133-3-POS.jpg,WM16324-ND,0151330300,Molex,PICO-CLASP 3 CIRCUIT 50MM,1445,0,"3.23000","0","1","Pico-Clasp 15133","Active","Socket to Socket","3","1","-","0.039"" (1.00mm)","0.164' (50.00mm, 1.97"")","-","Black","-","-","Crimp","Tin","39.4µin (1.00µm)"
https://www.molex.com/pdm_docs/sd/923151020_sd.pdf,//media.digikey.com/Photos/Molex/92315-1010.jpg,WM13329-ND,0923151020,Molex,10CC PICOFLEX 200MM LONG,1973,0,"3.25000","0","1","Picoflex 92315","Active","Socket to Socket","10","2","0.100"" (2.54mm)","0.050"" (1.27mm)","0.656' (200.00mm, 7.87"")","-","Gray, Ribbon","Unshielded","-","IDC","Tin","80.0µin (2.03µm)"
https://gam-gec.com/wp-content/uploads/2018/10/GAM-001.pdf,//media.digikey.com/Photos/JST%20Photos/A10XSR10XSR36R51A.jpg,455-3125-ND,A10XSR10XSR36R51A,JST Sales America Inc.,JUMPER 10XSR-36S - 10XSR-36S 2"",2394,0,"3.27000","0","1","XSR","Active","Socket to Socket, Reversed","10","1","0.024"" (0.60mm)","-","0.167' (50.80mm, 2.00"")","-","Red, Individual","-","-","IDC","Tin","-"
-,-,SAM11392-ND,IDD-07-T,Samtec Inc.,FEMALE CABLE BASE ASSEMBLY,197,0,"3.38000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2205060&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2205064-x.jpg,A123294-ND,2205064-2,TE Connectivity AMP Connectors,CABLE ASSEMBLY HEADER WTW 12POS,114,0,"3.39000","0","1","-","Active","Plug to Plug","12","2","-","-","0.492' (150.00mm, 5.91"")","-","Gray","-","-","IDC","-","-"
https://www.molex.com/pdm_docs/sd/151330303_sd.pdf,//media.digikey.com/Photos/Molex/Pico-Clasp-15133-3-POS.jpg,WM16327-ND,0151330303,Molex,PICO-CLASP 3 CIRCUIT 300MM,718,0,"3.56000","0","1","Pico-Clasp 15133","Active","Socket to Socket","3","1","-","0.039"" (1.00mm)","0.984' (300.00mm, 11.81"")","-","Black","-","-","Crimp","Tin","39.4µin (1.00µm)"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_3613_CA.pdf,//media.digikey.com/photos/Assmann%20Photos/AK-ATA-100-R.jpg,AE10184-ND,AK-ATA-100,Assmann WSW Components,CABLE ULTRA ATA HDD 100MBPS .46M,512,0,"3.65000","0","1","-","Active","Socket to Socket (3)","40","2","0.100"" (2.54mm)","0.025"" (0.64mm)","1.51' (460.00mm)","-","Yellow, Ribbon","Unshielded","-","IDC","-","-"
https://www.molex.com/pdm_docs/sd/1502070002_sd.pdf,//media.digikey.com/Photos/Molex/1502070001.JPG,WM10870-ND,1502070001,Molex,DITTO SG/END HARNESS 2 CKT .30M,269,0,"3.65000","0","1","Ditto 172578","Active","Self Mating, Non-Gendered to Individual Wire Leads","2","1","0.098"" (2.50mm)","-","0.984' (300.00mm, 11.81"")","-","Black, White","-","-","Crimp","Tin","-"
https://www.molex.com/pdm_docs/sd/151350602_sd.pdf,//media.digikey.com/Photos/Molex/MFG_ClikMate%206-Pos.jpg,WM22840-ND,0151350602,Molex,CLICKMATE 6 CIRCUIT 150MM,931,0,"3.88000","0","1","CLIK-MATE 15135","Active","Plug to Plug","6","1","0.059"" (1.50mm)","-","0.492' (150.00mm, 5.91"")","Latch Lock","Black, Individual","-","-","Crimp","Tin","16.0µin (0.41µm)"
https://www.molex.com/pdm_docs/sd/151330306_sd.pdf,//media.digikey.com/Photos/Molex/Pico-Clasp-15133-3-POS.jpg,WM16329-ND,0151330306,Molex,PICO-CLASP 3 CIRCUIT 600MM,570,0,"3.96000","0","1","Pico-Clasp 15133","Active","Socket to Socket","3","1","-","0.039"" (1.00mm)","1.97' (600.00mm)","-","Black","-","-","Crimp","Tin","39.4µin (1.00µm)"
https://www.molex.com/pdm_docs/sd/151330401_sd.pdf,//media.digikey.com/Photos/Molex/MFG_15133_PicoClasp_4-Pos.jpg,WM16331-ND,0151330401,Molex,PICO-CLASP 4 CIRCUIT 100MM,848,0,"3.97000","0","1","Pico-Clasp 15133","Active","Socket to Socket","4","1","-","0.039"" (1.00mm)","0.328' (100.00mm, 3.94"")","-","Black","-","-","Crimp","Tin","39.4µin (1.00µm)"
https://www.molex.com/pdm_docs/sd/151330402_sd.pdf,//media.digikey.com/Photos/Molex/MFG_15133_PicoClasp_4-Pos.jpg,WM16332-ND,0151330402,Molex,PICO-CLASP 4 CIRCUIT 150MM,557,0,"3.97000","0","1","Pico-Clasp 15133","Active","Socket to Socket","4","1","-","0.039"" (1.00mm)","0.492' (150.00mm, 5.91"")","-","Black","-","-","Crimp","Tin","39.4µin (1.00µm)"
https://www.molex.com/pdm_docs/sd/923151410_sd.pdf,//media.digikey.com/Photos/Molex/0923151410.jpg,WM13333-ND,0923151410,Molex,14CC PICOFLEX 100MM LONG,2410,0,"4.09000","0","1","Picoflex 92315","Active","Socket to Socket","14","2","0.100"" (2.54mm)","0.050"" (1.27mm)","0.328' (100.00mm, 3.94"")","-","Gray, Ribbon","Unshielded","-","IDC","Tin","80.0µin (2.03µm)"
https://www.molex.com/pdm_docs/sd/923151025_sd.pdf,//media.digikey.com/Photos/Molex/92315-1010.jpg,WM13330-ND,0923151025,Molex,10CC PICOFLEX 250MM LONG,263,0,"4.13000","0","1","Picoflex 92315","Active","Socket to Socket","10","2","0.100"" (2.54mm)","0.050"" (1.27mm)","0.820' (250.00mm, 9.84"")","-","Gray, Ribbon","Unshielded","-","IDC","Tin","80.0µin (2.03µm)"
https://www.molex.com/pdm_docs/sd/151330403_sd.pdf,//media.digikey.com/Photos/Molex/MFG_15133_PicoClasp_4-Pos.jpg,WM16333-ND,0151330403,Molex,PICO-CLASP 4 CIRCUIT 300MM,120,0,"4.20000","0","1","Pico-Clasp 15133","Active","Socket to Socket","4","1","-","0.039"" (1.00mm)","0.984' (300.00mm, 11.81"")","-","Black","-","-","Crimp","Tin","39.4µin (1.00µm)"
https://www.molex.com/pdm_docs/sd/151350506_sd.pdf,//media.digikey.com/Photos/Molex/MFG_ClikMate%205-Pos.jpg,WM16512-ND,0151350506,Molex,CLICKMATE 5 CIRCUIT 600MM,923,0,"4.21000","0","1","CLIK-MATE 15135","Active","Plug to Plug","5","1","0.059"" (1.50mm)","-","1.97' (600.00mm)","Latch Lock","Black, Individual","-","-","Crimp","Tin","16.0µin (0.41µm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2205060&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/2205067-x.jpg,A123302-ND,2205067-1,TE Connectivity AMP Connectors,CABLE ASSEMBLY HEADER WTW 18POS,536,0,"4.23000","0","1","-","Active","Plug to Plug","18","2","-","-","0.246' (75.00mm, 2.95"")","-","Gray","-","-","IDC","-","-"
http://suddendocs.samtec.com/prints/ffmd-xx-x-xx.xx-01-x-x-xxx-mkt.pdf,-,SAM9329-ND,FFMD-05-01,Samtec Inc.,.050 CABLE PLUG,367,0,"4.24000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-"
"//media.digikey.com/PDF/Data%20Sheets/Tyco%20Electronics%20Corcom%20PDFs/FA,%20JA,%20LA,%20MA,%20PA%20-%20Accessories.pdf",//media.digikey.com/Photos/Tyco%20Photos/PA105.jpg,PA105-ND,PA105,TE Connectivity Corcom Filters,POWER CONN ASSY P SER 2 6"" WIRE,940,0,"4.38000","0","1","P","Active","Plug to Individual Wire Leads","4","1","-","-","0.500' (152.40mm, 6.00"")","-","Multiple, Individual","Unshielded","Power Module","-","-","-"
https://www.molex.com/pdm_docs/sd/923151625_sd.pdf,//media.digikey.com/Photos/Molex/0923151625.jpg,WM13335-ND,0923151625,Molex,16CC PICOFLEX 250MM LONG,392,0,"4.49000","0","1","Picoflex 92315","Active","Socket to Socket","16","2","0.100"" (2.54mm)","0.050"" (1.27mm)","0.820' (250.00mm, 9.84"")","-","Gray, Ribbon","Unshielded","-","IDC","Tin","80.0µin (2.03µm)"
https://www.molex.com/pdm_docs/sd/151330501_sd.pdf,//media.digikey.com/Photos/Molex/Pico-Clasp-15133-5-POS.jpg,WM16337-ND,0151330501,Molex,PICO-CLASP 5 CIRCUIT 100MM,924,0,"4.70000","0","1","Pico-Clasp 15133","Active","Socket to Socket","5","1","-","0.039"" (1.00mm)","0.328' (100.00mm, 3.94"")","-","Black","-","-","Crimp","Tin","39.4µin (1.00µm)"
https://www.molex.com/pdm_docs/sd/151330500_sd.pdf,//media.digikey.com/Photos/Molex/Pico-Clasp-15133-5-POS.jpg,WM16336-ND,0151330500,Molex,PICO-CLASP 5 CIRCUIT 50MM,821,0,"4.70000","0","1","Pico-Clasp 15133","Active","Socket to Socket","5","1","-","0.039"" (1.00mm)","0.164' (50.00mm, 1.97"")","-","Black","-","-","Crimp","Tin","39.4µin (1.00µm)"
https://www.molex.com/pdm_docs/sd/151330502_sd.pdf,//media.digikey.com/Photos/Molex/Pico-Clasp-15133-5-POS.jpg,WM16338-ND,0151330502,Molex,PICO-CLASP 5 CIRCUIT 150MM,521,0,"4.70000","0","1","Pico-Clasp 15133","Active","Socket to Socket","5","1","-","0.039"" (1.00mm)","0.492' (150.00mm, 5.91"")","-","Black","-","-","Crimp","Tin","39.4µin (1.00µm)"
