Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","1st Connector","2nd Connector","Type","Number of Positions","Length","Shielding","Color","Usage","Contact Finish","Contact Finish Thickness"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1656275,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1656288.jpg,277-13623-ND,1656275,Phoenix Contact,CABLE ASSY DB15 SHIELDED GRAY 2M,57,0,"13.80000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB15","15","6.56' (2.00m)","Shielded","Gray, Individual (Round)","Extension, Serial","Gold","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1656291.pdf,//media.digikey.com/Photos/Phoenix%20Photos/1656291.jpg,277-12299-ND,1656291,Phoenix Contact,CABLE ASSY DB25 SHIELDED GRAY 1M,88,0,"13.99000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB25","25","3.28' (1.00m)","Shielded","Gray, Individual (Round)","Extension, Serial","Gold","-"
http://www.cablesondemand.com/images/diagrams/CS-DSDMDB09MF.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_CS-DSDMDB09MF.jpg,CS-DSDMDB09MF-005-ND,CS-DSDMDB09MF-005,Amphenol ICC (Commercial Products),CABLE ASSY DB09 SHLD GRAY 1.52M,45,0,"15.64000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB09","9","5.00' (1.52m)","Shielded","Gray, Individual (Round)","-","-","-"
https://assets.tripplite.com/product-pdfs/en/p516001hr.pdf,//media.digikey.com/Photos/Tripplite%20Photos/P516-001-HR.jpg,TL404-ND,P516-001-HR,Tripp Lite,CABLE ASSY HD15 SHLD BLK 304.8MM,88,0,"16.00000","0","1","-","Active","Receptacle, Female Sockets (2)","Plug, Male Pins","HD15","15","1.00' (304.80mm)","Shielded","Black, Individual (Round)","VGA Monitor","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tripp%20Lite/P502-yyy_Dwg.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P502-xxx%20Series.jpg,TL655-ND,P502-015,Tripp Lite,CABLE ASSY HD15 SHLD BLACK 4.57M,84,0,"16.63000","0","1","-","Active","Plug, Male Pins","Plug, Male Pins","HD15","14","15.00' (4.57m)","Shielded","Black, Individual (Round)","VGA Monitor","Gold","Flash"
http://www.cablesondemand.com/images/diagrams/CS-DSDMDB15FF.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_CS-DSDMDB15FF-005.jpg,CS-DSDMDB15FF-005-ND,CS-DSDMDB15FF-005,Amphenol ICC (Commercial Products),CABLE ASSY DB15 SHLD GRAY 1.52M,59,0,"16.82000","0","1","-","Active","Receptacle, Female Sockets","Receptacle, Female Sockets","DB15","15","5.00' (1.52m)","Shielded","Gray, Individual (Round)","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1656288.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1656288.jpg,277-10979-ND,1656288,Phoenix Contact,CABLE ASSY DB15 SHIELDED GRAY 5M,27,0,"16.87000","0","1","Varioface","Active","Receptacle, Female Sockets","Plug, Male Pins","DB15","15","16.40' (5.00m)","Shielded","Gray, Individual (Round)","-","Gold","-"
http://www.cablesondemand.com/images/diagrams/CS-DSDHD15MM0.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_CS-DSDHD15MM0.jpg,CS-DSDHD15MM0-010-ND,CS-DSDHD15MM0-010,Amphenol ICC (Commercial Products),CABLE ASSY HD15 SHLD GRAY 3.05M,63,0,"17.04000","0","1","-","Active","Plug, Male Pins","Plug, Male Pins","HD15","15","10.00' (3.05m)","Shielded","Gray, Individual (Round)","-","-","-"
http://www.cablesondemand.com/images/diagrams/CS-DSDMDB15MF.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_CS-DSDMDB15MF.jpg,CS-DSDMDB15MF-005-ND,CS-DSDMDB15MF-005,Amphenol ICC (Commercial Products),CABLE ASSY DB15 SHLD GRAY 1.52M,36,0,"17.40000","0","1","-","Active","Receptacle, Female Sockets","Plug, Male Pins","DB15","15","5.00' (1.52m)","Shielded","Gray, Individual (Round)","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Norcomp%20PDFs/CCA-009-YYYR152.pdf,//media.digikey.com/Photos/Norcomp%20Photos/CCA-009-I18R152.jpg,NOR1146-ND,CCA-009-I18R152,NorComp Inc.,CABLE ASSY D TO MIC D 9P 457.2MM,29,0,"20.37000","0","1","CCA","Active","Receptacle, Female Sockets","Individual Wire Leads","D-Type, Micro-D","9","1.50' (457.20mm)","Shielded","Black, Individual (Round)","-","-","-"
