Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Contact Termination","Length","Number of Positions","Pitch"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9CCx-090xx.jpg,A9CCG-0904F-ND,A9CCG-0904F,TE Connectivity AMP Connectors,FLEX CABLE - AFG09G/AF09/AFG09G,470,0,"4.98000","0","1","-","Active","Receptacle with Latch to Receptacle with Latch","4.00"" (101.60mm)","9","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BAx-140xx.jpg,A9BAG-1403F-ND,A9BAG-1403F,TE Connectivity AMP Connectors,FLEX CABLE - AFF14G/AF14/AFE14T,613,0,"5.03000","0","1","-","Active","Receptacle to Solder Tab","3.00"" (76.20mm)","14","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9CAx-160xx.jpg,A9CAG-1604F-ND,A9CAG-1604F,TE Connectivity AMP Connectors,FLEX CABLE - AFG16G/AF16/AFE16T,465,0,"5.03000","0","1","-","Active","Receptacle with Latch to Solder Tab","4.00"" (101.60mm)","16","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BBx-080xx.jpg,A9BBG-0808F-ND,A9BBG-0808F,TE Connectivity AMP Connectors,FLEX CABLE - AFF08G/AF08/AFF08G,505,0,"5.08000","0","1","-","Active","Receptacle to Receptacle","8.00"" (203.20mm)","8","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487547&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9CCx-100xx.jpg,A9CCA-1003E-ND,A9CCA-1003E,TE Connectivity AMP Connectors,FLEX CABLE - AFK10A/AE10/AFK10A,483,0,"5.13000","0","1","-","Active","Receptacle with Latch to Receptacle with Latch","3.00"" (76.20mm)","10","0.050"" (1.27mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BAx-140xx.jpg,A9BAG-1404F-ND,A9BAG-1404F,TE Connectivity AMP Connectors,FLEX CABLE - AFF14G/AF14/AFE14T,675,0,"5.17000","0","1","-","Active","Receptacle to Solder Tab","4.00"" (101.60mm)","14","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487547&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9CCx-100xx.jpg,A9CCA-1004E-ND,A9CCA-1004E,TE Connectivity AMP Connectors,FLEX CABLE - AFK10A/AE10/AFK10A,498,0,"5.21000","0","1","-","Active","Receptacle with Latch to Receptacle with Latch","4.00"" (101.60mm)","10","0.050"" (1.27mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BAx-140xx.jpg,A9BAG-1405F-ND,A9BAG-1405F,TE Connectivity AMP Connectors,FLEX CABLE - AFF14G/AF14/AFE14T,562,0,"5.30000","0","1","-","Active","Receptacle to Solder Tab","5.00"" (127.00mm)","14","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9CAx-160xx.jpg,A9CAG-1606F-ND,A9CAG-1606F,TE Connectivity AMP Connectors,FLEX CABLE - AFG16G/AF16/AFE16T,475,0,"5.33000","0","1","-","Active","Receptacle with Latch to Solder Tab","6.00"" (152.40mm)","16","0.100"" (2.54mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=487406&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Renders/TE%20Connectivity/A9BBx-100xx.jpg,A9BBG-1002F-ND,A9BBG-1002F,TE Connectivity AMP Connectors,FLEX CABLE - AFF10G/AF10/AFF10G,3128,0,"5.39000","0","1","-","Active","Receptacle to Receptacle","2.00"" (50.80mm)","10","0.100"" (2.54mm)"
