Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Length","Cable Type","Shielding","Style"
http://multimedia.3m.com/mws/media/22359O/3mtm-mdr-cable-assy-ieee-1284-4120-4120-xx-b-series-ts0642.pdf,-,4120-4120-30-B-ND,4120-4120-30-B,3M,CABLE ASSY MDR 36POS M-M 30FT,0,0,"152.72800","0","5","Mini D Ribbon (MDR)","Active","Centronics 36 pos Male to Male","30.00' (9.14m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/585358O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2286.pdf,-,1MD26-R560-00C-200-ND,1MD26-R560-00C-200,3M,26 POS FLX DLTA RIB CBL ASSY 200,0,0,"155.14800","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male","6.56' (2.00m)","Round, Black","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343875O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2122.pdf,//media.digikey.com/photos/3M%20Photos/1MF26-L586-00C-500.jpg,MCA102-5-ND,1MF26-L586-00C-500,3M,CABLE ASSY R/A MDR-STRGT SDR 5M,0,0,"158.22740","0","50","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","16.40' (5.00m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/22578O/3mtmmdr-cableassy-050-20-26-pos-14520-ezdb-xxx-0ex-ts0883.pdf,-,14520-EZDB-A00-0EC-ND,14520-EZDB-A00-0EC,3M,CABLE ASSY MDR 20-26POS M-M 10M,0,0,"162.21400","0","5","Mini D Ribbon (MDR)","Active","Centronics 20 pos Male to 26 pos Male","32.81' (10.0m)","Round, Beige","Shielded","Bidirectional"
http://multimedia.3m.com/mws/media/343875O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2122.pdf,-,1MF26-L587-00C-500-ND,1MF26-L587-00C-500,3M,26 POS SHRNK DLTA RIB CBL ASSY 5,0,0,"162.83200","0","50","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male, Right Angle","16.40' (5.00m)","Round, Beige","Shielded","Bidirectional"
https://b2b.harting.com/files/TB%203360212xxxx.pdf,//media.digikey.com/photos/Harting/har-mik-68.jpg,33602121500107-ND,33602121500107,HARTING,HAR-MIK 68P MA DOUBLE END CALBE,0,0,"163.44000","0","1","har-mik®","Active","VHDCI 68 pos Male to Male","49.21' (15.0m)","Round, Gray","Shielded","-"
http://multimedia.3m.com/mws/media/585358O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2286.pdf,-,1MD26-R560-00C-300-ND,1MD26-R560-00C-300,3M,26 POS FLX DLTA RIB CBL ASSY 300,0,0,"164.01600","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male","9.84' (3.00m)","Round, Black","Shielded","Bidirectional"
https://b2b.harting.com/files/TB%203360212xxxx.pdf,//media.digikey.com/photos/Harting/har-mik-68.jpg,33602121000106-ND,33602121000106,HARTING,HAR-MIK 68P MA DOUBLE END CALBE,0,0,"167.06000","0","1","har-mik®","Active","VHDCI 68 pos Male to Male","32.81' (10.0m)","Round, Gray","Shielded","-"
http://multimedia.3m.com/mws/media/585358O/3mtm-shrunk-delta-ribbon-sdr-cable-assembly-ts2286.pdf,//media.digikey.com/photos/3M%20Photos/1MD26-3560-00C-A00.jpg,1MD26-3560-00C-300-ND,1MD26-3560-00C-300,3M,CABLE POCL SDR MDR 300CM GRAY,0,0,"167.47000","0","5","Shrunk Delta Ribbon (SDR)","Active","Centronics 26 pos Male to Male","9.84' (3.00m)","Round, Gray","Shielded","Bidirectional"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/TS-2262-A.pdf,//media.digikey.com/photos/3M%20Photos/14H26-SZLM-200-0LC.JPG,MCA126-2-ND,14H26-SZLM-200-0LC,3M,MDR CAMERA CABLE 26POS M-RA/M 2M,0,0,"167.70000","0","5","Mini D Ribbon (MDR)","Active","Centronics 26 pos Male to Male, Right Angle","6.56' (2.00m)","Round, Beige","Shielded","Bidirectional"
