Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Contact End","Length","Wire Gauge","Contact Finish","Color","Contact Finish Thickness"
https://www.molex.com/pdm_docs/sd/500588000_sd.pdf,//media.digikey.com/Photos/Molex/0500588000-xx-Bx-D.jpg,0500588000-08-B1-D-ND,0500588000-08-B1-D,Molex,8"" PRE-CRIMP 3047 BLACK,750,0,"0.65400","0","10","PicoBlade","Active","Socket to Socket","8.00"" (203.20mm)","30 AWG","Tin","Black","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/008500113_sd.pdf,//media.digikey.com/Photos/Molex/0008500113-xx-Wx.jpg,0008500113-12-W1-ND,0008500113-12-W1,Molex,12"" PRE-CRIMP A3047 WHITE,600,0,"0.65400","0","10","KK 2759","Active","Socket to Cable (Round)","12.0"" (304.8mm)","30 AWG","Tin","White","100.0µin (2.54µm)"
https://www.molex.com/pdm_docs/sd/500588000_sd.pdf,//media.digikey.com/Photos/Molex/0500588000-xx-Nx-D.jpg,0500588000-08-N1-D-ND,0500588000-08-N1-D,Molex,8"" PRE-CRIMP 3047 BROWN,310,0,"0.65400","0","10","PicoBlade","Active","Socket to Socket","8.00"" (203.20mm)","30 AWG","Tin","Brown","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/500588000_sd.pdf,//media.digikey.com/Photos/Molex/0500588000-xx-Sx-D.jpg,0500588000-08-S1-D-ND,0500588000-08-S1-D,Molex,8"" PRE-CRIMP 3047 SLATE,300,0,"0.65400","0","10","PicoBlade","Active","Socket to Socket","8.00"" (203.20mm)","30 AWG","Tin","Slate","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/008500113_sd.pdf,//media.digikey.com/Photos/Molex/0008500113-xx-Bx-D.jpg,0008500113-10-B2-D-ND,0008500113-10-B2-D,Molex,10"" PRE-CRIMP A2016 BLACK,610,0,"0.65500","0","10","KK 2759","Active","Socket to Socket","10.0"" (254.0mm)","22 AWG","Tin","Black","100.0µin (2.54µm)"
https://www.molex.com/pdm_docs/sd/008500113_sd.pdf,//media.digikey.com/Photos/Molex/0008500113-xx-Rx-D.jpg,0008500113-10-R2-D-ND,0008500113-10-R2-D,Molex,10"" PRE-CRIMP A2016 RED,600,0,"0.65500","0","10","KK 2759","Active","Socket to Socket","10.0"" (254.0mm)","22 AWG","Tin","Red","100.0µin (2.54µm)"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=DF13-2630SCFA,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BBG-10102-G4.jpg,H4BBT-10103-G6-ND,H4BBT-10103-G6,Hirose Electric Co Ltd,JUMPER-H9992TR/1853GR/H9992TR 3"",190,0,"0.65500","0","10","DF13","Active","Socket to Socket","3.00"" (76.20mm)","26 AWG","Tin","Green","-"
https://www.molex.com/pdm_docs/sd/500588000_sd.pdf,//media.digikey.com/Photos/Molex/0500588000-xx-Bx.jpg,0500588000-12-B1-ND,0500588000-12-B1,Molex,12"" PRE-CRIMP 3047 BLACK,1430,0,"0.65600","0","10","PicoBlade","Active","Socket to Cable (Round)","12.0"" (304.8mm)","30 AWG","Tin","Black","35.4µin (0.90µm)"
https://www.molex.com/pdm_docs/sd/039000038_sd.pdf,//media.digikey.com/Photos/Molex/0039000038-xx-Bx.jpg,0039000038-12-B0-ND,0039000038-12-B0,Molex,12"" PRE-CRIMP A2040 BLACK,830,0,"0.65700","0","10","Mini-Fit Jr","Active","Socket to Cable (Round)","12.0"" (304.8mm)","20 AWG","Tin","Black","-"
https://www.molex.com/pdm_docs/sd/500588000_sd.pdf,//media.digikey.com/Photos/Molex/0500588000-xx-Rx-D.jpg,0500588000-06-R8-D-ND,0500588000-06-R8-D,Molex,6"" PRE-CRIMP 1852 RED,830,0,"0.65700","0","10","PicoBlade","Active","Socket to Socket","6.00"" (152.40mm)","28 AWG","Tin","Red","35.4µin (0.90µm)"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=DF13-2630SCFA,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BBG-10102-A8.jpg,H4BBT-10105-A8-ND,H4BBT-10105-A8,Hirose Electric Co Ltd,JUMPER-H9992TR/1852OR/H9992TR 5"",610,0,"0.65700","0","10","DF13","Active","Socket to Socket","5.00"" (127.00mm)","28 AWG","Tin","Orange","-"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=DF13-2630SCFA,//media.digikey.com/photos/Hirose%20Elect%20Photos/H2BBG-10102-B4.jpg,H4BBT-10105-B8-ND,H4BBT-10105-B8,Hirose Electric Co Ltd,JUMPER-H9992TR/1852BK/H9992TR 5"",570,0,"0.65700","0","10","DF13","Active","Socket to Socket","5.00"" (127.00mm)","28 AWG","Tin","Black","-"
