Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Terminal Strips","Number of Distribution Buses","Number of Tie Points (Total)","Number of 5-Tie Point Terminals","Number of Binding Posts","Size / Dimension"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2463_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_2463.JPG,1528-1887-ND,2463,Adafruit Industries LLC,MINI SOLDERLESS BREADBOARD 4X4,0,0,"0.95000","0","1","*","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2018_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2018.jpg,1528-2237-ND,2018,Adafruit Industries LLC,BREADBOARD TERM STRIP 1.10X0.30"",0,0,"0.95000","0","1","-","Active","Terminal Strip (No Frame)","1","2","-","-","-","1.10"" x 0.30"" (27.9mm x 7.6mm)"
-,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_319030001.jpg,319030001-ND,319030001,"Seeed Technology Co., Ltd",BREAD BOARD CLEAR 8.2 X 5.3CM,0,0,"5.61000","0","10","*","Active","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_319030002.jpg,319030002-ND,319030002,"Seeed Technology Co., Ltd",BASIC BREAD BOARD 16.5*5.5 CM,0,0,"7.03750","0","8","*","Active","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,//media.digikey.com/photos/3M%20Photos/923289-I.jpg,923289-ND,923289-I,3M,BREADBOARD TERM STRIP 6.50X1.10"",0,0,"Obsolete","0","5","-","Obsolete","Terminal Strip (No Frame)","1","-","512","-","-","6.50"" x 1.10"" (165.1mm x 27.9mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,-,923291-ND,923291-I,3M,BREADBOARD TERM STRIP 6.50X0.63"",0,0,"Obsolete","0","5","-","Obsolete","Terminal Strip (No Frame)","-","-","216","-","-","6.50"" x 0.63"" (165.1mm x 16.0mm)"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,//media.digikey.com/photos/3M%20Photos/923293-I.jpg,923293-ND,923293-I,3M,BREADBOARD DISTI BUS 6.50X0.43"",0,0,"Obsolete","0","35","-","Obsolete","Distribution Bus (No Frame)","-","1","144","-","-","6.50"" x 0.43"" (165.1mm x 10.9mm)"
-,-,3356-1000-ND,3356-1000,3M,CONN SOCKET 14POS DL BREADBOARD,0,0,"Obsolete","0","100","-","Obsolete","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Parallax%20Photos/700-32305.jpg,700-32305-ND,700-32305,Parallax Inc.,BREADBOARD TERMINAL STRIP,0,0,"Active","0","0","-","Active","Terminal Strip (No Frame)","3","4","1092","180","-","-"
-,//media.digikey.com/Photos/Arduino/A000032.jpg,1050-1012-ND,A000032,Arduino,BREADBOARD TERMINAL STRIP,0,0,"Obsolete","0","1","-","Obsolete","Terminal Strip (No Frame)","1","2","840","128","-","-"
//media.digikey.com/pdf/Data%20Sheets/Parallax%20PDFs/700-00094_Web.pdf,//media.digikey.com/Photos/Parallax%20Photos/700-00094.jpg,700-00094-ND,700-00094,Parallax Inc.,BREADBOARD TERMINAL STRIP,0,0,"Obsolete","0","1","-","Obsolete","Terminal Strip (No Frame)","1","-","170","34","-","-"
-,//media.digikey.com/Photos/Parallax%20Photos/700-00095.jpg,700-00095-ND,700-00095,Parallax Inc.,BREADBOARD SMALL CLEAR,0,0,"Obsolete","0","1","-","Obsolete","-","-","-","-","-","-","-"
-,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_QT-47S.jpg,QT-47S-ND,QT-47S,Global Specialties,BREADBRD TERM STRIP 5.30X1.32"",0,0,"Obsolete","0","1","-","Obsolete","Terminal Strip (No Frame)","1","-","470","94","-","5.30"" L x 1.32"" W (134.6mm x 33.5mm)"
http://globalspecialties.com/media/k2/attachments/PB-103E_datasheet.pdf,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_PB-103E.jpg,PB-103E-ND,PB-103E,Global Specialties,BREADBOARD ASSEMBLY 6.89X9.06"",0,0,"Obsolete","0","1","-","Obsolete","Assembly (On Frame)","3","5","2250","378","4","6.89"" L x 9.06"" W (175.0mm x 230.0mm)"
http://globalspecialties.com/media/k2/attachments/PB-104E_datasheet.pdf,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_PB-104E.jpg,PB-104E-ND,PB-104E,Global Specialties,BREADBOARD ASSEMBLY 8.27X9.45"",0,0,"Obsolete","0","1","-","Obsolete","Assembly (On Frame)","4","7","3060","504","4","8.27"" L x 9.45"" W (210.0mm x 240.0mm)"
http://www.globalspecialties.com/solderless-breadboards/breadboards-mounted/download/1541_1611092cbaa9ca13d459d94be6c0c146.html,//media.digikey.com/photos/BK%20Precision%20Photos/MFG_PB-104E.jpg,PB-104-ND,PB-104,Global Specialties,EXT PWRD BRDBRD 3060 TIE-POINTS,0,0,"Obsolete","0","1","-","Obsolete","-","-","-","-","-","-","-"
-,-,114990037-ND,114990037,"Seeed Technology Co., Ltd",TINY BREAD BOARD KIT,0,0,"Obsolete","0","6","*","Obsolete","-","-","-","-","-","-","-"
