Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Proto Board Type","Size / Dimension","Board Thickness","Material"
https://www.mgchemicals.com/downloads/tds/tds-600-series.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_600-Series.jpg,473-1200-ND,630,MG Chemicals,PROTO BOARD COPPER CLAD 12X8"",26,0,"27.49000","0","1","600","Active","Copper Clad, Positive Sensitized","12.00"" x 8.00"" (304.8mm x 203.2mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Single Sided, 1 oz."
http://cdn.shopify.com/s/files/1/0275/2361/files/PCB_FR-1_Data_Sheet.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_MT100x.jpg,1932-1038-ND,MT1004,Bantam Tools,PROTO BRD COPPER CLAD 5X4"" 25PC,49,0,"34.56000","0","1","-","Active","Copper Clad, Uncoated","5.00"" x 4.00"" (127.0mm x 101.6mm)","0.063"" (1.60mm)","Copper Clad FR1, Single Sided, 1 oz."
http://cdn.shopify.com/s/files/1/0275/2361/files/PCB_FR-1_Data_Sheet.pdf,//media.digikey.com/Photos/Bantam%20Tools/MFG_MT100x.jpg,1932-1039-ND,MT1005,Bantam Tools,PROTO BRD COPPER CLAD 5X4"" 25PC,28,0,"44.80000","0","1","-","Active","Copper Clad, Uncoated","5.00"" x 4.00"" (127.0mm x 101.6mm)","0.063"" (1.60mm)","Copper Clad FR1, Double Sided, 1 oz."
https://www.mgchemicals.com/downloads/tds/tds-600-series.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_600-Series.jpg,473-1021-ND,689,MG Chemicals,PROTO BOARD COPPER CLAD 9"" X 6"",17,0,"18.31000","0","1","600","Active","Copper Clad, Positive Sensitized","9.00"" x 6.00"" (228.6mm x 152.4mm)","0.031"" (0.79mm) 1/32""","Copper Clad FR4, Single Sided, 1 oz."
//media.digikey.com/pdf/Data%20Sheets/Keystone%20Electronics%20PDFs/1268-10.pdf,-,36-1268-10-ND,1268-10,Keystone Electronics,PROTO BOARD,99,0,"3.56000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Keystone%20Electronics%20PDFs/1268-12.pdf,-,36-1268-12-ND,1268-12,Keystone Electronics,PROTO BOARD,35,0,"4.37000","0","1","-","Active","-","-","-","-"
https://www.mgchemicals.com/downloads/tds/tds-500-series.pdf,//media.digikey.com/photos/MG%20Chemicals%20Photos/550.jpg,473-1007-ND,555,MG Chemicals,PROTO BOARD COPPER CLAD 12X12"",0,0,"22.42000","0","1","500","Active","Copper Clad, Uncoated","12.00"" x 12.00"" (304.8mm x 304.8mm)","0.062"" (1.57mm) 1/16""","Copper Clad FR4, Double Sided, 1 oz."
https://www.mgchemicals.com/downloads/tds/tds-600-series.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_600-Series.jpg,473-1020-ND,687,MG Chemicals,PROTO BOARD COPPER CLAD 6"" X 4"",22,0,"10.18000","0","1","600","Active","Copper Clad, Positive Sensitized","6.00"" x 4.00"" (152.4mm x 101.6mm)","0.031"" (0.79mm) 1/32""","Copper Clad FR4, Single Sided, 1 oz."
-,-,3397-0040-ND,3397-0040,3M,BREADBOARD 4POS SOLDER STRIP,0,0,"0.59400","0","600","-","Active","-","-","-","-"
-,-,3397-0100-ND,3397-0100,3M,BREADBOARD 10POS SOLDER STRIP,0,0,"0.90100","0","400","-","Active","-","-","-","-"
-,-,3397-1120-ND,3397-1120,3M,BREADBOARD 12POS PLUG STRIP,0,0,"1.12200","0","400","-","Active","-","-","-","-"
-,-,3397-1080-ND,3397-1080,3M,BREADBOARD 8POS PLUG STRIP,0,0,"3.43200","0","100","-","Active","-","-","-","-"
-,-,36-1239-10-ND,1239-10,Keystone Electronics,PROTO BOARD,0,0,"3.50000","0","1","-","Active","-","-","-","-"
-,-,36-1204-10-ND,1204-10,Keystone Electronics,PROTO BOARD,0,0,"3.56000","0","1","-","Active","-","-","-","-"
-,-,36-1239-12-ND,1239-12,Keystone Electronics,PROTO BOARD,0,0,"4.23000","0","1","-","Active","-","-","-","-"
-,-,36-1204-12-ND,1204-12,Keystone Electronics,PROTO BOARD,0,0,"4.37000","0","1","-","Active","-","-","-","-"
-,-,3395-0000-ND,3395-0000,3M,PULL TAB W/SRC 64POS DIN,0,0,"5.39200","0","200","-","Active","-","-","-","-"
