Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Style","Length","Color","Wire Gauge"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,//media.digikey.com/photos/3M%20Photos/923345-50-C.jpg,923345-50-ND,923345-50-C,3M,JUMPER PREFORM 5"" 22AWG 75PCS,168,0,"20.56000","0","1","75 per Pkg","-","Active","Pre-Formed for Breadboard","5.000"" (127.00mm)","Green","22 AWG"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/Solderless%20Breadboard%20Acces.pdf,//media.digikey.com/photos/3M%20Photos/923345-07-C.jpg,923345-07-ND,923345-07-C,3M,JUMPER PREFORM 0.7"" 22AWG 150PCS,121,0,"20.56000","0","1","150 per Pkg","-","Active","Pre-Formed for Breadboard","0.700"" (17.78mm)","Violet","22 AWG"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1957_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_1957.JPG,1528-1967-ND,1957,Adafruit Industries LLC,JUMPER WIRE M TO M 6"" 28AWG,643,0,"1.95000","0","1","-","-","Active","Male to Male","6.000"" (152.40mm)","Various","28 AWG"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1956_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_1956.JPG,1528-1966-ND,1956,Adafruit Industries LLC,JUMPER WIRE M TO M 3"" 28AWG,265,0,"1.95000","0","1","-","-","Active","Male to Male","3.000"" (76.20mm)","Various","28 AWG"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1954_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_1954.JPG,1528-1964-ND,1954,Adafruit Industries LLC,JUMPER WIRE M TO F 6"" 28AWG,262,0,"1.95000","0","1","-","-","Active","Male to Female","6.000"" (152.40mm)","Various","28 AWG"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1950_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_1950.JPG,1528-1961-ND,1950,Adafruit Industries LLC,JUMPER WIRE F TO F 6"" 28AWG,241,0,"1.95000","0","1","-","-","Active","Female to Female","6.000"" (152.40mm)","Various","28 AWG"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1951_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_1951.JPG,1528-1962-ND,1951,Adafruit Industries LLC,JUMPER WIRE F TO F 3"" 28AWG,200,0,"1.95000","0","1","-","-","Active","Female to Female","3.000"" (76.20mm)","Various","28 AWG"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1953_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1953.jpg,1528-2233-ND,1953,Adafruit Industries LLC,JUMPER WIRE M TO F 3"" 28AWG,124,0,"1.95000","0","1","-","-","Active","Male to Female","3.000"" (76.20mm)","Various","28 AWG"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3633_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3633.jpg,1528-2642-ND,3633,Adafruit Industries LLC,JUMPER WIRE M TO F 6"" 28AWG,237,0,"2.95000","0","1","-","-","Active","Male to Female","6.000"" (152.40mm)","Various","28 AWG"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/825_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_825.jpg,1528-1161-ND,825,Adafruit Industries LLC,JUMPER WIRE M/F 2.950"" 1PC,1207,0,"3.95000","0","1","1 per Pkg","-","Active","Male to Female, Zippable, 40 Conductor","2.950"" (74.93mm)","Various","-"
