Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Diameter - Bit","Diameter - Shank","Material"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14854_Web.pdf,-,TOL-14855-ND,TOL-14855,SparkFun Electronics,BALL CUTTER 0.25\"" #202 2PK,0,0,"56.25000","0","1","-","Active","End Mill, Ball","0.250"" (6.35mm)","0.250"" (6.35mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-15041_Web.pdf,-,TOL-15041-ND,TOL-15041,SparkFun Electronics,DOWNCUT FLAT CUTTER 2PK,0,0,"62.50000","0","1","-","Active","End Mill, Flat","0.250"" (6.35mm)","0.250"" (6.35mm)","High Speed Steel (HSS)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14858_Web.pdf,-,TOL-14858-ND,TOL-14858,SparkFun Electronics,V-BIT CUTTER 0.5\"" 90 #301 2PK,0,0,"75.00000","0","1","-","Active","End Mill, Engraving","0.500"" (12.70mm)","0.250"" (6.35mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-14859_Web.pdf,-,TOL-14859-ND,TOL-14859,SparkFun Electronics,V-BIT CUTTER 0.5\"" 60 #302 2PK,0,0,"75.00000","0","1","-","Active","End Mill, Engraving","0.500"" (12.70mm)","0.250"" (6.35mm)","Carbide"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,-,TL1002-10-ND,TL1002-10,Bantam Tools,DRILL BIT FLAT END MILL 1/8"",0,0,"161.28000","0","1","*","Active","End Mill, Flat","-","-","-"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,-,TL1000-10-ND,TL1000-10,Bantam Tools,DRILL BIT BALL END MILL 1/8"",0,0,"161.28000","0","1","*","Active","End Mill, Ball","-","-","-"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,-,TL1003-10-ND,TL1003-10,Bantam Tools,DRILL BIT FLAT END MILL 1/16"",0,0,"184.32000","0","1","*","Active","End Mill, Flat","-","-","-"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,-,TL1001-10-ND,TL1001-10,Bantam Tools,DRILL BIT BALL END MILL 1/16"",0,0,"184.32000","0","1","*","Active","End Mill, Ball","-","-","-"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,-,TL1004-10-ND,TL1004-10,Bantam Tools,DRILL BIT FLAT END MILL 1/32"",0,0,"207.36000","0","1","*","Active","End Mill, Flat","-","-","-"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,-,TL1011-10-ND,TL1011-10,Bantam Tools,DRILL BIT BALL END MILL 1/32"",0,0,"207.36000","0","1","*","Active","End Mill, Ball","-","-","-"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,-,TL1005-10-ND,TL1005-10,Bantam Tools,DRILL BIT FLAT END MILL 1/64"",0,0,"230.40000","0","1","*","Active","End Mill, Flat","-","-","-"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,-,TL1012-10-ND,TL1012-10,Bantam Tools,DRILL BIT BALL END MILL 1/64"",0,0,"230.40000","0","1","*","Active","End Mill, Ball","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Bantam%20Tools%20PDFs/Metal_Engraving_Bits_Web.pdf,-,TL1007-10-ND,TL1007-10,Bantam Tools,DRILL BIT MET ENGRAV 0.005"" 10P,0,0,"230.40000","0","1","*","Active","End Mill, Engraving","-","-","-"
https://support.bantamtools.com/hc/en-us/article_attachments/115003447914/end_mill_guide.pdf,-,TL1010-10-ND,TL1010-10,Bantam Tools,DRILL BIT FLAT END MILL 1/100"",0,0,"276.48000","0","1","*","Active","End Mill, Flat","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2118_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2118.jpg,2118-ND,2118,Adafruit Industries LLC,DRILL BIT CARBIDE 0.020"",0,0,"1.95000","0","1","-","Active","Drill Bit","0.020"" (0.50mm)","0.125"" (3.18mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2119_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2119.jpg,1528-2244-ND,2119,Adafruit Industries LLC,DRILL BIT CARBIDE 0.028"",0,0,"1.95000","0","1","-","Active","Drill Bit","0.028"" (0.70mm)","0.125"" (3.18mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2120_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2120.jpg,1528-2245-ND,2120,Adafruit Industries LLC,DRILL BIT CARBIDE 0.035"",0,0,"1.95000","0","1","-","Active","Drill Bit","0.035"" (0.90mm)","0.125"" (3.18mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2121_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2121.jpg,1528-2246-ND,2121,Adafruit Industries LLC,DRILL BIT CARBIDE 0.043"",0,0,"1.95000","0","1","-","Active","Drill Bit","0.043"" (1.10mm)","0.125"" (3.18mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2072_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2072.jpg,1528-2239-ND,2072,Adafruit Industries LLC,DRILL BIT CARBIDE 0.020"",0,0,"3.95000","0","1","-","Active","Drill Bit","0.020"" (0.50mm)","0.125"" (3.18mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2073_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2073.jpg,1528-2240-ND,2073,Adafruit Industries LLC,DRILL BIT CARBIDE 0.024"",0,0,"3.95000","0","1","-","Active","Drill Bit","0.024"" (0.60mm)","0.125"" (3.18mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2074_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2074.jpg,1528-2241-ND,2074,Adafruit Industries LLC,DRILL BIT CARBIDE 0.028"",0,0,"3.95000","0","1","-","Active","Drill Bit","0.028"" (0.70mm)","0.125"" (3.18mm)","Carbide"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/2075_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2075.jpg,1528-2242-ND,2075,Adafruit Industries LLC,DRILL BIT CARBIDE 0.031"",0,0,"3.95000","0","1","-","Active","Drill Bit","0.031"" (0.80mm)","0.125"" (3.18mm)","Carbide"
-,//media.digikey.com/photos/Injectorall%20Electronics%20Photos/PC300-75.jpg,PC300-75-ND,PC300-75,Injectorall Electronics,DRILL BIT HIGH SPD STEEL 0.021"",0,0,"Obsolete","0","10","-","Obsolete","Drill Bit","0.021"" (0.53mm)","0.021"" (0.53mm)","High Speed Steel (HSS)"
