Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Proto Board Type","Package Accepted","Number of Positions","Pitch","Board Thickness","Material","Size / Dimension"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1436_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/1436.JPG,1528-1088-ND,1436,Adafruit Industries LLC,FPC ADAPT 40PIN .5/.6/.7/.8/1MM,199,0,"4.95000","0","1","-","Active","SMD to Plated Through Hole Board","FPC","40","-","-","-","2.300"" L x 2.190"" W (58.46mm x 55.86mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1762_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/1762.JPG,1528-1453-ND,1762,Adafruit Industries LLC,5050 LED BREAKOUT PCB - 10 PACK,132,0,"4.95000","0","1","-","Active","SMD to Plated Through Hole Board","5050 LED","6","-","-","-","0.512"" L x 0.315"" W (13.00mm x 8.00mm)"
http://www.capitaladvanced.com/pdf documents/9163ids.pdf,//media.digikey.com/photos/Capital%20Advanced%20Tech%20Photos/9163.jpg,9163CA-ND,9163,Capital Advanced Technologies,PROTOBOARD 14/16 SOIC SMT SIP,167,0,"5.11000","0","1","9000, Surfboards®","Active","SMD to SIP","SOIC","16","0.050"" (1.27mm)","0.031"" (0.79mm) 1/32""","FR4 Epoxy Glass","0.650"" L x 1.600"" W (16.51mm x 40.64mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1377_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1377.jpg,1528-1389-ND,1377,Adafruit Industries LLC,SMT BREAKOUT PCB 48QFN/TQFP 3PK,179,0,"5.95000","0","1","-","Active","SMD to DIP","QFN, QFP","48","-","-","-","2.400"" L x 0.800"" W (60.96mm x 20.32mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1163_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1163%20TQFP-32.jpg,1528-1065-ND,1163,Adafruit Industries LLC,SMT ADAPTERS 3 PACK 32QFN/TQFP,146,0,"5.95000","0","1","-","Active","SMD to DIP","QFN, QFP","32","-","-","-","1.600"" L x 0.700"" W (40.64mm x 17.78mm)"
https://www.arieselec.com/products/data/18010-soic-and-soj-to-dip-adapter.pdf,//media.digikey.com/photos/Aries/24-350000-10.jpg,A322-ND,24-350000-10,Aries Electronics,SOCKET ADAPTER SOIC TO 24DIP 0.3,112,0,"8.42000","0","1","Correct-A-Chip® 350000","Active","SMD to DIP","SOIC","24","0.050"" (1.27mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","2.400"" L x 0.450"" W (60.96mm x 11.43mm)"
https://www.arieselec.com/products/data/18010-soic-and-soj-to-dip-adapter.pdf,//media.digikey.com/photos/Aries/20-350000-10.jpg,A727-ND,20-350000-10,Aries Electronics,SOCKET ADAPTER SOIC TO 20DIP 0.3,103,0,"8.74000","0","1","Correct-A-Chip® 350000","Active","SMD to DIP","SOIC","20","0.050"" (1.27mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","2.000"" L x 0.450"" W (50.80mm x 11.43mm)"
http://www.logicalsys.com/datasht/ssd3sm18.pdf,//media.digikey.com/Photos/Logical%20Systems%20Photos/MFG_pa-ssd3sm18-20.jpg,309-1110-ND,PA-SSD3SM18-20,Logical Systems Inc.,SOCKET ADAPTER SSOP TO 20DIP,234,0,"10.00000","0","1","-","Active","SMD to DIP","SSOP, TSSOP","20","0.026"" (0.65mm)","-","-","1.050"" L x 0.450"" W (26.67mm x 11.43mm)"
http://www.logicalsys.com/datasht/ssd3sm18.pdf,//media.digikey.com/Photos/Logical%20Systems%20Photos/MFG_pa-ssd3sm18-24.jpg,309-1130-ND,PA-SSD3SM18-24,Logical Systems Inc.,SOCKET ADAPTER SSOP TO 24DIP,116,0,"12.00000","0","1","-","Active","SMD to DIP","SSOP, TSSOP","24","0.026"" (0.65mm)","-","-","1.250"" L x 0.450"" W (31.75mm x 11.43mm)"
//media.digikey.com/pdf/Data%20Sheets/Aries%20Electronics%20PDFs/351000_Series.pdf,//media.digikey.com/photos/Aries/20-351000-11-RC.jpg,A753-ND,20-351000-11-RC,Aries Electronics,SOCKET ADAPTER SSOP TO 20DIP 0.3,219,0,"16.11000","0","1","Correct-A-Chip® 351000","Active","SMD to DIP","SSOP","20","0.026"" (0.65mm)","0.062"" (1.57mm) 1/16""","-","2.000"" L x 0.400"" W (50.80mm x 10.16mm)"
http://www.chipquik.com/datasheets/DIP300T600P08.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/DIP300T600P08.jpg,DIP300T600P08-ND,DIP300T600P08,Chip Quik Inc.,DIP-8 (0.3"" BODY) TO DIP-8 (0.6"",130,0,"1.69000","0","1","Proto-Advantage","Active","DIP to DIP","-","8","0.100"" (2.54mm)","0.063"" (1.60mm)","FR4 Epoxy Glass","0.700"" L x 0.400"" W (17.78mm x 10.16mm)"
http://www.chipquik.com/datasheets/DC2917J-10X.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_DC2917J-10X.jpg,DC2917J-10X-ND,DC2917J-10X,Chip Quik Inc.,DISCRETE 2917 TO TH ADAPTER - JU,115,0,"4.90000","0","1","Proto-Advantage","Active","SMD to Plated Through Hole","2917","2","0.244"" (6.20mm)","-","FR4 Epoxy Glass","0.400"" L x 0.400"" W (10.16mm x 10.16mm)"
http://www.ti.com/lit/pdf/slyu010,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_DIP-ADAPTER-EVM.jpg,296-35646-ND,DIP-ADAPTER-EVM,Texas Instruments,MODULE EVAL DIP ADAPTER,58,1908,"10.38000","0","1","-","Active","SMD to Plated Through Hole","MSOP, SC70, SOIC, SOT23, SOT563, TSSOP","8","-","-","-","-"
https://www.arieselec.com/products/data/18011rc-rohs-compliant-soj-to-dip-adapter.pdf,//media.digikey.com/photos/Aries/28-650000-11-RC.jpg,A756-ND,28-650000-11-RC,Aries Electronics,SOCKET ADAPTER SOIC TO 28DIP 0.6,80,0,"37.11000","0","1","Correct-A-Chip® 650000","Active","SMD to DIP","SOIC","28","0.050"" (1.27mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","2.800"" L x 0.700"" W (71.12mm x 17.78mm)"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0290_Web.pdf,//media.digikey.com/Photos/DFRobot/FIT0290.jpg,1738-1002-ND,FIT0290,DFRobot,PROTOTYPING BOARD - SOP8,426,0,"0.57000","0","1","-","Active","SMD to DIP","SOP","8","-","-","-","-"
http://www.chipquik.com/datasheets/LS0003.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_LS0003.jpg,LS0003-ND,LS0003,Chip Quik Inc.,AND GATE TO DIP-6 SMT ADAPTER,251,0,"0.59000","0","1","Proto-Advantage","Active","SMD to DIP","SOT-23","5","0.037"" (0.95mm)","0.062"" (1.57mm) 1/16""","FR4 Epoxy Glass","0.400"" x 0.300"" (10.16mm x 7.62mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/BOB-00716_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_BOB-00716.jpg,1568-1097-ND,BOB-00716,SparkFun Electronics,RJ45 BREAKOUT,914,0,"0.95000","0","1","-","Active","Plated Through Hole to Plated Through Hole","RJ45","8","-","-","-","0.700"" L x 0.800"" W (17.78mm x 20.32mm)"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0291_Web.pdf,//media.digikey.com/Photos/DFRobot/FIT0291.jpg,1738-1003-ND,FIT0291,DFRobot,PROTOTYPING BOARD - SOP16/SOP28/,101,0,"0.98000","0","1","-","Active","SMD to DIP","SOP","8, 16, 28","-","0.060"" (1.52mm)","-","1.52"" L x 0.85"" W (38.5mm x 21.6mm)"
http://www.chipquik.com/datasheets/F127T254P04.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_F127T254P04.jpg,F127T254P04-ND,F127T254P04,Chip Quik Inc.,PITCH CHANGER 1.27 MM TO 2.54 MM,49,0,"1.09000","0","1","Proto-Advantage","Active","Plated Through Hole to Plated Through Hole","-","4","0.050"" (1.27mm)","0.063"" (1.60mm)","FR4 Epoxy Glass","-"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/5109_Web.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_5109.jpg,1927-1062-ND,5109,Kitronik Ltd.,MICRO USB TO 5V BREAKOUT,96,0,"1.24000","0","1","-","Active","-","USB - micro","-","-","-","-","0.866"" L x 0.630"" W (22.00mm x 16.00mm)"
http://www.chipquik.com/datasheets/F127T254P06.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_F127T254P06.jpg,F127T254P06-ND,F127T254P06,Chip Quik Inc.,PITCH CHANGER 1.27 MM TO 2.54 MM,104,0,"1.49000","0","1","Proto-Advantage","Active","Plated Through Hole to Plated Through Hole","-","6","0.050"" (1.27mm)","0.063"" (1.60mm)","FR4 Epoxy Glass","-"
https://github.com/sparkfun/Photo_Interrupter_Breakout/tree/V_2.2,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/BOB-09322.JPG,1568-1379-ND,BOB-09322,SparkFun Electronics,SPARKFUN PHOTO INTERRUPTER BREAK,53,0,"1.50000","0","1","-","Active","Through Hole to SIP","Photo Interrupter","5","-","-","-","0.800"" L x 0.600"" W (20.32mm x 15.24mm)"
