Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Data Rate","Voltage - Supply","Idle Current, Typ @ 25°C","Link Range, Low Power","Orientation","Operating Temperature","Size","Standards","Shutdown"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/CND0215A.pdf,//media.digikey.com/Renders/Panasonic%20Renders/CND-8pin-SMD.jpg,CND0215ATR-ND,CND0215A,Panasonic Electronic Components,IRDA MODULE 115.2KBPS 8 PIN SMD,2500,0,"0.76920","0","2500","Tape & Reel (TR)","-","Obsolete","115.2kbs (SIR)","2.8V ~ 4.5V","200nA","40cm","Top View","-30°C ~ 85°C","7.2mm x 1.6mm x 2.6mm","-","Yes"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/CND0215A.pdf,//media.digikey.com/Renders/Panasonic%20Renders/CND-8pin-SMD.jpg,CND0215ACT-ND,CND0215A,Panasonic Electronic Components,IRDA MODULE 115.2KBPS 8 PIN SMD,2945,0,"1.27000","0","1","Cut Tape (CT)","-","Obsolete","115.2kbs (SIR)","2.8V ~ 4.5V","200nA","40cm","Top View","-30°C ~ 85°C","7.2mm x 1.6mm x 2.6mm","-","Yes"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Semiconductors%20ICs%20PDFs/CND0215A.pdf,//media.digikey.com/Renders/Panasonic%20Renders/CND-8pin-SMD.jpg,CND0215ADKR-ND,CND0215A,Panasonic Electronic Components,IRDA MODULE 115.2KBPS 8 PIN SMD,2945,0,"Digi-Reel","0","1","Digi-Reel®","-","Obsolete","115.2kbs (SIR)","2.8V ~ 4.5V","200nA","40cm","Top View","-30°C ~ 85°C","7.2mm x 1.6mm x 2.6mm","-","Yes"
http://www.vishay.com/docs/84672/tfbs4650.pdf,//media.digikey.com/photos/Vishay%20Photos/TFBS4650-TR3.JPG,751-1063-2-ND,TFBS4650-TR3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT SIDE 7-SMD,0,0,"2.26100","0","2500","Tape & Reel (TR)","-","Active","115.2kbs (SIR)","2.4V ~ 3.6V","75µA","50cm","Side View","-25°C ~ 85°C","6.8mm x 2.8mm x 1.6mm","IrPHY 1.4","-"
http://www.vishay.com/docs/84672/tfbs4650.pdf,//media.digikey.com/photos/Vishay%20Photos/TFBS4650-TR3.JPG,751-1063-1-ND,TFBS4650-TR3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT SIDE 7-SMD,2051,0,"4.64000","0","1","Cut Tape (CT)","-","Active","115.2kbs (SIR)","2.4V ~ 3.6V","-","50cm","Side View","-25°C ~ 85°C","6.8mm x 2.8mm x 1.6mm","IrPHY 1.4","-"
http://www.vishay.com/docs/84672/tfbs4650.pdf,//media.digikey.com/photos/Vishay%20Photos/TFBS4650-TR3.JPG,751-1063-6-ND,TFBS4650-TR3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT SIDE 7-SMD,2051,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","115.2kbs (SIR)","2.4V ~ 3.6V","-","50cm","Side View","-25°C ~ 85°C","6.8mm x 2.8mm x 1.6mm","IrPHY 1.4","-"
http://www.vishay.com/docs/84672/tfbs4650.pdf,-,TFBS4650-TT3TR-ND,TFBS4650-TT3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT SIDE,0,0,"2.26100","0","2500","Tape & Reel (TR)","-","Active","115.2kbps (SIR)","2.4V ~ 3.6V","75µA","50cm","Side View","-25°C ~ 85°C","6.8mm x 2.8mm x 1.6mm","IrPHY 1.4","-"
http://www.vishay.com/docs/84672/tfbs4650.pdf,-,TFBS4650-TT3CT-ND,TFBS4650-TT3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT SIDE,516,0,"4.64000","0","1","Cut Tape (CT)","-","Active","115.2kbps (SIR)","2.4V ~ 3.6V","75µA","50cm","Side View","-25°C ~ 85°C","6.8mm x 2.8mm x 1.6mm","IrPHY 1.4","-"
http://www.vishay.com/docs/84672/tfbs4650.pdf,-,TFBS4650-TT3DKR-ND,TFBS4650-TT3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KBIT SIDE,516,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","115.2kbps (SIR)","2.4V ~ 3.6V","75µA","50cm","Side View","-25°C ~ 85°C","6.8mm x 2.8mm x 1.6mm","IrPHY 1.4","-"
http://www.vishay.com/docs/81965/tfdu4301.pdf,//media.digikey.com/Photos/Vishay%20Semiconductors/TFDU4301-TR3.JPG,TFDU4301-TR3TR-ND,TFDU4301-TR3,Vishay Semiconductor Opto Division,TXRX IRDA 115.2KB 2.5MM 8SMD,0,0,"2.66000","0","2500","Tape & Reel (TR)","-","Active","115.2kbs (SIR)","2.4V ~ 5.5V","100µA","70cm","Side View","-30°C ~ 85°C","8.5mm x 3.1mm x 2.5mm","IrPHY 1.0","Yes"
