Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Oxygen Range","Accuracy","Output","Operating Temperature","Voltage - Supply","Current - Supply"
-,-,ESCOD5VM-ND,ESCOD5VM,Carlo Gavazzi Inc.,SEN CO 500PPM 0-10V OUT W/COMM,0,0,"684.26000","0","1","-","Active","Carbon Monoxide (CO)","-","±3%","0 V ~ 10 V","0°C ~ 50°C (TA)","8V ~ 35V","60mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,//media.digikey.com/photos/Honeywell%20Photos/MF010-0-LC3.JPG,480-2093-ND,MF010-0-LC3,Honeywell Sensing and Productivity Solutions,SENSOR OXYGEN 24V 500MA,1,0,"3220.99000","0","1","MF010","Obsolete","Oxygen","1 mbar ~ 250 mbar","±2%","4mA ~ 20mA","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,MF020-1-LC3-ND,MF020-1-LC3,Honeywell Sensing and Productivity Solutions,MF010 HIGH TEMP OXYGEN SENSOR,1,0,"3698.20000","0","1","MF020","Obsolete","Oxygen","1 mbar ~ 250 mbar","±2%","4mA ~ 20mA","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
-,//media.digikey.com/Photos/Parallax%20Photos/27931.jpg,27931-ND,27931,Parallax Inc.,MOD GAS SENSOR CARBON MONOXIDE,0,0,"Obsolete","0","1","-","Obsolete","Carbon Monoxide (CO)","-","-","Voltage","32 ~ 158°F (0 ~ 70°C)","5V","165mA"
//media.digikey.com/pdf/Data%20Sheets/Thermometrics%20Global%20Business%20PDFs/AD81.pdf,-,AD81-ND,AD81,Amphenol Advanced Sensors,SENSOR GAS FOR CO/NO2 EXHAUST,0,0,"Obsolete","0","1000","-","Obsolete","CO, NO2","-","-","-","-10°C ~ 55°C","5V","-"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/KGZ-10_Series.pdf,//media.digikey.com/photos/Honeywell%20Photos/KGZ-10SP.jpg,480-2089-ND,KGZ10-SP,Honeywell Sensing and Productivity Solutions,SENSOR OXYGEN 4.35V 40UA,0,0,"Obsolete","0","1","-","Obsolete","Oxygen","2 mbar ~ 3 bar","< 5 mbar","45mV, 64mV, 85mV","700°C","4.35V","-"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/KGZ-10_Series.pdf,//media.digikey.com/photos/Honeywell%20Photos/KGZ-10.jpg,480-2090-ND,KGZ10,Honeywell Sensing and Productivity Solutions,SENSOR OXYGEN 4.35V 40UA,0,0,"Obsolete","0","10","-","Obsolete","Oxygen","2 mbar ~ 3 bar","< 5 mbar","45mV, 64mV, 85mV","700°C","4.35V","-"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,-,480-2091-ND,MF010-0-LC1,Honeywell Sensing and Productivity Solutions,SENSOR OXYGEN 24V 500MA,0,0,"Obsolete","0","1","MF010","Obsolete","Oxygen","1 mbar ~ 250 mbar","±2%","0 V ~ 10 V","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/MF010_020_DS.pdf,//media.digikey.com/photos/Honeywell%20Photos/MF010-0-LC2.JPG,480-2092-ND,MF010-0-LC2,Honeywell Sensing and Productivity Solutions,SENSOR OXYGEN 24V 500MA,0,0,"Obsolete","0","1","MF010","Obsolete","Oxygen","1 mbar ~ 1000 mbar","±2%","0 V ~ 10 V","-10°C ~ 50°C","22.8V ~ 25.2V","500mA"
//media.digikey.com/pdf/Data%20Sheets/Parallax%20PDFs/27929.pdf,//media.digikey.com/Photos/Parallax%20Photos/27929.jpg,27929-ND,27929,Parallax Inc.,CARBON DIOXIDE GAS SENSOR MODULE,0,0,"Obsolete","0","1","-","Obsolete","Gas, Carbon Dioxide","-","-","0 V ~ 3.3 V","0°C ~ 70°C","6.5V ~ 15V","160mA"
-,//media.digikey.com/Photos/Parallax%20Photos/27904.jpg,27904-ND,27904,Parallax Inc.,ALCOHOL BENZINE GAS SENSOR,0,0,"Obsolete","0","1","-","Obsolete","Alcohol, Benzine","-","-","0 V ~ 5 V","-10°C ~ 50°C","5V","250mA"
-,//media.digikey.com/Photos/Parallax%20Photos/27932.jpg,27932-ND,27932,Parallax Inc.,PROPANE GAS SENSOR MODULE,0,0,"Obsolete","0","1","-","Obsolete","Propane","-","-","0 V ~ 5 V","0°C ~ 70°C","5V","175mA"
-,//media.digikey.com/Photos/Parallax%20Photos/27930.jpg,27930-ND,27930,Parallax Inc.,METHANE GAS SENSOR MODULE,0,0,"Obsolete","0","1","-","Obsolete","Methane","-","-","0 V ~ 5 V","-10°C ~ 50°C","5V","165mA"
-,//media.digikey.com/Photos/Parallax%20Photos/605-00010.JPG,605-00010-ND,605-00010,Parallax Inc.,CARBON DIOXIDE GAS SENSOR,0,0,"Obsolete","0","1","-","Obsolete","Gas, Carbon Dioxide","-","-","30 mV ~ 50 mV","-20°C ~ 50°C","6.5V ~ 12V","160mA"
