Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Pattern Type","Strain Range","Resistance","Resistance Tolerance","Length - Active","Length - Overall Pattern","Length - Overall","Width - Active","Width - Overall Pattern","Width - Overall","Operating Temperature"
http://www.vishaypg.com/docs/11224/12Sun.pdf,//media.digikey.com/Photos/Micro-Measurements/CEA-13-125UN-350(Package).JPG,1033-1016-ND,MMF003133,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350OHM LINEAR 1=5PC,91,0,"69.84000","0","1","CEA","Active","Linear","±5%","350 Ohms","±0.3%","0.125"" (3.18mm)","0.275"" (6.99mm)","0.38"" (9.7mm)","0.100"" (2.54mm)","0.120"" (3.05mm)","0.19"" (4.8mm)","-100 ~ 350°F (-75 ~ 175°C)"
http://www.vishaypg.com/docs/11298/250un.pdf,//media.digikey.com/Photos/Micro-Measurements/CEA-06-250UN-350(Package).JPG,1033-1009-ND,MMF003204,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350OHM LINEAR 1=5PC,61,0,"86.04000","0","1","CEA","Active","Linear","±5%","350 Ohms","±0.3%","0.250"" (6.35mm)","0.415"" (10.54mm)","0.52"" (13.2mm)","0.120"" (3.05mm)","0.120"" (3.05mm)","0.22"" (5.6mm)","-100 ~ 350°F (-75 ~ 175°C)"
http://www.vishaypg.com/docs/11124/062ur.pdf,//media.digikey.com/Photos/Micro-Measurements/CEA-06-062UR-350(Package).JPG,1033-1000-ND,MMF003074,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350 OHM RECT 1=5PC,5,0,"250.13000","0","1","CEA","Active","Rectangular Rosette","±3%","350 Ohms","±0.4%","0.062"" (1.57mm) per section","0.222"" (5.64mm)","0.32"" (8.1mm)","0.062"" (1.57mm) per section","0.420"" (10.67mm)","0.48"" (12.2mm)","-100 ~ 350°F (-75 ~ 175°C)"
http://www.vishaypg.com/docs/11199/125lt.pdf,//media.digikey.com/Photos/Micro-Measurements/MMF307425.jpg,1033-1041-ND,MMF307425,Micro-Measurements (Division of Vishay Precision Group),C2A-13-125LT-350 STRAIN GAGES (1,10,0,"37.42000","0","1","C2A","Active","Tee Rosette","±3%","350 Ohms","±0.6%","0.125"" (3.18mm)","0.243"" (6.17mm)","0.29"" (7.4mm)","0.150"" (3.81mm)","0.340"" (8.64mm)","0.40"" (10.2mm)","-60 ~ 180°F (-50 ~ 80°C)"
http://www.vishaypg.com/docs/11189/062uw.pdf,//media.digikey.com/Photos/Micro-Measurements/CEA-13-062UW-350(Package).JPG,1033-1014-ND,MMF003101,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350OHM LINEAR 1=5PC,84,0,"94.32000","0","1","CEA","Active","Linear","±3%","350 Ohms","±0.3%","0.062"" (1.57mm)","0.220"" (5.59mm)","0.31"" (7.9mm)","0.120"" (3.05mm)","0.120"" (3.05mm)","0.19"" (4.8mm)","-100 ~ 350°F (-75 ~ 175°C)"
http://www.vishaypg.com/docs/11190/062wt.pdf,//media.digikey.com/Photos/Micro-Measurements/CEA-13-062WT-350(Package).JPG,1033-1015-ND,MMF003114,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350 OHM TEE 1=5PC,9,0,"175.68000","0","1","CEA","Active","Tee Rosette","±3%","350 Ohms","±0.5%","0.062"" (1.57mm) per section","0.235"" (5.97mm)","0.33"" (8.3mm)","0.120"" (3.05mm) per section","0.235"" (5.97mm)","0.33"" (8.3mm)","-100 ~ 150°F (-75 ~ 65°C)"
-,//media.digikey.com/Photos/Micro-Measurements/MMF402184.jpg,1033-1061-ND,MMF402183,Micro-Measurements (Division of Vishay Precision Group),C5K-06-S5145-350-33F,9,0,"23.76000","0","1","C5K","Active","Linear","-","350 Ohms","-","-","-","-","-","-","-","-100 ~ 400°F (-75 ~ 205°C)"
-,//media.digikey.com/Photos/Micro-Measurements/MMF402184.jpg,1033-1062-ND,MMF402184,Micro-Measurements (Division of Vishay Precision Group),C5K-06-S5145-350-39F,24,0,"35.64000","0","1","C5K","Active","Linear","-","350 Ohms","-","-","-","-","-","-","-","-100 ~ 400°F (-75 ~ 205°C)"
-,//media.digikey.com/Photos/Micro-Measurements/MMF402184.jpg,1033-1066-ND,MMF403735,Micro-Measurements (Division of Vishay Precision Group),C5K-13-S5145-350-39F,10,0,"35.64000","0","1","C5K","Active","-","-","-","-","-","-","-","-","-","-","-100 ~ 400°F (-75 ~ 205°C)"
-,//media.digikey.com/Photos/Micro-Measurements/MMF402103.jpg,1033-1063-ND,MMF402103,Micro-Measurements (Division of Vishay Precision Group),C5K-06-S5198-350-33F,25,0,"55.80000","0","1","C5K","Active","Rectangular Rosette","±1.5%","350 Ohms","±0.5%","0.014"" (0.36mm) per section","0.071"" (1.81mm)","0.09"" (2.2mm)","0.012"" (0.30mm) per section","0.143"" (3.63mm)","0.15"" (3.9mm)","-100 ~ 400°F (-75 ~ 205°C)"
-,//media.digikey.com/Photos/Micro-Measurements/MMF402062.jpg,1033-1064-ND,MMF402062,Micro-Measurements (Division of Vishay Precision Group),C5K-06-S5198-350-39F,19,0,"81.00000","0","1","C5K","Active","Rectangular Rosette","±1.5%","350 Ohms","±0.5%","0.014"" (0.36mm) per section","0.071"" (1.81mm)","0.09"" (2.2mm)","0.012"" (0.30mm) per section","0.143"" (3.63mm)","0.15"" (3.9mm)","-100 ~ 400°F (-75 ~ 205°C)"
-,//media.digikey.com/Photos/Micro-Measurements/MMF404066.jpg,1033-1068-ND,MMF404066,Micro-Measurements (Division of Vishay Precision Group),C5K-13-S5198-350-39F,10,0,"81.00000","0","1","C5K","Active","Rectangular Rosette","±1.5%","350 Ohms","±0.5%","0.014"" (0.36mm) per section","0.071"" (1.81mm)","0.09"" (2.2mm)","0.012"" (0.30mm) per section","0.143"" (3.63mm)","0.15"" (3.9mm)","-100 ~ 400°F (-75 ~ 205°C)"
-,//media.digikey.com/Photos/Micro-Measurements/MMF403472.jpg,1033-1052-ND,MMF403472,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 120 OHM LINEAR 10PC,19,0,"126.54000","0","1","C4A","Active","Linear","±3%","120 Ohms","±0.3%","0.126"" (3.20mm)","0.205"" (5.20mm)","0.28"" (7.1mm)","0.100"" (2.54mm)","0.100"" (2.54mm)","0.16"" (4.1mm)","-60 ~ 180°F (-51 ~ 80°C)"
-,-,1033-1050-ND,MMF403343,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350 OHM LINEAR 10PC,25,0,"128.25000","0","1","C4A","Active","Linear","±3%","350 Ohms","±0.3%","0.060"" (1.52mm)","0.144"" (3.66mm)","0.22"" (5.6mm)","0.100"" (2.54mm)","0.100"" (2.54mm)","0.16"" (4.1mm)","-60 ~ 180°F (-51 ~ 80°C)"
-,-,1033-1053-ND,MMF403994,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 120 OHM LINEAR 10PC,25,0,"153.90000","0","1","C4A","Active","Linear","±3%","120 Ohms","±0.3%","0.126"" (3.20mm)","0.205"" (5.20mm)","0.28"" (7.1mm)","0.100"" (2.54mm)","0.100"" (2.54mm)","0.16"" (4.1mm)","-60 ~ 180°F (-51 ~ 80°C)"
-,-,1033-1059-ND,MMF403345,Micro-Measurements (Division of Vishay Precision Group),STRAIN GAUGE 350 OHM LINEAR 10PC,25,0,"162.00000","0","1","C4A","Active","Linear","±3%","350 Ohms","±0.3%","0.235"" (5.97mm)","0.301"" (7.64mm)","0.37"" (9.4mm)","0.100"" (2.54mm)","0.100"" (2.54mm)","0.18"" (4.6mm)","-60 ~ 180°F (-51 ~ 80°C)"
