Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Color","Features","For Use With/Related Products","Material","Shell Size - Insert"
http://www.alphawire.com/~/media/BD8577B37BC8455EBB1C44C298E9BE66.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_904-CN.jpg,904-CNNC032-ND,904-CN NC032,Alpha Wire,M12 DIE CAST 4PORT 1SIG LED,3,0,"134.28000","0","1","904","Active","Actuator Box","-","4 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Zinc Die Cast","M12"
http://www.alphawire.com/~/media/4D1E6B2E31524E02A68815C2E3D0ACDF.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_912-CN.jpg,912-CNNC032-ND,912-CN NC032,Alpha Wire,M12 PLASTIC 6PORT 1SIG LED,3,0,"137.48000","0","1","912","Active","Actuator Box","Orange","6 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Thermoplastic Polyurethane (TPU)","M12"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1695223,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1695223.jpg,277-13695-ND,1695223,Phoenix Contact,SENSOR ACTUATOR BOX 4SLOT 4POS,2,0,"140.34000","0","1","PLUSCON","Active","Actuator Box","Green","4 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polyamide","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1452974,//media.digikey.com/Photos/Phoenix%20Photos/1452974.jpg,277-13236-ND,1452974,Phoenix Contact,SENSOR ACTUATOR BOX,2,0,"140.92000","0","1","*","Active","-","-","-","-","-","-"
http://www.alphawire.com/~/media/79F4D9FA077A44979FC3E029815FF71E.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/905-10M-NC032.jpg,905-10MNC032-ND,905-10M NC032,Alpha Wire,M12 DIE CAST 4PORT 1SIG,3,0,"145.28000","0","1","905","Active","Actuator Box","-","4 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Zinc Die Cast","M12"
http://www.alphawire.com/~/media/A676A109537B4F5783EA8446E03A8EDA.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/803-10M-NC032.jpg,803-10MNC032-ND,803-10M NC032,Alpha Wire,M8 PLASTIC 6PORT 1SIG LED,3,0,"147.60000","0","1","803","Active","Actuator Box","Black","6 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Polybutylene Terephthalate (PBT)","M8"
http://www.alphawire.com/~/media/8F33CBE6F2A44686B96F6EE16D7FFA1C.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_901-CN.jpg,901-CNNC032-ND,901-CN NC032,Alpha Wire,M12 DIE CAST 8PORT 1SIG,3,0,"150.01000","0","1","901","Active","Actuator Box","Beige","8 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Zinc Die Cast","M12"
http://www.alphawire.com/~/media/B64ACA58D18A45BD8071B2E1B37786D0.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/913-10M-NC032.jpg,913-10MNC032-ND,913-10M NC032,Alpha Wire,M12 PLASTIC 6PORT 1SIG,2,0,"152.26000","0","1","913","Active","Actuator Box","Orange","6 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Thermoplastic Polyurethane (TPU)","M12"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=1452660,//media.digikey.com/Photos/Phoenix%20Photos/MFG_1452660.jpg,277-13226-ND,1452660,Phoenix Contact,SENSOR ACTUATOR BOX,2,0,"156.86000","0","1","*","Active","-","-","-","-","-","-"
http://www.alphawire.com/~/media/BD8577B37BC8455EBB1C44C298E9BE66.ashx,//media.digikey.com/Photos/Alpha%20Wire%20Photos/904-10M-NC032.jpg,904-10MNC032-ND,904-10M NC032,Alpha Wire,M12 DIE CAST 4PORT 1SIG LED,3,0,"159.14000","0","1","904","Active","Actuator Box","-","4 Connector Opening, Dust Tight, Waterproof","Circular Connectors","Zinc Die Cast","M12"
