Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Sensing Range","Flow Sensor Type","Voltage - Input","Port Size","Switch Function/Rating","Material - Body","Operating Temperature"
http://sensing.honeywell.com/honeywell-sensing-zephyr-digital-airflow-sensors-haf-series-high-accuracy-10slpm-to-300slpm-product-sheet-008268-4-en2.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFUHH0xxxL4AXT.JPG,480-5797-ND,HAFUHH0300L4AXT,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,22,0,"186.66000","0","1","Zephyr™ HAF","Active","0 ~ 300 SLPM","Air","3V ~ 10V","Male, 0.8661"" (22mm)","-","Polymer, Thermoplastic (GR)","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/honeywell-sensing-zephyr-digital-airflow-sensors-haf-series-high-accuracy-10slpm-to-300slpm-product-sheet-008268-4-en2.pdf,//media.digikey.com/photos/Honeywell%20Photos/Zephyr%20HAF%20SERIES%20Manifold.JPG,480-5784-ND,HAFUHM0010L4AXT,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,10,0,"186.66000","0","1","Zephyr™ HAF","Active","0 ~ 10 SLPM","Air","3V ~ 10V","Manifold, 0.51"" (13mm)","-","Polymer, Thermoplastic (GR)","-20°C ~ 70°C (TA)"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d6f_series.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/D6F-50A5-000.JPG,Z2208-ND,D6F-50A5-000,Omron Electronics Inc-EMC Div,FLOW SENSOR MEMS 50L/MIN,24,0,"216.91000","0","1","D6F","Active","0 ~ 50 LPM","Air","10.8V ~ 26.4V","0.196"" (5mm)","-","Thermoplastic resin / Aluminum alloy","-10°C ~ 60°C (TA)"
https://www.sensirion.com/file/datasheet_asf1400,//media.digikey.com/Photos/Sensirion/MFG_ASF1400.JPG,1649-1045-ND,ASF1400,Sensirion AG,AIRFLOW SENSOR +/-400 SCCM,22,0,"289.60000","0","1","ASF1400","Active","-","Gas","7V ~ 18V","Male, 0.99"" (25.2mm) Tube","-","PBT Plastic","0°C ~ 70°C (TA)"
https://www3.panasonic.biz/ac/e_download/fasys/pressure/pressure/catalog/fm-200_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FM-252-4.jpg,1110-2653-ND,FM-252-4,Panasonic Industrial Automation Sales,DIGITAL FLOW SENSOR 0.5L/MIN NPN,4,0,"555.10000","0","1","FM-200","Active","-","Gas","12V ~ 24V","Female, 0.157"" (4mm)","-","Plastic","0°C ~ 50°C (TA)"
https://www3.panasonic.biz/ac/e_download/fasys/pressure/pressure/catalog/fm-200_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FM-254-8-P.jpg,1110-2658-ND,FM-254-8-P,Panasonic Industrial Automation Sales,DIGITAL FLOW SENSOR 50L/MIN PNP,3,0,"555.10000","0","1","FM-200","Active","50 LPM","Gas","12V ~ 24V","Female, 0.315"" (8mm)","-","Plastic","0°C ~ 50°C (TA)"
https://www3.panasonic.biz/ac/e_download/fasys/pressure/pressure/catalog/fm-200_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FM-214-4.jpg,1110-2649-ND,FM-214-4,Panasonic Industrial Automation Sales,DIGITAL FLOW SENSOR 10L/MIN NPN,2,0,"555.10000","0","1","FM-200","Active","-","Gas","12V ~ 24V","Female, 0.157"" (4mm)","-","Plastic","0°C ~ 50°C (TA)"
https://www3.panasonic.biz/ac/e_download/fasys/pressure/pressure/catalog/fm-200_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FM-215-8.jpg,1110-2650-ND,FM-215-8,Panasonic Industrial Automation Sales,DIGITAL FLOW SENSOR 100L/MIN NPN,11,0,"596.00000","0","1","FM-200","Active","-","Gas","12V ~ 24V","Female, 0.315"" (8mm)","-","Plastic","0°C ~ 50°C (TA)"
https://www3.panasonic.biz/ac/e_download/fasys/pressure/pressure/catalog/fm-200_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FM-216-AR2.jpg,1110-4016-ND,FM-215-8-P,Panasonic Industrial Automation Sales,DIGITAL FLOW SENSOR 100L/MIN PNP,3,0,"596.00000","0","1","FM-200","Active","-","Gas","12V ~ 24V","Female, 0.315"" (8mm)","-","Plastic","0°C ~ 50°C (TA)"
http://sensing.honeywell.com/honeywell-sensing-airflow-sensors-line-guide-008150-7-en2.pdf,//media.digikey.com/Photos/Honeywell%20Photos/AWM5000%20SERIES.JPG,480-6164-ND,AWM5101VA,Honeywell Sensing and Productivity Solutions,SENSOR AIR FLOW AMP 5.0 SLPM,12,0,"175.46000","0","1","AWM5000","Active","0 ~ 5 SLPM","Air","8V ~ 15V","Male, 1/4"", 0.25"" (6.35mm) 18 NPT","-","Silicon","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/index.php/ci_id/50053/la_id/1/document/1/re_id/0,//media.digikey.com/Photos/Honeywell%20Photos/AWM5103XX.jpg,480-4494-ND,AWM5104VA,Honeywell Sensing and Productivity Solutions,SENSOR AIR FLOW AMP 20.0 SLPM,10,0,"175.46000","0","1","AWM5000","Active","0 ~ 20 SLPM","Air","8V ~ 15V","Male, 1/4"" (6.35mm) 18 NPT","-","Silicon","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/honeywell-sensing-zephyr-digital-airflow-sensors-haf-series-high-accuracy-10slpm-to-300slpm-product-sheet-008268-4-en2.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFUHH0200L4AXT.JPG,480-5674-ND,HAFUHH0200L4AXT,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,4,0,"186.64000","0","1","Zephyr™ HAF","Active","200 SLPM","Air","3V ~ 10V","Male, 0.8661"" (22mm)","-","Polymer","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/honeywell-sensing-zephyr-digital-airflow-sensors-haf-series-high-accuracy-10slpm-to-300slpm-product-sheet-008268-4-en2.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFUHH0xxxL4AXT.JPG,480-5785-ND,HAFUHH0010L4AXT,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,25,0,"186.66000","0","1","Zephyr™ HAF","Active","0 ~ 10 SLPM","Air","3V ~ 10V","Male, 0.8661"" (22mm)","-","Polymer, Thermoplastic (GR)","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/honeywell-sensing-zephyr-digital-airflow-sensors-haf-series-high-accuracy-10slpm-to-300slpm-product-sheet-008268-4-en2.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFUHH0xxxL4AXT.JPG,480-5788-ND,HAFUHH0015L4AXT,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,18,0,"186.66000","0","1","Zephyr™ HAF","Active","0 ~ 15 SLPM","Air","3V ~ 10V","Male, 0.8661"" (22mm)","-","Polymer, Thermoplastic (GR)","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/honeywell-sensing-zephyr-digital-airflow-sensors-haf-series-high-accuracy-10slpm-to-300slpm-product-sheet-008268-4-en2.pdf,//media.digikey.com/photos/Honeywell%20Photos/Zephyr%20HAF%20SERIES%20Manifold.JPG,480-5787-ND,HAFUHM0015L4AXT,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,12,0,"186.66000","0","1","Zephyr™ HAF","Active","0 ~ 15 SLPM","Air","3V ~ 10V","Manifold, 0.51"" (13mm)","-","Polymer, Thermoplastic (GR)","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/honeywell-sensing-zephyr-digital-airflow-sensors-haf-series-high-accuracy-10slpm-to-300slpm-product-sheet-008268-4-en2.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFUHH0xxxL4AXT.JPG,480-5794-ND,HAFUHH0100L4AXT,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,4,0,"186.66000","0","1","Zephyr™ HAF","Active","0 ~ 100 SLPM","Air","3V ~ 10V","Male, 0.8661"" (22mm)","-","Polymer, Thermoplastic (GR)","-20°C ~ 70°C (TA)"
https://www3.panasonic.biz/ac/e_download/fasys/pressure/pressure/catalog/fm-200_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FM-213-4-P.jpg,1110-2648-ND,FM-213-4-P,Panasonic Industrial Automation Sales,DIGITAL FLOW SENSOR 1L/MIN PNP,2,0,"555.10000","0","1","FM-200","Active","-","Gas","12V ~ 24V","Female, 0.157"" (4mm)","-","Plastic","0°C ~ 50°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Sensirion%20PDFs/Sensirion_Mass_Flow_Meters_SFM3300_Datasheet.pdf,//media.digikey.com/Photos/Sensirion/MFG_SFM3300-D.jpg,1649-1116-ND,SFM3300-250-D,Sensirion AG,AIR/GAS FLOW SENSOR +/-250 SLM,31,0,"41.80000","0","1","-","Active","±250 SLPM","Gas","4.75 ~ 5.25V","-","I2C","Plastic","10°C ~ 50°C"
https://www.qats.com/DataSheet/Flow-Meter,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATS-FM-M.jpg,ATS2232-ND,ATS-FM-M,Advanced Thermal Solutions Inc.,LCD DISPLAY FLOW TOTALIZER AND F,14,0,"85.74000","0","1","ATS","Active","0.8 ~ 8 LPM","Liquid","-","Male, 1/4"", 0.25"" (6.35mm) NPT","-","Acetal Copolymer","0°C ~ 40°C"
https://www.qats.com/DataSheet/Flow-Meter,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_DigiFlow6710M-34.jpg,ATS2231-ND,ATS-FM-34,Advanced Thermal Solutions Inc.,MICRO FLOW TOTALIZER AND FLOW RA,11,0,"85.74000","0","1","ATS","Active","0.04 ~ 1 LPM","Liquid","-","Male, 1/4"", 0.25"" (6.35mm) NPT","-","Acetal Copolymer","0°C ~ 40°C"
https://www.qats.com/DataSheet/Flow-Meter,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_DigiFlow6710M-22.jpg,ATS2233-ND,ATS-FM-22,Advanced Thermal Solutions Inc.,LCD DISPLAY FLOW TOTALIZER AND F,8,0,"85.74000","0","1","ATS","Active","0.04 ~ 1 LPM","Liquid","-","Male, 3/8"", 0.375"" (9.525mm) BSP","-","Acetal Copolymer","0°C ~ 80°C"
https://www.qats.com/DataSheet/Flow-Meter,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_DigiFlow6710M-44.jpg,ATS2234-ND,ATS-FM-44,Advanced Thermal Solutions Inc.,LCD DISPLAY FLOW TOTALIZER AND F,7,0,"99.27000","0","1","ATS","Active","1.5 ~ 25 LPM","Liquid","-","Male, 1/2"", 0.5"" (12.7mm) BSP","-","Acetal Copolymer","0°C ~ 60°C"
https://www.qats.com/DataSheet/Flow-Meter,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_DigiFlow6710M-66.jpg,ATS2235-ND,ATS-FM-66,Advanced Thermal Solutions Inc.,LCD DISPLAY FLOW TOTALIZER AND F,9,0,"99.46000","0","1","ATS","Active","2 ~ 60 LPM","Liquid","-","Male, 3/4"", 0.75"" (19.05mm) BSP","-","Acetal Copolymer","0°C ~ 80°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=AD101_Air_Bubble_Detector&DocType=DS&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/071-06403.JPG,223-1899-ND,071-06403,TE Connectivity Measurement Specialties,AIR BUBBLE DETECTOR 4MM,5,0,"112.78000","0","1","AD-101","Active","-","Air","5V ~ 24V","-","Logic","Polycarbonate-ABS","0°C ~ 40°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=AD101_Air_Bubble_Detector&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/071-06402.jpg,223-1898-ND,071-06402,TE Connectivity Measurement Specialties,AIR BUBBLE DETECTOR 6MM,1,0,"112.78000","0","1","AD-101","Active","-","Air","5V ~ 24V","-","Logic","Polycarbonate-ABS","0°C ~ 40°C"
https://www.qats.com/DataSheet/Flow-Meter,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_DigiFlow6710M-88.jpg,ATS2236-ND,ATS-FM-88,Advanced Thermal Solutions Inc.,LCD DISPLAY FLOW TOTALIZER AND F,7,0,"125.18000","0","1","ATS","Active","3 ~ 100 LPM","Liquid","-","Male, 1"" (25.4mm) BSP","-","Acetal Copolymer","0°C ~ 80°C"
//media.digikey.com/pdf/Data%20Sheets/Sensirion%20PDFs/Sensirion_Mass_Flow_Meters_SFM3200-AW_Datasheet.pd.pdf,//media.digikey.com/Photos/Sensirion/MFG_SFM3200-AW.jpg,1649-1117-ND,SFM3200-AW,Sensirion AG,AIR/GAS FLOW SENSOR -100 TO +250,24,0,"179.20000","0","1","-","Active","-100 ~ +250 SLPM","Gas","4.75 ~ 5.25V","-","I2C","Plastic","10°C ~ 50°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d6f-_a7d_ab71d.pdf,-,Z11120-ND,D6F-20A7D-000-0,Omron Electronics Inc-EMC Div,SENSOR FLOW 0-20 LPM P10 FAST,10,0,"182.32000","0","1","D6F","Active","0 ~ 20 LPM","Air","3V ~ 3.6V","Female, 0.511"" (13mm)","-","Polyphenylene Sulfide (PPS)","-10°C ~ 60°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d6f-_a7d_ab71d.pdf,-,Z11119-ND,D6F-10A7D-000-0,Omron Electronics Inc-EMC Div,SENSOR FLOW 0-10 LPM P10 FAST,9,0,"182.32000","0","1","D6F","Active","0 ~ 10 LPM","Air","3V ~ 3.6V","Female, 0.511"" (13mm)","-","Polyphenylene Sulfide (PPS)","-10°C ~ 60°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d6f-_a7d_ab71d.pdf,-,Z11121-ND,D6F-50A7D-000-0,Omron Electronics Inc-EMC Div,SENSOR FLOW 0-50 LPM P10 FAST,7,0,"182.32000","0","1","D6F","Active","0 ~ 50 LPM","Air","3V ~ 3.6V","Female, 0.511"" (13mm)","-","Polyphenylene Sulfide (PPS)","-10°C ~ 60°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d6f-_a7d_ab71d.pdf,-,Z11122-ND,D6F-70AB71D-000-0,Omron Electronics Inc-EMC Div,SENSOR FLOW 0-70 LPM P14 FAST,7,0,"182.32000","0","1","D6F","Active","0 ~ 70 LPM","Air","3V ~ 3.6V","Female, 0.708"" (18mm)","-","Polyphenylene Sulfide (PPS)","-10°C ~ 60°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d6f_series.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/D6F-20A6-000.JPG,Z8583-ND,D6F-20A61-000,Omron Electronics Inc-EMC Div,AIRFLOW SENSOR MEMS 20L/MIN,8,0,"216.91000","0","1","D6F","Active","0 ~ 20 LPM","Air","10.8V ~ 26.4V","-","-","Thermoplastic resin","-10°C ~ 60°C (TA)"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d6f_series.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/D6F-20A5-000.JPG,Z2207-ND,D6F-20A5-000,Omron Electronics Inc-EMC Div,FLOW SENSOR MEMS 20L/MIN,2,0,"216.91000","0","1","D6F","Active","0 ~ 20 LPM","Air","10.8V ~ 26.4V","0.196"" (5mm)","-","Thermoplastic resin / Aluminum alloy","-10°C ~ 60°C (TA)"
-,//media.digikey.com/Photos/Omron%20Auto/D6F-02L7-000.jpg,Z8581-ND,D6F-02L7-000,Omron Electronics Inc-EMC Div,SENSOR GAS FLOW TYPE 0-2L/MIN,9,0,"231.19000","0","1","D6F","Active","0 ~ 0.53 GPM (0 ~ 2 LPM)","Air","10.8 ~ 26.4V","-","-","-","-10°C ~ 60°C (TA)"
-,//media.digikey.com/Photos/Omron%20Auto/D6F-02L7-000.jpg,Z8582-ND,D6F-05N7-000,Omron Electronics Inc-EMC Div,SENSOR MICRO-FLOW,4,0,"231.19000","0","1","D6F","Active","0 ~ 1.32 GPM (0 ~ 5 LPM)","Air","10.8 ~ 26.4V","-","-","-","-10°C ~ 60°C (TA)"
https://www3.panasonic.biz/ac/e_download/fasys/pressure/pressure/catalog/fm-200_e_cata.pdf,//media.digikey.com/photos/Panasonic%20Photos/FM-253-4-P.jpg,1110-2656-ND,FM-253-4-P,Panasonic Industrial Automation Sales,DIGITAL FLOW SENSOR 5L/MIN PNP,4,0,"555.10000","0","1","FM-200","Active","-","Gas","12V ~ 24V","Female, 0.157"" (4mm)","-","Plastic","0°C ~ 50°C (TA)"
https://www3.panasonic.biz/ac/e_download/fasys/pressure/pressure/catalog/fm-200_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FM-216-AR2.jpg,1110-4386-ND,FM-255-AR2,Panasonic Industrial Automation Sales,DIGITAL FLOW SENSOR 500L/MIN NPN,2,0,"876.50000","0","1","FM-200","Active","500 LPM","Gas","12V ~ 24V","Female, 1/2"", 0.5"" (12.7mm) NPT","-","Aluminum","0°C ~ 50°C (TA)"
https://www3.panasonic.biz/ac/e_download/fasys/pressure/pressure/catalog/fm-200_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FM-216-AR2.jpg,1110-4385-ND,FM-216-AG2-P,Panasonic Industrial Automation Sales,DIGITL FLOW SENSOR 1000L/MIN PNP,2,0,"905.70000","0","1","FM-200","Active","-","Gas","12V ~ 24V","Female, 1/2"", 0.5"" (12.7mm) NPT","-","Aluminum","0°C ~ 50°C (TA)"
https://www3.panasonic.biz/ac/e_download/fasys/pressure/pressure/catalog/fm-200_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FM-216-AR2.jpg,1110-2651-ND,FM-216-AR2,Panasonic Industrial Automation Sales,DIGITL FLOW SENSOR 1000L/MIN NPN,2,0,"905.70000","0","1","FM-200","Active","-","Gas","12V ~ 24V","Female, 1/2"", 0.5"" (12.7mm) NPT","-","Aluminum","0°C ~ 50°C (TA)"
http://sensing.honeywell.com/index.php?ci_id=44423,//media.digikey.com/Photos/Honeywell%20Photos/HAFBSS0200C4AX5.jpg,HAFBSS0200C4AX5-ND,HAFBSS0200C4AX5,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,8,0,"125.57000","0","1","Zephyr™ HAF","Active","200sccm","Air","4.5V ~ 5.5V","Male, 0.16"" (4.06mm) Tube, Dual","-","Polymer","-20°C ~ 70°C (TA)"
https://www.cynergy3.com/sites/default/files/FSHPLC.pdf,//media.digikey.com/Photos/Cynergy%203/FSHPLC.jpg,725-1252-ND,FSHPLC,Cynergy 3,PADDLE FLOW SWITCH PLC OUT,2,0,"127.94000","0","1","-","Active","0 ~ 20 LPM","Liquid","5V","1.0"" (25.4mm) BSP","SPDT","Polyamide","100°C (TA)"
http://sensing.honeywell.com/index.php/ci_id/50052/la_id/1/document/1/re_id/0,"//media.digikey.com/photos/Honeywell%20Photos/AWM3100V,%20AWM3300V.jpg",480-2693-5-ND,AWM3300V,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW AMP 1000 SCCM,21,0,"131.61000","0","1","AWM3000","Active","1000sccm","Air","8V ~ 15V","Male, 0.2"" (5.08mm)","-","Silicon","-25°C ~ 85°C (TA)"
http://sensing.honeywell.com/honeywell-sensing-zephyr-digital-airflow-sensors-haf-series-high-accuracy-10slpm-to-300slpm-product-sheet-008268-4-en2.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFUHM0200L5AXT.jpg,HAFUHM0200L5AXT-ND,HAFUHM0200L5AXT,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,7,0,"186.64000","0","1","Zephyr™ HAF","Active","200 SLPM","Air","3V ~ 10V","Male, 0.8661"" (22mm)","-","Polymer","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/honeywell-sensing-zephyr-digital-airflow-sensors-haf-series-high-accuracy-10slpm-to-300slpm-product-sheet-008268-4-en2.pdf,//media.digikey.com/photos/Honeywell%20Photos/HAFUHH0020L4AXT.JPG,480-5673-ND,HAFUHH0020L4AXT,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,2,0,"186.64000","0","1","Zephyr™ HAF","Active","20 SLMP","Air","3V ~ 10V","Male, 0.8661"" (22mm)","-","Polymer","-20°C ~ 70°C (TA)"
https://www.cynergy3.com/sites/default/files/product-data-sheets/FS%202011.pdf,//media.digikey.com/photos/Cynergy%203/FS15A.JPG,725-1069-ND,FS15A,Cynergy 3,SWITCH FLOW REED N/O 15MM DIA,4,0,"22.42000","0","1","FS","Active","0.53 GPM Trip, 0.08 GPM Release","Liquid","120VDC, 240VAC","19/32"", 0.59"" (15mm)","N/O","Acetal Resin","-20°C ~ 85°C (TA)"
https://www.sensirion.com/file/datasheet_lg01,//media.digikey.com/Photos/Sensirion/MFG_LG01-2000A0xx.JPG,1649-1051-ND,LG01-2000A005,Sensirion AG,SENSOR LIQUID FLOW 220ML/M,0,0,"163.20000","0","1","-","Active","-","Liquid","5V ~ 12V","Female, 1/4"" (6.35mm) Flat Bottom","Logic","Plastic","10°C ~ 50°C (TA)"
https://www.idt.com/document/dst/fs1012-datasheet,"//media.digikey.com/Photos/IDT,%20Integrated%20Device%20Technology/MFG_FS1012-Series.jpg",800-3791-ND,FS1012-1002-LQ,"IDT, Integrated Device Technology Inc",THERMAL MASS FLOW SENSOR,1,0,"43.49000","0","1","FS1012","Active","0 ~ 1 SLPM","Liquid","3V ~ 5.6V","Male, 0.232"" (5.90mm)","-","Silicon","0°C ~ 85°C"
https://www.idt.com/document/dst/fs2012-datasheet,"//media.digikey.com/Photos/IDT,%20Integrated%20Device%20Technology/MFG_FS2012-Series.jpg",800-3797-ND,FS2012-1020-NG,"IDT, Integrated Device Technology Inc",CALIBRATED MASS FLOW SENSOR,3,0,"94.90000","0","1","FS2012","Active","0 ~ 2 SLPM","Gas","5V","Male, 0.232"" (5.90mm)","-","Silicon","0°C ~ 85°C"
http://sensing.honeywell.com/honeywell-sensing-zephyr-digital-airflow-sensors-haf-series-high-accuracy-10slpm-to-300slpm-product-sheet-008268-4-en2.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFUHT0200L4AXT.JPG,480-5798-ND,HAFUHT0300L4AXT,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,0,0,"186.66000","0","1","Zephyr™ HAF","Active","0 ~ 300 SLPM","Air","3V ~ 10V","Female, 3/8"", 0.375"" (9.525mm)","-","Polymer, Thermoplastic (GR)","-20°C ~ 70°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/114991173_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114991173.jpg,1597-1520-ND,114991173,"Seeed Technology Co., Ltd",WATER FLOW SENSOR YF-B3,16,0,"6.02000","0","1","-","Active","1 ~ 25 LPM","Liquid","5V ~ 15V","-","-","Copper","80°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/114991171_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114991171.jpg,1597-1518-ND,114991171,"Seeed Technology Co., Ltd",WATER FLOW SENSOR YF-B1,15,0,"6.02000","0","1","-","Active","1 ~ 25 LPM","Liquid","5V ~ 15V","-","-","Copper","80°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/114991172_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114991172.jpg,1597-1519-ND,114991172,"Seeed Technology Co., Ltd",WATER FLOW SENSOR YF-B2,10,0,"6.02000","0","1","-","Active","1 ~ 25 LPM","Liquid","5V ~ 15V","-","-","Copper","80°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/114991175_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114991175.jpg,1597-1522-ND,114991175,"Seeed Technology Co., Ltd",WATER FLOW SENSOR YF-B5,23,0,"7.04000","0","1","-","Active","1 ~ 30 LPM","Liquid","5V ~ 15V","-","-","Copper","80°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/114991177_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114991177.jpg,1597-1516-ND,114991177,"Seeed Technology Co., Ltd",WATER FLOW SENSOR YF-B7,21,0,"7.04000","0","1","-","Active","1 ~ 25 LPM","Liquid","5V ~ 15V","-","-","Copper","80°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/114991176_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114991176.jpg,1597-1517-ND,114991176,"Seeed Technology Co., Ltd",WATER FLOW SENSOR YF-B6,5,0,"7.04000","0","1","-","Active","1 ~ 30 LPM","Liquid","5V ~ 15V","-","-","Copper","80°C (TA)"
http://sensing.honeywell.com/index.php/ci_id/50054/la_id/1/document/1/re_id/0,//media.digikey.com/Photos/Honeywell%20Photos/AWM42150VH.JPG,480-3481-ND,AWM42150VH,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW AMP 25 SCCM,1,0,"160.09000","0","1","AWM40000","Active","±25sccm","Air","8V ~ 15V","Female, 0.19"" (4.826mm)","-","Silicon","-40°C ~ 125°C (TA)"
https://www3.panasonic.biz/ac/e_download/fasys/pressure/pressure/catalog/fm-200_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FM-213-4.jpg,1110-2647-ND,FM-213-4,Panasonic Industrial Automation Sales,DIGITAL FLOW SENSOR 1L/MIN NPN,1,2,"555.10000","0","1","FM-200","Active","-","Gas","12V ~ 24V","Female, 0.157"" (4mm)","-","Plastic","0°C ~ 50°C (TA)"
https://www3.panasonic.biz/ac/e_download/fasys/pressure/pressure/catalog/fm-200_e_cata.pdf,//media.digikey.com/Photos/Panasonic%20Photos/FM-216-AR2.jpg,1110-4015-ND,FM-214-4-P,Panasonic Industrial Automation Sales,DIGITAL FLOW SENSOR 10L/MIN NPN,0,4,"555.10000","0","1","FM-200","Active","-","Gas","12V ~ 24V","Female, 0.157"" (4mm)","-","Plastic","0°C ~ 50°C (TA)"
http://sensing.honeywell.com/honeywell-sensing-zephyr-digital-airflow-sensors-haf-series-high-accuracy-10slpm-to-300slpm-product-sheet-008268-4-en2.pdf,//media.digikey.com/photos/Honeywell%20Photos/Zephyr%20HAF%20SERIES%20Manifold.JPG,480-5790-ND,HAFUHM0050L4AXT,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,1,0,"186.66000","0","1","Zephyr™ HAF","Active","0 ~ 50 SLPM","Air","3V ~ 10V","Manifold, 0.51"" (13mm)","-","Polymer, Thermoplastic (GR)","-20°C ~ 70°C (TA)"
https://www.idt.com/document/dst/fs1027-datasheet,-,800-3897-ND,FS1027,"IDT, Integrated Device Technology Inc","LIQUID FLOW SENSOR MODULE, AMPLI",3,0,"46.40000","0","1","-","Active","0 ~ 10 LPM","Liquid","5V ~ 5.5V","Female, 0.5"" (12.7mm)","Logic","Silicon","5°C ~ 75°C (TA)"
