Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Sensing Range","Flow Sensor Type","Voltage - Input","Port Size","Switch Function/Rating","Material - Body","Operating Temperature"
//media.digikey.com/pdf/Data%20Sheets/Audiowell%20PDFs/HS0014-000.pdf,//media.digikey.com/Photos/Audiowell-International-LLC/MFG_HS0014-000.jpg,1922-1002-ND,HS0014-000,Audiowell International LLC,ULTRASONIC FLOW SENSOR,99,0,"52.50000","0","1","-","Active","-","Liquid","5V","-","N/O","Polymer","0°C ~ 50°C (TA)"
https://www.idt.com/document/dst/fs2012-datasheet,"//media.digikey.com/Photos/IDT,%20Integrated%20Device%20Technology/MFG_FS2012-Series.jpg",800-3796-ND,FS2012-1001-LQ,"IDT, Integrated Device Technology Inc",THERMAL MASS FLOW SENSOR,43,0,"94.90000","0","1","FS2012","Active","0 ~ 0.5 SLPM","Liquid","5V","Male, 0.232"" (5.90mm)","-","Silicon","0°C ~ 85°C"
https://www.idt.com/document/dst/fs2012-datasheet,"//media.digikey.com/Photos/IDT,%20Integrated%20Device%20Technology/MFG_FS2012-Series.jpg",800-3793-ND,FS2012-1002-LQ,"IDT, Integrated Device Technology Inc",CALLIBRATED MASS FLOW SENSOR,15,0,"94.90000","0","1","FS2012","Active","0 ~ 1 SLPM","Liquid","5V","Male, 0.232"" (5.90mm)","-","Silicon","0°C ~ 85°C"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d6f_a1.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/D6F-01A1-110.JPG,Z1671-ND,D6F-01A1-110,Omron Electronics Inc-EMC Div,SENSOR AIR FLOW TYPE 0-1LTR PLST,25,0,"131.76000","0","1","D6F","Active","0 ~ 0.264 GPM (0 ~ 1 LPM)","Air","10.8V ~ 26.4V","0.34"" (8.6mm)","-","PPS","-10°C ~ 60°C (TA)"
//media.digikey.com/pdf/Data%20Sheets/Honeywell%20Sensing%20&%20Control%20PDFs/HAF_Series.pdf,//media.digikey.com/photos/Honeywell%20Photos/HAFBLF0200C2AX5.jpg,480-3312-ND,HAFBLF0200C2AX5,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW 200SCCM LONG,8,0,"131.85000","0","1","Zephyr™ HAF","Active","200sccm","Air","4.5V ~ 5.5V","Male, 0.210"" (5.35mm) Tube, Dual","-","Polymer","-20°C ~ 70°C (TA)"
https://www.sensirion.com/fileadmin/user_upload/customers/sensirion/Dokumente/0_Datasheets/Mass_Flow_Meter/Sensirion_Mass_Flow_Meters_SFM3200_Datasheet.pdf,//media.digikey.com/Photos/Sensirion/MFG_SFM3200.jpg,1649-1101-ND,SFM3200-250,Sensirion AG,AIR/GAS FLOW SENSOR +/-250 SLM,10,0,"168.00000","0","1","-","Active","-","Gas","5V","-","I2C","Plastic","10°C ~ 50°C"
http://sensing.honeywell.com/honeywell-sensing-zephyr-digital-airflow-sensors-haf-series-high-accuracy-10slpm-to-300slpm-product-sheet-008268-4-en2.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFUHH0xxxL4AXT.JPG,480-5791-ND,HAFUHH0050L4AXT,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,19,0,"186.66000","0","1","Zephyr™ HAF","Active","0 ~ 50 SLPM","Air","3V ~ 10V","Male, 0.8661"" (22mm)","-","Polymer, Thermoplastic (GR)","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/honeywell-sensing-zephyr-digital-airflow-sensors-haf-series-high-accuracy-10slpm-to-300slpm-product-sheet-008268-4-en2.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFUHT0200L4AXT.JPG,480-5789-ND,HAFUHT0015L4AXT,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,8,0,"186.66000","0","1","Zephyr™ HAF","Active","0 ~ 15 SLPM","Air","3V ~ 10V","Female, 3/8"", 0.375"" (9.525mm)","-","Polymer, Thermoplastic (GR)","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/honeywell-sensing-zephyr-digital-airflow-sensors-haf-series-high-accuracy-10slpm-to-300slpm-product-sheet-008268-4-en2.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFUHT0200L4AXT.JPG,480-5795-ND,HAFUHT0100L4AXT,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,5,0,"186.66000","0","1","Zephyr™ HAF","Active","0 ~ 100 SLPM","Air","3V ~ 10V","Female, 3/8"", 0.375"" (9.525mm)","-","Polymer, Thermoplastic (GR)","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/index.php/ci_id/50061/la_id/1/document/1/re_id/0,//media.digikey.com/Photos/Honeywell%20Photos/AWM730B5.JPG,480-6166-ND,AWM730B5,Honeywell Sensing and Productivity Solutions,PRESSUREAIRFLOWAWM 700 SERIES,19,0,"188.41000","0","1","AWM700","Active","0 ~ 300 SLPM","Air","9V ~ 15V","Male, 0.8661"" (22mm)","-","-","5°C ~ 60°C (TA)"
http://sensing.honeywell.com/index.php/ci_id/50053/la_id/1/document/1/re_id/0,//media.digikey.com/Photos/Honeywell%20Photos/AWM5000%20SERIES.JPG,480-3094-ND,AWM5102VN,Honeywell Sensing and Productivity Solutions,SENSOR AIRFLOW AMP 0-10 SLPM,17,0,"188.41000","0","1","AWM5000","Active","0 ~ 10 SLPM","Air","8V ~ 15V","Male, 1/4"", 0.25"" (6.35mm) NPT","-","Silicon","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/honeywell-sensing-zephyr-digital-airflow-sensors-haf-series-high-accuracy-10slpm-to-300slpm-product-sheet-008268-4-en2.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFUHT0200L4AXT.JPG,480-5672-ND,HAFUHT0200L4AXT,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,7,0,"195.97000","0","1","Zephyr™ HAF","Active","200 SLPM","Air","3V ~ 10V","Female, 3/8"", 0.375"" (9.525mm)","-","Polymer","-20°C ~ 70°C (TA)"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d6f_series.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/D6F-10A5-000.JPG,Z2206-ND,D6F-10A5-000,Omron Electronics Inc-EMC Div,FLOW SENSOR MEMS 10L/MIN,8,0,"216.91000","0","1","D6F","Active","0 ~ 10 LPM","Air","10.8V ~ 26.4V","0.196"" (5mm)","-","Thermoplastic resin / Aluminum alloy","-10°C ~ 60°C (TA)"
https://omronfs.omron.com/en_US/ecb/products/pdf/en-d6f_series.pdf,//media.digikey.com/photos/Omron%20Elect%20Photos/D6F-10A5-000.JPG,Z8281-ND,D6F-10A61-000,Omron Electronics Inc-EMC Div,AIRFLOW SENSOR MEMS 10L/MIN,16,0,"220.66000","0","1","D6F","Active","0 ~ 10 LPM","Air","10.8V ~ 26.4V","-","-","Thermoplastic resin","-10°C ~ 60°C (TA)"
https://www.cynergy3.com/sites/default/files/UF08B%202016.pdf,//media.digikey.com/Photos/Cynergy%203/MFG_UF08B100.JPG,725-1427-ND,UF08B100,Cynergy 3,SENSOR FLOW 0.1-8LPM MALE 3/8"",6,0,"336.35000","0","1","-","Active","±0.1 ~ 8 LPM","Liquid","8V ~ 24V","Male, 3/8"", 0.375"" (9.525mm) NPT","-","Plastic","-"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/114991174_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114991174.jpg,1597-1521-ND,114991174,"Seeed Technology Co., Ltd",WATER FLOW SENSOR YF-B4,26,0,"7.04000","0","1","-","Active","1 ~ 25 LPM","Liquid","5V ~ 15V","-","-","Copper","80°C (TA)"
https://www.sensirion.com/file/datasheet_lg01,//media.digikey.com/Photos/Sensirion/MFG_LG01-2000A0xx.JPG,1649-1052-ND,LG01-2000A090,Sensirion AG,SENSOR LIQUID FLOW 50ML/M,9,0,"163.20000","0","1","-","Active","-","Liquid","5V ~ 12V","Female, 1/4"" (6.35mm) Flat Bottom","Logic","Plastic","10°C ~ 50°C (TA)"
http://sensing.honeywell.com/honeywell-sensing-airflow-sensors-line-guide-008150-7-en2.pdf,//media.digikey.com/Photos/Honeywell%20Photos/AWM5000%20SERIES.JPG,480-6165-ND,AWM5104VC,Honeywell Sensing and Productivity Solutions,SENSOR AIR FLOW AMP 20.0 SLPM,12,0,"175.46000","0","1","AWM5000","Active","0 ~ 20 SLPM","Air","8V ~ 15V","Male, 1/4"" (6.35mm) 18 NPT","-","Silicon","-20°C ~ 70°C (TA)"
http://sensing.honeywell.com/honeywell-sensing-zephyr-digital-airflow-sensors-haf-series-high-accuracy-10slpm-to-300slpm-product-sheet-008268-4-en2.pdf,//media.digikey.com/Photos/Honeywell%20Photos/HAFUHM0200L4AXT.JPG,480-5670-ND,HAFUHM0200L4AXT,Honeywell Sensing and Productivity Solutions,HONEYWELL ZEPHYR AIRFLOW SENSOR,6,0,"186.64000","0","1","Zephyr™ HAF","Active","200 SLPM","Air","3V ~ 10V","Male, 0.8661"" (22mm)","-","Polymer","-20°C ~ 70°C (TA)"
