Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency Range","Frequency - Center","Voltage - Supply","Tuning Voltage (VDC)","2nd Harmonic, Typ (dBc)","Icc Max","Pushing (MHz/V)","Power (dBm)","Phase Noise Typ (dBc/Hz)","Operating Temperature","Package / Case","Size / Dimension","Height"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0393-0428.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0393-0428-ND,CRBV55CL-0393-0428,Crystek Corporation,VCO 410.5MHZ 0.5-4.5V,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","393 ~ 428MHz","410.5MHz","5V","0.5V ~ 4.5V","-12","8mA","0.5","3 ±3","-112","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0403-0421.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0403-0421-ND,CRBV55CL-0403-0421,Crystek Corporation,VCO 412MHZ 1.5-3.5V 31.75X14.99,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","403 ~ 421MHz","412MHz","5V","1.5V ~ 3.5V","-15","25mA","0.5","0 ±4","-110","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0412-0423.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0412-0423-ND,CRBV55CL-0412-0423,Crystek Corporation,VCO 417.5MHZ 1.5-3.5V,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","412 ~ 423MHz","417.5MHz","5V","1.5V ~ 3.5V","-12","15mA","0.5","3 ±3","-109","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0418-0436.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0418-0436-ND,CRBV55CL-0418-0436,Crystek Corporation,VCO 427MHZ 1.5-3.5V 31.75X14.99,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","418 ~ 436MHz","427MHz","5V","1.5V ~ 3.5V","-15","25mA","0.5","0 ±4","-108","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0434-0452.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0434-0452-ND,CRBV55CL-0434-0452,Crystek Corporation,VCO 443MHZ 1.5-3.5V 31.75X14.99,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","434 ~ 452MHz","443MHz","5V","1.5V ~ 3.5V","-15","25mA","0.5","0 ±4","-110","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0450-0470.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0450-0470-ND,CRBV55CL-0450-0470,Crystek Corporation,VCO 460MHZ 1.5-3.5V 31.75X14.99,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","450 ~ 470MHz","460MHz","5V","1.5V ~ 3.5V","-15","25mA","0.5","0 ±4","-110","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0457-0468.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0457-0468-ND,CRBV55CL-0457-0468,Crystek Corporation,VCO 462.5MHZ 1.5-3.5V,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","457 ~ 468MHz","462.5MHz","5V","1.5V ~ 3.5V","-12","15mA","0.5","3 ±3","-138","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0467-0493.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0467-0493-ND,CRBV55CL-0467-0493,Crystek Corporation,VCO 480MHZ 0.5-4.5V 31.75X14.99,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","467 ~ 493MHz","480MHz","5V","0.5V ~ 4.5V","-12","15mA","0.5","3 ±3","-110","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0490-0540.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0490-0540-ND,CRBV55CL-0490-0540,Crystek Corporation,VCO 515MHZ 0.5-4.5V 31.75X14.99,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","490 ~ 540MHz","515MHz","5V","0.5V ~ 4.5V","-12","25mA","0.5","3 ±3","-108","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
http://www.crystek.com/microwave/spec-sheets/redbox/CRBV55CL-0550-0700.pdf,//media.digikey.com/photos/Crystek%20Photos/Crystek%20-%20Redbox.jpg,CRBV55CL-0550-0700-ND,CRBV55CL-0550-0700,Crystek Corporation,VCO 625MHZ 0.5-10.5V 31.75X14.99,0,0,"84.00000","0","1","Tray","CRBV55, RedBox","Active","550 ~ 700MHz","625MHz","5V","0.5V ~ 10.5V","-12","25mA","1","6.5 ±1.5","-100","-40°C ~ 85°C","Module Adapter, SMA  F (3)","1.250"" L x 0.590"" W (31.75mm x 14.99mm)","1.250"" (31.75mm)"
