Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Technology","Type","Frequency Range","Frequency - Self Resonant","Impedance","Efficiency - dBA","Efficiency - Testing","Efficiency - Type","Power - Rated","Power - Max","Port Location","Shape","Material - Cone","Material - Magnet","Ingress Protection","Ratings","Termination","Size / Dimension","Height - Seated (Max)"
https://www.cui.com/product/resource/digikeypdf/gf0668.pdf,//media.digikey.com/photos/CUI%20Photos/GF0668.jpg,GF0668-ND,GF0668,CUI Inc.,SPEAKER 8OHM 3W TOP PORT 90DB,26869,0,"4.15000","0","1","Bulk","GF","Active","Magnetic","General Purpose","240Hz ~ 20kHz","300Hz","8 Ohms","90.00","1W/500mm","Sound Pressure Level (SPL)","3W","5W","Top","Round, Square Frame","Paper","Ferrite","-","-","Solder Eyelet(s)","2.598"" L x 2.598"" W (66.00mm x 66.00mm)","1.142"" (29.00mm)"
http://www.puiaudio.com/pdf/AS05008PR-WR-R.pdf,//media.digikey.com/Photos/PUI%20Audio/AS05008PR-WR-R.jpg,668-1119-ND,AS05008PR-WR-R,"PUI Audio, Inc.",SPEAKER 8OHM 1W TOP PORT 84DB,1150,0,"4.17000","0","1","Tray","AS","Active","Magnetic","General Purpose","550Hz ~ 5kHz","550Hz","8 Ohms","84.00","1W/1M","Sound Pressure Level (SPL)","1W","1.5W","Top","Round","Paper, Coated","Nd-Fe-B","Water Resistant","-","Solder Eyelet(s)","1.969"" Dia (50.00mm)","0.472"" (12.00mm)"
http://www.puiaudio.com/pdf/AS07008PO-2-R.pdf,//media.digikey.com/photos/Projects%20Unlimited%20Photos/AS07008PO-2-R.JPG,668-1191-ND,AS07008PO-2-R,"PUI Audio, Inc.",SPEAKER 8OHM 2W TOP PORT 86DB,5771,0,"4.23000","0","1","Bulk","AS","Active","Magnetic","General Purpose","450Hz ~ 20kHz","450Hz","8 Ohms","85.00","1W/500mm","Sound Pressure Level (SPL)","2W","5W","Top","Oval, Rectangular Frame","Paper","Nd-Fe-B","-","-","Solder Eyelet(s)","2.756"" L x 1.201"" W (70.00mm x 30.50mm)","0.925"" (23.50mm)"
http://www.puiaudio.com/pdf/AS07104PO-R.pdf,//media.digikey.com/Photos/PUI%20Audio/AS07104PO-R.JPG,668-1216-ND,AS07104PO-R,"PUI Audio, Inc.",SPEAKER 4OHM 3W TOP PORT 86DB,2331,0,"4.23000","0","1","Tray","AS","Active","Magnetic","General Purpose","100Hz ~ 20kHz","250Hz","4 Ohms","86.00","1W/500mm","Sound Pressure Level (SPL)","3W","5W","Top","Oval, Rectangular Frame","Paper","Nd-Fe-B","-","-","Solder Eyelet(s)","2.795"" L x 1.614"" W (71.00mm x 41.00mm)","0.984"" (25.00mm)"
http://www.puiaudio.com/pdf/SMS-1308MS-2-R.pdf,//media.digikey.com/Photos/PUI%20Audio/SMS-1308MS-2-R.jpg,668-1259-2-ND,SMS-1308MS-2-R,"PUI Audio, Inc.",SPEAKER 8OHM 700MW TOP PORT 88DB,8400,0,"4.25100","0","600","Tape & Reel (TR)","SMS","Active","Magnetic","General Purpose","1.1kHz ~ 20kHz","1100Hz","8 Ohms","88.00","700mW/100mm","Sound Pressure Level (SPL)","700mW","1W","Top","Square","Polyimide (PI)","SmCo","-","-","Solder Pads","0.512"" L x 0.512"" W (13.00mm x 13.00mm)","0.157"" (4.00mm)"
http://www.puiaudio.com/pdf/SMS-1308MS-2-R.pdf,//media.digikey.com/Photos/PUI%20Audio/SMS-1308MS-2-R.jpg,668-1259-1-ND,SMS-1308MS-2-R,"PUI Audio, Inc.",SPEAKER 8OHM 700MW TOP PORT 88DB,8815,0,"7.61000","0","1","Cut Tape (CT)","SMS","Active","Magnetic","General Purpose","1.1kHz ~ 20kHz","1100Hz","8 Ohms","88.00","700mW/100mm","Sound Pressure Level (SPL)","700mW","1W","Top","Square","Polyimide (PI)","SmCo","-","-","Solder Pads","0.512"" L x 0.512"" W (13.00mm x 13.00mm)","0.157"" (4.00mm)"
http://www.puiaudio.com/pdf/SMS-1308MS-2-R.pdf,//media.digikey.com/Photos/PUI%20Audio/SMS-1308MS-2-R.jpg,668-1259-6-ND,SMS-1308MS-2-R,"PUI Audio, Inc.",SPEAKER 8OHM 700MW TOP PORT 88DB,8815,0,"Digi-Reel","0","1","Digi-Reel®","SMS","Active","Magnetic","General Purpose","1.1kHz ~ 20kHz","1100Hz","8 Ohms","88.00","700mW/100mm","Sound Pressure Level (SPL)","700mW","1W","Top","Square","Polyimide (PI)","SmCo","-","-","Solder Pads","0.512"" L x 0.512"" W (13.00mm x 13.00mm)","0.157"" (4.00mm)"
http://www.puiaudio.com/pdf/SMS-1508MS-2-R.pdf,//media.digikey.com/Photos/PUI%20Audio/SMS-1508MS-2-R.jpg,668-1260-2-ND,SMS-1508MS-2-R,"PUI Audio, Inc.",SPEAKER 8OHM 500MW TOP PORT 87DB,7800,0,"4.25100","0","600","Tape & Reel (TR)","SMS","Active","Magnetic","General Purpose","500Hz ~ 10kHz","800Hz","8 Ohms","87.00","500mW/100mm","Sound Pressure Level (SPL)","500mW","800mW","Top","Square","Polyimide (PI)","SmCo","-","-","Solder Pads","0.591"" L x 0.591"" W (15.00mm x 15.00mm)","0.157"" (4.00mm)"
http://www.puiaudio.com/pdf/SMS-1508MS-2-R.pdf,//media.digikey.com/Photos/PUI%20Audio/SMS-1508MS-2-R.jpg,668-1260-1-ND,SMS-1508MS-2-R,"PUI Audio, Inc.",SPEAKER 8OHM 500MW TOP PORT 87DB,8399,0,"7.61000","0","1","Cut Tape (CT)","SMS","Active","Magnetic","General Purpose","500Hz ~ 10kHz","800Hz","8 Ohms","87.00","500mW/100mm","Sound Pressure Level (SPL)","500mW","800mW","Top","Square","Polyimide (PI)","SmCo","-","-","Solder Pads","0.591"" L x 0.591"" W (15.00mm x 15.00mm)","0.157"" (4.00mm)"
http://www.puiaudio.com/pdf/SMS-1508MS-2-R.pdf,//media.digikey.com/Photos/PUI%20Audio/SMS-1508MS-2-R.jpg,668-1260-6-ND,SMS-1508MS-2-R,"PUI Audio, Inc.",SPEAKER 8OHM 500MW TOP PORT 87DB,8399,0,"Digi-Reel","0","1","Digi-Reel®","SMS","Active","Magnetic","General Purpose","500Hz ~ 10kHz","800Hz","8 Ohms","87.00","500mW/100mm","Sound Pressure Level (SPL)","500mW","800mW","Top","Square","Polyimide (PI)","SmCo","-","-","Solder Pads","0.591"" L x 0.591"" W (15.00mm x 15.00mm)","0.157"" (4.00mm)"
