Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Frequency","Voltage - Input (Max)","Type","Impedance","Capacitance @ Frequency","Operating Temperature","Size / Dimension","Termination"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P12060-1.pdf,-,2104-P12060-1-ND,P12060-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.45040","0","2000","-","Active","6kHz","30V p-p","Standard","-","13000pF @ 1kHz","-20°C ~ 60°C","0.472"" Dia (12.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P12065-1.pdf,-,2104-P12065-1-ND,P12065-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.45040","0","2000","-","Active","6.5kHz","30V p-p","Standard","-","13000pF @ 1kHz","-20°C ~ 60°C","0.472"" Dia (12.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P14051-1.pdf,-,2104-P14051-1-ND,P14051-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.45040","0","2000","-","Active","5.1kHz","30V p-p","Standard","-","10000pF @ 1kHz","-20°C ~ 60°C","0.563"" Dia (14.30mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P18040-1.pdf,-,2104-P18040-1-ND,P18040-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.45040","0","2000","-","Active","4kHz","30V p-p","Standard","-","13000pF @ 1kHz","-20°C ~ 60°C","0.709"" Dia (18.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P20036-1.pdf,-,2104-P20036-1-ND,P20036-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.45040","0","2200","-","Active","3.6kHz","30V p-p","Standard","-","26000pF @ 1kHz","-20°C ~ 60°C","0.787"" Dia (20.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P10045-1.pdf,-,2104-P10045-1-ND,P10045-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.48010","0","1500","-","Active","4.5kHz","30V p-p","Standard","-","15000pF @ 1kHz","-20°C ~ 80°C","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P27025-1.pdf,-,2104-P27025-1-ND,P27025-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.48010","0","1500","-","Active","2.5kHz","20V p-p","Standard","-","45000pF @ 1kHz","-20°C ~ 60°C","1.063"" Dia (27.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P27035-1.pdf,-,2104-P27035-1-ND,P27035-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.48010","0","1500","-","Active","3.5kHz","20V p-p","Standard","-","12000pF @ 1kHz","-20°C ~ 60°C","1.063"" Dia (27.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P27042-1.pdf,-,2104-P27042-1-ND,P27042-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.48010","0","1500","-","Active","4.2kHz","30V p-p","Feedback","-","18000pF @ 1kHz","-20°C ~ 60°C","1.063"" Dia (27.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P27040-1.pdf,-,2104-P27040-1-ND,P27040-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.54868","0","1300","-","Active","4kHz","20V p-p","Standard","-","20000pF @ 1kHz","-20°C ~ 60°C","1.063"" Dia (27.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P31480-1.pdf,-,2104-P31480-1-ND,P31480-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.54868","0","1300","-","Active","3.7kHz","30V p-p","Standard","-","-","-20°C ~ 60°C","1.220"" Dia (31.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P10080-1.pdf,-,2104-P10080-1-ND,P10080-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.54869","0","1250","-","Active","8kHz","30V p-p","Standard","-","14000pF @ 1kHz","-20°C ~ 60°C","0.413"" Dia (10.50mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P15043-1.pdf,-,2104-P15043-1-ND,P15043-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.54869","0","1400","-","Active","4.3kHz","30V p-p","Standard","-","25000pF @ 1kHz","-20°C ~ 60°C","0.591"" Dia (15.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P12051-1.pdf,-,2104-P12051-1-ND,P12051-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.59696","0","1250","-","Active","5.1kHz","30V p-p","Feedback","-","12000pF @ 1kHz","-20°C ~ 60°C","0.472"" Dia (12.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P15025-1.pdf,-,2104-P15025-1-ND,P15025-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.59696","0","1250","-","Active","2.5kHz","30V p-p","Standard","-","30000pF @ 1kHz","-20°C ~ 60°C","0.591"" Dia (15.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P41015-1.pdf,-,2104-P41015-1-ND,P41015-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.67655","0","1000","-","Active","1.5kHz","30V p-p","Standard","-","40000pF @ 1kHz","-20°C ~ 60°C","1.614"" Dia (41.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P12165-1.pdf,-,2104-P12165-1-ND,P12165-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.71635","0","1000","-","Active","16.5kHz","30V p-p","Standard","-","6000pF @ 1kHz","-20°C ~ 70°C","0.472"" Dia (12.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P35026-1.pdf,-,2104-P35026-1-ND,P35026-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.71635","0","1000","-","Active","2.6kHz","30V p-p","Feedback","-","-","-20°C ~ 60°C","1.378"" Dia (35.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P34026-1.pdf,-,2104-P34026-1-ND,P34026-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.72961","0","1000","-","Active","2.9kHz","30V p-p","Feedback","-","40000pF @ 1kHz","-20°C ~ 60°C","1.339"" Dia (34.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P41010-1.pdf,-,2104-P41010-1-ND,P41010-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.82993","0","900","-","Active","1kHz","30V p-p","Standard","-","65000pF @ 1kHz","-20°C ~ 60°C","1.614"" Dia (41.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P15105-1.pdf,-,2104-P15105-1-ND,P15105-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.89910","0","800","-","Active","10.5kHz","30V p-p","Standard","-","8500pF @ 1kHz","-20°C ~ 70°C","0.591"" Dia (15.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P35029-1.pdf,-,2104-P35029-1-ND,P35029-1,DB Unlimited,PIEZO ELEMENT,0,0,"0.89910","0","800","-","Active","2.9kHz","30V p-p","Standard","-","30000pF @ 1kHz","-20°C ~ 60°C","1.378"" Dia (35.00mm)","None"
http://www.puiaudio.com/pdf/AB3432F.pdf,//media.digikey.com/photos/Projects%20Unlimited%20Photos/AB3432F.jpg,668-1014-ND,AB3432F,"PUI Audio, Inc.",BUZZER ELEMENT PIEZO 3.2KHZ 34MM,0,0,"0.98210","0","100","-","Active","3.2kHz","30V p-p","Standard","150 Ohms","30000pF @ 1kHz","-20°C ~ 60°C","1.362"" Dia (34.60mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P20039-1.pdf,-,2104-P20039-1-ND,P20039-1,DB Unlimited,PIEZO ELEMENT,0,0,"1.02145","0","800","-","Active","3.9kHz","30V p-p","Feedback","-","25000pF @ 1kHz","-20°C ~ 60°C","0.787"" Dia (20.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P27030-1.pdf,-,2104-P27030-1-ND,P27030-1,DB Unlimited,PIEZO ELEMENT,0,0,"1.02146","0","700","-","Active","3kHz","30V p-p","Feedback","-","30000pF @ 1kHz","-20°C ~ 60°C","1.063"" Dia (27.00mm)","None"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/sound/p37e.ashx?la=en-us,//media.digikey.com/Photos/Murata%20Photos/MFG_7BB-41-2C.JPG,7BB-41-2C-ND,7BB-41-2C,Murata Electronics North America,AUDIO INDICATOR,0,0,"1.08335","0","400","7BB","Active","2.2kHz","-","Feedback","250 Ohms","24000pF @ 1kHz","-","1.614"" Dia (41.00mm)","Wire Leads"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P50010-1.pdf,-,2104-P50010-1-ND,P50010-1,DB Unlimited,PIEZO ELEMENT,0,0,"1.15765","0","600","-","Active","1kHz","30V p-p","Standard","-","50000pF @ 1kHz","-20°C ~ 60°C","1.969"" Dia (50.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P31029-1.pdf,-,2104-P31029-1-ND,P31029-1,DB Unlimited,PIEZO ELEMENT,0,0,"1.20157","0","600","-","Active","2.9kHz","30V p-p","Standard","-","23000pF @ 1kHz","-20°C ~ 70°C","1.220"" Dia (31.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P35028-1.pdf,-,2104-P35028-1-ND,P35028-1,DB Unlimited,PIEZO ELEMENT,0,0,"1.26832","0","600","-","Active","2.8kHz","30V p-p","Standard","-","40000pF @ 1kHz","-20°C ~ 60°C","1.378"" Dia (35.00mm)","None"
//media.digikey.com/pdf/Data%20Sheets/Projects%20Unlimited%20PDFs/AB2720B-LWC30-R_Dwg.pdf,//media.digikey.com/Photos/PUI%20Audio/AB2720B-LWC30-R.JPG,668-1481-ND,AB2720B-LWC30-R,"PUI Audio, Inc.",BUZZER ELEMENT 2KHZ 27MM,0,0,"1.30000","0","5000","AB","Active","2kHz","30V p-p","Standard","300 Ohms","45000pF @ 1kHz","-20°C ~ 60°C","1.063"" Dia (27.00mm)","Wire Leads"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P20071-1.pdf,-,2104-P20071-1-ND,P20071-1,DB Unlimited,PIEZO ELEMENT,0,0,"1.57726","0","500","-","Active","7.1kHz","30V p-p","Standard","-","13000pF @ 1kHz","-20°C ~ 60°C","0.787"" Dia (20.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P27033-1.pdf,-,2104-P27033-1-ND,P27033-1,DB Unlimited,PIEZO ELEMENT,0,0,"1.93308","0","400","-","Active","3.3kHz","30V p-p","Standard","-","-","-20°C ~ 60°C","1.063"" Dia (27.00mm)","None"
http://dbunlimitedco.com/images/product_images/2D-Drawings/P50011-1.pdf,-,2104-P50011-1-ND,P50011-1,DB Unlimited,PIEZO ELEMENT,0,0,"2.15480","0","400","-","Active","1.1kHz","30V p-p","Standard","-","-","-20°C ~ 60°C","1.969"" Dia (50.00mm)","None"
