Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Driver Circuitry","Input Type","Voltage - Rated","Voltage Range","Frequency","Technology","Operating Mode","Duration","Sound Pressure Level (SPL)","Current - Supply","Port Location","Operating Temperature","Approvals","Ratings","Ingress Protection","Mounting Type","Termination","Size / Dimension","Height - Seated (Max)"
https://www.cui.com/product/resource/digikeypdf/ct-1205-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/CT-1205.jpg,102-1199-1-ND,CT-1205-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 3-8V SMD,58542,0,"1.93000","0","1","Cut Tape (CT)","CT","Active","Transducer, Externally Driven","Zero-Peak Signal","5V","3 ~ 8V","2.4kHz","Magnetic","Single Tone","-","87dB @ 5V, 10cm","40mA","Top","-30°C ~ 85°C","-","Washable","-","Surface Mount","Solder Pads","0.504"" L x 0.504"" W (12.80mm x 12.80mm)","0.299"" (7.60mm)"
https://www.cui.com/product/resource/digikeypdf/ct-1205-smt.pdf,//media.digikey.com/Photos/CUI%20Photos/CT-1205.jpg,102-1199-6-ND,CT-1205-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 3-8V SMD,58542,0,"Digi-Reel","0","1","Digi-Reel®","CT","Active","Transducer, Externally Driven","Zero-Peak Signal","5V","3 ~ 8V","2.4kHz","Magnetic","Single Tone","-","87dB @ 5V, 10cm","40mA","Top","-30°C ~ 85°C","-","Washable","-","Surface Mount","Solder Pads","0.504"" L x 0.504"" W (12.80mm x 12.80mm)","0.299"" (7.60mm)"
https://www.cui.com/product/resource/digikeypdf/cpe-827.pdf,//media.digikey.com/photos/CUI%20Photos/MFG_CPE-827.jpg,102-1620-ND,CPE-827,CUI Inc.,AUDIO PIEZO TRANSDUCER 50V CHAS,14195,0,"1.26000","0","1","Bulk","CPE","Active","Transducer, Externally Driven","Peak-Peak Signal","10V","50V (Max)","-","Piezo","Single Tone","-","97dB @ 10V, 10cm","11mA","Top","-30°C ~ 85°C","-","-","-","Panel Mount, Flange","Wire Leads","1.181"" Dia (30.00mm)","0.220"" (5.60mm)"
https://www.cui.com/product/resource/digikeypdf/css-73b16k-smt.pdf,//media.digikey.com/photos/CUI%20Photos/CSS-73B16K.jpg,102-1197-2-ND,CSS-73B16K-SMT,CUI Inc.,AUDIO MAGNETIC XDCR 2.5-4.5V SMD,29000,0,"1.29350","0","1000","Tape & Reel (TR)","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","2.5 ~ 4.5V","2.73kHz","Magnetic","Single Tone","-","87dB @ 3.6V, 10cm","100mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.169"" (4.30mm)"
https://www.cui.com/product/resource/digikeypdf/css-73b16k-smt.pdf,//media.digikey.com/photos/CUI%20Photos/CSS-73B16K.jpg,102-1197-1-ND,CSS-73B16K-SMT,CUI Inc.,AUDIO MAGNETIC XDCR 2.5-4.5V SMD,29606,0,"2.49000","0","1","Cut Tape (CT)","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","2.5 ~ 4.5V","2.73kHz","Magnetic","Single Tone","-","87dB @ 3.6V, 10cm","100mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.169"" (4.30mm)"
https://www.cui.com/product/resource/digikeypdf/css-73b16k-smt.pdf,//media.digikey.com/photos/CUI%20Photos/CSS-73B16K.jpg,102-1197-6-ND,CSS-73B16K-SMT,CUI Inc.,AUDIO MAGNETIC XDCR 2.5-4.5V SMD,29606,0,"Digi-Reel","0","1","Digi-Reel®","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","2.5 ~ 4.5V","2.73kHz","Magnetic","Single Tone","-","87dB @ 3.6V, 10cm","100mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.169"" (4.30mm)"
https://www.mspindy.com/specifications/AST7525MATRQ.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/AST7525MATRQ.jpg,458-1100-2-ND,AST7525MATRQ,Mallory Sonalert Products Inc.,AUDIO MAGNETIC XDCR 2.5-4.5V SMD,18000,0,"1.32171","0","1000","Tape & Reel (TR)","AST","Active","Transducer, Externally Driven","Peak-Peak Signal","3.6V","2.5 ~ 4.5V","2.7kHz","Magnetic","Single Tone","-","85dB @ 3.6V, 10cm","100mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.295"" L x 0.295"" W (7.50mm x 7.50mm)","0.098"" (2.50mm)"
https://www.mspindy.com/specifications/AST7525MATRQ.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/AST7525MATRQ.jpg,458-1100-1-ND,AST7525MATRQ,Mallory Sonalert Products Inc.,AUDIO MAGNETIC XDCR 2.5-4.5V SMD,18951,0,"2.55000","0","1","Cut Tape (CT)","AST","Active","Transducer, Externally Driven","Peak-Peak Signal","3.6V","2.5 ~ 4.5V","2.7kHz","Magnetic","Single Tone","-","85dB @ 3.6V, 10cm","100mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.295"" L x 0.295"" W (7.50mm x 7.50mm)","0.098"" (2.50mm)"
https://www.mspindy.com/specifications/AST7525MATRQ.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/AST7525MATRQ.jpg,458-1100-6-ND,AST7525MATRQ,Mallory Sonalert Products Inc.,AUDIO MAGNETIC XDCR 2.5-4.5V SMD,18951,0,"Digi-Reel","0","1","Digi-Reel®","AST","Active","Transducer, Externally Driven","Peak-Peak Signal","3.6V","2.5 ~ 4.5V","2.7kHz","Magnetic","Single Tone","-","85dB @ 3.6V, 10cm","100mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.295"" L x 0.295"" W (7.50mm x 7.50mm)","0.098"" (2.50mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/sound/p37e.ashx?la=en-us,//media.digikey.com/photos/Murata%20Photos/PKLCS1212E20A0-R1.JPG,490-5957-2-ND,PKLCS1212E2400-R1,Murata Electronics North America,AUDIO PIEZO TRANSDUCER 12.5V SMD,3000,0,"1.32342","0","1000","Tape & Reel (TR)","PK","Active","Transducer, Externally Driven","Zero-Peak Signal","1.5V","12.5V (Max)","2.4kHz","Piezo","Single Tone","-","75dB @ 1.5V, 10cm","-","Side","-20°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.472"" L x 0.472"" W (12.00mm x 12.00mm)","0.126"" (3.20mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/sound/p37e.ashx?la=en-us,//media.digikey.com/photos/Murata%20Photos/PKLCS1212E20A0-R1.JPG,490-5957-1-ND,PKLCS1212E2400-R1,Murata Electronics North America,AUDIO PIEZO TRANSDUCER 12.5V SMD,3993,0,"2.91000","0","1","Cut Tape (CT)","PK","Active","Transducer, Externally Driven","Zero-Peak Signal","1.5V","12.5V (Max)","2.4kHz","Piezo","Single Tone","-","75dB @ 1.5V, 10cm","-","Side","-20°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.472"" L x 0.472"" W (12.00mm x 12.00mm)","0.126"" (3.20mm)"
https://www.murata.com/~/media/webrenewal/support/library/catalog/products/sound/p37e.ashx?la=en-us,//media.digikey.com/photos/Murata%20Photos/PKLCS1212E20A0-R1.JPG,490-5957-6-ND,PKLCS1212E2400-R1,Murata Electronics North America,AUDIO PIEZO TRANSDUCER 12.5V SMD,3993,0,"Digi-Reel","0","1","Digi-Reel®","PK","Active","Transducer, Externally Driven","Zero-Peak Signal","1.5V","12.5V (Max)","2.4kHz","Piezo","Single Tone","-","75dB @ 1.5V, 10cm","-","Side","-20°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.472"" L x 0.472"" W (12.00mm x 12.00mm)","0.126"" (3.20mm)"
https://www.cui.com/product/resource/digikeypdf/css-j4d20-smt.pdf,"//media.digikey.com/photos/CUI%20Photos/CSS-J4B20,CSS-J4D20.jpg",102-1198-2-ND,CSS-J4D20-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 3-5V SMD,25000,0,"1.32600","0","1000","Tape & Reel (TR)","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","3 ~ 5V","3.1kHz","Magnetic","Single Tone","-","90dB @ 3.6V, 5cm","80mA","Side","-40°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.146"" (3.70mm)"
https://www.cui.com/product/resource/digikeypdf/css-j4d20-smt.pdf,"//media.digikey.com/photos/CUI%20Photos/CSS-J4B20,CSS-J4D20.jpg",102-1198-1-ND,CSS-J4D20-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 3-5V SMD,25529,0,"2.55000","0","1","Cut Tape (CT)","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","3 ~ 5V","3.1kHz","Magnetic","Single Tone","-","90dB @ 3.6V, 5cm","80mA","Side","-40°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.146"" (3.70mm)"
https://www.cui.com/product/resource/digikeypdf/css-j4d20-smt.pdf,"//media.digikey.com/photos/CUI%20Photos/CSS-J4B20,CSS-J4D20.jpg",102-1198-6-ND,CSS-J4D20-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 3-5V SMD,25529,0,"Digi-Reel","0","1","Digi-Reel®","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","3 ~ 5V","3.1kHz","Magnetic","Single Tone","-","90dB @ 3.6V, 5cm","80mA","Side","-40°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.146"" (3.70mm)"
https://www.cui.com/product/resource/digikeypdf/css-j4b20-smt.pdf,"//media.digikey.com/photos/CUI%20Photos/CSS-J4B20,CSS-J4D20.jpg",102-1456-2-ND,CSS-J4B20-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 3-5V SMD,25000,0,"1.32600","0","1000","Tape & Reel (TR)","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","3 ~ 5V","2.73kHz","Magnetic","Single Tone","-","90dB @ 3.6V, 5cm","80mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.146"" (3.70mm)"
https://www.cui.com/product/resource/digikeypdf/css-j4b20-smt.pdf,"//media.digikey.com/photos/CUI%20Photos/CSS-J4B20,CSS-J4D20.jpg",102-1456-1-ND,CSS-J4B20-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 3-5V SMD,25310,0,"2.55000","0","1","Cut Tape (CT)","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","3 ~ 5V","2.73kHz","Magnetic","Single Tone","-","90dB @ 3.6V, 5cm","80mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.146"" (3.70mm)"
https://www.cui.com/product/resource/digikeypdf/css-j4b20-smt.pdf,"//media.digikey.com/photos/CUI%20Photos/CSS-J4B20,CSS-J4D20.jpg",102-1456-6-ND,CSS-J4B20-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 3-5V SMD,25310,0,"Digi-Reel","0","1","Digi-Reel®","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","3 ~ 5V","2.73kHz","Magnetic","Single Tone","-","90dB @ 3.6V, 5cm","80mA","Side","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.146"" (3.70mm)"
https://www.cui.com/product/resource/digikeypdf/css-i4b20-smt.pdf,//media.digikey.com/photos/CUI%20Photos/CSS-I4B20.jpg,102-1455-2-ND,CSS-I4B20-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 3-5V SMD,6000,0,"1.32600","0","1000","Tape & Reel (TR)","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","3 ~ 5V","2.73kHz","Magnetic","Single Tone","-","85dB @ 3.6V, 5cm","80mA","Top","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.130"" (3.30mm)"
https://www.cui.com/product/resource/digikeypdf/css-i4b20-smt.pdf,//media.digikey.com/photos/CUI%20Photos/CSS-I4B20.jpg,102-1455-1-ND,CSS-I4B20-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 3-5V SMD,7748,0,"2.55000","0","1","Cut Tape (CT)","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","3 ~ 5V","2.73kHz","Magnetic","Single Tone","-","85dB @ 3.6V, 5cm","80mA","Top","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.130"" (3.30mm)"
https://www.cui.com/product/resource/digikeypdf/css-i4b20-smt.pdf,//media.digikey.com/photos/CUI%20Photos/CSS-I4B20.jpg,102-1455-6-ND,CSS-I4B20-SMT-TR,CUI Inc.,AUDIO MAGNETIC XDCR 3-5V SMD,7748,0,"Digi-Reel","0","1","Digi-Reel®","CSS","Active","Transducer, Externally Driven","Zero-Peak Signal","3.6V","3 ~ 5V","2.73kHz","Magnetic","Single Tone","-","85dB @ 3.6V, 5cm","80mA","Top","-30°C ~ 70°C","-","-","-","Surface Mount","Solder Pads","0.335"" L x 0.335"" W (8.50mm x 8.50mm)","0.130"" (3.30mm)"
