Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Length","Width","Height","Interface","Type","Diagonal Screen Size"
http://multimedia.3m.com/mws/media/525964O/marketing-drawing-28187-mkt-17-821x-2xx.pdf,-,98000332571-ND,98000332571,3M Touch Systems,TOUCH SCREEN CAPACITIVE 18.4"",0,0,"112.95700","0","10","MicroTouch™ System SCT3250","Active","14.56"" (369.70mm)","0.125"" (3.18mm)","11.25"" (285.75mm)","Requires Controller","Capacitive","18.40"" (467.26mm)"
-,-,TP01150A-4K-ND,TP01150A-4K,NKK Switches,"TOUCH SCREEN, MULTI/LIGHT, 4-WIR",0,0,"114.83000","0","1","TP01","Active","12.13"" (308.10mm)","0.08"" (2.10mm)","9.14"" (232.10mm)","4-Wire","Resistive","15.00"" (381.00mm)"
-,-,FTAS00-15A-4-ND,FTAS00-15A-4,NKK Switches,"TOUCH SCREEN, 4-WIRE, 15.0"" DIAG",0,50,"116.82000","0","1","FT","Active","12.19"" (309.50mm)","0.08"" (2.10mm)","9.19"" (233.50mm)","4-Wire","Resistive","15.00"" (381.00mm)"
-,-,98000322747-ND,98000322747,3M Touch Systems,TOUCH SCREEN CAPACITIVE 18.61"",0,0,"118.90222","0","9","MicroTouch™ System SCT3250","Active","16.22"" (412.0mm)","0.125"" (3.18mm)","9.13"" (231.9mm)","Requires Controller","Capacitive","18.61"" (472.69mm)"
-,-,98110000993-ND,98110000993,3M,TOUCH SCREEN CAPACITIVE 18.61"",0,0,"118.90222","0","9","MicroTouch™ SCT3210","Active","16.22"" (412.0mm)","0.125"" (3.18mm)","9.13"" (231.9mm)","Requires Controller","Capacitive","18.61"" (472.69mm)"
http://multimedia.3m.com/mws/media/525970O/marketing-drawing-28295-mkt.pdf,-,98000332431-ND,98000332431,3M Touch Systems,TOUCH SCREEN CAPACITIVE 15.74"",0,0,"119.50067","0","15","MicroTouch™ System SCT3250","Active","12.51"" (317.75mm)","0.125"" (3.18mm)","9.55"" (242.57mm)","USB","Capacitive","15.74"" (500.74mm)"
http://multimedia.3m.com/mws/media/525970O/marketing-drawing-28295-mkt.pdf,-,98000332449-ND,98000332449,3M Touch Systems,TOUCH SCREEN CAPACITIVE 15.74"",0,0,"119.50067","0","15","MicroTouch™ System SCT3250","Active","12.51"" (317.75mm)","0.125"" (3.18mm)","9.55"" (242.57mm)","Serial","Capacitive","15.74"" (500.74mm)"
-,-,98110000944-ND,98110000944,3M Touch Systems,TOUCH SCREEN CAPACITIVE 15.6"",0,0,"119.50067","0","15","MicroTouch™ SCT3210","Active","13.24"" (336.30mm)","-","8.34"" (211.91mm)","USB","Capacitive","15.60"" (396.24mm)"
-,-,TP01150A-4KC-ND,TP01150A-4KC,NKK Switches,"TOUCH SCREEN, MULTI/LIGHT, 4-WIR",0,0,"121.83000","0","1","TP01","Active","12.13"" (308.10mm)","0.08"" (2.10mm)","9.14"" (232.10mm)","4-Wire","Resistive","15.00"" (381.00mm)"
http://multimedia.3m.com/mws/media/525985O/marketing-drawing-28364-mkt-17-855x-2xx.pdf,-,98000332605-ND,98000332605,3M Touch Systems,TOUCH SCREEN CAPACITIVE 19.73"",0,0,"122.46600","0","10","MicroTouch™ System SCT3250","Active","15.31"" (388.98mm)","0.125"" (3.18mm)","12.45"" (315.47mm)","Requires Controller","Capacitive","19.73"" (501.35mm)"
http://multimedia.3m.com/mws/media/526004O/marketing-drawing-tsd-32144-17-889x-2xx.pdf,-,98000326615-ND,98000326615,3M Touch Systems,TOUCH SCREEN CAPACITIVE 19.42"",0,0,"122.46600","0","10","MicroTouch™ System SCT3250","Active","15.05"" (382.27mm)","0.125"" (3.18mm)","12.28"" (311.91mm)","Requires Controller","Capacitive","19.42"" (493.27mm)"
-,-,98110001017-ND,98110001017,3M,TOUCH SCREEN CAPACITIVE 19.42"",0,0,"122.46600","0","10","MicroTouch™ SCT3210","Active","15.05"" (382.29mm)","0.125"" (3.18mm)","12.28"" (311.81mm)","Requires Controller","Capacitive","19.42"" (493.27mm)"
-,-,98110001033-ND,98110001033,3M,TOUCH SCREEN CAPACITIVE 19.71"",0,0,"122.46600","0","10","MicroTouch™ SCT3210","Active","15.31"" (388.87mm)","0.125"" (3.18mm)","12.42"" (315.14mm)","Requires Controller","Capacitive","19.71"" (500.63mm)"
-,-,98000327167-ND,98000327167,3M Touch Systems,TOUCH SCREEN CAPACITIVE 19.34"",0,0,"122.46636","0","11","MicroTouch™ System SCT3250","Active","16.33"" (414.78mm)","0.125"" (3.18mm)","10.37"" (263.4mm)","Requires Controller","Capacitive","19.34"" (491.24mm)"
http://multimedia.3m.com/mws/media/367128O/ex-ii-usb-controllers-reference-guide-5710uc-5750uc-7710uc.pdf,-,98000329700-ND,98000329700,3M Touch Systems,TOUCH SCREEN CAPACITIVE 15.65"",0,0,"125.79000","0","9","MicroTouch™ System SCT3250","Active","13.24"" (336.30mm)","0.125"" (3.18mm)","8.34"" (211.84mm)","USB","Capacitive","15.65"" (397.51mm)"
http://multimedia.3m.com/mws/media/367149O/ex-ii-serial-controllers-reference-guide-1710-1720-1750-7720.pdf,-,98000329726-ND,98000329726,3M Touch Systems,TOUCH SCREEN CAPACITIVE 15.65"",0,0,"125.79000","0","9","MicroTouch™ System SCT3250","Active","13.24"" (336.30mm)","0.125"" (3.18mm)","8.34"" (211.84mm)","Serial","Capacitive","15.65"" (397.51mm)"
-,-,98000342281-ND,98000342281,3M Touch Systems,TOUCH SCREEN CAPACITIVE 15.6"",0,0,"125.79000","0","9","MicroTouch™ SCT3210","Active","13.24"" (336.30mm)","-","8.34"" (211.91mm)","USB","Capacitive","15.60"" (396.24mm)"
-,-,TP01156W-4K-ND,TP01156W-4K,NKK Switches,"TOUCH SCREEN, MULTI/LIGHT, 4-WIR",0,0,"126.07000","0","1","TP01","Active","13.68"" (347.50mm)","0.08"" (2.10mm)","7.75"" (196.80mm)","4-Wire","Resistive","15.60"" (396.24mm)"
-,-,OP10N-ND,OP10N,"B&B SmartWorx, Inc.",TOUCH SCREEN 4.3"",0,0,"126.44000","0","1","-","Active","7.07"" (179.50mm)","1.300"" (33.02mm)","4.000"" (101.60mm)","Serial","-","4.3"" (109.22mm)"
-,-,FTAS00-15A-5-ND,FTAS00-15A-5,NKK Switches,"TOUCH SCREEN, 5-WIRE, 15.0"" DIAG",0,7,"129.30000","0","1","FT","Active","12.19"" (309.50mm)","0.08"" (2.10mm)","9.19"" (233.50mm)","5-Wire","Resistive","15.00"" (381.00mm)"
-,-,TP01156W-4KC-ND,TP01156W-4KC,NKK Switches,"TOUCH SCREEN, MULTI/LIGHT, 4-WIR",0,0,"130.82000","0","1","TP01","Active","13.68"" (347.50mm)","0.08"" (2.10mm)","7.75"" (196.80mm)","4-Wire","Resistive","15.60"" (396.24mm)"
-,-,98000339725-ND,98000339725,3M Touch Systems,TOUCH SCREEN CAPACITIVE 15.68"",0,0,"131.45733","0","15","MicroTouch™ System SCT3250","Active","-","-","-","USB/Serial","Capacitive","15.68"" (398.27mm)"
http://multimedia.3m.com/mws/media/525962O/marketing-drawing-tsd-28165.pdf,-,98000325997-ND,98000325997,3M Touch Systems,TOUCH SCREEN CAPACITIVE 17.54"",0,0,"132.37900","0","10","MicroTouch™ System SCT3250","Active","13.60"" (345.31mm)","0.125"" (3.18mm)","11.08"" (281.48mm)","Serial","Capacitive","17.54"" (445.50mm)"
http://multimedia.3m.com/mws/media/525987O/marketing-drawing-28390-mkt-17-856x-2xx.pdf,-,98000332985-ND,98000332985,3M Touch Systems,TOUCH SCREEN CAPACITIVE 17.95"",0,0,"132.37900","0","10","MicroTouch™ System SCT3250","Active","13.79"" (350.27mm)","0.125"" (3.18mm)","11.49"" (291.85mm)","USB","Capacitive","17.95"" (455.92mm)"
http://multimedia.3m.com/mws/media/525987O/marketing-drawing-28390-mkt-17-856x-2xx.pdf,-,98000332647-ND,98000332647,3M Touch Systems,TOUCH SCREEN CAPACITIVE 17.95"",0,0,"132.37900","0","10","MicroTouch™ System SCT3250","Active","13.79"" (350.27mm)","0.125"" (3.18mm)","11.49"" (291.85mm)","Serial","Capacitive","17.95"" (455.92mm)"
-,-,98110000969-ND,98110000969,3M Touch Systems,TOUCH SCREEN CAPACITIVE 17.54"",0,0,"132.37900","0","10","MicroTouch™ SCT3210","Active","13.60"" (345.31mm)","0.125"" (3.18mm)","11.08"" (281.48mm)","USB","Capacitive","17.54"" (445.50mm)"
http://multimedia.3m.com/mws/media/525998O/marketing-drawing-29615-mkt-17-890x-2xx.pdf,-,98000330252-ND,98000330252,3M Touch Systems,TOUCH SCREEN CAPACITIVE 17.34"",0,0,"132.37933","0","15","MicroTouch™ System SCT3250","Active","13.49"" (342.70mm)","0.125"" (3.18mm)","10.89"" (276.58mm)","USB","Capacitive","17.34"" (440.38mm)"
http://multimedia.3m.com/mws/media/525998O/marketing-drawing-29615-mkt-17-890x-2xx.pdf,-,98000322036-ND,98000322036,3M Touch Systems,TOUCH SCREEN CAPACITIVE 17.34"",0,0,"132.37933","0","15","MicroTouch™ System SCT3250","Active","13.49"" (342.70mm)","0.125"" (3.18mm)","10.89"" (276.58mm)","Serial","Capacitive","17.34"" (440.38mm)"
http://multimedia.3m.com/mws/media/526005O/marketing-drawing-tsd-32734-17-924x-2xx.pdf,-,98000327159-ND,98000327159,3M Touch Systems,TOUCH SCREEN CAPACITIVE 17.8"",0,0,"135.43444","0","9","MicroTouch™ System SCT3250","Active","15.25"" (387.55mm)","0.125"" (3.18mm)","9.18"" (233.17mm)","Serial","Capacitive","17.80"" (452.07mm)"
-,-,98000342273-ND,98000342273,3M,TOUCH SCREEN CAPACITIVE 17.8"",0,0,"135.43444","0","9","MicroTouch™ SCT3210","Active","15.25"" (387.25mm)","0.125"" (3.18mm)","9.18"" (233.25mm)","USB","Capacitive","17.80"" (452.1mm)"
http://multimedia.3m.com/mws/media/863971O/marketing-drawing-tsd-40327.pdf,-,98000340046-ND,98000340046,3M Touch Systems,TOUCH SCREEN CAPACITIVE 21.78"",0,0,"138.39800","0","10","MicroTouch™ SCT3210","Active","18.96"" (481.5mm)","0.125"" (3.18mm)","10.73"" (272.5mm)","Requires Controller","Capacitive","21.78"" (553.21mm)"
-,-,98110001058-ND,98110001058,3M Touch Systems,TOUCH SCREEN CAPACITIVE 20.65"",0,0,"138.64222","0","9","MicroTouch™ SCT3210","Active","17.43"" (442.64mm)","0.125"" (3.18mm)","11.07"" (281.15mm)","Requires Controller","Capacitive","20.65"" (524.39mm)"
http://multimedia.3m.com/mws/media/525993O/marketing-drawing-28423-mkt-17-854x-2xx.pdf,-,98000326177-ND,98000326177,3M Touch Systems,TOUCH SCREEN CAPACITIVE 21.87"",0,0,"141.59125","0","8","MicroTouch™ System SCT3250","Active","17.43"" (442.72mm)","0.125"" (3.18mm)","13.20"" (335.28mm)","Requires Controller","Capacitive","21.87"" (555.24mm)"
http://multimedia.3m.com/mws/media/525964O/marketing-drawing-28187-mkt-17-821x-2xx.pdf,-,98000332597-ND,98000332597,3M Touch Systems,TOUCH SCREEN CAPACITIVE 18.4"",0,0,"144.80700","0","10","MicroTouch™ System SCT3250","Active","14.56"" (369.70mm)","0.125"" (3.18mm)","11.25"" (285.75mm)","Serial","Capacitive","18.40"" (467.26mm)"
-,-,98000339741-ND,98000339741,3M Touch Systems,TOUCH SCREEN CAPACITIVE 17.54"",0,0,"145.62600","0","10","MicroTouch™ System SCT3250","Active","-","-","-","USB/Serial","Capacitive","17.54"" (445.50mm)"
