Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","For Use With/Related Products","Shape"
http://www.ohmite.com/assets/docs/sink_s.pdf?r=false,//media.digikey.com/Photos/Ohmite%20Photos/SA-LED-151E.jpg,SA-LED-151E-ND,SA-LED-151E,Ohmite,ROUND HEAT SINK GENERAL PURPOSE,31,0,"5.68000","0","1","1 per Pkg","S","Active","Heat Sink","General Purpose","Round"
http://www.bergquistcompany.com/pdfs/LED%20Config%20Sht_Rev%204.pdf,//media.digikey.com/Photos/Bergquist/803267.jpg,BER295-ND,803267,Bergquist,STAR THERM CLAD BRD LUXEON REBEL,73,0,"22.75000","0","1","36 Per Strip; 1 Strip per Pkg","Thermal Clad® IMS®","Active","Thermal Clad Board","Lumileds™ LUXEON Rebel","Star"
http://www.bergquistcompany.com/pdfs/LED%20Config%20Sht_Rev%204.pdf,//media.digikey.com/Photos/Bergquist/803269.jpg,BER297-ND,803269,Bergquist,STAR THERM CLAD BOARD SEOUL SEMI,64,0,"22.75000","0","1","36 Per Strip; 1 Strip per Pkg","Thermal Clad® IMS®","Active","Thermal Clad Board","Seoul Semiconductor Z-Power","Star"
http://www.bergquistcompany.com/pdfs/LED%20Config%20Sht_Rev%204.pdf,//media.digikey.com/Photos/Bergquist/803262.jpg,BER291-ND,803262,Bergquist,STAR THERMAL CLAD BOARD CREE XRE,23,0,"22.75000","0","1","36 Per Strip; 1 Strip per Pkg","Thermal Clad® IMS®","Active","Thermal Clad Board","Cree XR-E","Star"
https://www.cree.com/led-components/media/documents/LEDModules_LMH2.pdf,//media.digikey.com/Photos/Cree%20Photos/LMH020-HS00-0000-0000061.jpg,LMH020-HS00-0000-0000061-ND,LMH020-HS00-0000-0000061,Cree Inc.,ROUND HEAT SINK LMH2 LED MODULE,47,0,"30.15000","0","1","Box","LMH2 TrueWhite®","Active","Heat Sink","LMH2 TrueWhite® LED Module","Round"
https://www.boydcorp.com/aavid-datasheets/Aavid-XFlow42-LED-Cooler-L100-180.pdf,//media.digikey.com/Photos/Nuventix/NX302102.JPG,1061-1128-ND,NX302102,"Aavid, Thermal Division of Boyd Corporation",RECT HEAT SINK LED COOLER L100,81,0,"34.67000","0","1","-","SynJet®","Active","Heat Sink","LED Cooler L100-180, Configurable","Rectangular"
http://catalog.ebmpapst.us/allpdfs/PG1W-012-060-13.pdf,//media.digikey.com/photos/EBM-Papst%20Ind%20Photos/MFG_PG1W-012-060-xx.jpg,381-2835-ND,PG1W-012-060-13,ebm-papst Inc.,RND FANSINK BRIDGELUX VERO,9,0,"55.36000","0","1","Bulk","-","Active","Fansink","Bridgelux Vero 10/13/18","Round"
//media.digikey.com/pdf/Data%20Sheets/T-Global%20Technology%20PDFs/TG-CPCB3.pdf,//media.digikey.com/Photos/T-Global%20Technology%20Photos/MFG_TG-CPCB3%20Square.jpg,1168-1842-ND,TG-CPCB3,t-Global Technology,SQUARE THERM CLAD BOARD LUXEON,63,0,"3.36000","0","1","Bulk","-","Active","Thermal Clad Board","LUXEON LED Series","Square"
https://www.qats.com/DataSheet/STAR_LED,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATSEU-077C-C5-R0.jpg,ATS1466-ND,ATSEU-077C-C5-R0,Advanced Thermal Solutions Inc.,STAR HEAT SINK LED,76,0,"10.44000","0","1","-","STAR","Active","Heat Sink","LED","Star"
https://www.qats.com/ShowPDF/ATSEU-077D-C5-R0.ashx,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATSEU-077D-C5-R0.jpg,ATS1464-ND,ATSEU-077D-C5-R0,Advanced Thermal Solutions Inc.,STAR HEAT SINK LED,90,0,"10.66000","0","1","-","STAR","Active","Heat Sink","LED","Star"
https://www.qats.com/DataSheet/STAR_LED,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATSEU-077B-C5-R0.jpg,ATS1468-ND,ATSEU-077B-C5-R0,Advanced Thermal Solutions Inc.,STAR HEAT SINK LED,92,0,"10.98000","0","1","-","STAR","Active","Heat Sink","LED","Star"
http://www.wakefield-vette.com/Portals/0/resources/datasheets/19755-Series.pdf,//media.digikey.com/Photos/Wakefield%20Photos/19755-M-AB.JPG,345-1121-ND,19755-M-AB,Wakefield-Vette,ROUND HEAT SINK BRIDGELUX LED,82,0,"11.06000","0","1","-","19000","Active","Heat Sink","Bridgelux LED Light Engines","Round"
https://www.qats.com/DataSheet/STAR_LED,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATSEU-077A2-C5-R0.jpg,ATS1470-ND,ATSEU-077A2-C5-R0,Advanced Thermal Solutions Inc.,STAR HEAT SINK LED,75,0,"11.68000","0","1","-","STAR","Active","Heat Sink","LED","Star"
https://www.qats.com/DataSheet/STAR_LED,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATSEU-077B-C6-R0.jpg,ATS1467-ND,ATSEU-077B-C6-R0,Advanced Thermal Solutions Inc.,STAR HEAT SINK LED,96,0,"12.56000","0","1","-","STAR","Active","Heat Sink","LED","Star"
https://www.qats.com/ShowPDF/ATSEU-077C-C1-R0.ashx,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATSEU-077C-C1-R0.jpg,ATS1480-ND,ATSEU-077C-C1-R0,Advanced Thermal Solutions Inc.,STAR HEAT SINK LED,89,0,"13.00000","0","1","-","STAR","Active","Heat Sink","LED","Star"
https://www.qats.com/DataSheet/STAR_LED,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATSEU-077D-C1-R0.jpg,ATS1476-ND,ATSEU-077D-C1-R0,Advanced Thermal Solutions Inc.,STAR HEAT SINK LED,73,0,"13.22000","0","1","-","STAR","Active","Heat Sink","LED","Star"
https://www.qats.com/ShowPDF/ATSEU-077B-C1-R0.ashx,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATSEU-077B-C1-R0.jpg,ATS1484-ND,ATSEU-077B-C1-R0,Advanced Thermal Solutions Inc.,STAR HEAT SINK LED,75,0,"13.83000","0","1","-","STAR","Active","Heat Sink","LED","Star"
https://www.qats.com/DataSheet/STAR_LED,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATSEU-077A2-C1-R1.jpg,ATS1488-ND,ATSEU-077A2-C1-R1,Advanced Thermal Solutions Inc.,STAR HEAT SINK LED,47,0,"14.52000","0","1","-","STAR","Active","Heat Sink","LED","Star"
https://www.qats.com/ShowPDF/ATSEU-077C-C3-R0.ashx,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATSEU-077C-C3-R0.jpg,ATS1478-ND,ATSEU-077C-C3-R0,Advanced Thermal Solutions Inc.,STAR HEAT SINK LED,88,0,"14.56000","0","1","-","STAR","Active","Heat Sink","LED","Star"
https://www.qats.com/ShowPDF/ATSEU-077B-C3-R0.ashx,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATSEU-077B-C3-R0.jpg,ATS1482-ND,ATSEU-077B-C3-R0,Advanced Thermal Solutions Inc.,STAR HEAT SINK LED,65,0,"15.39000","0","1","-","STAR","Active","Heat Sink","LED","Star"
https://www.qats.com/DataSheet/STAR_LED,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATSEU-077A-C3-R0.jpg,ATS1486-ND,ATSEU-077A-C3-R0,Advanced Thermal Solutions Inc.,STAR HEAT SINK LED,63,0,"16.08000","0","1","-","STAR","Active","Heat Sink","LED","Star"
https://www.qats.com/ShowPDF/ATSEU-077C-C3-R0.ashx,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATSEU-077C-C4-R0.jpg,ATS1477-ND,ATSEU-077C-C4-R0,Advanced Thermal Solutions Inc.,STAR HEAT SINK LED,94,0,"17.02000","0","1","-","STAR","Active","Heat Sink","LED","Star"
http://www.bergquistcompany.com/pdfs/LED%20Config%20Sht_Rev%204.pdf,//media.digikey.com/Photos/Bergquist/803266.jpg,BER294-ND,803266,Bergquist,STAR THERM CLAD BOARD LUXEON K2,11,0,"18.50000","0","1","36 Per Strip; 1 Strip per Pkg","Thermal Clad® IMS®","Active","Thermal Clad Board","Lumileds™ LUXEON K2","Star"
https://www.qats.com/DataSheet/STAR_LED,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATSEU-077A-C4-R0.jpg,ATS1485-ND,ATSEU-077A-C4-R0,Advanced Thermal Solutions Inc.,STAR HEAT SINK LED,93,0,"18.53000","0","1","-","STAR","Active","Heat Sink","LED","Star"
http://www.bergquistcompany.com/pdfs/LED%20Config%20Sht_Rev%204.pdf,//media.digikey.com/Photos/Bergquist/803265.jpg,BER293-ND,803265,Bergquist,STAR THERMAL CLAD BOARD LUXEON I,15,0,"22.75000","0","1","36 Per Strip; 1 Strip per Pkg","Thermal Clad® IMS®","Active","Thermal Clad Board","Lumileds™ LUXEON® I, III, and V","Star"
http://www.bergquistcompany.com/pdfs/LED%20Config%20Sht_Rev%204.pdf,//media.digikey.com/Photos/Bergquist/803263.jpg,BER292-ND,803263,Bergquist,STAR THERM CLAD BRD LITE-ON LOPL,6,0,"22.75000","0","1","36 Per Strip; 1 Strip per Pkg","Thermal Clad® IMS®","Active","Thermal Clad Board","Lite-On® LOPL","Star"
https://www.boydcorp.com/aavid-datasheets/AavLED-Heatsink-R186-70.pdf,//media.digikey.com/Photos/Nuventix/MFG_NX5011.jpg,1061-1165-ND,NX501101,"Aavid, Thermal Division of Boyd Corporation",ROUND HEAT SINK FORTIMO OSRAM,44,0,"26.61000","0","1","-","-","Active","Heat Sink","-","Round"
http://www.wakefield-vette.com/Portals/0/resources/datasheets/19754-Series.pdf,//media.digikey.com/Photos/Wakefield%20Photos/19754-M-AB.JPG,345-1123-ND,19754-M-AB,Wakefield-Vette,ROUND HEAT SINK BRIDGELUX LED,56,0,"28.76000","0","1","-","19000","Active","Heat Sink","Bridgelux LED Light Engines","Round"
https://www.qats.com/ShowPDF/HSDS_ATS-58000-C1-R0.ashx,//media.digikey.com/photos/Advanced%20Thermal%20Solutions%20Photos/ATS-58000-C1-R0.jpg,ATS1361-ND,ATS-58000-C1-R0,Advanced Thermal Solutions Inc.,RECT HEAT SINK GENERAL PURPOSE,16,0,"30.36000","0","1","1 per Pkg","maxiFLOW","Active","Heat Sink","General Purpose","Rectangular"
https://www.qats.com/ShowPDF/ATSEU-109-C1-R0.ashx,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATSEU-109-C1-R0.jpg,ATS1472-ND,ATSEU-109-C1-R0,Advanced Thermal Solutions Inc.,STAR HEAT SINK LED,69,0,"38.32000","0","1","-","STAR","Active","Heat Sink","LED","Star"
-,//media.digikey.com/Photos/Nuventix/NX302103.JPG,1061-1127-ND,NX302103,"Aavid, Thermal Division of Boyd Corporation",RECT HEAT SINK LED COOLER L100,33,0,"51.99000","0","1","-","SynJet®","Active","Heat Sink","LED Cooler L100-270, Configurable","Rectangular"
http://catalog.ebmpapst.us/allpdfs/PG1W-012-060-06.pdf,//media.digikey.com/photos/EBM-Papst%20Ind%20Photos/MFG_PG1W-012-060-xx.jpg,381-2830-ND,PG1W-012-060-06,ebm-papst Inc.,ROUND FANSINK PHILIPS SLM,7,0,"61.60000","0","1","Bulk","-","Active","Fansink","Philips SLM","Round"
https://www.qats.com/ShowPDF/ATSEU-110-C1-R0.ashx,//media.digikey.com/Photos/Advanced%20Thermal%20Solutions%20Photos/MFG_ATSEU-110-C1-R0.jpg,ATS1471-ND,ATSEU-110-C1-R0,Advanced Thermal Solutions Inc.,STAR HEAT SINK LED,99,0,"61.92000","0","1","-","STAR","Active","Heat Sink","LED","Star"
http://catalog.ebmpapst.us/allpdfs/PG1W-012-060-08.pdf,//media.digikey.com/photos/EBM-Papst%20Ind%20Photos/MFG_PG1W-012-060-08.jpg,381-2832-ND,PG1W-012-060-08,ebm-papst Inc.,ROUND FANSINK CREE CXA,17,0,"86.94000","0","1","Bulk","-","Active","Fansink","Cree CXA","Round"
https://www.boydcorp.com/aavid-datasheets/AavLED-Heat-Sink-R150-170.pdf,//media.digikey.com/Photos/Nuventix/NX302105.JPG,1061-1120-ND,NX302105,"Aavid, Thermal Division of Boyd Corporation",ROUND HEAT SINK BRIDGELUX,71,0,"97.49000","0","1","Tray","SynJet®","Active","Heat Sink","Bridgelux RS, Bridgelux Vero 29","Round"
http://catalog.ebmpapst.us/allpdfs/PG1W-012-060-11.pdf,//media.digikey.com/photos/EBM-Papst%20Ind%20Photos/MFG_PG1W-012-060-11.jpg,381-2834-ND,PG1W-012-060-11,ebm-papst Inc.,ROUND FANSINK CREE LMH2,7,0,"128.13000","0","1","Bulk","-","Active","Fansink","Cree LMH2","Round"
http://catalog.ebmpapst.us/allpdfs/PG1W-012-119-12.pdf,//media.digikey.com/photos/EBM-Papst%20Ind%20Photos/MFG_PG1W-012-119-1x.jpg,381-2838-ND,PG1W-012-119-12,ebm-papst Inc.,ROUND FANSINK BRIDGELUX VERO 29,16,0,"141.96000","0","1","Bulk","-","Active","Fansink","Bridgelux Vero 29","Round"
http://catalog.ebmpapst.us/allpdfs/PG1W-012-119-10.pdf,//media.digikey.com/photos/EBM-Papst%20Ind%20Photos/MFG_PG1W-012-119-1x.jpg,381-2836-ND,PG1W-012-119-10,ebm-papst Inc.,ROUND FANSINK CREE LMH2,6,19,"141.96000","0","1","Bulk","-","Active","Fansink","Cree LMH2","Round"
http://catalog.ebmpapst.us/allpdfs/PG1W-012-060-09.pdf,//media.digikey.com/photos/EBM-Papst%20Ind%20Photos/MFG_PG1W-012-060-09.jpg,381-2833-ND,PG1W-012-060-09,ebm-papst Inc.,RND FANSINK BRIDGELUX FORTIMO,6,10,"145.86000","0","1","Bulk","-","Active","Fansink","Bridgelux Fortimo SLM","Round"
