Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Lamp Color","Lens Color","Lens Transparency","Ratings","Voltage","Current","Panel Cutout Shape","Panel Cutout Dimensions","Lens Style","Lens Size","Millicandela Rating","Wavelength - Peak","Viewing Angle","Termination Style","Ingress Protection","Features"
https://www.lumex.com/content/files/ProductAttachment/SSI-LXR4815ID.pdf,"//media.digikey.com/photos/Lumex%20Photos/SSI-LXR4815ID,SSI-LXR4815SRD.jpg",67-1163-ND,SSI-LXR4815ID,Lumex Opto/Components Inc.,LED 5MM RED DIFF REFL PANEL MNT,1710,0,"3.12000","0","1","-","Active","LED","Red","Red","Diffused","Vf (Typ), If (Max)","2V","30mA","Round","0.32"" (8.13mm)","Round with Domed Top","5mm, T-1 3/4","40mcd","635nm","60°","-","-","-"
https://www.lumex.com/content/files/ProductAttachment/SSI-LXR3612SRD.pdf,"//media.digikey.com/photos/Lumex%20Photos/SSI-LXR3612ID,SSI-LXR3612SRD.jpg",67-1154-ND,SSI-LXR3612SRD,Lumex Opto/Components Inc.,LED 3MM SUPER RED DIFF PANEL MT,3932,0,"3.20000","0","1","-","Active","LED","Red","Red","Diffused","Vf (Typ), If (Max)","1.8V","30mA","Round","0.24"" (6.10mm)","Round with Domed Top","3mm, T-1","65mcd","660nm","60°","-","-","-"
https://www.vcclite.com/wp-content/uploads/wpallimport/files/files/1050C1051C1052C1053C1090CRev2.pdf,//media.digikey.com/Photos/Visual%20Communications%20Company%20VCC/1090C3-12V.jpg,1090C3-12V-ND,1090C3-12V,Visual Communications Company - VCC,INDICATOR INCAND AMBER PANEL MNT,0,0,"3.24000","0","1","1090C","Active","Incandescent","Amber","Amber","-","-","12V","-","Round","0.50"" (12.70mm)","Round with Flat Top","-","-","-","-","Wire Leads - 4.6"" (116.84mm)","-","-"
https://www.lumex.com/content/files/ProductAttachment/SSI-LXR3612ID.pdf,//media.digikey.com/Photos/Lumex%20Photos/SSI-LXR3612ID.JPG,67-1151-ND,SSI-LXR3612ID,Lumex Opto/Components Inc.,LED 3MM RED DIFF PANEL MOUNT,1570,0,"3.33000","0","1","-","Active","LED","Red","Red","Diffused","Vf (Typ), If (Max)","2V","30mA","Round","0.24"" (6.10mm)","Round with Domed Top","3mm, T-1","30mcd","635nm","60°","-","-","-"
https://www.lumex.com/content/files/ProductAttachment/SSI-LXR4815SRD.pdf,"//media.digikey.com/photos/Lumex%20Photos/SSI-LXR4815ID,SSI-LXR4815SRD.jpg",67-1166-ND,SSI-LXR4815SRD,Lumex Opto/Components Inc.,LED 5MM SUP RED DIFF REFL PNL MT,3131,0,"3.35000","0","1","-","Active","LED","Red","Red","Diffused","Vf (Typ), If (Max)","1.8V","30mA","Round","0.32"" (8.13mm)","Round with Domed Top","5mm, T-1 3/4","300mcd","660nm","60°","-","-","-"
https://vcclite.com/wp-content/uploads/wpallimport/files/files/1091M.pdf,"//media.digikey.com/photos/CML%20Innovative%20Photos/1091M5-6V,1091M5-12V,1091M5-24V.jpg",L50165-ND,1091M5-24V,Visual Communications Company - VCC,LED IND LIGHT 24V GREEN,2270,0,"3.40000","0","1","1091M","Active","LED","Green","-","-","-","24V","-","Round","0.50"" (12.70mm)","Round with Domed Top","-","-","-","-","Wire Leads - 4.6"" (116.84mm)","-","-"
https://vcclite.com/wp-content/uploads/wpallimport/files/files/1091M.pdf,"//media.digikey.com/photos/CML%20Innovative%20Photos/1091M1-6V,1091M1-12V.jpg",L50151-ND,1091M1-12V,Visual Communications Company - VCC,LED IND LIGHT 12V RED,600,0,"3.40000","0","1","1091M","Active","LED","Red","-","-","-","12V","-","Round","0.50"" (12.70mm)","Round with Domed Top","-","-","-","-","Wire Leads - 4.6"" (116.84mm)","-","-"
https://www.lumex.com/content/files/ProductAttachment/SSI-LXH600USBD-150.pdf,//media.digikey.com/Photos/Lumex%20Photos/SSI-LXH600USBD-150.jpg,67-2311-ND,SSI-LXH600USBD-150,Lumex Opto/Components Inc.,LED PANEL INDICATOR BLUE 3.5V,5893,0,"3.41000","0","1","-","Active","LED","Blue","Blue","Diffused","Vf (Typ), If (Max)","3.5V","20mA","Round","0.25"" (6.35mm)","Round with Domed Top","5mm, T-1 3/4","60mcd","470nm","60°","Wire Leads - 6"" (152.40mm)","-","-"
https://www.lumex.com/content/files/ProductAttachment/SSI-LXR1612YD.pdf,//media.digikey.com/photos/Lumex%20Photos/SSI-LXR1612YD.jpg,67-1149-ND,SSI-LXR1612YD,Lumex Opto/Components Inc.,LED 3MM FLUSH YELLOW DIFF PNL MT,3514,0,"3.41000","0","1","-","Active","LED","Yellow","Yellow","Diffused","Vf (Typ), If (Max)","2.1V","30mA","Round","0.24"" (6.10mm)","Round with Domed Top","3mm, T-1","30mcd","585nm","60°","-","-","-"
https://www.lumex.com/content/files/ProductAttachment/SSI-RM3091SUGD-150.pdf,"//media.digikey.com/photos/Lumex%20Photos/SSI-RM3091GD-150,SSI-RM3091SUGD-150.jpg",67-1688-ND,SSI-RM3091SUGD-150,Lumex Opto/Components Inc.,LED 3MM SUP GREEN REAR PANEL MNT,4325,0,"3.43000","0","1","-","Active","LED","Green","Green","Diffused","Vf (Typ), If (Max)","2.2V","25mA","Round","0.20"" (5.08mm)","Round with Domed Top","3mm, T-1","50mcd","574nm","60°","Wire Leads - 6"" (152.40mm)","-","-"
http://www.vcclite.com/_pdf/1050QC%201051QC%201052QC%201053QC%20and%201090QC%20Series%20Non-Relampable%20Neon-Incandescent%20Indicator%20Lights.pdf,//media.digikey.com/Photos/Visual%20Communications%20Company%20VCC/1090QC1-12V.jpg,L71526-ND,1090QC1-12V,Visual Communications Company - VCC,LAMP RED 1/2"" HOLE PNL MNT 12V,510,0,"3.43000","0","1","1090QC","Active","Incandescent","Red","-","-","-","12V","-","Round","0.50"" (12.70mm)","Round with Flat Top","-","-","-","-","Quick Connect - 0.187"" (4.7mm)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Dialight%20PDFs/559_Series.pdf,//media.digikey.com/Photos/Dialight/559-5701-003F.jpg,350-3531-ND,5595904003F,Dialight,LED PMI SNAP-IN 24V YELLOW 6"",716,0,"3.48000","0","1","559","Active","LED","Yellow","-","-","DC","24V","20mA","Round","0.25"" (6.35mm)","Round with Domed Top","5mm, T-1 3/4","3100mcd","592nm","15°","Wire Leads - 6"" (152.40mm)","-","-"
//media.digikey.com/pdf/Data%20Sheets/Dialight%20PDFs/559_Series.pdf,//media.digikey.com/Photos/Dialight/559-5904-003F.jpg,350-3532-ND,5596104003F,Dialight,LED PMI SNAP-IN 24V RED 6"",708,0,"3.48000","0","1","559","Active","LED","Red","-","-","DC","24V","20mA","Round","0.25"" (6.35mm)","Round with Domed Top","5mm, T-1 3/4","2100mcd","635nm","15°","Wire Leads - 6"" (152.40mm)","-","-"
http://vcclite.com/_pdf/2191L%20Series%20Non-Relampable%20LED%20Solid-State%20Indicator%20Lights.pdf,"//media.digikey.com/photos/CML%20Innovative%20Photos/2191L5-6V,2191L5-12V,2191L5-24V.jpg",L50275-ND,2191L5-24V,Visual Communications Company - VCC,LED IND LIGHT 24V GREEN,563,0,"3.48000","0","1","2191L","Active","LED","Green","-","-","-","24V","-","Round","0.31"" (7.87mm)","Round with Flat Top","-","-","-","-","Wire Leads - 4.6"" (116.84mm)","-","-"
http://vcclite.com/_pdf/2191L%20Series%20Non-Relampable%20LED%20Solid-State%20Indicator%20Lights.pdf,"//media.digikey.com/photos/CML%20Innovative%20Photos/2191L1-6V,2191L1-12V,2191L1-24V.jpg",L50271-ND,2191L1-24V,Visual Communications Company - VCC,LED IND LIGHT 24V RED,461,0,"3.48000","0","1","2191L","Active","LED","Red","-","-","-","24V","-","Round","0.31"" (7.87mm)","Round with Flat Top","-","-","-","-","Wire Leads - 4.6"" (116.84mm)","-","-"
http://vcclite.com/_pdf/2191L%20Series%20Non-Relampable%20LED%20Solid-State%20Indicator%20Lights.pdf,"//media.digikey.com/photos/CML%20Innovative%20Photos/2191L5-6V,2191L5-12V,2191L5-24V.jpg",L50255-ND,2191L5-6V,Visual Communications Company - VCC,LED IND LIGHT 6V GREEN,420,0,"3.48000","0","1","2191L","Active","LED","Green","-","-","-","6V","-","Round","0.31"" (7.87mm)","Round with Flat Top","-","-","-","-","Wire Leads - 4.6"" (116.84mm)","-","-"
https://vcclite.com/wp-content/uploads/wpallimport/files/files/2191U%20Series%20Non-Relampable%20LED%20Solid-State.pdf,"//media.digikey.com/photos/CML%20Innovative%20Photos/2191U1-6V,2191U1-12V,2191U1-24V.jpg",L50321-ND,2191U1-24V,Visual Communications Company - VCC,LED IND LIGHT 24V RED,272,0,"3.48000","0","1","2191U","Active","LED","Red","-","-","-","24V","-","Round","0.31"" (7.87mm)","Round with Domed Top","-","-","-","-","Wire Leads - 4.6"" (116.84mm)","-","-"
https://vcclite.com/wp-content/uploads/wpallimport/files/files/2191U%20Series%20Non-Relampable%20LED%20Solid-State.pdf,"//media.digikey.com/photos/CML%20Innovative%20Photos/2191U5-6V,2191U5-12V,2191U5-24V.jpg",L50325-ND,2191U5-24V,Visual Communications Company - VCC,LED IND LIGHT 24V GREEN,112,0,"3.48000","0","1","2191U","Active","LED","Green","-","-","-","24V","-","Round","0.31"" (7.87mm)","Round with Domed Top","-","-","-","-","Wire Leads - 4.6"" (116.84mm)","-","-"
-,//media.digikey.com/Photos/Dialight/558-6203-802F.jpg,350-3143-ND,5586203802F,Dialight,LED PMI SNP IN INGAN G 14"",306,0,"3.54000","0","1","558","Active","LED","Green","White","Diffused","Vf (Typ), If (Max)","2.1V","2mA","Round","0.16"" (4.06mm)","Round with Domed Top","3mm, T-1","85mcd","531nm","100°","-","-","-"
http://www.dialightsignalsandcomponents.com/Assets/Brochures_And_Catalogs/Indication/PMI_new/Dialight_PMI_data_607_Feb2018.pdf,//media.digikey.com/Photos/Dialight/607-3132-130F.JPG,350-2922-ND,6073132130F,Dialight,LED PNL IND 7MM RED INTERNL,229,0,"3.55000","0","1","607","Active","LED","Red","-","-","DC","12V","15mA","Round","0.28"" (7.11mm)","Round with Flat Top","6.40mm Dia","20mcd","-","-","-","-","-"
https://www.bivar.com/Files/Datasheets/MPR3XXWX.X.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/MPR3GDW12.0.jpg,492-1565-ND,MPR3GDW12.0,Bivar Inc.,LED PANEL INDICATOR GREEN 2.1V,538,0,"3.59000","0","1","MPR3","Active","LED","Green","Green","Diffused","Vf (Typ), If (Max)","2.1V","30mA","Round","0.24"" (6.10mm)","Round with Domed Top","3mm, T-1","25mcd","568nm","35°","Wire Leads - 12"" (304.80mm)","-","-"
https://www.bivar.com/Files/Datasheets/MPR3XXWX.X.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/MPR3YDW12.0.jpg,492-1568-ND,MPR3YDW12.0,Bivar Inc.,LED PANEL INDICATOR YLW 2V,160,0,"3.59000","0","1","MPR3","Active","LED","Yellow","Yellow","Diffused","Vf (Typ), If (Max)","2V","30mA","Round","0.24"" (6.10mm)","Round with Domed Top","3mm, T-1","20mcd","590nm","35°","Wire Leads - 12"" (304.80mm)","-","-"
https://vcclite.com/wp-content/uploads/wpallimport/files/files/2110ARev2.pdf,//media.digikey.com/Photos/Vishay%20Photos/2112A5.JPG,L50195-ND,2112A5,Visual Communications Company - VCC,LAMP NEON GREEN 120V PC MNT,159,0,"3.59000","0","1","2112A","Active","Neon","Green","-","Clear","AC","105V ~ 125V","-","Round","0.31"" (7.87mm)","Round with Flat Top","-","-","-","-","Wire Leads - 4.6"" (116.84mm)","-","-"
https://www.bivar.com/Files/Datasheets/MPR5XXWX.X.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/MPR5RDW12.0.jpg,492-1575-ND,MPR5RDW12.0,Bivar Inc.,LED PANEL INDICATOR RED 2.1V,316,0,"3.64000","0","1","MPR5","Active","LED","Red","Red","Diffused","Vf (Typ), If (Max)","2.1V","20mA","Round","0.32"" (8.13mm)","Round with Domed Top","5mm, T-1 3/4","2mcd","700nm","40°","Wire Leads - 12"" (304.80mm)","-","-"
https://vcclite.com/wp-content/uploads/wpallimport/files/files/1030D1031D1032D1033D1090D.pdf,//media.digikey.com/photos/Visual%20Communications%20Company%20VCC/103xD5.jpg,1032D5-ND,1032D5,Visual Communications Company - VCC,INDICATOR NEON GREEN PANEL MNT,777,0,"3.65000","0","1","1032D","Active","Neon","Green","Green","-","AC","105V ~ 125V","-","Round","0.50"" (12.70mm)","Round with Flat Top","-","-","-","-","Wire Leads - 4.6"" (116.84mm)","-","-"
http://static.vcclite.com/files/5100Hrev1.pdf,"//media.digikey.com/photos/CML%20Innovative%20Photos/5100H7FL,5110F7.jpg",L20697-ND,5100H7FL,Visual Communications Company - VCC,LED YELLOW 1/4"" HOLE PANEL MOUNT,164,0,"3.65000","0","1","5100H","Active","LED","Yellow","Yellow","Diffused","Vf (Typ), If (Max)","9V ~ 12V","56mA","Round","0.25"" (6.35mm)","Round with Domed Top","5mm, T-1 3/4","32mcd","590nm","60°","Wire Leads - 6.1"" (154.94mm)","-","Flashing LED"
https://www.bivar.com/Files/Datasheets/MPC5XXWX.X.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/MPC5HDW12.0.jpg,492-1556-ND,MPC5HDW12.0,Bivar Inc.,LED PANEL INDICATOR RED 2V,1258,0,"3.67000","0","1","MPC5","Active","LED","Red","Red","Diffused","Vf (Typ), If (Max)","2V","30mA","Round","0.32"" (8.13mm)","Round with Domed Top","5mm, T-1 3/4","25mcd","625nm","45°","Wire Leads - 12"" (304.80mm)","-","-"
