Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Wire Duct Type","Height","Length","Width","Mounting Type","Features","Material","Color"
http://www.panduit.com/heiler/PartDrawings/C-WDFS3X3LG6NM--ENG.PDF,-,298-18317-ND,FS3X3WH6NM,Panduit Corp,WIRE DUCT SOLID BASE WHITE 6',30,0,"50.87000","0","1","PANDUCT® Type FS","Active","Solid (Raceway), Base","3.000"" (76.20mm)","6.00' (1.83m)","3.251"" (82.58mm)","-","No Mounting Holes","Poly-Vinyl Chloride (PVC)","White"
http://www.panduit.com/heiler/PartDrawings/C-WDD1X3-36897-829-R2--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_D-RndHoleDuct.jpg,298-18238-ND,D1X3LG6,Panduit Corp,WIRE DUCT ROUND SCREW GRAY 6',20,0,"51.08000","0","1","PANDUCT® Type D","Active","Round Hole (Raceway), Base","3.120"" (79.25mm)","6.00' (1.83m)","1.250"" (31.75mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Gray, Light"
http://www.panduit.com/heiler/PartDrawings/C-WDG1X3-36897-696-R2--ENG.pdf,-,298-18339-ND,G1X3BL6,Panduit Corp,WIRE DUCT SLOTTED SCREW BLACK 6',60,0,"51.19000","0","1","PANDUCT® Type G","Active","Slotted (Raceway), Base","3.020"" (76.71mm)","6.00' (1.83m)","1.260"" (32.00mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Black"
http://www.panduit.com/heiler/PartDrawings/C-WDF1X3WH6--ENG.PDF,-,298-18261-ND,F1X3IB6,Panduit Corp,WIRE DUCT SLOTTED SCREW BLUE 6',40,0,"51.19000","0","1","PANDUCT® Type F","Active","Slotted (Raceway), Base","3.020"" (76.71mm)","6.00' (1.83m)","1.260"" (32.00mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Blue"
http://www.panduit.com/heiler/PartDrawings/C-WDG1X3-36897-696-R2--ENG.pdf,-,298-18340-ND,G1X3IB6,Panduit Corp,WIRE DUCT SLOTTED SCREW BLUE 6',39,0,"51.19000","0","1","PANDUCT® Type G","Active","Slotted (Raceway), Base","3.020"" (76.71mm)","6.00' (1.83m)","1.260"" (32.00mm)","Screw","-","Poly-Vinyl Chloride (PVC)","Blue"
-,-,298-18260-ND,F1X3BL6,Panduit Corp,"NARROW SLOTTED DUCT, PVC, 1"" X 3",20,0,"51.19000","0","1","*","Active","-","-","-","-","-","-","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/DT07-021-202CST.pdf,-,1436-2466-ND,181-00645,HellermannTyton,HIGH DENSITY SLOTTED WALL WIRING,20,0,"52.00000","0","1","Pro-Duct® SLHDA","Active","Slotted (Raceway), Base","3.009"" (76.43mm)","6.00' (1.83m)","2.000"" (50.80mm)","Adhesive, Screw","Pre-Punched Mounting Holes, Self Extinguishing","Poly-Vinyl Chloride (PVC)","Black"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/DT07-021-202CST.pdf,-,1436-2467-ND,181-00646,HellermannTyton,HIGH DENSITY SLOTTED WALL WIRING,20,0,"52.00000","0","1","Pro-Duct® SLHDA","Active","Slotted (Raceway), Base","3.009"" (76.43mm)","6.00' (1.83m)","2.000"" (50.80mm)","Adhesive, Screw","Pre-Punched Mounting Holes, Self Extinguishing","Poly-Vinyl Chloride (PVC)","Gray"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/DT07-021-202CST.pdf,-,1436-2469-ND,181-00610,HellermannTyton,HIGH DENSITY SLOTTED WALL WIRING,20,0,"52.32000","0","1","Pro-Duct® SD","Active","Slotted (Raceway), Base","4.008"" (101.80mm)","6.00' (1.83m)","2.000"" (50.80mm)","Screw","Pre-Punched Mounting Holes, Self Extinguishing","Poly-Vinyl Chloride (PVC)","Black"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/DT07-021-202CST.pdf,-,1436-2526-ND,181-00583,HellermannTyton,"SLOTTED WALL WIRING DUCT, 2"" X 4",20,0,"52.53000","0","1","Pro-Duct® SLA","Active","Slotted (Raceway), Base","4.008"" (101.80mm)","6.00' (1.83m)","2.000"" (50.80mm)","Adhesive, Screw","Pre-Punched Mounting Holes, Self Extinguishing","Poly-Vinyl Chloride (PVC)","Black"
