Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Quantity","Mounting Type","Packages Included","Features"
-,//media.digikey.com/Photos/Fair-Right/0199000033-VIEW-B.jpg,1934-1110-ND,0199000033,Fair-Rite Products Corp.,61 MAT'L SNAP-IT KIT (34),12,0,"82.62000","0","1","-","-","Active","Ferrite Cores - Cables and Wiring","18 Pieces (5 Values - Mixed Quantities)","Free Hanging","-","-"
https://www.murata.com/en-us/products/productdata/8796741140510/ENFA0020.pdf,//media.digikey.com/Photos/Murata%20Photos/MFG_EKDMGN02.jpg,490-17343-ND,EKDMGN02-KIT,Murata Electronics North America,FERRITE BEADS NOISE SUPPRESSION,9,0,"89.40000","0","1","Notebook","-","Active","Ferrite Beads and Chips","900 Pieces (45 Values - 20 Each)","Surface Mount","0201, 0402","-"
-,//media.digikey.com/Photos/Fair-Right/0199000030.jpg,1934-1115-ND,0199000030,Fair-Rite Products Corp.,31 MAT'L SNAP-IT KIT (34),17,0,"92.34000","0","1","-","-","Active","Ferrite Cores - Cables and Wiring","18 Pieces (6 Values - Mixed Quantities)","Free Hanging","-","-"
-,//media.digikey.com/photos/Wurth%20Electronics%20Photos/742791.JPG,732-1915-ND,742791,Wurth Electronics Inc.,KIT FERRITE SMD 1206-1812 SIZES,8,0,"117.00000","0","1","Plastic Box with Bin Guide","WE-CBF","Active","Ferrite Beads and Chips","705 Pieces (34 Values - Mixed Quantities)","Surface Mount","1210, 1206, 1812, 1806","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/782792.jpg,732-10154-ND,782792,Wurth Electronics Inc.,SMD EMI SUPPRESSION FERRITE BEAD,5,0,"117.00000","0","1","Plastic Box with Bin Guide","WE-CBA","Active","Ferrite Beads and Chips","1020 Pieces (35 Values - Mixed Quantities)","Surface Mount","0402, 0603, 0805, 1206, 1806","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_744230.jpg,732-10146-ND,744230,Wurth Electronics Inc.,SMD COMMON MODE LINE FILTERS WE-,2,0,"125.00000","0","1","Plastic Box with Bin Guide","WE-CNSW","Active","Common Mode Chokes for Signal Lines","560 Pieces (28 Values - 20 Each)","Surface Mount","0504, 0603, 0805, 1206, 1812","-"
-,//media.digikey.com/Photos/Fair-Right/0199000019.JPG,1934-1112-ND,0199000019,Fair-Rite Products Corp.,SHIELD BEAD KIT #19,23,0,"126.00000","0","1","-","-","Active","Ferrite Cores - Cables and Wiring","350 Pieces (28 Values - Mixed Quantities)","Free Hanging","-","-"
-,//media.digikey.com/Photos/Fair-Right/0199000041.JPG,1934-1109-ND,0199000041,Fair-Rite Products Corp.,75 MATERIAL SNAP-IT KIT,16,0,"130.50000","0","1","-","-","Active","-","-","-","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_742700.jpg,732-10084-ND,742700,Wurth Electronics Inc.,EMI SUPPRESSION AXIAL FERRITE BE,6,0,"140.00000","0","1","Plastic Box with Bin Guide","WE-AFB","Active","Ferrite Beads and Chips","63 Pieces (18 Values - Mixed Quantities)","Free Hanging","Axial","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/782013.jpg,732-10153-ND,782013,Wurth Electronics Inc.,AXIAL EMI SUPPRESSION FERRITES W,5,0,"140.00000","0","1","Plastic Box with Bin Guide","Automotive, AEC-Q200, WE-AEFA","Active","Ferrite Cores - Cables and Wiring","57 Pieces (19 Values - Mixed Quantities)","Free Hanging","Axial","-"
https://www.murata.com/en-global/products/productdata/8796739698718/ENFA0006.pdf,//media.digikey.com/Photos/Murata%20Photos/MFG_EKDMGN04.jpg,490-17337-ND,EKDMGN04-KIT,Murata Electronics North America,KIT NOISE FILTER FOR HIGH CURREN,3,0,"163.21000","0","1","-","BLE, BNX, DLW, NFE","Active","Common Mode Chokes, EMI/RFI Filters (LC, RC Networks), Ferrite Beads and Chips","251 Pieces (40 Values - Mixed Quantities)","Surface Mount","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744725.jpg,732-10148-ND,744725,Wurth Electronics Inc.,SMD COMMON MODE LINE FILTERS,4,0,"176.25000","0","1","Plastic Box with Bin Guide","-","Active","Common Mode Chokes","285 Pieces (35 Values - Mixed Quantities)","Surface Mount","-","-"
https://en.tdk.eu/download/175924/f81e5d35ac5a4f7d3b1017d148a461d5/ring-core-chokes-for-power-lines-inside-view.pdf,//media.digikey.com/photos/Epcos%20Photos/B82721X1.jpg,495-6743-ND,B82721X0001,EPCOS (TDK),KIT CHOKE POWER LINE RING CORE,4,0,"89.62000","0","1","Plastic Box with Bin Guide","B82721","Active","Common Mode Chokes for Power Lines","Assorted","Through Hole","-","-"
https://api.kemet.com/component-edge/download/datasheet/EMI ENG KIT 01.pdf,//media.digikey.com/Photos/Kemet%20Photos/EMI-ENG-KIT-01.jpg,399-12109-ND,EMI ENG KIT 01,KEMET,EMI CORES,25,0,"114.75000","0","1","Plastic Box with Bin Guide","ESD-SR","Active","Ferrite Cores - Cables and Wiring","27 Pieces (9 Values - 3 Each)","Snap-On","-","-"
-,//media.digikey.com/photos/Wurth%20Electronics%20Photos/742790.JPG,732-1916-ND,742790,Wurth Electronics Inc.,KIT FERRITE SMD 0402-0805 SIZES,7,0,"117.00000","0","1","Plastic Box with Bin Guide","WE-CBF","Active","Ferrite Beads and Chips","1020 Pieces (34 Values - 30 Each)","Surface Mount","0402, 0603, 0805","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744630.jpg,732-10147-ND,744630,Wurth Electronics Inc.,COMMON MODE POWER LINE CHOKES WE,3,0,"140.00000","0","1","Plastic Box with Bin Guide","WE-LF","Active","Common Mode Chokes for Power Lines","72 Pieces (36 Values - 2 Each)","Through Hole","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744800.jpg,732-10150-ND,744800,Wurth Electronics Inc.,COMMON MODE POWER LINE CHOKES WE,2,0,"140.00000","0","1","Plastic Box with Bin Guide","WE-CMBNC","Active","Common Mode Chokes for Power Lines","21 Pieces (15 Values - Mixed Quantities)","Through Hole","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744821.jpg,732-10151-ND,744821,Wurth Electronics Inc.,COMMON MODE POWER LINE CHOKES WE,2,0,"140.00000","0","1","Plastic Box with Bin Guide","WE-CMB","Active","Common Mode Chokes for Power Lines","98 Pieces (33 Values - Mixed Quantities)","Through Hole","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744825.jpg,732-10152-ND,744825,Wurth Electronics Inc.,COMMON MODE POWER LINE CHOKES WE,2,0,"140.00000","0","1","Plastic Box with Bin Guide","WE-CMB, WE-CMBH","Active","Common Mode Chokes for Power Lines","26 Pieces (15 Values - Mixed Quantities)","Through Hole","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760801.jpg,732-10180-ND,760801,Wurth Electronics Inc.,POWER FACTOR CORRECTION CHOKES W,3,0,"145.00000","0","1","Plastic Box with Bin Guide","WE-PFC","Active","Common Mode Chokes for Power Lines","32 Pieces (15 Values - Mixed Quantities)","Through Hole","-","-"
https://product.tdk.com/info/en/catalog/datasheets/ferrite_nz_emc_sample_en.pdf,//media.digikey.com/photos/TDK%20Photos/EMC-A201.JPG,445-174669-ND,EMC-A201,TDK Corporation,FERRITE SAMPLE KIT,2,0,"337.50000","0","1","Plastic Box with Bin Guide","HF","Active","Ferrite Cores - Cables and Wiring","521 Pieces (55 Values - Mixed Quantities)","Surface Mount","-","-"
https://api.kemet.com/component-edge/download/datasheet/PPR ENG KIT 04.pdf,//media.digikey.com/photos/Kemet%20Photos/PPR-ENG-KIT-04.jpg,1680-1011-ND,PPR ENG KIT 04,KEMET,METALLIZED IMPREGNATED PAPER CAP,6,0,"19.34000","0","1","Bulk","P410","Active","EMI/RFI Filters (LC, RC Networks)","50 Pieces (5 Values - 10 Each)","Through Hole","Radial","-"
http://catalog.triadmagnetics.com/Asset/CMF16K.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/MFG_CMF16.jpg,237-2277-ND,CMF16K,Triad Magnetics,CMF16K - COMMON MODE CHOKE KIT.,9,15,"33.42000","0","1","Plastic Box with Bin Guide","CMF","Active","Common Mode Chokes","21 Pieces (7 Values - 3 Each)","Through Hole","Horizontal, 4 PC Pin","-"
http://catalog.triadmagnetics.com/Asset/CMF23HK.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/MFG_CMF23HK.jpg,237-2285-ND,CMF23HK,Triad Magnetics,CMF23HK - COMMON MODE CHOKE KIT.,10,13,"36.26000","0","1","Plastic Box with Bin Guide","CMF","Active","Common Mode Chokes","21 Pieces (7 Values - 3 Each)","Through Hole","Horizontal, 4 PC Pin","-"
http://catalog.triadmagnetics.com/Asset/CMF23VK.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/MFG_CMF23VK.jpg,237-2293-ND,CMF23VK,Triad Magnetics,CMF23VK - COMMON MODE CHOKE KIT.,10,16,"36.26000","0","1","Plastic Box with Bin Guide","CMF","Active","Common Mode Chokes","21 Pieces (7 Values - 3 Each)","Through Hole","Vertical, 4 PC Pin","-"
https://productfinder.pulseeng.com/doc_type/WEB301/doc_num/P688/doc_part/P688.pdf,//media.digikey.com/Photos/Pulse%20Photos/EMI2NLKIT.jpg,553-4121-ND,EMI2NLKIT,Pulse Electronics Power,KIT EMI COMMON MODE CHOKE,37,0,"37.82000","0","1","-","*","Active","-","-","-","-","-"
-,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_EK33B0011.jpg,1798-1282-ND,EK33B0011,Leader Tech Inc.,ENGINEERING KIT - LOW FREQUENCY,16,0,"92.23000","0","1","-","-","Active","Ferrite Cores - Cables and Wiring","33 Pieces (9 Values - Mixed Quantities)","-","-","-"
-,//media.digikey.com/Photos/Fair-Right/0199000043.jpg,1934-1107-ND,0199000043,Fair-Rite Products Corp.,FLEX FERRITE KIT#43,13,0,"92.25000","0","1","-","-","Active","-","6 Pieces (6 Values - 1 Each)","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20PDFs/UKIT-008BM_Kit.pdf,//media.digikey.com/Photos/Pulse%20Photos/MFG_UKIT-008BM.jpg,1840-1176-ND,UKIT-008BM,Pulse Electronics Network,KIT AECQ XFMR CMC BATT MNGT SYST,4,0,"97.50000","0","1","-","-","Active","Common Mode Chokes, Ferrite Beads and Chips, Transformers","Assorted","Surface Mount","0805 (2012 Metric)","-"
-,//media.digikey.com/Photos/Fair-Right/0199000025.JPG,1934-1105-ND,0199000025,Fair-Rite Products Corp.,SMBEAD KIT #25,14,0,"103.50000","0","1","-","-","Active","Ferrite Beads and Chips","186 Pieces (20 Values - Mixed Quantities)","Surface Mount","-","-"
-,//media.digikey.com/Photos/Fair-Right/0199000018.jpg,1934-1108-ND,0199000018,Fair-Rite Products Corp.,CHIP BEAD KIT # 18,9,0,"111.78000","0","1","-","-","Active","Ferrite Beads and Chips","1180 Pieces (19 Values - Mixed Quantities)","Surface Mount","01005, 1608, 2012, 3216, 4516","-"
-,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_EK25B0012.jpg,1798-1280-ND,EK25B0012,Leader Tech Inc.,ENGINEERING KIT - HIGH FREQUENCY,13,0,"111.96000","0","1","-","-","Active","Ferrite Cores - Cables and Wiring","25 Pieces (10 Values - Mixed Quantities)","-","-","-"
-,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_EK20B0009.jpg,1798-1281-ND,EK20B0009,Leader Tech Inc.,ENGINEERING KIT - BLUETOOTH - BI,19,0,"113.18000","0","1","-","-","Active","Ferrite Cores - Cables and Wiring","20 Pieces (9 Values - Mixed Quantities)","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/CTS%20Corporation%20PDFs/4310-900_Filter_Kit.pdf,-,410-1290-ND,4310-900,Tusonix a Subsidiary of CTS Electronic Components,PRESS-IN EMI/RFI FILTER KIT,4,0,"120.00000","0","1","-","-","Active","EMI/RFI Filters (LC, RC Networks)","40 Pieces (10 Values - 4 Each)","Through Hole","Axial","-"
http://www.fair-rite.com/wp-content/uploads/2017/04/HF-Mini-Power-Kit-for-67-Material-Pamplet.pdf,//media.digikey.com/Photos/Fair-Right/0199000044.jpg,1934-1106-ND,0199000044,Fair-Rite Products Corp.,HF MINI POWER KIT,9,0,"126.00000","0","1","-","-","Active","Ferrite Cores - Cables and Wiring","44 Pieces (10 Values - Mixed Quantities)","Free Hanging","-","-"
https://www.murata.com/en-us/products/productdata/8796743696414/QNFA9103.pdf,//media.digikey.com/Photos/Murata%20Photos/MFG_EKDMAT01.jpg,490-17342-ND,EKDMAT01-KIT,Murata Electronics North America,KIT AUTOMOTIVE PRODUCTS,6,0,"128.75000","0","1","-","EMIFIL®, DLW31, DLW43","Active","Common Mode Chokes, EMI/RFI Filters (LC, RC Networks), Ferrite Beads and Chips","1238 Pieces (69 Values - Mixed Quantities)","Surface Mount","-","-"
-,//media.digikey.com/Photos/Fair-Right/0199000036.JPG,1934-1111-ND,0199000036,Fair-Rite Products Corp.,MULTI-APERTURE CORE KIT #36,8,0,"133.65000","0","1","-","-","Active","Ferrite Cores - Cables and Wiring","160 Pieces (20 Values - Mixed Quantities)","Free Hanging","-","-"
https://www.murata.com/en-global/products/productdata/8796762963998/EFLC0024.pdf,//media.digikey.com/Photos/Murata%20Photos/MFG_EKDMGN03.jpg,490-17336-ND,EKDMGN03-KIT,Murata Electronics North America,KIT COMMON MODE CHOKE,6,0,"149.80000","0","1","-","DLM, DLP, DLW","Active","Common Mode Chokes for Signal Lines","540 Pieces (54 Values - 10 Each)","Surface Mount","0202, 0302, 0504, 0603, 0804","-"
-,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_EK28B0032.jpg,1798-1278-ND,EK28B0032,Leader Tech Inc.,ENGINEERING KIT - WIDEBAND - BIS,16,0,"271.17000","0","1","-","-","Active","Ferrite Cores - Cables and Wiring","Assorted","-","-","-"
-,//media.digikey.com/Photos/Fair-Right/0199000039.jpg,1934-1104-ND,0199000039,Fair-Rite Products Corp.,HI FREQ TOROID KIT,7,0,"403.38000","0","1","-","-","Active","Ferrite Cores - Cables and Wiring","208 Pieces (32 Values - Mixed Quantities)","Free Hanging","-","-"
//media.digikey.com/pdf/Data%20Sheets/Digi-Key%20PDFs/EMINLKIT.pdf,-,553-3536-ND,EMINLKIT,Pulse Electronics Power,KIT EMI,19,0,"33.70000","0","1","Plastic Box with Bin Guide","-","Active","Common Mode Chokes for Power Lines","22 Pieces (11 Values - 2 Each)","Surface Mount","Non-Standard SMD","-"
https://www.murata.com/en-us/products/productdata/8796740059166/ENFA0018.pdf,//media.digikey.com/Photos/Murata%20Photos/MFG_EKDMGN01.jpg,490-17335-ND,EKDMGN01-KIT,Murata Electronics North America,FERRITE BEADS NOISE SUPPRESSION,0,0,"150.59000","0","1","-","EMIFIL®","Active","Ferrite Beads and Chips","1240 Pieces (62 Values - 20 Each)","Surface Mount","0402, 0603, 0805, 1206, 1806","-"
http://catalog.triadmagnetics.com/Asset/CMT908K.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/CMT908-KIT.jpg,237-1238-ND,CMT908K,Triad Magnetics,KIT INDUCTOR COMN MODE CMT908,5,1,"29.63000","0","1","Plastic Box with Bin Guide","CMT","Active","Common Mode Chokes for Power Lines","8 Pieces (8 Values - 1 Each)","Through Hole","Module","-"
//media.digikey.com/pdf/Data%20Sheets/Qualcomm%20PDFs/B39000Z3410A004_Rev2012.pdf,//media.digikey.com/photos/Epcos%20Photos/B39000Z3410A4.JPG,495-6734-ND,B39000Z3410A004,Qualcomm (RF360 - A Qualcomm & TDK Joint Venture),SAMPLE KIT FOR WIRELESS AMI,4,0,"46.50000","0","1","Plastic Box with Bin Guide","-","Active","Resonators, Saw Filters","Assorted","Surface Mount","-","-"
https://en.tdk.eu/download/175900/c1f14653fe15e957483df4344ed05ae7/frame-core-chokes-b82732f-inside-view.pdf,//media.digikey.com/Photos/Epcos%20Photos/B82732X1.JPG,495-6735-ND,B82732X0001,EPCOS (TDK),KIT CHOKE POWER LINE FRAME CORE,4,0,"48.13000","0","1","Plastic Box with Bin Guide","B82732F","Active","Common Mode Chokes for Power Lines","Assorted","Through Hole","Horizontal, 4 PC Pin","-"
https://en.tdk.eu/download/175920/dbd21faa28edcc23f31eb090f197c6d9/d-core-chokes-inside-view.pdf,//media.digikey.com/Photos/Epcos%20Photos/B82731X1.JPG,495-1687-ND,B82731X0001,EPCOS (TDK),KIT CHOKE POWER LINE D-CORE,3,0,"48.13000","0","1","Plastic Box with Bin Guide","B82731M","Active","Common Mode Chokes for Power Lines","Assorted","Through Hole","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_742841.jpg,732-10086-ND,742841,Wurth Electronics Inc.,SMD FERRITES WE-CBF HF,1,0,"117.00000","0","1","Plastic Box with Bin Guide","WE-CBF","Active","Ferrite Beads and Chips","780 Pieces (26 Values - 30 Each)","Surface Mount","0402, 0603","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744864.JPG,732-1920-ND,744864,Wurth Electronics Inc.,KIT CHOKE FC SERIES,1,0,"140.00000","0","1","Plastic Box with Bin Guide","WE-FC","Active","Common Mode Chokes for Power Lines","60 Pieces (15 Values - 4 Each)","Through Hole","Module","-"
https://api.kemet.com/component-edge/download/datasheet/PPR ENG KIT 03.pdf,//media.digikey.com/photos/Kemet%20Photos/PPR-ENG-KIT-03.jpg,1680-1010-ND,PPR ENG KIT 03,KEMET,METALLIZED IMPREGNATED PAPER CAP,5,0,"27.20000","0","1","Bulk","P409","Active","EMI/RFI Filters (LC, RC Networks)","100 Pieces (10 Values - 10 Each)","Through Hole","Radial","-"
https://en.tdk.eu/download/175912/885c17869acac6c2d9973a9c5a6f5a11/frame-core-chokes-for-power-lines-b82733f-inside-view.pdf,//media.digikey.com/Photos/Epcos%20Photos/B82733X001.JPG,495-6744-ND,B82733X0001,EPCOS (TDK),KIT CHOKE POWER LINE FRAME CORE,4,0,"48.13000","0","1","Plastic Box with Bin Guide","B82733F","Active","Common Mode Chokes for Power Lines","Assorted","Through Hole","Horizontal, 4 PC Pin","-"
https://api.kemet.com/component-edge/download/datasheet/EMI ENG KIT 02.pdf,//media.digikey.com/Photos/Kemet%20Photos/EMI-ENG-KIT-02.jpg,399-12110-ND,EMI ENG KIT 02,KEMET,EMI CORES,4,0,"68.37000","0","1","Plastic Box with Bin Guide","B-20","Active","Ferrite Cores - Cables and Wiring","180 Pieces (9 Values - 20 Each)","Free Hanging","-","-"
https://en.tdk.eu/inf/130/ring_core_chokes_power_lines_B82723.pdf,//media.digikey.com/Photos/Epcos%20Photos/B82723X1.JPG,495-6638-ND,B82723X001,EPCOS (TDK),CHOKE DOUBLE,1,0,"78.20000","0","1","Plastic Box with Bin Guide","B82723","Active","Common Mode Chokes for Power Lines","Assorted","Through Hole","-","-"
//media.digikey.com/pdf/Data%20Sheets/Fair-Rite/80_Material_Ring_Kit.pdf,//media.digikey.com/Photos/Fair-Right/MFG_0199000046.jpg,1934-1493-ND,0199000046,Fair-Rite Products Corp.,80 MATERIAL RING KIT,7,0,"23.18000","0","1","-","-","Active","Ferrite Beads and Chips","3 Pieces (3 Values - 1 Each)","Free Hanging","-","-"
-,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_EK28B0021.jpg,1798-1279-ND,EK28B0021,Leader Tech Inc.,ENGINEERING KIT - WIDEBAND - SOL,1,0,"71.01000","0","1","-","-","Active","Ferrite Cores - Cables and Wiring","28 Pieces (20 Values - Mixed Quantities)","-","-","-"
-,-,732-13997-ND,742722,Wurth Electronics Inc.,FLAT FERRITE CORES WE-FLAT,0,0,"120.00000","0","1","Plastic Box with Bin Guide","WE-FLAT","Active","Ferrite Cores - Cables and Wiring","99 Pieces (24 Values - Mixed Quantities)","Free Hanging","-","-"
-,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_FSLK-CARRY_View-1.jpg,1798-1283-ND,FSLK-CARRY,Leader Tech Inc.,FERRITE EMI/EMC LAB KIT,0,0,"414.48000","0","1","-","*","Active","-","-","-","-","-"
http://catalog.triadmagnetics.com/Asset/CME2425K.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/MFG_CME2425K.jpg,237-1229-ND,CME2425K,Triad Magnetics,KIT INDUCTOR COMMON MODE CME2425,0,50,"35.58000","0","1","Plastic Box with Bin Guide","CME","Active","Common Mode Chokes for Power Lines","9 Pieces (9 Values - 1 Each)","Through Hole","-","-"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/445-174585-KIT.pdf,//media.digikey.com/Photos/TDK%20Photos/445-174585-KIT.JPG,445-174585-KIT-ND,MMZ1005-GIGA-KIT,TDK Corporation,MMZ1005 GIGA/HIGH SPEED KIT,2,0,"37.58000","0","1","Plastic Box with Bin Guide","MMZ","Active","Ferrite Beads and Chips","160 Pieces (16 Values - 10 Each)","Surface Mount","0402 (1005 Metric)","-"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/MMZ1608_Series_Auto_Kit.pdf,//media.digikey.com/Photos/TDK%20Photos/MMZ1608AUTO-KIT.jpg,445-174604-KIT-ND,MMZ1608AUTO-1-KIT,TDK Corporation,1608 200-1500MA 15-2000 OHM,5,0,"39.64000","0","1","Plastic Box with Bin Guide","MMZ","Active","Ferrite Beads and Chips","210 Pieces (21 Values - 10 Each)","Surface Mount","0603 (1608 Metric)","-"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/KMZ-KPZ-AUTO-KIT_DS.pdf,//media.digikey.com/photos/TDK%20Photos/KMZ-KPZ-AUTO-KIT.JPG,445-175078-KIT-ND,KMZ-KPZ-AUTO-KIT,TDK Corporation,KMZ1608/ KPZ1608 AUTO KIT,3,0,"41.69000","0","1","Plastic Box with Bin Guide","KMZ,KPZ","Active","Ferrite Beads and Chips","240 Pieces (24 Values - 10 Each)","Surface Mount","1608","Soft Termination"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/MMZ1608_Series_Auto_Kit.pdf,//media.digikey.com/Photos/TDK%20Photos/445-174605-KIT.jpg,445-174605-KIT-ND,MMZ1608AUTO-2-KIT,TDK Corporation,1608 200-1500MA 3-2500 OHM,4,0,"43.46000","0","1","Plastic Box with Bin Guide","MMZ","Active","Ferrite Beads and Chips","250 Pieces (25 Values - 10 Each)","Surface Mount","0603 (1608 Metric)","-"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/445-174587-KIT.pdf,//media.digikey.com/Photos/TDK%20Photos/445-174587-KIT.jpg,445-174587-KIT-ND,MMZ1005-COMM-KIT,TDK Corporation,MMZ1005 STANDARD KIT,0,0,"43.79000","0","1","Plastic Box with Bin Guide","MMZ1005","Active","Ferrite Beads and Chips","270 Pieces (27 Values - 10 Each)","Surface Mount","0402 (1005 Metric)","-"
