Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Values"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=696642&DocType=Customer+Drawing&DocLang=English,-,A136454-ND,696642-1,TE Connectivity AMP Connectors,"KIT-4,3/8,NI+RT555-.500X1.50",50,0,"29.08000","0","1","Bulk","Solistrand, Strato-Therm","Active","Ring Terminals","2 pcs - 1 ea Ring Terminal, Heat Shrink Tubing"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=696645&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/696645-1.jpg,A136457-ND,696645-1,TE Connectivity AMP Connectors,"KIT-2,7/16,NI+RT555-.625X1.50",50,0,"29.66000","0","1","Bulk","Solistrand, Strato-Therm","Active","Ring Terminals","2 pcs - 1 ea Ring Terminal, Heat Shrink Tubing"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Accessories.pdf,//media.digikey.com/Photos/Weidmuller/MFG_9025920000.jpg,281-5131-ND,9025920000,Weidmüller,FERRULE H-BOX 4 0-16 0QMM,15,3,"31.93000","0","1","Plastic Box with Slide Cover","-","Active","Ferrule - Wire End","Assorted 4.0 - 16 mm Insulated Ferrules"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Accessories.pdf,//media.digikey.com/Photos/Weidmuller/MFG_9025900000.jpg,281-5129-ND,9025900000,Weidmüller,FERRULE BOX 20-14AWG,8,19,"34.02000","0","1","Plastic Box with Slide Cover","-","Active","Ferrule - Wire End","Assorted 0.5 - 2.5 mm Insulated Ferrules"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Accessories.pdf,//media.digikey.com/Photos/Weidmuller/MFG_9025410000.jpg,281-5121-ND,9025410000,Weidmüller,FERRULE BOX 26-18 AWG WEID,7,4,"42.82000","0","1","Plastic Box with Bin Guide","-","Active","Ferrule - Wire End","Assorted Insulated Ferrules"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Accessories.pdf,//media.digikey.com/Photos/Weidmuller/MFG_9025390000.jpg,281-5120-ND,9025390000,Weidmüller,FERRULE BOX TWIN 20-14AWG WM,7,10,"43.05000","0","1","Plastic Box with Slide Cover","-","Active","Ferrule - Wire End","Assorted 0.5 - 2.5 mm Insulated Ferrules"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Accessories.pdf,//media.digikey.com/Photos/Weidmuller/MFG_9025430000.JPG,281-6143-ND,9025430000,Weidmüller,FERRULE H-BOX 0 5-2 5QMM DIN,6,0,"48.12000","0","1","Plastic Box with Slide Cover","-","Active","Ferrule - Wire End","Assorted 0.5 - 2.5 mm Insulated Ferrules"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20PDFs/UKIT-003FE_Kit.pdf,//media.digikey.com/Photos/Pulse%20Photos/MFG_UKIT-003FE.jpg,1840-1019-ND,UKIT-003FE,Pulse Electronics Network,KIT ETHERNET PULSEJACK 100BASE-T,7,0,"62.90000","0","1","Plastic Box with Bin Guide","PULSEJACK™","Active","Modular - Jacks","22 pcs - Assorted"
//media.digikey.com/pdf/Data%20Sheets/Pulse%20PDFs/UKIT-006GP_Kit.pdf,//media.digikey.com/Photos/Pulse%20Photos/UKIT-006GP.JPG,1840-1020-ND,UKIT-006GP,Pulse Electronics Network,KIT ETHERNET PULSEJACK 1000BASET,6,0,"85.00000","0","1","Plastic Box with Bin Guide","PULSEJACK™","Active","Modular - Jacks","21 pcs - Assorted"
-,"//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_KP-FSD(1,2,3).jpg",298-14599-ND,KP-FSD1,Panduit Corp,KIT FERRULE INS DIN AWG24-18,10,0,"110.39000","0","1","Plastic Case with Turn Top","Pan-Term®","Active","Ferrule - Wire End","150 pcs - Assorted Insulated 24 ~ 18 AWG Ferrules"
