Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Quantity"
//media.digikey.com/pdf/Data%20Sheets/D6%20Labs%20PDFs/WSK-900-0024.pdf,-,1661-1075-ND,WSK-900-0024,Digital Six Labs,HANDWASH KIT UNIV PRO ETH,0,0,"278.20000","0","1","-","*","Active","-","-"
//media.digikey.com/pdf/Data%20Sheets/D6%20Labs%20PDFs/WSK-900-0025.pdf,-,1661-1076-ND,WSK-900-0025,Digital Six Labs,HANDWASH KIT UNIV PRO 4G,0,0,"359.45000","0","1","-","*","Active","-","-"
https://www.bourns.com/docs/Product-Datasheets/pec16.pdf,-,H-832-2-ND,H-832-2,Bourns Inc.,COMMERCIAL ENCODER DESIGN KIT,0,0,"19.00000","0","1","-","-","Active","Encoders","12 Pieces (6 Values - 2 Each)"
-,-,H-864-ND,H-864,Bourns Inc.,HARDWARE,0,0,"40.41000","0","1","Plastic Box with Bin Guide","3382","Active","Rotary Position Sensor","30 Pieces (6 Values - 5 Each)"
https://www.bourns.com/docs/Product-Datasheets/em14.pdf,-,H-832-3-ND,H-832-3,Bourns Inc.,EM14 DESIGN KIT,0,0,"70.00000","0","1","-","-","Active","Encoders","4 Pieces (4 Values - 1 Each)"
-,//media.digikey.com/Photos/PUI%20Audio/668-1573-KIT.jpg,668-1573-KIT-ND,668-1573-KIT,"PUI Audio, Inc.",ULTRASONIC SENSOR KIT,6,0,"77.69000","0","1","Plastic Box with Bin Guide","-","Active","Ultrasonic Sensor","21 Pieces (7 Values - 3 Each)"
-,-,H-832-4-ND,H-832-4,Bourns Inc.,HARDWARE,0,0,"87.05000","0","1","Plastic Box with Bin Guide","EMS22","Active","Magnetic Sensor","4 Pieces (4 Values - 1 Each)"
https://www.heraeus.com/media/media/hne/brochures_1/Sensorbroschuere_englisch.pdf,//media.digikey.com/Photos/Heraeus%20Nexensos%20USA/1759-1048-KIT.JPG,1759-1048-KIT-ND,1759-1048-KIT,Heraeus Nexensos USA,100 OHM RTD KIT,10,0,"95.50000","0","1","-","*","Active","-","-"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Optoelectronics/Datasheets/OPB9000.pdf,-,OPB9000-KIT-ND,OPB9000-KIT,TT Electronics/Optek Technology,PHOTOLOGIC V REFLECTIVE SENSOR K,0,0,"195.00000","0","5","-","-","Active","Reflective Optical Sensor","-"
https://monnit.azureedge.net/content/documents/datasheets/ALTA/ADK-005-ALTA-Pharmaceutical-Lab-Kit-Data-Sheet.pdf,//media.digikey.com/Photos/Monnit-Corporation/MFG_MNK2-9-CG-PHL-ROG.jpg,MNK2-9-CG-PHL-ROG-ND,MNK2-9-CG-PHL-ROG,Monnit Corporation,ALTA PHARMACY / LAB MONITORING K,0,0,"338.40000","0","10","-","-","Active","Wireless IoT Sensor Kit","3 Pieces (Assorted per Value)"
https://monnit.azureedge.net/content/documents/datasheets/ALTA/ADK-001-ALTA-Commercial-Refrigeration-Kit-Data-Sheet.pdf,//media.digikey.com/Photos/Monnit-Corporation/MFG_MNK2-9-CG-CRF-ROG.jpg,MNK2-9-CG-CRF-ROG-ND,MNK2-9-CG-CRF-ROG,Monnit Corporation,ALTA COMMERCIAL REFRIGERATION MO,0,0,"410.40000","0","10","-","-","Active","Wireless IoT Sensor Kit","4 Pieces (Assorted Per Value)"
https://monnit.azureedge.net/content/documents/datasheets/ALTA/ADK-010-ALTA-Small-Business-Kit-Data-Sheet.pdf,//media.digikey.com/Photos/Monnit-Corporation/MFG_MNK2-9-CG-SMB-ROG.jpg,MNK2-9-CG-SMB-ROG-ND,MNK2-9-CG-SMB-ROG,Monnit Corporation,ALTA SMALL BUSINESS MONITORING K,0,0,"428.40000","0","10","-","-","Active","Wireless IoT Sensor Kit","4 Pieces (4 Values - 1 Each)"
https://monnit.azureedge.net/content/documents/datasheets/ALTA/ADK-009-ALTA-Mobile-Refrigeration-Kit-Data-Sheet.pdf,//media.digikey.com/Photos/Monnit-Corporation/MFG_MNK2-9-CG-MRF-ROG.jpg,MNK2-9-CG-MRF-ROG-ND,MNK2-9-CG-MRF-ROG,Monnit Corporation,ALTA MOBILE REFRIGERATION MONITO,0,0,"478.80000","0","10","-","-","Active","Wireless IoT Sensor Kit","5 Pieces (5 Values - 1 Each)"
