Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Capacitance Range","Mounting Type","Voltage - Rated","Tolerance","Applications","Features","Quantity","Packages Included"
http://datasheets.avx.com/UQ-Series.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9791-ND,KITUQ330LF,AVX Corporation,CAP KIT CERAMIC 1PF-10PF 240PCS,0,0,"Active","0","0","Notebook","UQ","Active","Ceramic","1pF ~ 10pF","Surface Mount, MLCC","250V","±0.1pF, ±0.25pF, ±5%","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","0805 (2012 Metric)"
http://datasheets.avx.com/UQ-Series.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9792-ND,KITUQ340LF,AVX Corporation,CAP KIT CERAMIC 10PF-100PF 240PC,0,0,"Active","0","0","Notebook","UQ","Active","Ceramic","10pF ~ 100pF","Surface Mount, MLCC","250V","±5%","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","0805 (2012 Metric)"
http://datasheets.avx.com/UQ-Series.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9793-ND,KITUQ350LF,AVX Corporation,CAP KIT CER 100PF-240PF 105PCS,0,0,"Active","0","0","Notebook","UQ","Active","Ceramic","100pF ~ 240pF","Surface Mount, MLCC","250V","±5%","RF, Microwave, High Frequency","High Q, Low Loss","105 Pieces (7 Values - 15 Each)","0805 (2012 Metric)"
http://datasheets.avx.com/UQ-Series.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9794-ND,KITUQ800LF,AVX Corporation,CAP KIT CERAMIC 0.1PF-2PF 240PCS,0,0,"Active","0","0","Notebook","UQ","Active","Ceramic","0.1pF ~ 2pF","Surface Mount, MLCC","250V","±0.1pF, ±0.25pF","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","0605 (1613 Metric)"
http://datasheets.avx.com/UQ-Series.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9795-ND,KITUQ810LF,AVX Corporation,CAP KIT CERAMIC 1PF-10PF 240PCS,0,0,"Active","0","0","Notebook","UQ","Active","Ceramic","1pF ~ 10pF","Surface Mount, MLCC","250V","±0.1pF, ±0.25pF, ±5%","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","0605 (1613 Metric)"
http://datasheets.avx.com/UQ-Series.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9796-ND,KITUQ820LF,AVX Corporation,CAP KIT CERAMIC 10PF-100PF 240PC,0,0,"Active","0","0","Notebook","UQ","Active","Ceramic","10pF ~ 100pF","Surface Mount, MLCC","250V","±5%","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","0605 (1613 Metric)"
http://datasheets.avx.com/UQ-Series.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9797-ND,KITUQ830LF,AVX Corporation,CAP KIT CERAMIC 1PF-10PF 240PCS,0,0,"Active","0","0","Notebook","UQ","Active","Ceramic","1pF ~ 10pF","Surface Mount, MLCC","500V","±0.1pF, ±0.25pF, ±5%","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","1210 (3225 Metric)"
http://datasheets.avx.com/UQ-Series.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9798-ND,KITUQ840LF,AVX Corporation,CAP KIT CERAMIC 10PF-100PF 240PC,0,0,"Active","0","0","Notebook","UQ","Active","Ceramic","10pF ~ 100pF","Surface Mount, MLCC","500V","±5%","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","1210 (3225 Metric)"
http://datasheets.avx.com/UQ-Series.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9799-ND,KITUQ850LF,AVX Corporation,CAP KIT CER 100PF-1000PF 240PCS,0,0,"Active","0","0","Notebook","UQ","Active","Ceramic","100pF ~ 1000pF","Surface Mount, MLCC","50 ~ 500 V","±5%, ±10%","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","1210 (3225 Metric)"
http://datasheets.avx.com/sqca-sqcb.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9800-ND,KITSQ900LF,AVX Corporation,CAP KIT CERAMIC 10PF-100PF 240PC,0,0,"Active","0","0","Notebook","SQ","Active","Ceramic","10pF ~ 100pF","Surface Mount, MLCC","500V","±5%","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","1210 (3225 Metric)"
http://datasheets.avx.com/sqca-sqcb.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9801-ND,KITSQ1100LF,AVX Corporation,CAP KIT CERAMIC 1PF-10PF 240PCS,0,0,"Active","0","0","Notebook","SQ","Active","Ceramic","1pF ~ 10pF","Surface Mount, MLCC","500V","±0.1pF, ±0.25pF, ±5%","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","1210 (3225 Metric)"
http://datasheets.avx.com/sqca-sqcb.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9802-ND,KITSQ1400LF,AVX Corporation,CAP KIT CER 1000PF-5100PF 165PCS,0,0,"Active","0","0","Notebook","SQ","Active","Ceramic","1000pF ~ 5100pF","Surface Mount, MLCC","50V","±5%","RF, Microwave, High Frequency","High Q, Low Loss","165 Pieces (11 Values - 15 Each)","1210 (3225 Metric)"
http://datasheets.avx.com/sqcs-sqcf.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9803-ND,KITSQ1500LF,AVX Corporation,CAP KIT CERAMIC 0.1PF-10PF 405PC,0,0,"Active","0","0","Notebook","SQ","Active","Ceramic","0.1pF ~ 10pF","Surface Mount, MLCC","250V","±0.1pF, ±0.25pF, ±5%","RF, Microwave, High Frequency","High Q, Low Loss","405 Pieces (27 Values - 15 Each)","0603 (1608 Metric)"
http://datasheets.avx.com/sqcs-sqcf.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9804-ND,KITSQ1600LF,AVX Corporation,CAP KIT CERAMIC 10PF-100PF 240PC,0,0,"Active","0","0","Notebook","SQ","Active","Ceramic","10pF ~ 100pF","Surface Mount, MLCC","250V","±5%","RF, Microwave, High Frequency","High Q, Low Loss","240 Pieces (16 Values - 15 Each)","0603 (1608 Metric)"
http://datasheets.avx.com/sqcs-sqcf.pdf,//media.digikey.com/Photos/AVX%20Photos/KITUQ330LF.JPG,478-9805-ND,KITSQ1800LF,AVX Corporation,CAP KIT CERAMIC 0.1PF-10PF 405PC,0,0,"Active","0","0","Notebook","SQ","Active","Ceramic","0.1pF ~ 10pF","Surface Mount, MLCC","250V","±0.1pF, ±0.25pF, ±5%","RF, Microwave, High Frequency","High Q, Low Loss","405 Pieces (27 Values - 15 Each)","0805 (2012 Metric)"
