Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Style","Material - Core","Quantity","Inductance Range","Mounting Type","Packages Included","Features","Shielding"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/SPMXX12-XX15-LR-KIT.pdf,//media.digikey.com/photos/TDK%20Photos/SPMXX12-XX15-LR-KIT.JPG,445-175124-KIT-ND,SPMXX12-XX15-LR-KIT,TDK Corporation,SPMXX12-XX15-LR PWR INDUCTOR KIT,2,0,"95.39000","0","1","Plastic Box","SPM-LR","Active","Fixed","Wirewound","Metal","150 Pieces (30 Values - 5 Each)","470nH ~ 10µH","Surface Mount","Non-Standard SMD","-","Shielded"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/MHQ0603P-1_2-KIT_DS.pdf,//media.digikey.com/Photos/TDK%20Photos/445-173065-KIT.jpg,445-173065-KIT-ND,MHQ0603P-1-KIT,TDK Corporation,L 0603 1000-240MA 0.6NH-11NH,5,0,"106.69000","0","1","Book","MHQ-P","Active","Fixed","Multilayer","Ceramic, Non-Magnetic","600 Pieces (30 Values - 20 Each)","600pH ~ 11nH","Surface Mount","0201 (0603 Metric)","-","-"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/VLF-MT_Series_Kit.pdf,//media.digikey.com/Photos/TDK%20Photos/445-174862-KIT.jpg,445-174862-KIT-ND,VLF-MT-KIT,TDK Corporation,VLF-MT SERIES POWER INDUCTORS,8,0,"108.28000","0","1","Plastic Box","VLF-MT","Active","Fixed","Wirewound","Ferrite","168 Pieces (28 Values - 6 Each)","1µH ~ 22µH","Surface Mount","Non-Standard SMD","-","-"
-,-,B82462X004-ND,B82462X004,EPCOS (TDK),KIT INDUCTOR 6X6 POWER SMD,0,0,"114.59000","0","1","Plastic Box with Bin Guide","B82462-A4, B82462-G4","Active","Fixed","Wirewound","Ferrite","Assorted","-","Surface Mount","Non-Standard SMD","AEC-Q200","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/7440402.jpg,732-10156-ND,7440402,Wurth Electronics Inc.,SMD POWER INDUCTORS WE-LQS - 252,0,0,"117.00000","0","1","Plastic Box with Bin Guide","WE-LQS","Active","Fixed","Wirewound","Ferrite","550 Pieces (Assorted Per Value)","470nH ~ 47µH","Surface Mount","Non-Standard SMD","-","-"
//media.digikey.com/pdf/Data%20Sheets/Wurth%20Electronics%20PDFs/744062_Kit.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744062.JPG,732-1919-ND,744062,Wurth Electronics Inc.,KIT INDUCTOR TPC LARGE SIZES,0,0,"140.00000","0","1","Plastic Box with Bin Guide","WE-TPC","Active","Fixed","Wirewound","Ferrite","175 Pieces (35 Values - 5 Each)","1µH ~ 330µH","Surface Mount","Non-Standard SMD","-","-"
-,//media.digikey.com/photos/Wurth%20Electronics%20Photos/744777.JPG,732-1924-ND,744777,Wurth Electronics Inc.,KIT INDUCTOR PD SERIES MED SIZES,0,0,"140.00000","0","1","Plastic Box with Bin Guide","WE-PD","Active","Fixed","Wirewound","Ferrite","175 Pieces (35 Values - 5 Each)","1µH ~ 100µH","Surface Mount","Non-Standard SMD","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744332.jpg,732-2229-ND,744332,Wurth Electronics Inc.,KIT INDUCTOR WE-HCC SMD,0,0,"140.00000","0","1","Plastic Box with Bin Guide","WE-HCC","Active","Fixed","Wirewound","Ferrite","139 Pieces (Assorted Per Value)","220nH ~ 10µH","Surface Mount","Non-Standard SMD","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744070.jpg,732-10159-ND,744070,Wurth Electronics Inc.,SMD TINY POWER INDUCTORS WE-TPC,0,0,"140.00000","0","1","Plastic Box with Bin Guide","WE-TPC","Active","Fixed","Wirewound","Ferrite","340 Pieces (34 Values - 10 Each)","180nH ~ 22µH","Surface Mount","Non-Standard SMD","-","-"
-,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/7443736.jpg,732-10173-ND,7443736,Wurth Electronics Inc.,SMD LOW PROFILE HIGH CURRENT MOL,0,0,"140.00000","0","1","Plastic Box with Bin Guide","WE-LHMI","Active","Fixed","Molded","Iron Powder","130 Pieces (26 Values - 5 Each)","220nH ~ 10µH","Surface Mount","Non-Standard SMD","-","-"
