Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Values","Diameter","Color","Shrinkage Ratio"
http://www.qualtekusa.com/PDFs/HST_CABLE_TIES_CATALOG.pdf,-,Q5-F3X-RK1-3/4-01-6IN-12-ND,Q5-F3X-RK1-3/4-01-6IN-12,Qualtek,HEATSHRINK REFILL PK 3/4""-6"" BLK,0,0,"8.82300","0","10","Refill Pack","Q5-F3X","Active","12 pcs - 6"" (152.4mm) lengths","3/4""","Black","3 to 1"
http://multimedia.3m.com/mws/media/23031O/3mtm-heat-shrink-tubing-fp-301.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_FP301-1%5E16-BLACK.jpg,FP-301-1/16-BLACK-6""-PACK-ND,FP-301-1/16-BLACK-6""-PACK,3M,HEATSHRINK FP301 1/16-6"" BLACK,0,0,"9.11100","0","10","Refill Pack","FP-301","Active","10 - 38 pc Pkgs - 6"" (152.4mm) lengths","1/16""","Black","2 to 1"
http://multimedia.3m.com/mws/media/23031O/3mtm-heat-shrink-tubing-fp-301.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_FP-301-1%5E2-CLEAR.jpg,FP-301-1/2-CLEAR-6""-PACK-ND,FP-301-1/2-CLEAR-6""-PACK,3M,HEATSHRINK FP301 1/2-6"" CLEAR,0,0,"9.11100","0","10","Refill Pack","FP-301","Active","10 - 20 pc Pkgs - 6"" (152.4mm) lengths","1/2""","Clear","2 to 1"
http://multimedia.3m.com/mws/media/23031O/3mtm-heat-shrink-tubing-fp-301.pdf,-,FP-301-1/4-3/4-BLACK-ND,FP-301-1/4-3/4-BLACK,3M,HEATSHRINK FP301 1/4-3/4 BLACK,0,0,"9.11100","0","10","Refill Pack","FP-301","Active","10 - 16 pc Pkgs - 6"" (152.4mm) lengths","1/4"" ~ 3/4""","Black","2 to 1"
http://multimedia.3m.com/mws/media/23031O/3mtm-heat-shrink-tubing-fp-301.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_FP-301-1%5E4-CLEAR.jpg,FP-301-1/4-CLEAR-6""-PACK-ND,FP-301-1/4-CLEAR-6""-PACK,3M,HEATSHRINK FP301 1/4-6"" CLEAR,0,0,"9.11100","0","10","Refill Pack","FP-301","Active","10 - 26 pc Pkgs - 6"" (152.4mm) lengths","1/4""","Clear","2 to 1"
http://multimedia.3m.com/mws/media/23031O/3mtm-heat-shrink-tubing-fp-301.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_FP-301-3%5E32-CLEAR.jpg,FP-301-3/32-CLEAR-6""-PACK-ND,FP-301-3/32-CLEAR-6""-PACK,3M,HEATSHRINK FP301 3/32-6"" CLEAR,0,0,"9.11100","0","10","Refill Pack","FP-301","Active","10 - 36 pc Pkgs - 6"" (152.4mm) lengths","3/32""","Clear","2 to 1"
http://multimedia.3m.com/mws/media/23031O/3mtm-heat-shrink-tubing-fp-301.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_FP-301-3%5E4-CLEAR.jpg,FP-301-3/4-CLEAR-6""-PACK-ND,FP-301-3/4-CLEAR-6""-PACK,3M,HEATSHRINK FP301 3/4-6"" CLEAR,0,0,"9.11100","0","10","Refill Pack","FP-301","Active","10 - 14 pc Pkgs - 6"" (152.4mm) lengths","3/4""","Clear","2 to 1"
http://multimedia.3m.com/mws/media/23031O/3mtm-heat-shrink-tubing-fp-301.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_FP301-3%5E64-BLACK.jpg,FP-301-3/64-BLACK-6""-PACK-ND,FP-301-3/64-BLACK-6""-PACK,3M,HEATSHRINK FP301 3/64-6"" BLACK,0,0,"9.11100","0","10","Refill Pack","FP-301","Active","10 - 40 pc Pkgs - 6"" (152.4mm) lengths","3/64""","Black","2 to 1"
http://multimedia.3m.com/mws/media/23031O/3mtm-heat-shrink-tubing-fp-301.pdf,-,FP-301-3-BLACK-6""-PACK-ND,FP-301-3-BLACK-6""-PACK,3M,HEATSHRINK FP301 3-6"" BLACK,0,0,"9.11100","0","10","Refill Pack","FP-301","Active","10 - 3 pc Pkgs - 6"" (152.4mm) lengths","3""","Black","2 to 1"
http://multimedia.3m.com/mws/media/23031O/3mtm-heat-shrink-tubing-fp-301.pdf,-,FP-301-4-BLACK-6""-PACK-ND,FP-301-4-BLACK-6""-PACK,3M,HEATSHRINK FP301 4-6"" BLACK,0,0,"9.11100","0","10","Refill Pack","FP-301","Active","10 - 2 pc Pkgs - 6"" (152.4mm) lengths","4""","Black","2 to 1"
http://multimedia.3m.com/mws/media/769041O/3mtm-heat-shrink-tubing-and-devices-product-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/Q4988649.jpg,FP-RED-KIT-ND,FP-RED-KIT,3M,KIT HEATSHRK FP301 350PC 6 SIZES,8,0,"19.95000","0","1","Plastic Box with Bin Guide","FP-301","Active","350 pcs - 1 1/2"", 1"", 3/4"", 1/2"" (38.1, 25.4, 19.05, 12.7mm)","100 ea of 1/16"", 1/4"", 50 pcs ea of 3/32"", 1/8"", 3/16""","Red","2 to 1"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Heat_Seal_Connectors_&_Shrink_Tubing.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_10061.jpg,10061-ND,10061,Master Appliance Co,"SHRINK TUBING THIN WALL, MINIPAK",0,0,"21.86333","0","39","Plastic Box with Bin Guide","-","Active","39 pcs - Assorted of 9 values","3/16"" ~ 1""","Black, Blue, Red, Yellow","2 to 1"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Heat_Seal_Connectors_&_Shrink_Tubing.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_10063.jpg,10063-ND,10063,Master Appliance Co,"SHRINK TUBING DUAL WALL MINIPAK,",0,0,"26.79292","0","24","Plastic Box with Bin Guide","-","Active","24 pcs - Assorted of 6 values","1/8"" ~ 1""","Black","3 to 1"
http://multimedia.3m.com/mws/media/888004O/3m-heat-shrink-2013-electrical-products-catalog.pdf,//media.digikey.com/photos/3M%20Photos/VFP-KIT.jpg,VFP-KIT-ND,VFP-KIT,3M,KIT HEATSHRK VFP876 350PC 6 SIZE,1,0,"30.67000","0","1","Plastic Box with Bin Guide","VFP-876","Active","350 pcs - 1 1/2"", 1"", 3/4"", 1/2"" (38.1, 25.4, 19.05, 12.7mm)","100 ea of 1/16"", 1/4"", 50 pcs ea of 3/32"", 1/8"", 3/16""","Black","2 to 1"
http://www.qualtekusa.com/PDFs/HST_CABLE_TIES_CATALOG.pdf,-,Q5-3X-QK1-01-6IN-114-ND,Q5-3X-QK1-01-6IN-114,Qualtek,HEATSHRINK KIT 1/8""-3/4"" 114 PC,0,0,"31.63300","0","10","Plastic Box with Bin Guide","Q5-3X","Active","114 pcs - 6"" (152.4mm) lengths","28 ea of 1/8"", 24 ea of 3/16"", 20 ea of 1/4"", 16 ea of 3/8"", 14 ea of 1/2"", 12 ea of 3/4""","Black","3 to 1"
http://multimedia.3m.com/mws/media/23031O/3mtm-heat-shrink-tubing-fp-301.pdf,//media.digikey.com/photos/3M%20Photos/Q47606.JPG,FP-KIT-ND,FP-KIT,3M,KIT HEATSHRK FP301 350PC 6 SIZES,11,0,"32.14000","0","1","Plastic Box with Bin Guide","FP-301","Active","350 pcs - 1 1/2"", 1"", 3/4"", 1/2"" (38.1, 25.4, 19.05, 12.7mm)","100 ea of 1/16"", 1/4"", 50 pcs ea of 3/32"", 1/8"", 3/16""","Black","2 to 1"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/380-03001.pdf,-,380-03001-ND,380-03001,HellermannTyton,SHRINKIT 321 BASIC BLACK KIT,0,0,"38.89000","0","1","Plastic Box","ShrinKit 321","Active","220 pcs - 8 different sizes","0.038"" ~ 0.630"" OD (1.0mm ~ 16.0mm)","Black","3 to 1"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Heat_Seal_Connectors_&_Shrink_Tubing.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_10062.jpg,10062-ND,10062,Master Appliance Co,"SHRINK TUBING THIN WALL, 9 ITEMS",0,0,"39.45058","0","103","Plastic Box with Bin Guide","-","Active","103 pcs - Assorted of 9 values","3/16"" ~ 1""","Black, Blue, Red, Yellow","2 to 1"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Heat_Seal_Connectors_&_Shrink_Tubing.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_10064.jpg,10064-ND,10064,Master Appliance Co,"SHRINK TUBING DUAL WALL, 18 ITEM",0,0,"41.41208","0","48","Plastic Box with Bin Guide","-","Active","48 pcs - Assorted of 18 values","1/8"" ~ 3/4""","Black, Clear, Red","3 to 1"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Heat_Seal_Connectors_&_Shrink_Tubing.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_10065.jpg,10065-ND,10065,Master Appliance Co,"SHRINK TUBING DUAL WALL, 12 ITEM",0,0,"45.81364","0","66","Plastic Box with Bin Guide","-","Active","66 pcs - Assorted of 12 values","1/8"" ~ 3/4""","Black, Clear","3 to 1"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/380-03005.pdf,-,380-03005-ND,380-03005,HellermannTyton,SHRINKIT 321 UNIV BASIC KIT,0,0,"49.12000","0","1","Plastic Box","ShrinKit 321","Active","177 pcs - 8 different sizes","0.038"" ~ 0.630"" OD (1.0mm ~ 16.0mm)","Black, Blue, Green/Yellow, Red, White","3 to 1"
