Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Resistance (Ohms)","Resistive Material","Taper","Tolerance","Power (Watts)","Number of Turns","Quantity","Termination Style"
https://www.bourns.com/docs/technical-documents/Tel-Note/en/Bourns_K1450_LTE_RRU_PowerTel_Note.pdf,-,H-852-ND,H-852,Bourns Inc.,KIT POT TRIMMER 1-50K OHM 30PCS,0,0,"18.84000","0","1","Plastic Box with Bin Guide","Trimpot® 3224 - Sealed","Active","Trimmer","1k ~ 50k","Cermet","-","±10%","1/4W","12","30 Pieces (6 Values - 5 Each)","J Lead"
-,-,H-854-ND,H-854,Bourns Inc.,KIT POT TRIMMER 1-50K OHM 30PCS,0,0,"18.84000","0","1","Plastic Box with Bin Guide","Trimpot® 3314 - Sealed","Active","Trimmer","1k ~ 50k","Cermet","-","±20%","1/4W","1","30 Pieces (6 Values - 5 Each)","Gull Wing, J Lead"
-,-,H-855-ND,H-855,Bourns Inc.,KIT POT TRIMMER 1-50K OHM 30PCS,0,0,"18.84000","0","1","Plastic Box with Bin Guide","Trimpot® 3362 - Sealed","Active","Trimmer","1k ~ 50k","Cermet","-","±10%","1/2W","1","30 Pieces (6 Values - 5 Each)","PC Pins"
-,-,H-857-ND,H-857,Bourns Inc.,KIT POT TRIMMER 1-50K OHM 30PCS,0,0,"18.84000","0","1","Plastic Box with Bin Guide","Trimpot® 3361 - Sealed","Active","Trimmer","1k ~ 50k","Cermet","-","±10%","1/2W","1","30 Pieces (6 Values - 5 Each)","Gull Wing"
-,-,H-860-ND,H-860,Bourns Inc.,KIT POT TRIMMER 1-100K OHM 30PCS,0,0,"21.98000","0","1","Plastic Box with Bin Guide","Trimpot® 3269 - Sealed","Active","Trimmer","1k ~ 100k","Cermet","-","±10%","1/4W","12","30 Pieces (6 Values - 5 Each)","Gull Wing"
-,-,H-861-ND,H-861,Bourns Inc.,KIT POT TRIMMER 1-100K OHM 30PCS,0,0,"21.98000","0","1","Plastic Box with Bin Guide","Trimpot® 3313 - Sealed","Active","Trimmer","1k ~ 100k","Cermet","-","±20%","1/8W","1","30 Pieces (6 Values - 5 Each)","J Lead"
-,-,H-862-ND,H-862,Bourns Inc.,KIT POT TRIMMER 1-500K OHM 30PCS,0,0,"21.98000","0","1","Plastic Box with Bin Guide","Trimpot® 3312 - Sealed","Active","Trimmer","1k ~ 500k","Cermet","-","±20%","1/10W","1","30 Pieces (6 Values - 5 Each)","J Lead"
-,-,H-863-ND,H-863,Bourns Inc.,KIT POT TRIMMER 1-500K OHM 30PCS,0,0,"21.98000","0","1","Plastic Box with Bin Guide","Trimpot® 3006 - Sealed","Active","Trimmer","1k ~ 500k","Cermet","-","±10%","3/4W","15","30 Pieces (6 Values - 5 Each)","PC Pins"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/Trimmer_Design_Kits.pdf,-,H-853-ND,H-853,Bourns Inc.,KIT POT TRIMMER 1-50K OHM 30PCS,0,0,"28.80000","0","1","Plastic Box with Bin Guide","Trimpot® 3296 - Sealed","Active","Trimmer","1k ~ 50k","Cermet","-","±10%","1/2W","25","30 Pieces (6 Values - 5 Each)","PC Pins"
//media.digikey.com/pdf/Data%20Sheets/Bourns%20PDFs/Trimmer_Design_Kits.pdf,-,H-856-ND,H-856,Bourns Inc.,KIT POT TRIMMER 1-50K OHM 30PCS,0,0,"28.80000","0","1","Plastic Box with Bin Guide","Trimpot® 3386 - Sealed","Active","Trimmer","1k ~ 50k","Cermet","-","±10%","1/2W","1","30 Pieces (6 Values - 5 Each)","PC Pins"
