Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Kit Type","Quantity","Mounting Type"
-,-,ZENREGA-KIT-ND,Q2024739,ON Semiconductor,KIT ZENER REGULATOR DIODE DESIGN,0,0,"Obsolete","0","1","-","-","Obsolete","Zener Diode SMD","180 Pieces (17 Values - Mixed Quantities)","Surface Mount"
-,-,SCHOTTRECA-KIT-ND,Q2026406,ON Semiconductor,KIT SCHOTTKY RECT SMD SAMPLE,0,0,"Obsolete","0","1","-","-","Obsolete","Rectifier Diode","300 Pieces (30 Values - 10 Each)","Surface Mount"
-,-,SMSIGDIODEA-KIT-ND,Q2027131,ON Semiconductor,KIT SMALL SIGNAL DIODE DESIGN,0,0,"Obsolete","0","1","-","-","Obsolete","Rectifier Diode","180 Pieces (18 Values - 10 Each)","Surface Mount"
-,-,SCRA-KIT-ND,Q2027356,ON Semiconductor,KIT THYRISTOR SCR DESIGN,0,0,"Obsolete","0","1","-","-","Obsolete","SCR","180 Pieces (18 Values - 10 Each)","Surface Mount, Through Hole"
-,-,TRIACA-KIT-ND,Q2027403,ON Semiconductor,KIT THYRISTOR TRIAC DESIGN,0,0,"Obsolete","0","1","-","-","Obsolete","Triac","180 Pieces (18 Values - 10 Each)","Surface Mount, Through Hole"
-,-,RECTO220A-KIT-ND,Q2027517,ON Semiconductor,KIT RECTIFIER TO-220 DESIGN,0,0,"Obsolete","0","1","-","-","Obsolete","Rectifier Diode","68 Pieces (14 Values - 4 Each)","Through Hole"
-,-,ULTRAFSTRECA-KIT-ND,Q2027705,ON Semiconductor,KIT ULTRAFAST RECT SMD DESIGN,0,0,"Obsolete","0","1","-","-","Obsolete","Rectifier Diode","131 Pieces (18 Values - Mixed Quantities)","Surface Mount"
-,-,497-8003-KIT-ND,Q2320124,STMicroelectronics,KIT MOSFET/DRIVER 14VAL 5EA,0,0,"Obsolete","0","1","-","-","Obsolete","LED Drivers","70 Pieces (14 Values - 5 Each)","Surface Mount, Through Hole"
-,-,497-8005-KIT-ND,Q2321478,STMicroelectronics,KIT TRANSISTOR NPN/PNP 22VAL 5EA,0,0,"Discontinued at Digi-Key","0","1","Plastic Box with Bin Guide","-","Discontinued at Digi-Key","Transistors","110 Pieces (22 Values - 5 Each)","Surface Mount, Through Hole"
-,//media.digikey.com/Photos/STMicro%20Photos/Q2321573.jpg,497-8006A-KIT-ND,497-8006A-KIT,STMicroelectronics,KIT SCHOTTKY DIODE 9VALUES 5EA,0,0,"Discontinued at Digi-Key","0","1","Plastic Box with Bin Guide","-","Discontinued at Digi-Key","Rectifier Diode","45 Pieces (9 Values - 5 Each)","Through Hole"
-,-,497-8006B-KIT-ND,497-8006B-KIT,STMicroelectronics,KIT SCHOTTKY DIODE 11VALUES 5EA,0,0,"Discontinued at Digi-Key","0","1","Plastic Box with Bin Guide","-","Discontinued at Digi-Key","Rectifier Diode","55 Pieces (11 Values - 5 Each)","Surface Mount, Through Hole"
-,-,353-8008-KIT-ND,Q2949721,Micro Commercial Co,KIT 10EA 15 POPULAR ZENER DIODES,0,0,"Discontinued at Digi-Key","0","1","Plastic Box with Bin Guide","-","Discontinued at Digi-Key","Zener Diode SMD","150 Pieces (15 Values - 10 Each)","Surface Mount"
-,-,497-8010-KIT-ND,Q3067543,STMicroelectronics,KIT DIODES 18VALUES 5 EACH,0,0,"Obsolete","0","1","Plastic Box with Bin Guide","-","Obsolete","Rectifier Diode","90 Pieces (18 Values - 5 Each)","Surface Mount"
-,//media.digikey.com/Photos/Micro%20Commercial%20Photos/353-8000-KIT.jpg,353-8000-KIT-ND,353-8000-KIT,Micro Commercial Co,KIT 10EA 18 POPULAR SHTKY DIODES,0,0,"Obsolete","0","1","Plastic Box with Bin Guide","-","Obsolete","Rectifier Diode","180 Pieces (18 Values - 10 Each)","Surface Mount"
-,//media.digikey.com/Photos/Micro%20Commercial%20Photos/353-8001-KIT.jpg,353-8001-KIT-ND,353-8001-KIT,Micro Commercial Co,KIT 10EA OF 26 POPULAR SS DIODES,0,0,"Discontinued at Digi-Key","0","1","Plastic Box with Bin Guide","-","Discontinued at Digi-Key","Rectifier Diode","260 Pieces (26 Values - 10 Each)","Surface Mount"
