Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Region Utilized","Form","Input Type","Voltage - Input","Voltage - Output","Current - Output (Max)","Power (Watts)","No Load Power Consumption","Applications","Efficiency","Operating Temperature","Output Connector","Size / Dimension","Approvals"
http://catalog.triadmagnetics.com/Asset/WAU090-1200.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/MFG_WAU090-1200.jpg,237-2199-ND,WAU090-1200,Triad Magnetics,AC/AC WALL MNT ADPTER 9VAC 1A,81,432,"17.50000","0","1","WAU","Active","North America","Wall Mount","Fixed Blade","120VAC","9VAC","1.2A","12W","210mW (Max)","ITE (Commercial)","83%","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://www.hammondmfg.com/pdf/5c0062.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/BPD2F.jpg,HM1573-ND,BPD2E,Hammond Manufacturing,AC/AC WALL MOUNT ADAPTER 12V 20W,67,407,"17.58000","0","1","BPD2x","Active","North America","Wall Mount","Fixed Blade","120VAC","12VAC","1.67A","20W","-","ITE (Commercial)","-","-","Screw Terminal","2.13"" L x 2.44"" W x 2.75"" H (54.1mm x 62.0mm x 70.0mm)","CSA, UL"
http://www.hammondmfg.com/pdf/5c0062.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/BPD2F.jpg,HM1575-ND,BPD2FF,Hammond Manufacturing,AC/AC WALL MOUNT ADAPTER 18V 20W,36,85,"17.58000","0","1","BPD2x","Active","North America","Wall Mount","Fixed Blade","120VAC","18VAC","1.11A","20W","-","ITE (Commercial)","-","-","Screw Terminal","2.13"" L x 2.44"" W x 2.75"" H (54.1mm x 62.0mm x 70.0mm)","CSA, UL"
http://catalog.triadmagnetics.com/Asset/WAU12-2500.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/WAU-12%20Series.jpg,237-1882-ND,WAU12-2500,Triad Magnetics,AC/AC WALL MNT ADPTR 12VAC 2.5A,26,456,"18.04000","0","1","WAU12","Active","North America","Wall Mount","Fixed Blade","120VAC","12VAC","2.5A","30W","-","ITE (Commercial)","-","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","2.17"" L x 2.68"" W x 3.35"" H (55.0mm x 68.0mm x 85.0mm)","cUL, UL"
http://catalog.triadmagnetics.com/Asset/WAU060-2000.pdf,//media.digikey.com/Photos/Triad%20Magnetics%20Photos/MFG_WAU090-1200.jpg,237-2197-ND,WAU060-2000,Triad Magnetics,AC/AC WALL MNT ADPTER 6VAC 2A,42,576,"18.20000","0","1","WAU","Active","North America","Wall Mount","Fixed Blade","120VAC","6VAC","2A","12W","210mW (Max)","ITE (Commercial)","83%","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","1.89"" L x 2.36"" W x 3.15"" H (48.0mm x 60.0mm x 80.0mm)","cULus"
http://catalog.triadmagnetics.com/Asset/WAU16-2400.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/WAU-16%20Series.jpg,237-1885-ND,WAU16-2400,Triad Magnetics,AC/AC WALL MNT ADAPTER 16V 2.4A,33,110,"20.88000","0","1","WAU16","Active","North America","Wall Mount","Fixed Blade","120VAC","16VAC","2.4A","38W","-","ITE (Commercial)","-","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","2.17"" L x 2.68"" W x 3.35"" H (55.0mm x 68.0mm x 85.0mm)","cUL, UL"
http://www.hammondmfg.com/pdf/5c0062.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/bpe2e.JPG,HM1577-ND,BPE2E,Hammond Manufacturing,AC/AC WALL MOUNT ADAPTER 12V 40W,83,183,"22.43000","0","1","BPE2x","Active","North America","Wall Mount","Fixed Blade","120VAC","12VAC","3.33A","40W","-","ITE (Commercial)","-","-","Screw Terminal","2.13"" L x 2.80"" W x 3.58"" H (54.1mm x 71.1mm x 91.0mm)","CSA, UL"
http://www.hammondmfg.com/pdf/5c0062.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_BPE2FF.jpg,HM1579-ND,BPE2FF,Hammond Manufacturing,AC/AC WALL MOUNT ADAPTER 18V 40W,52,101,"22.43000","0","1","BPE2x","Active","North America","Wall Mount","Fixed Blade","120VAC","18VAC","2.22A","40W","-","ITE (Commercial)","-","-","Screw Terminal","2.13"" L x 2.80"" W x 3.58"" H (54.1mm x 71.1mm x 91.0mm)","CSA, UL"
http://www.hammondmfg.com/pdf/5c0062.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_BPE2F.jpg,HM1578-ND,BPE2F,Hammond Manufacturing,AC/AC WALL MOUNT ADAPTER 16V 40W,24,313,"22.43000","0","1","BPE2x","Active","North America","Wall Mount","Fixed Blade","120VAC","16VAC","2.5A","40W","-","ITE (Commercial)","-","-","Screw Terminal","2.13"" L x 2.80"" W x 3.58"" H (54.1mm x 71.1mm x 91.0mm)","CSA, UL"
http://catalog.triadmagnetics.com/Asset/WAU24-1800.pdf,//media.digikey.com/photos/Triad%20Magnetics%20Photos/WAU-24%20Series.jpg,237-1891-ND,WAU24-1800,Triad Magnetics,AC/AC WALL MNT ADAPTER 24V 1.8A,79,158,"32.89000","0","1","WAU24","Active","North America","Wall Mount","Fixed Blade","120VAC","24VAC","1.8A","43W","-","ITE (Commercial)","-","-10°C ~ 40°C","Barrel Plug, 2.1mm I.D. x 5.5mm O.D. x 11.0mm","2.17"" L x 2.68"" W x 3.35"" H (55.0mm x 68.0mm x 85.0mm)","cUL, UL"
