Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Frequency","Frequency Stability","Frequency Tolerance","Load Capacitance","ESR (Equivalent Series Resistance)","Operating Mode","Operating Temperature","Ratings","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en,//media.digikey.com/Renders/Epson%20Toyocom%20Renders/4-SMD.jpg,SER3692TR-ND,FA-238 25.0000MB-K3,EPSON,CRYSTAL 25.0000MHZ 10PF SMD,47000,0,"0.22000","0","250","Tape & Reel (TR)","FA-238","Active","MHz Crystal","25MHz","±30ppm","±50ppm","10pF","50 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en,//media.digikey.com/Renders/Epson%20Toyocom%20Renders/4-SMD.jpg,SER3692CT-ND,FA-238 25.0000MB-K3,EPSON,CRYSTAL 25.0000MHZ 10PF SMD,47473,0,"0.36000","0","1","Cut Tape (CT)","FA-238","Active","MHz Crystal","25MHz","±30ppm","±50ppm","10pF","50 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en,//media.digikey.com/Renders/Epson%20Toyocom%20Renders/4-SMD.jpg,SER3692DKR-ND,FA-238 25.0000MB-K3,EPSON,CRYSTAL 25.0000MHZ 10PF SMD,47473,0,"Digi-Reel","0","1","Digi-Reel®","FA-238","Active","MHz Crystal","25MHz","±30ppm","±50ppm","10pF","50 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en,//media.digikey.com/Renders/Epson%20Toyocom%20Renders/4-SMD.jpg,SER3686TR-ND,FA-238 16.0000MB-C3,EPSON,CRYSTAL 16.0000MHZ 18PF SMD,26500,0,"0.22000","0","250","Tape & Reel (TR)","FA-238","Active","MHz Crystal","16MHz","±30ppm","±50ppm","18pF","80 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en,//media.digikey.com/Renders/Epson%20Toyocom%20Renders/4-SMD.jpg,SER3686CT-ND,FA-238 16.0000MB-C3,EPSON,CRYSTAL 16.0000MHZ 18PF SMD,26760,0,"0.36000","0","1","Cut Tape (CT)","FA-238","Active","MHz Crystal","16MHz","±30ppm","±50ppm","18pF","80 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en,//media.digikey.com/Renders/Epson%20Toyocom%20Renders/4-SMD.jpg,SER3686DKR-ND,FA-238 16.0000MB-C3,EPSON,CRYSTAL 16.0000MHZ 18PF SMD,26760,0,"Digi-Reel","0","1","Digi-Reel®","FA-238","Active","MHz Crystal","16MHz","±30ppm","±50ppm","18pF","80 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en,//media.digikey.com/Renders/Epson%20Toyocom%20Renders/4-SMD.jpg,SER3691TR-ND,FA-238 25.0000MB-C3,EPSON,CRYSTAL 25.0000MHZ 18PF SMD,23750,0,"0.22000","0","250","Tape & Reel (TR)","FA-238","Active","MHz Crystal","25MHz","±30ppm","±50ppm","18pF","50 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en,//media.digikey.com/Renders/Epson%20Toyocom%20Renders/4-SMD.jpg,SER3691CT-ND,FA-238 25.0000MB-C3,EPSON,CRYSTAL 25.0000MHZ 18PF SMD,24337,0,"0.36000","0","1","Cut Tape (CT)","FA-238","Active","MHz Crystal","25MHz","±30ppm","±50ppm","18pF","50 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238&lang=en,//media.digikey.com/Renders/Epson%20Toyocom%20Renders/4-SMD.jpg,SER3691DKR-ND,FA-238 25.0000MB-C3,EPSON,CRYSTAL 25.0000MHZ 18PF SMD,24337,0,"Digi-Reel","0","1","Digi-Reel®","FA-238","Active","MHz Crystal","25MHz","±30ppm","±50ppm","18pF","50 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)"
https://support.epson.biz/td/api/doc_check.php?dl=brief_TSX-3225&lang=en,//media.digikey.com/Photos/Epson%20Toyocom%20Photos/TSX-3225%2026%5E0000MF09Z-AC3.jpg,SER3629TR-ND,TSX-3225 20.0000MF20G-AC3,EPSON,CRYSTAL 20.0000MHZ 9PF SMD,21250,0,"0.22000","0","250","Tape & Reel (TR)","TSX-3225","Active","MHz Crystal","20MHz","±20ppm","±10ppm","9pF","60 Ohms","Fundamental","-40°C ~ 105°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.024"" (0.60mm)"
