Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Frequency","Frequency Stability","Frequency Tolerance","Features","Capacitance","Impedance","Operating Temperature","Mounting Type","Package / Case","Size / Dimension","Height"
https://www.murata.com/en/products/productdata/8801161838622/SPEC-CSTNE10M0G55A000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17939-2-ND,CSTNE10M0G55A000R0,Murata Electronics North America,CER RES 10.0000MHZ 33PF SMD AUTO,0,0,"0.14310","0","3000","Tape & Reel (TR)","CERALOCK® CSTNE","Active","Ceramic","10MHz","±0.2%","±0.5%","Built in Capacitor","33pF","40 Ohms","-40°C ~ 125°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.032"" (0.80mm)"
https://www.murata.com/en/products/productdata/8801161838622/SPEC-CSTNE10M0G55A000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17939-1-ND,CSTNE10M0G55A000R0,Murata Electronics North America,CER RES 10.0000MHZ 33PF SMD AUTO,1260,0,"0.31000","0","1","Cut Tape (CT)","CERALOCK® CSTNE","Active","Ceramic","10MHz","±0.2%","±0.5%","Built in Capacitor","33pF","40 Ohms","-40°C ~ 125°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.032"" (0.80mm)"
https://www.murata.com/en/products/productdata/8801161838622/SPEC-CSTNE10M0G55A000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-17939-6-ND,CSTNE10M0G55A000R0,Murata Electronics North America,CER RES 10.0000MHZ 33PF SMD AUTO,1260,0,"Digi-Reel","0","1","Digi-Reel®","CERALOCK® CSTNE","Active","Ceramic","10MHz","±0.2%","±0.5%","Built in Capacitor","33pF","40 Ohms","-40°C ~ 125°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.032"" (0.80mm)"
http://www.murata.com/products/productdata/8801159970846/SPEC-CSTNE8M00GH5L000R0.pdf,-,490-18269-2-ND,CSTNE8M19G550000R0,Murata Electronics North America,3.2X1.3X0.7MM 8.192MHZ CERAMIC R,0,0,"0.14610","0","3000","Tape & Reel (TR)","CERALOCK® CSTNE","Active","Ceramic","8.192MHz","±0.2%","±0.5%","Built in Capacitor","33pF","-","-40°C ~ 85°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.031"" (0.80mm)"
http://www.murata.com/products/productdata/8801159970846/SPEC-CSTNE8M00GH5L000R0.pdf,-,490-18269-1-ND,CSTNE8M19G550000R0,Murata Electronics North America,3.2X1.3X0.7MM 8.192MHZ CERAMIC R,3000,0,"0.32000","0","1","Cut Tape (CT)","CERALOCK® CSTNE","Active","Ceramic","8.192MHz","±0.2%","±0.5%","Built in Capacitor","33pF","-","-40°C ~ 85°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.031"" (0.80mm)"
http://www.murata.com/products/productdata/8801159970846/SPEC-CSTNE8M00GH5L000R0.pdf,-,490-18269-6-ND,CSTNE8M19G550000R0,Murata Electronics North America,3.2X1.3X0.7MM 8.192MHZ CERAMIC R,3000,0,"Digi-Reel","0","1","Digi-Reel®","CERALOCK® CSTNE","Active","Ceramic","8.192MHz","±0.2%","±0.5%","Built in Capacitor","33pF","-","-40°C ~ 85°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.031"" (0.80mm)"
//media.digikey.com/pdf/Data%20Sheets/Optrex%20PDFs/Cermic-Res_Cat.pdf,//media.digikey.com/photos/AVX%20Photos/PBRC-H%20SERIES.jpg,1253-1618-2-ND,PBRC3.68HR10X000,Kyocera International Inc. Electronic Components,CERAMIC RES 3.68MHZ 30PF SMD,2000,0,"0.32000","0","2000","Tape & Reel (TR)","PBRC-H, Kyocera","Last Time Buy","Ceramic","3.68MHz","±0.3%","±0.1%","Built in Capacitor","30pF","-","-40°C ~ 85°C","Surface Mount","3-SMD, No Lead","0.291"" L x 0.134"" W (7.40mm x 3.40mm)","0.079"" (2.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Optrex%20PDFs/Cermic-Res_Cat.pdf,//media.digikey.com/photos/AVX%20Photos/PBRC-H%20SERIES.jpg,1253-1618-1-ND,PBRC3.68HR10X000,Kyocera International Inc. Electronic Components,CERAMIC RES 3.68MHZ 30PF SMD,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","PBRC-H, Kyocera","Discontinued at Digi-Key","Ceramic","3.68MHz","±0.3%","±0.1%","Built in Capacitor","30pF","-","-40°C ~ 85°C","Surface Mount","3-SMD, No Lead","0.291"" L x 0.134"" W (7.40mm x 3.40mm)","0.079"" (2.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Optrex%20PDFs/Cermic-Res_Cat.pdf,//media.digikey.com/photos/AVX%20Photos/PBRC-H%20SERIES.jpg,1253-1618-6-ND,PBRC3.68HR10X000,Kyocera International Inc. Electronic Components,CERAMIC RES 3.68MHZ 30PF SMD,0,0,"Digi-Reel","0","1","Digi-Reel®","PBRC-H, Kyocera","Discontinued at Digi-Key","Ceramic","3.68MHz","±0.3%","±0.1%","Built in Capacitor","30pF","-","-40°C ~ 85°C","Surface Mount","3-SMD, No Lead","0.291"" L x 0.134"" W (7.40mm x 3.40mm)","0.079"" (2.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Capacitors%20PDFs/EFO_2Array.pdf,//media.digikey.com/photos/Panasonic%20Photos/EFO-PS6004E5.JPG,PX600PSTR-ND,EFO-PS6004E5,Panasonic Electronic Components,CER RES 6.0000MHZ SMD,0,0,"Obsolete","0","2000","Tape & Reel (TR)","EFO-PS","Obsolete","Ceramic","6MHz","±0.6%","±0.5%","-","-","-","-20°C ~ 80°C","Surface Mount","2-SMD, Non-Standard","0.177"" L x 0.079"" W (4.50mm x 2.00mm)","0.047"" (1.19mm)"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Capacitors%20PDFs/EFO_2Array.pdf,//media.digikey.com/photos/Panasonic%20Photos/EFO-PS6004E5.JPG,PX600PSCT-ND,EFO-PS6004E5,Panasonic Electronic Components,CER RES 6.0000MHZ SMD,1259,0,"0.32000","0","1","Cut Tape (CT)","EFO-PS","Obsolete","Ceramic","6MHz","±0.6%","±0.5%","-","-","-","-20°C ~ 80°C","Surface Mount","2-SMD, Non-Standard","0.177"" L x 0.079"" W (4.50mm x 2.00mm)","0.047"" (1.19mm)"
//media.digikey.com/pdf/Data%20Sheets/Panasonic%20Capacitors%20PDFs/EFO_2Array.pdf,//media.digikey.com/photos/Panasonic%20Photos/EFO-PS6004E5.JPG,PX600PSDKR-ND,EFO-PS6004E5,Panasonic Electronic Components,CER RES 6.0000MHZ SMD,1259,0,"Digi-Reel","0","1","Digi-Reel®","EFO-PS","Obsolete","Ceramic","6MHz","±0.6%","±0.5%","-","-","-","-20°C ~ 80°C","Surface Mount","2-SMD, Non-Standard","0.177"" L x 0.079"" W (4.50mm x 2.00mm)","0.047"" (1.19mm)"
http://www.murata.com/products/productdata/8801160691742/SPEC-CSTNE12M0GH5L000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-18262-2-ND,CSTNE12M2G550000R0,Murata Electronics North America,3.2X1.3X0.7MM 12.288MHZ CERAMIC,0,0,"0.15225","0","3000","Tape & Reel (TR)","CERALOCK® CSTNE","Active","Ceramic","12.288MHz","±0.2%","±0.5%","Built in Capacitor","33pF","-","-40°C ~ 85°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.031"" (0.80mm)"
http://www.murata.com/products/productdata/8801160691742/SPEC-CSTNE12M0GH5L000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-18262-1-ND,CSTNE12M2G550000R0,Murata Electronics North America,3.2X1.3X0.7MM 12.288MHZ CERAMIC,2997,0,"0.33000","0","1","Cut Tape (CT)","CERALOCK® CSTNE","Active","Ceramic","12.288MHz","±0.2%","±0.5%","Built in Capacitor","33pF","-","-40°C ~ 85°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.031"" (0.80mm)"
http://www.murata.com/products/productdata/8801160691742/SPEC-CSTNE12M0GH5L000R0.pdf,//media.digikey.com/photos/Murata%20Photos/CSTCR-G%20SERIES.jpg,490-18262-6-ND,CSTNE12M2G550000R0,Murata Electronics North America,3.2X1.3X0.7MM 12.288MHZ CERAMIC,2997,0,"Digi-Reel","0","1","Digi-Reel®","CERALOCK® CSTNE","Active","Ceramic","12.288MHz","±0.2%","±0.5%","Built in Capacitor","33pF","-","-40°C ~ 85°C","Surface Mount","3-SMD, Non-Standard","0.126"" L x 0.051"" W (3.20mm x 1.30mm)","0.031"" (0.80mm)"
