Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_311-6001.jpg,3M158871-ND,311-6001,3M,CLASSIC CORDED EARPLUG 1=1PAIR,2000,0,"0.46000","0","1","E-A-R™ Classic Soft™","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_311-4106.jpg,3M158868-ND,311-4106,3M,3M E-A-RSOFT YELLOW NEON 1=1PAIR,6000,0,"0.48000","0","1","*","Active","Earplugs"
-,//media.digikey.com/Photos/3M%20Photos/MFG_P2000.JPG,3M161976-ND,P2000,3M,3M NO-TOUCH FOAM UNCORDE 1=1BAG,1175,0,"0.50000","0","1","-","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_312-6001.jpg,3M158889-ND,312-6001,3M,3M E-A-RSOFT GRIPPERS(TM 1=1PAIR,4000,0,"0.53000","0","1","*","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_318-1003.jpg,3M158900-ND,318-1005,3M,3M E-A-R PUSH-INS CO 1=1PAIR,2500,0,"0.54000","0","1","*","Active","Earplugs"
http://multimedia.3m.com/mws/media/701919O/3m-protective-coveralls.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_402%20overshoe.jpg,3M159150-ND,402,3M,DSPSBLPRTCTVOVERSHOE CVR 1=1PAIR,1793,0,"0.54000","0","1","-","Active","Shoe Cover"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_P1300.jpg,3M162590-ND,P1300,3M,SKULL SCREWS EARPLUG 1=1BAG,1422,0,"0.57000","0","1","E-A-R™ Skull Screws™","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_318-1003.jpg,3M158898-ND,318-1003,3M,3M E-A-R PUSH-INS CO 1=1PAIR,8000,0,"0.58000","0","1","*","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_318-1003.jpg,3M158896-ND,318-1001,3M,3M E-A-R PUSH-INS CO 1=1PAIR,2400,0,"0.64000","0","1","E-A-R™","Active","Earplugs"
https://multimedia.3m.com/mws/media/924139O/3m-hearing-solutions-catalog-2015.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_311-1105.jpg,3M158867-ND,311-4101,3M,3M E-A-R CLASSIC MET 1=1PAIR,2000,0,"0.64000","0","1","E-A-R™ Classic™","Active","Earplugs"
