Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Tip - Type","Size","Length - Overall","Features"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/TORXPlus%20L-Keys.pdf,//media.digikey.com/photos/Wiha/mfg366%20torxplus%20series.jpg,431-1943-ND,36615,Wiha,TORXPLUS KEY L SHAPE IP15 3.47"",40,0,"3.46000","0","1","-","Active","L-Key","TorxPlus®","IP15","3.46"" (88.0mm)","Black Finish"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/TORX%20Long%20Arm,Tamper%20Resistant%20L-keys.pdf",//media.digikey.com/photos/Wiha/mfg363%20torx%20L-Key%20series.jpg,431-1931-ND,36337,Wiha,TORX TR KEY L SHAPE T27S 2.64"",50,0,"3.64000","0","1","-","Active","L-Key","Torx® TR (Security)","T27s","2.64"" (67.0mm)","Black Finish"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Metric,Inch%20Ball%20End%20Hex%20Keys%20(Black).pdf",//media.digikey.com/photos/Wiha/mfg369%20series.jpg,431-2110-ND,36968,Wiha,HEX KEY L SHAPE 5/16"" 8"",32,0,"3.90000","0","1","-","Active","L-Key","Hex","5/16""","7.99"" (203.0mm)","Ball End, Black Finish, Chamfered End"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/MagicSpring%20TORX%20Tools.pdf,-,431-2451-ND,37115,Wiha,TORX KEY L SHAPE T15 3.66"",40,0,"4.58000","0","1","MagicSpring®","Active","L-Key","Torx®","T15","3.66"" (93.0mm)","Black Finish, Screw Holding"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/T-handle%20Hex%20Tools.pdf,-,431-2452-ND,33468,Wiha,HEX KEY T-HANDLE 3/16"" 7.01"",33,0,"4.78000","0","1","-","Active","T-Handle","Hex","3/16""","7.01"" (178.0mm)","Chamfered End, Ergonomic, Impact Resistant, Nickel Plated"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/T-handle%20Hex%20Tools.pdf,//media.digikey.com/photos/Wiha/mfg334%20hex%20driver%20metric%20series.jpg,431-2462-ND,33409,Wiha,HEX KEY T-HANDLE 5MM 5.2"",86,0,"5.32000","0","1","-","Active","T-Handle","Hex","5mm","5.20"" (132.0mm)","Chamfered End, Ergonomic, Impact Resistant, Nickel Plated"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/T-handle%20Hex%20Tools.pdf,//media.digikey.com/photos/Wiha/mfg334%20hex%20driver%20metric%20series.jpg,431-1888-ND,33408,Wiha,HEX KEY T-HANDLE 4MM 8.9"",93,0,"5.60000","0","1","-","Active","T-Handle","Hex","4mm","8.90"" (226.0mm)","Chamfered End, Ergonomic, Impact Resistant, Nickel Plated"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/TORX%20T-handle,Short%20Arm%20L-Keys.pdf",//media.digikey.com/photos/Wiha/mfg364%20torx%20series.jpg,431-1708-ND,36415,Wiha,TORX KEY T-HANDLE T15 3.94"",39,0,"7.76000","0","1","-","Active","T-Handle","Torx®","T15","3.94"" (100.0mm)","Chrome Finish, Impact Resistant"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/TORX%20T-handle,Short%20Arm%20L-Keys.pdf",//media.digikey.com/photos/Wiha/mfg364%20torx%20series.jpg,431-1709-ND,36417,Wiha,TORX KEY T-HANDLE T15 7.87"",39,0,"7.92000","0","1","-","Active","T-Handle","Torx®","T15","7.87"" (200.0mm)","Chrome Finish, Impact Resistant"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/TORX%20T-handle,Short%20Arm%20L-Keys.pdf",//media.digikey.com/photos/Wiha/mfg364%20torx%20series.jpg,431-1710-ND,36420,Wiha,TORX KEY T-HANDLE T20 3.94"",71,0,"8.80000","0","1","-","Active","T-Handle","Torx®","T20","3.94"" (100.0mm)","Chrome Finish, Impact Resistant"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/MagicRing%20Ball%20End%20Hex%20Keys.pdf,//media.digikey.com/photos/Wiha/mfg669%20magic%20ring%20series.jpg,431-1602-ND,66944,Wiha,HEX KEY L SHAPE 10MM 8.7"",50,0,"9.24000","0","1","MagicRing®","Active","L-Key","Hex","10mm","8.70"" (221.0mm)","Ball End, Chrome Finish, Extra Long, Screw Holding"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Short%20Arm%20Hex%20L-keys%20Nickel%20Finish.pdf,//media.digikey.com/photos/Wiha/mfg351%20series.jpg,431-1905-ND,35147,Wiha,HEX KEY L SHAPE 5/64"" 1.9"",206,0,"0.56000","0","1","-","Obsolete","L-Key","Hex","5/64""","1.97"" (50.0mm)","Chamfered End, Nickel Plated"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Short%20Arm%20Hex%20L-keys%20Nickel%20Finish.pdf,//media.digikey.com/photos/Wiha/mfg351%20series.jpg,431-1468-ND,35150,Wiha,HEX KEY L SHAPE 3/32"" 2.05"",169,0,"0.62000","0","1","-","Obsolete","L-Key","Hex","3/32""","2.05"" (52.0mm)","Chamfered End, Nickel Plated"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Black%20Finish%20Long%20Arm%20Hex%20L-keys.pdf,//media.digikey.com/Photos/Wiha/35203.JPG,431-1161-ND,35203,Wiha,HEX KEY L SHAPE 0.9MM 2.68"",156,0,"0.68000","0","1","-","Obsolete","L-Key","Hex","0.9mm","2.68"" (68.0mm)","Chamfered End, Black Finish"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Black%20Finish%20Long%20Arm%20Hex%20L-keys.pdf,//media.digikey.com/Photos/Wiha/35200.jpg,431-1471-ND,35200,Wiha,HEX KEY L SHAPE 0.7MM 2.6"",127,0,"0.86000","0","1","-","Obsolete","L-Key","Hex","0.7mm","2.60"" (66.0mm)","Chamfered End, Black Finish"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Short%20Arm%20Hex%20L-keys%20Nickel%20Finish.pdf,//media.digikey.com/photos/Wiha/mfg351%20series.jpg,431-1469-ND,35153,Wiha,HEX KEY L SHAPE 1/8"" 2.3"",433,0,"0.96000","0","1","-","Obsolete","L-Key","Hex","1/8""","2.28"" (58.0mm)","Chamfered End, Nickel Plated"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Nickel-Plated%20Long%20Arm%20Hex%20L-keys.pdf,//media.digikey.com/Photos/Wiha/35252.jpg,431-1581-ND,35252,Wiha,HEX KEY L SHAPE 3/16"" 4.45"",84,0,"1.82000","0","1","-","Obsolete","L-Key","Hex","3/16""","4.45"" (113.0mm)","Chamfered End, Nickel Plated"
https://cdn.wihatoolsus.com/pdfs/WihaHexCatalog.pdf,//media.digikey.com/Photos/Wiha/36901.jpg,431-1485-ND,36932,Wiha,HEX KEY L SHAPE 2.5MM 3.54"",69,0,"2.04000","0","1","-","Obsolete","L-Key","Hex","2.5mm","3.54"" (90.0mm)","Ball End, Black Finish, Chamfered End"
https://cdn.wihatoolsus.com/pdfs/WihaHexCatalog.pdf,//media.digikey.com/Photos/Wiha/36901.jpg,431-1713-ND,36934,Wiha,HEX KEY L SHAPE 4MM 4.45"",50,0,"2.58000","0","1","-","Obsolete","L-Key","Hex","4mm","4.45"" (113.0mm)","Ball End, Black Finish, Chamfered End"
