Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Tip - Shape","Length - Overall","Features","Material"
http://www.caltestelectronics.com/documents/Cal_Test_Cat_No_23.pdf,//media.digikey.com/Photos/BK%20Precision%20Photos/MFG_CT2715.jpg,CT2715-ND,CT2715,Cal Test Electronics,TUNING TOOL FLAT,0,0,"0.70000","0","1","Cal Test","Active","Tuning Tool (Double Ended)","Flat","-","-","-"
-,-,K800-ND,JIC-22035C,Jonard Tools,PROBE PICK - CARDED,10,0,"4.04000","0","1","JIC","Active","Probe (Double Ended)","Angled, Flat","7.00"" (177.8mm)","Notched End","Nylon"
http://documents.desco.com/PDF/35623.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_35623.jpg,EB1541-ND,35623,MENDA/EasyBraid,PROBE CURVED STN STEEL 5.24"",8,0,"4.10000","0","1","Menda® 300","Active","Probe (Single Ended)","Curved","5.24"" (133.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/doc/Stainless-steel-Probes-and-Spatulas_leaflet.pdf,-,MPTSS1-1141-ND,MPTSS1,Ideal-tek S.A.,SPATULA STAINLESS STEEL 180MM,20,0,"4.75000","0","1","-","Active","Probe (Double Ended)","Flat, Curved","7.09"" (180.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/doc/Stainless-steel-Probes-and-Spatulas_leaflet.pdf,-,MPTSS4-1144-ND,MPTSS4,Ideal-tek S.A.,SPATULA STAINLESS STEEL 180MM,20,0,"4.75000","0","1","-","Active","Probe (Double Ended)","Curved","7.09"" (180.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/doc/Stainless-steel-Probes-and-Spatulas_leaflet.pdf,-,MPTSP2-1134-ND,MPTSP2,Ideal-tek S.A.,PROBE STAINLESS STEEL 155MM,19,0,"4.75000","0","1","-","Active","Probe (Single Ended)","Angled","6.10"" (155.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/doc/Stainless-steel-Probes-and-Spatulas_leaflet.pdf,-,MPTSP3-1135-ND,MPTSP3,Ideal-tek S.A.,PROBE STAINLESS STEEL 155MM,19,0,"4.75000","0","1","-","Active","Probe (Single Ended)","Angled","6.10"" (155.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/doc/Stainless-steel-Probes-and-Spatulas_leaflet.pdf,-,MPTSP4-1136-ND,MPTSP4,Ideal-tek S.A.,PROBE STAINLESS STEEL 155MM,19,0,"4.75000","0","1","-","Active","Probe (Single Ended)","Curved","6.10"" (155.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/doc/Stainless-steel-Probes-and-Spatulas_leaflet.pdf,-,MPTSP5-1137-ND,MPTSP5,Ideal-tek S.A.,PROBE STAINLESS STEEL 155MM,19,0,"4.75000","0","1","-","Active","Probe (Single Ended)","Multi Angled","6.10"" (155.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/doc/Stainless-steel-Probes-and-Spatulas_leaflet.pdf,-,MPTSS3-1143-ND,MPTSS3,Ideal-tek S.A.,SPATULA STAINLESS STEEL 165MM,19,0,"4.75000","0","1","-","Active","Probe (Double Ended)","Flat","6.50"" (165.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/doc/Stainless-steel-Probes-and-Spatulas_leaflet.pdf,-,MPTSS2-1142-ND,MPTSS2,Ideal-tek S.A.,SPATULA STAINLESS STEEL 175MM,15,0,"4.75000","0","1","-","Active","Probe (Double Ended)","Flat","6.89"" (175.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/doc/Stainless-steel-Probes-and-Spatulas_leaflet.pdf,-,MPTSP6-1138-ND,MPTSP6,Ideal-tek S.A.,PROBE STAINLESS STEEL 155MM,13,0,"4.75000","0","1","-","Active","Probe (Single Ended)","Flat","6.10"" (155.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/doc/Stainless-steel-Probes-and-Spatulas_leaflet.pdf,-,MPTSP1-1133-ND,MPTSP1,Ideal-tek S.A.,PROBE STAINLESS STEEL 155MM,0,0,"4.75000","0","1","-","Active","Probe (Single Ended)","Pointed","6.10"" (155.0mm)","-","Stainless Steel"
https://www.ideal-tek.com/public/doc/MPT-Probes-leaflet_Ideal-tek.pdf,//media.digikey.com/Photos/Ideal-Tek/MFG_MPT2CP.jpg,MPT2CP-1130-ND,MPT2CP,Ideal-tek S.A.,PROBE MPT CARBON PEEK PLASTIC,24,0,"10.00000","0","1","-","Active","Probe (Double Ended)","Flat, Curved","5.91"" (150.0mm)","ESD Safe","Plastic"
https://www.ideal-tek.com/public/doc/MPT-Probes-leaflet_Ideal-tek.pdf,//media.digikey.com/Photos/Ideal-Tek/MFG_MPT3CP.jpg,MPT3CP-1131-ND,MPT3CP,Ideal-tek S.A.,PROBE MPT CARBON PEEK PLASTIC,18,0,"10.00000","0","1","-","Active","Probe (Double Ended)","Flat","5.51"" (140.0mm)","ESD Safe","Plastic"
https://www.ideal-tek.com/public/doc/MPT-Probes-leaflet_Ideal-tek.pdf,//media.digikey.com/Photos/Ideal-Tek/MFG_MPT1RCP.jpg,MPT1RCP-1129-ND,MPT1RCP,Ideal-tek S.A.,PROBE MPT CARBON PEEK PLASTIC,8,0,"10.00000","0","1","-","Active","Probe (Double Ended)","Flat, Pointed","5.91"" (150.0mm)","ESD Safe","Plastic"
https://www.ideal-tek.com/public/doc/Stainless-steel-Probes-and-Spatulas_leaflet.pdf,//media.digikey.com/Photos/Ideal-Tek/MFG_K4MPTSP.jpg,K4MPTSP-1139-ND,K4MPTSP,Ideal-tek S.A.,PROBE STAINLESS STEEL KIT,11,0,"15.00000","0","1","-","Active","Probe Set","Multiple Tips","Assorted","Set of 4","Stainless Steel"
https://www.ideal-tek.com/public/doc/Stainless-steel-Probes-and-Spatulas_leaflet.pdf,//media.digikey.com/Photos/Ideal-Tek/MFG_K4MPTSS.jpg,K4MPTSS-1145-ND,K4MPTSS,Ideal-tek S.A.,SPATULA STAINLESS STEEL KIT,8,0,"15.00000","0","1","-","Active","Probe Set","Multiple Tips","Assorted","Set of 4","Stainless Steel"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_VDV.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_VDV327-103.JPG,VDV327-103-ND,VDV327-103,"Klein Tools, Inc.",PROBE DBL END CURVED FLAT 7.25"",14,0,"15.33000","0","1","-","Active","Probe (Double Ended)","Flat, Curved","7.25"" (184.2mm)","ESD Safe, Notched End","-"
-,//media.digikey.com/photos/Jonard%20Tools/MFG_S-389M.jpg,K773-ND,S-389M/100,Jonard Tools,PROBE FLAT BIRCHWOOD 7"" 100PC,5,0,"40.15000","0","1","S","Active","Probe (Double Ended)","Flat","7.00"" (177.8mm)","Set of 100","Birchwood"
-,//media.digikey.com/photos/Jonard%20Tools/MFG_S-389.jpg,S-389/10-ND,S-389/10,Jonard Tools,PROBE FLAT POINT BIRCHWD 7"" 10PC,0,0,"3.69000","0","1","S","Active","Probe (Double Ended)","Flat, Pointed","7.00"" (177.8mm)","Set of 10","Birchwood"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/20034.pdf,//media.digikey.com/Photos/Aven%20Photos/20034.jpg,243-1532-ND,20034,Aven Tools,PROBE CURVED STAINLESS STEEL,12,0,"4.26000","0","1","-","Active","Probe (Single Ended)","Curved","-","-","Stainless Steel"
-,//media.digikey.com/photos/Jonard%20Tools/MFG_S-389M.jpg,S-389M/10-ND,S-389M/10,Jonard Tools,PROBE FLAT BIRCHWOOD 7"" 10PC,0,0,"4.90000","0","1","S","Active","Probe (Double Ended)","Flat","7.00"" (177.8mm)","Set of 10","Birchwood"
