Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Handle Type","Face Type"
-,-,SS16CN-ND,SS16CN,Apex Tool Group,"HAMMER,SS,160Z,CRV,MAGNETIC NAIL",0,0,"37.99000","0","4","-","Active","Hammer, Claw","Steel","-"
-,-,SS16RN-ND,SS16RN,Apex Tool Group,"HAMMER,SS,16OZ,RIP,MAGNETIC NAIL",0,0,"37.99000","0","4","-","Active","Hammer, Claw","Steel","-"
-,-,11414N-ND,11414N,Apex Tool Group,"HAMMER,22OZ,131/2L,FBGS,PREM,RIP",0,0,"38.01000","0","4","-","Active","Hammer, Claw","Fiberglass, Cushioned Grip","-"
-,-,82260-ND,82260,Apex Tool Group,HMR SFTFACE REMV CAPS 12OZ,0,0,"38.07000","0","1","-","Active","Hammer, Dead Blow","Fiberglass, Cushioned Grip","-"
-,-,69-013G-ND,69-013G,Apex Tool Group,HMR SFT FACE W/O TIP 1-1/2D,0,0,"39.56000","0","1","-","Active","Hammer, Dead Blow","Fiberglass, Cushioned Grip","-"
-,-,82241-ND,82241,Apex Tool Group,HMR PU DEAD BLOW 24OZ,0,0,"40.60000","0","9","-","Active","Hammer, Dead Blow","Rubber","-"
-,-,11416N-ND,11416N,Apex Tool Group,"HAMMER,FBRGLS,22OZ,15L,PRO SERIE",0,0,"40.88000","0","4","PRO","Active","Hammer, Claw","Fiberglass, Cushioned Grip","-"
-,-,69-540G-ND,69-540G,Apex Tool Group,HMR DEAD BLO SLIMLINE 8 OZ,0,0,"41.04000","0","1","-","Active","Hammer, Non-Sparking","Steel, Cushioned Grip","-"
-,-,11417N-ND,11417N,Apex Tool Group,"HAMMER,FBRGLS,22OZ,CHECK,PRO SER",0,0,"42.11000","0","4","PRO","Active","Hammer, Claw","Fiberglass, Cushioned Grip","-"
//media.digikey.com/pdf/Data%20Sheets/Paladin%20PDFs/0156-11.pdf,//media.digikey.com/Photos/Greenlee%20Communications/MFG_0156-11.jpg,0156-11-ND,0156-11,Greenlee Communications,HAMMER CLAW FIBERGLASS,0,0,"42.13000","0","1","-","Active","Hammer, Claw","Fiberglass, Cushioned Grip","-"
-,-,SS20BHN-ND,SS20BHN,Apex Tool Group,"HAMMER,SS,20 OZ,BRICK",0,0,"42.17000","0","4","-","Active","Hammer, Chipping","Steel","-"
-,-,SS20CN-ND,SS20CN,Apex Tool Group,HAMMER SS 200Z CRV MAGNETIC NAIL,0,0,"42.50000","0","4","-","Active","Hammer, Claw","Steel","-"
-,-,SS20RN-ND,SS20RN,Apex Tool Group,"HAMMER,SS,20OZ,RIP,MAGNETIC NAIL",0,0,"42.50000","0","4","-","Active","Hammer, Claw","Steel","-"
-,-,11423-ND,11423,Apex Tool Group,HAMMER PROSPECTORS 11423,0,0,"42.51000","0","4","-","Active","Hammer, Prospector","Fiberglass, Cushioned Grip","-"
-,-,11421-ND,11421,Apex Tool Group,"HAMMER,FIBERGLASS,24OZ,BRICK",0,0,"43.69000","0","4","*","Not For New Designs","-","-","-"
-,-,69-530G-ND,69-530G,Apex Tool Group,HMR DEAD BLOW STD 13 OZ,0,0,"43.98000","0","1","-","Active","Hammer, Non-Sparking","Steel, Cushioned Grip","-"
-,-,81-111G-ND,81-111G,Apex Tool Group,HMR BRS HICKORY HNDL 1LB,0,0,"45.36000","0","1","-","Active","Hammer, Non-Sparking","Wood, Hickory","-"
"//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Dead%20Blow,%20Sledge%20Hammers.pdf",//media.digikey.com/Photos/Wiha/MFG_80230.JPG,431-2096-ND,80230,Wiha,HAMMER DEAD BLOW STEEL TUBE,4,0,"45.38000","0","1","-","Active","Hammer, Dead Blow","Steel Tube, Cushioned Grip","Medium-Hard, 30mm Dia"
-,-,69-017G-ND,69-017G,Apex Tool Group,HMR SFT FACE W/O TIP 2D 1-1/4L,0,0,"45.50000","0","1","-","Active","Hammer, Dead Blow","Fiberglass, Cushioned Grip","-"
-,-,82252-ND,82252,Apex Tool Group,HMR BLL PEIN FGL 24OZ,0,0,"46.23000","0","1","-","Active","Hammer, Ball Peen","Fiberglass, Cushioned Grip","-"
-,-,82255-ND,82255,Apex Tool Group,HMR DRL 3LB,0,0,"46.23000","0","1","-","Active","Hammer, Club","Fiberglass, Cushioned Grip","-"
-,-,82242-ND,82242,Apex Tool Group,HMR PU DEAD BLOW 33OZ,0,0,"47.55000","0","8","-","Active","Hammer, Dead Blow","Rubber","-"
-,-,SS22RCFN-ND,SS22RCFN,Apex Tool Group,"HAMMER,SS,22OZ,RIP,CHECK,MAG NAI",0,0,"48.66000","0","4","-","Active","Hammer, Claw","Steel","-"
