Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Accessory Type","Temperature Range","Voltage","Current","Power - Rated","Includes","For Use With/Related Products","Compatible Tools","Features","Approval Marks","Approved Countries","Nozzle Opening","Air Flow","Color"
http://www.steinel.net/Customized/uploads/PDFs/HG_350_ESD_Data.pdf,-,110049739-ND,110049739,Steinel America,HEAT GUN 350 ESD PRCISN TOOL KIT,0,0,"168.63000","0","1","-","Active","Heat Gun Kit","-","750°F (399°C)","120V","2.5A","300W","Heat Gun, Case, 5 Nozzles, Shrink Tubes, Solder","-","-","6' Cord, Built-In Overhead Hanger, ESD Safe, LED Work Light","cULus","Canada, United States","Circular - 0.75"" (19.05mm)","3.5 CFM","Black"
-,-,AA-400-89-REG&GAGE-KIT-ND,AA-400-89-REG&GAGE-KIT,"TE Connectivity Aerospace, Defense and Marine",AA-400-89-REG&GAGE-KIT,0,0,"169.63500","0","2","AA-400","Active","-","-","-","-","-","-","-","-","AA-400","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1654025_Sec10_AA-400&DocType=CS&DocLang=English,-,AA-400-96-NED-PNT-TIP-KIT-ND,AA-400-96-NED-PNT-TIP-KIT,TE Connectivity Raychem Cable Protection,ATTACHMENT NEEDLEPOINT REDCR,0,0,"172.11000","0","9","-","Active","-","Nozzle, Reduction","-","-","-","-","-","-","AA-400, HT-900","-","-","-","Pinpoint","-","Silver"
-,-,2-2280624-6-ND,2-2280624-6,TE Connectivity AMP Connectors,HEATER CYCLING CURRENT RING,0,0,"174.00000","0","1","Model 17","Active","-","Heater Current Ring","-","-","-","-","-","2280355","Model 17 Belt Heaters","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1481262&DocType=Customer+Drawing&DocLang=English,-,CLTEQ-M19SS-UPR-SHFT-BRNG-ND,CLTEQ-M19SS-UPR-SHFT-BRNG,TE Connectivity AMP Connectors,UPPER DRV SHAFT BEARINGS,0,0,"177.17000","0","1","Model 19","Active","-","Ball Bearings","-","-","-","-","-","Upper Drive Shaft","Model 19 Belt Heater (Narrow)","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/MA_ProheatSeriesBrochure[1].pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_PH-2200-A1.jpg,PH-2200-A1-ND,PH-2200-A1,Master Appliance Co,HEAT GUN 230V 130-1000 DEG F,0,0,"179.00000","0","1","Proheat® Varitemp® PH","Active","Heat Gun","-","130°F ~ 1000°F (50°C ~ 540°C)","230V","6.2A","1426W","Heat Gun","-","-","6' Cord, Built-in Base, Variable Temperature Control","CE","Europe, India","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/MA_ProheatSeriesBrochure[1].pdf,//media.digikey.com/photos/Master%20Appliance%20Photos/PH-2200-A6.jpg,PH-2200-A6-ND,PH-2200-A6,Master Appliance Co,HEAT GUN 230V 130-1000 DEG F,0,0,"179.00000","0","1","Proheat® Varitemp® PH","Active","Heat Gun","-","130°F ~ 1000°F (50°C ~ 540°C)","230V","6.2A","1426W","Heat Gun","-","-","6' Cord, Built-in Base, Variable Temperature Control","CE","Hong Kong, Singapore, United Kingdom","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
-,-,CLTEQ-GAS-SPRING-ND,CLTEQ-GAS-SPRING,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"181.35000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
http://www.steinel.net/Customized/uploads/PDFs/HB_1750_Data.pdf,//media.digikey.com/photos/Steinel%20Photos/HB1750.JPG,SDL2000-ND,109486800,Steinel America,HEAT BLOWER W/ALL KEYS & STAND,0,0,"181.47000","0","1","-","Active","Heat Gun Kit","-","200°F ~ 1200°F (93°C ~ 649°C)","120V","14.6A","1750W","Heat Gun, Adjustable Stand, 5 Temperature Keys","-","-","6' Cord, Adjustable Storage Stand, Color Coded Lock-in Temperature Key, Field Changeable Heating Element","cULus","Canada, United States","Circular - 1.70"" (43.20mm)","23.0 CFM","Blue"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_HG-201AK.jpg,HG-201AK-ND,HG-201AK,Master Appliance Co,"MASTER HEAT GUN, WITH 3 ATTACHME",0,0,"182.13000","0","1","HG","Active","Heat Gun Kit","-","200°F ~ 300°F (93°C ~ 150°C)","120V","5A","600W","Heat Gun, Case, 3 Nozzles","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","-","-","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
-,-,IR-1759/3104-PCB-ND,IR-1759/3104-PCB,TE Connectivity Raychem Cable Protection,IR-1759/3104-PCB,0,0,"183.33800","0","10","MiniRay","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master_HeatBlower_Manual.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_51008.jpg,51008-ND,51008,Master Appliance Co,"MOTOR, BLOWER ASSEMBLY, 120V, W/",0,0,"183.88000","0","1","Masterflow®","Active","-","Motor/Blower Assembly","-","120V","-","-","-","-","AH-301, AH-501, AH-751","-","-","-","-","-","Black"
-,-,AES-IR-550-WNDOW-FRAME-ND,AES-IR-550-WNDOW-FRAME,TE Connectivity Raychem Cable Protection,AES-IR-550-WNDOW-FRAME,0,0,"185.04900","0","10","IR-550","Active","-","-","-","-","-","-","-","-","IR-550 Infrared Heaters","-","-","-","-","-","-"
http://www.masterappliance.com/content/sites/default/files/simple_products/downloads/Master_HeatBlower_Manual.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_51009.jpg,51009-ND,51009,Master Appliance Co,"MOTOR, BLOWER ASSEMBLY, 230V, W/",0,0,"186.48000","0","1","Masterflow®","Active","-","Motor/Blower Assembly","-","220/240V","-","-","-","-","AH-302, AH-502, AH-752","-","-","-","-","-","Black"
-,-,2-2280624-1-ND,2-2280624-1,TE Connectivity AMP Connectors,OVER TEMPERATURE SWITCH,0,0,"187.50000","0","1","Model 17","Active","-","Switch","-","-","-","-","-","2280355","Model 17 Belt Heaters","-","-","-","-","-","-"
-,-,7-1195643-4-ND,7-1195643-4,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"187.55000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_VT-752C.jpg,VT-752C-ND,VT-752C,Master Appliance Co,"VARITEMP HEAT GUN, 750F MAX, 220",0,0,"190.26800","0","10","Varitemp® VT","Active","Heat Gun","-","750°F (399°C)","220/240V","7A","1680W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element, Variable Temperature Control","-","-","Circular - 1.20"" (30.48mm)","23.0 CFM","Red"
-,-,CLTEQ-81-TSTR-MCR-ND,CLTEQ-81-TSTR-MCR,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"190.65000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=412-94301&DocType=SS&DocLang=EN,-,CLTEQ-M81CE-FAN-4-11/16-ND,CLTEQ-M81CE-FAN-4-11/16,TE Connectivity AMP Connectors,REPLACMENT FAN 120V,0,0,"192.51000","0","1","Model 105","Active","-","Fan","-","120V","-","-","-","-","Model 105 Tunnel Oven","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=AA-400-102-MINI-SOLD-TIP&DocType=Customer+Drawing&DocLang=English,-,AA-400-102-MINI-SOLD-TIP-ND,AA-400-102-MINI-SOLD-TIP,TE Connectivity Raychem Cable Protection,ATTACHMENT REFLECTOR NOZZLE,0,0,"192.57000","0","7","-","Active","-","Nozzle, Reflector","-","-","-","-","-","SolderSleeve Products, Mini","AA-400, HT-900","-","-","-","-","-","-"
-,-,CLTEQ-220-HTR-1KW-KTC-ND,CLTEQ-220-HTR-1KW-KTC,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"193.75000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/MA_ProheatSeriesBrochure[1].pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_PH-2200-1-A1_A6.jpg,PH-2200-1-A6-ND,PH-2200-1-A6,Master Appliance Co,HEAT GUN W/SHRINK ATTCHMNT 230V,0,0,"195.44000","0","1","Proheat® Varitemp® PH","Active","Heat Gun","-","130°F ~ 1000°F (50°C ~ 540°C)","230V","6.2A","1426W","Heat Gun, Stand, Nozzle","-","-","6' Cord, Built-in Base, Variable Temperature Control","CE","Hong Kong, Singapore, United Kingdom","Circular - 0.88"" (22.35mm)","16.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Steinel%20America%20Inc/HL_1820_S.pdf,-,110025541-ND,110025541,Steinel America,HL1820S PRO HEATGUN 3STAGE 1400W,0,0,"195.89875","0","8","-","Active","Heat Gun","-","120°F, 750°F, 1100°F (49°C, 399°C, 593°C)","120V","11.7A","1400W","Heat Gun","Heat Shrink Tubing, Plastic Welding, Soldering","-","3-Stage Air Control, 6' Cord","cULus","-","Circular - 1.30"" (33.02mm)","4.0 CFM, 7.0 CFM, 13.0 CFM","Black, Gray"
-,-,CLTEQ-4-11/16FANMU2B1-ND,CLTEQ-4-11/16FANMU2B1,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"196.85000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,133-HG-502D-04-K-ND,HG-502D-04-K,Master Appliance Co,HEAT GUN KIT 1200�F 230V UK PLG,0,0,"196.87500","0","2","HG","Active","Heat Gun Kit","-","1200°F (649°C)","220V","9A","1980W","Heat Gun, Reducer Attachment, Shrink Tubing Reflector, Spreader Attachments","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,133-HG-302D-03-K-ND,HG-302D-03-K,Master Appliance Co,HEAT GUN KIT 800�F 230V EURO,0,0,"196.87500","0","2","HG","Active","Heat Gun Kit","-","800°F (427°C)","220V","6A","1320W","Heat Gun, Reducer Attachment, Shrink Tubing Reflector, Spreader Attachments","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,133-HG-502D-03-K-ND,HG-502D-03-K,Master Appliance Co,HEAT GUN KIT 1200�F 230V EURO,0,0,"196.87500","0","2","HG","Active","Heat Gun Kit","-","1200°F (649°C)","220V","9A","1980W","Heat Gun, Reducer Attachment, Shrink Tubing Reflector, Spreader Attachments","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,133-HG-302D-04-K-ND,HG-302D-04-K,Master Appliance Co,HEAT GUN KIT 800�F 230V UK PLUG,0,0,"196.87500","0","2","HG","Active","Heat Gun Kit","-","800°F (427°C)","220V","6A","1320W","Heat Gun, Reducer Attachment, Shrink Tubing Reflector, Spreader Attachments","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,IR-1851/52-ELMT-220V-500W-ND,IR-1851/52-ELMT-220V-500W,"TE Connectivity Aerospace, Defense and Marine",HEATING ELEMENT 220V,0,0,"199.00500","0","2","IR-1851","Active","-","Heating Element","-","220V","-","-","-","-","IR-1851 Moving Oven Heater","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1481262&DocType=Customer+Drawing&DocLang=English,-,IR-1900-LV-TRNSFMR-ND,IR-1900-LV-TRNSFMR,TE Connectivity AMP Connectors,TRANSFORMER LV,0,0,"199.49000","0","1","Model 19","Active","-","Transformer","-","43V","-","-","-","-","Model 19 Belt Heaters (Standard, Wide and Narrow)","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=H50137&DocType=SS&DocLang=EN,-,AA-400-87-PRES-SW-KIT-MKI-ND,AA-400-87-PRES-SW-KIT-MKI,TE Connectivity Raychem Cable Protection,PRESSURE SWITCH REPLACE KIT,0,0,"199.92000","0","2","AA-400","Active","-","Pressure Switch Kit","-","-","-","-","-","-","AA-400","-","-","-","-","-","-"
-,-,CLTEQ-120-HTR-800-K-ND,CLTEQ-120-HTR-800-K,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"201.50000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,133-VT-752D-02-ND,VT-752D-02,Master Appliance Co,VARITEMP HEAT GUN 1200�F 220V,0,0,"205.00000","0","2","Varitemp® VT","Active","Heat Gun","-","100°F ~ 1200°F (38°C ~ 649°C)","220V","9A","1980W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,133-VT-752D-04-ND,VT-752D-04,Master Appliance Co,HEAT GUN 1200�F 230V UK PLUG,0,0,"205.00000","0","2","Varitemp® VT","Active","Heat Gun","-","100°F ~ 1200°F (38°C ~ 649°C)","220V","9A","1980W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,133-VT-752D-03-ND,VT-752D-03,Master Appliance Co,VARITEMP HEAT GUN 1200�F 230V EU,0,0,"205.00000","0","2","Varitemp® VT","Active","Heat Gun","-","100°F ~ 1200°F (38°C ~ 649°C)","220V","9A","1980W","Heat Gun","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,133-HG-202D-04-K-ND,HG-202D-04-K,Master Appliance Co,HEAT GUN KIT 400�F 230V UK PLUG,0,0,"205.09500","0","2","HG","Active","Heat Gun Kit","-","400°F (204°C)","220V","3A","660W","Heat Gun, Reducer Attachment, Shrink Tubing Reflector, Spreader Attachments","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
-,-,133-HG-202D-03-K-ND,HG-202D-03-K,Master Appliance Co,HEAT GUN KIT 400�F 230V EURO,0,0,"205.09500","0","2","HG","Active","Heat Gun Kit","-","400°F (204°C)","220V","3A","660W","Heat Gun, Reducer Attachment, Shrink Tubing Reflector, Spreader Attachments","-","-","3-Stage Switch, 6' Cord, Built-In Adjustable Base, Field Changeable Heating Element","cULus","-","Circular - 1.50"" (38.10mm)","27.0 CFM","Red"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/IR_1759.pdf,-,8-1197636-0-ND,8-1197636-0,TE Connectivity Raychem Cable Protection,AE-226,0,0,"205.77000","0","8","MiniRay","Active","-","Outer Reflector Mirror","-","-","-","-","-","AT-3134, AT-3147","IR-3104","-","-","-","-","-","-"
-,-,IR-1900-SOLID-STATE-RELAY-ND,IR-1900-SOLID-STATE-RELAY,TE Connectivity AMP Connectors,REPLACEMENT SOLID STATE RELAY,0,0,"210.65000","0","1","Model 19","Active","-","Relay","-","24 ~ 330V","50A","-","-","-","Model 19 Belt Heaters (Standard, Wide and Narrow)","Safety Cover, Solid State","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/IR_1759.pdf,-,9-1194312-5-ND,9-1194312-5,TE Connectivity Raychem Cable Protection,AE-424,0,0,"216.72000","0","8","MiniRay","Active","-","Inner Reflector","-","-","-","-","-","Standard Aperture","IR-1759","-","-","-","-","-","-"
-,-,1-1193996-4-ND,1-1193996-4,TE Connectivity AMP Connectors,BELT HEATER ACCESSORY,0,0,"217.00000","0","1","-","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
