Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Accessory Type","Temperature Range","Voltage","Current","Power - Rated","Includes","For Use With/Related Products","Compatible Tools","Features","Approval Marks","Approved Countries","Nozzle Opening","Air Flow","Color"
//media.digikey.com/pdf/Data%20Sheets/Master%20Appliance%20PDFs/Proheat_Series_Br.pdf,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_35309.jpg,MA35309-ND,35309,Master Appliance Co,ATTACHMENT KIT,0,0,"51.49000","0","1","Proheat® Variair® PH, Varitemp® PH","Active","-","Nozzle Kit","-","-","-","-","5 Nozzles: 2 Reduction, 2 Reflector, 1 Spreader","-","PH-1200, PH-1300, PH-1400, PH-1500, PH-2200","-","-","-","-","-","Silver"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_35022.jpg,MA35022-ND,35022,Master Appliance Co,"ELEMENT KIT, 230V, WITH MICA (PH",0,0,"51.51000","0","1","-","Active","-","Heating Element","-","230V","-","-","-","-","PH-1100, PH-2100","-","-","-","-","-","-"
-,-,IR-550-220-REFLECTR-GUARD-ND,IR-550-220-REFLECTR-GUARD,TE Connectivity Raychem Cable Protection,IR-550-220-REFLECTR-GUARD,0,0,"52.63000","0","1","IR-550","Active","-","-","-","-","-","-","-","-","IR-550 Infrared Heaters","-","-","-","-","-","-"
http://www.steinel.net/Customized/uploads/PDFs/Catalog_Part1.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_09221.jpg,110048652-ND,110048652,Steinel America,NOZZLE REDUCT 5MM FOR 2300/4000,0,0,"53.81000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","-","HG2300EM, HG4000E","-","-","-","Circular - 0.20"" (5.00mm)","-","Silver"
http://www.steinel.net/Customized/uploads/PDFs/Catalog_Part1.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_09231.jpg,110048653-ND,110048653,Steinel America,NOZZLE REDUCT 10MM FOR 2300/4000,0,0,"53.81000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","-","HG2300EM, HG4000E","-","-","-","Circular - 0.39"" (10.00mm)","-","Silver"
"//media.digikey.com/pdf/Data%20Sheets/Steinel%20America%20Inc/Accessories,%20HB%201750.pdf",//media.digikey.com/photos/Steinel%20Photos/MFG_07681.jpg,110050796-ND,110050796,Steinel America,KEY SET FOR HB1750,0,0,"55.72000","0","1","-","Active","-","Temperature Key(s)","200°F ~ 1200°F (93°C ~ 649°C)","-","-","-","5 Temperature Keys","-","HB1750","-","-","-","-","-","Blue, Gray, Orange, Red, Yellow"
-,//media.digikey.com/Photos/Master%20Appliance%20Photos/MFG_35031.jpg,MA35031-ND,35031,Master Appliance Co,"ELEMENT KIT, 120V, THERMOCOUPLE,",0,0,"56.90000","0","1","Proheat® Varitemp® PH","Active","-","Heating Element Kit","-","120V","-","-","Thermocouple","-","PH-1200, PH-1500","-","-","-","-","-","-"
http://www.steinel.net/Customized/uploads/PDFs/Catalog_Part1.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_09183.JPG,110039166-ND,110039166,Steinel America,TIP WELD HI SPEED FOR 2300/4000,0,0,"56.92000","0","1","-","Active","-","Nozzle, Welding Tip","-","-","-","-","-","5mm Reducer Nozzle (09221)","HG2300EM, HG4000E","-","-","-","-","-","Silver"
http://www.steinel.net/Customized/uploads/PDFs/Catalog_Part1.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_09241.jpg,110049714-ND,110049714,Steinel America,NOZZLE DIECASE 90DEG 2300/4000,0,0,"57.04000","0","1","-","Active","-","Nozzle, 90°","-","-","-","-","-","-","HG2300EM, HG4000E","-","-","-","-","-","Silver"
http://www.steinel.net/customized/uploads/PDFs/HG4000E_Owner_Manual.pdf,//media.digikey.com/photos/Steinel%20Photos/MFG_09211.jpg,110049713-ND,110049713,Steinel America,NOZZLE FLATHEAD 20MM 2300/4000,0,0,"57.61000","0","1","-","Active","-","Nozzle, Reduction","-","-","-","-","-","-","HG2300EM, HG4000E","-","-","-","Flat - 0.79"" (20.0mm)","-","Silver"
