Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","For Use With/Related Products"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/1669620000.pdf,//media.digikey.com/Photos/Weidmuller/MFG_1669620000.jpg,281-4634-ND,1669620000,Weidmüller,TOOL ACTUATION STRAIGHT,52,200,"5.54000","0","1","Z","Active","Actuation Tool","Terminal Blocks"
https://www.panduit.com/content/dam/panduit/en/products/assets/0/0c/0cs/0csp/cspt/media/C-COCSPT--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_CSPT.jpg,298-16159-ND,CSPT,Panduit Corp,TERMINATION TOOL FOR CATEGORY 6,46,0,"5.79000","0","1","-","Active","Termination Tool","Modular Connectors"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/TOL-15295_Web.pdf,-,1568-TOL-15295-ND,TOL-15295,SparkFun Electronics,SPARKFUN PCB RULER - 12 INCH,82,0,"6.25000","0","1","-","Active","Ruler","Printed Circuit Boards"
-,-,J10577-ND,251-0115-002,Cinch Connectivity Solutions Johnson,ASSEMBLY HAND TOOL BANANA PLUG,50,0,"11.59000","0","1","-","Active","Assembly Tool","Banana Plug"
https://catalog.belden.com/techdatam/1797B.pdf,//media.digikey.com/Photos/Belden/1797B-009.jpg,BEL1458-ND,1797B 009,Belden Inc.,BONDED PAIR SEPARATOR TOOL,55,0,"14.31000","0","1","-","Active","Separator Tool","-"
https://www.jonard.com/~/media/0BD39191497C4B439EF9842CF1BCEA44.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/MFG_JIC-287.jpg,K674-ND,JIC-287,Jonard Tools,TOOL ALUM CABLE SEWING NEEDLE,42,0,"14.90000","0","1","JIC","Active","Cable Lacing Needle","Cable Bundling"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/IFIX_EU145023_Web.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_IFIX-EU145023.jpg,1778-1132-ND,IFIX EU145023,Pimoroni Ltd,IFIXIT HEAVY DUTY SUCTION CUPS (,8,0,"17.03000","0","1","iFixit","Active","Suction Cups","Glass Panels"
-,-,1261MEN-ND,1261MEN,Apex Tool Group,RULE ALUM METER STICK,40,0,"17.59000","0","1","*","Active","-","-"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Drivers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_625-32.JPG,1742-1362-ND,625-32,"Klein Tools, Inc.",TRIPLE TAPS,13,0,"20.09000","0","1","-","Active","Tap","Deburr and Re-Thread"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/HC-MH_Web.pdf,-,1778-HC-MH-ND,HC-MH,Pimoroni Ltd,MINI HAND,38,0,"20.38000","0","1","*","Active","Third Hand","Electronics, Printed Circuit Boards"
https://www.jonard.com/~/media/1BEDA344BE4D4E13A91E6443D33957B8.pdf,-,K811-ND,SSK-900,Jonard Tools,CAN WRENCH AND P-KEY KIT,10,0,"21.46000","0","1","SSK","Active","-","Enclosures"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Drivers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_650DD.JPG,1742-1098-ND,650DD,"Klein Tools, Inc.",DEMOLITION SCRATCH AWL,19,0,"23.78000","0","1","-","Active","Awl","Piercing, Scribing"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/20433_Ds.pdf,//media.digikey.com/Photos/3M%20Photos/20433.JPG,3M158625-ND,20433,3M,"3M(TM) HOOKIT(TM) PAD 20433, 3 I",10,0,"23.96000","0","1","Hookit™","Active","Abrasive Pad","Orbital Sander"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/82823_FoldingJabSaw_SellSheet_WebReady.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_31737.JPG,1742-1434-ND,31737,"Klein Tools, Inc.",JAB SAW FOLDING,14,0,"25.20000","0","1","-","Active","Keyhole Saw","Drywall, Plastic, Plywood, Wallboard"
https://www.jonard.com/~/media/87B45CFDE0B94591AB0B03B6577F1167.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_WBK-100.jpg,K696-ND,WBK-100,Jonard Tools,PANEL KNOCKOUT KIT,10,0,"25.60000","0","1","WBK","Active","Knockout, Hole Punch","Electrical Panels"
-,-,3M162471-ND,WCD-H,3M,HAND DRIVER,10,0,"25.69000","0","1","-","Active","Installation Tool","Twist-On Connectors"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Levels_Measuring.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_928-25HV.jpg,1742-1638-ND,928-25HV,"Klein Tools, Inc.",TAPE MEASURE,12,0,"27.13000","0","1","-","Active","Tape Measure","Measurements"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/Photos/Jonard%20Tools/MFG_OB-1-2.jpg,K764-ND,OB-1/12,Jonard Tools,TOOL BURNISHER FILE PKG/12,15,0,"30.55000","0","1","OB","Active","Burnisher","Contacts"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/Holemaking-Brochure-96397-VersionC_WebReady.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_32905.JPG,1742-1300-ND,32905,"Klein Tools, Inc.",HOLE SAW KIT WITH ARBOR,6,0,"30.55000","0","1","-","Active","Hole Saw Set","Ceiling Tile, Plastic, Steel, Wood"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/96493_TelescopingFlashlight_WebReady.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_56027_A.jpg,1742-1414-ND,56027,"Klein Tools, Inc.",TELESCOPING MAGNETIC LED PICKUP,20,0,"31.50000","0","1","-","Active","Telescoping Magnetic Pickup","Tools"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/96530_Electricians%20Multi-Tool%20Sell%20Sheet_WebReady.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_44216.JPG,1742-1433-ND,44216,"Klein Tools, Inc.",MULTI-TOOL HYBRID PLIER,18,0,"32.40000","0","1","-","Active","Multi-tool","General Purpose"
https://www.ckswitches.com/media/1867/ck-spliceflyer-a4.pdf,-,CKN12012-ND,SPLICE-RETENTION-TOOL-01,C&K,SPACE SPLICE,6,0,"32.67000","0","1","*","Active","-","Contacts"
http://www.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Drivers.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_627-20.jpg,1742-1364-ND,627-20,"Klein Tools, Inc.",6-IN-1 TAPPING TOOL,10,0,"35.44000","0","1","-","Active","Tap","Deburr and Re-Thread"
https://www.jonard.com/~/media/265D9F297F334F09A1D470F7290BB301.pdf,-,K798-ND,HS-625,Jonard Tools,HARDLINE JACKET STRIPPER 5/8"",12,0,"35.60000","0","1","HS","Active","Jacket Stripper","Hardline Coax Cable"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/HC-TH_Web.pdf,-,1778-HC-TH-ND,HC-TH,Pimoroni Ltd,THIRD HAND V2,30,0,"37.36000","0","1","*","Active","Third Hand","Electronics, Printed Circuit Boards"
http://www.amphenolrf.com/media/downloads/7351/47023.pdf,//media.digikey.com/Photos/Amphenol%20Photos/MFG_47023.JPG,ARF3049-ND,47023,Amphenol RF Division,BNC SPANNER WRENCH,15,0,"37.49000","0","1","-","Active","Wrench","BNC Connectors"
https://www.jonard.com/~/media/1BEDA344BE4D4E13A91E6443D33957B8.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_SSK-876.jpg,K686-ND,SSK-876,Jonard Tools,STAR KEY KIT,7,0,"41.01000","0","1","SSK","Active","Star Key Set","Enclosures"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/HC-PH_Web.pdf,-,1778-HC-PH-ND,HC-PH,Pimoroni Ltd,PANA HAND V2,38,0,"44.15000","0","1","*","Active","Third Hand","Electronics, Printed Circuit Boards"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/WirePulling.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_85191.jpg,1742-1346-ND,85191,"Klein Tools, Inc.",CONDUIT-FITTING AND REAMING SCRE,9,0,"44.17000","0","1","-","Active","Reamer","Conduit"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Screwdrivers.pdf,//media.digikey.com/Photos/Weidmuller/MFG_9918130000.jpg,281-5215-ND,9918130000,Weidmüller,CROSS KEY UNIVERSAL,10,20,"44.42000","0","1","-","Active","Cabinet Key","Control Cabinets"
https://www.jonard.com/~/media/B215F98B46AA47C5ABD9812F325D55F5.pdf,-,K808-ND,RDG-15,Jonard Tools,15' GLOW ROD KIT 3/16"" DIAMETER,6,0,"56.31000","0","1","RDG","Active","Fish Sticks","Cable and Wire"
https://www.jonard.com/~/media/Files/Catalogs/Jonard%20Tools%20Catalog%20114.ashx,//media.digikey.com/photos/Jonard%20Tools/MFG_TTB-6.jpg,K691-ND,TTB-6,Jonard Tools,BARREL LOCK PLUNGER KEY,20,0,"58.33000","0","1","TTB","Active","Plunger Key","Barrel Locks"
https://www.jonard.com/~/media/BD87560D87944C39807DF45B7458188E.pdf,//media.digikey.com/Photos/Jonard%20Tools/MFG_FT-2075.jpg,K717-ND,FT-2075,Jonard Tools,FLARING TOOL OUTER CONDUCTOR,10,0,"59.34000","0","1","FT","Active","Flaring Tool","Coaxial Cables, Connectors"
http://www.wakefield-vette.com/Portals/0/heat%20pipe%20bending%20tool/Wakefield%20Vette%20Heat%20Pipe%20Bending%20Tool%20Data%20Sheet%202.pdf,-,345-1715-ND,HP-TOOL-3MM,Wakefield-Vette,3MM HEAT PIPE BENDING TOOL,10,0,"62.31000","0","1","-","Active","-","-"
http://www.wakefield-vette.com/Portals/0/heat%20pipe%20bending%20tool/Wakefield%20Vette%20Heat%20Pipe%20Bending%20Tool%20Data%20Sheet%202.pdf,-,345-1718-ND,HP-TOOL-8MM,Wakefield-Vette,8MM HEAT PIPE BENDING TOOL,9,0,"62.31000","0","1","-","Active","-","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_Holemaking.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_KTSB15.jpg,1742-1354-ND,KTSB15,"Klein Tools, Inc.",STEP DRILL BIT #15 - DOUBLE-FLUT,15,0,"66.25000","0","1","-","Active","Drill Bit, Step Bit","Drilling"
