Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Tip Diameter","Shaft Diameter","Length"
-,-,70-189G-ND,70-189G,Apex Tool Group,PNCH DRFT 1/8 BLK,0,0,"20.10000","0","1","-","Active","Drift Pin","0.13"" (3.2mm)","-","8.00"" (203.2mm)"
-,-,82280-ND,82280,Apex Tool Group,PNCH LNG TPR 3/16X 9X 1/2,0,0,"20.43000","0","1","*","Active","-","-","-","-"
-,-,70-047G-ND,70-047G,Apex Tool Group,PNCH PIN TL STL LNG 5/16 TIP,0,0,"20.48000","0","1","-","Active","Parallel Pin Punch","0.31"" (7.9mm)","-","8.00"" (203.2mm)"
-,-,70-193G-ND,70-193G,Apex Tool Group,PNCH DRFT 3/16 BLK,0,0,"20.75000","0","1","-","Active","Drift Pin","0.19"" (4.8mm)","-","9.00"" (228.6mm)"
-,-,70-049G-ND,70-049G,Apex Tool Group,PNCH PIN TL STL LNG 3/8 TIP,0,0,"21.23000","0","1","-","Active","Parallel Pin Punch","-","-","8.00"" (203.2mm)"
-,-,70-195G-ND,70-195G,Apex Tool Group,PNCH DRFT 7/32 BLK,0,0,"22.25000","0","1","-","Active","Drift Pin","-","-","10.00"" (254.0mm)"
-,-,70-197G-ND,70-197G,Apex Tool Group,PNCH DRFT 1/4 BLK,0,0,"22.31000","0","1","-","Active","Drift Pin","0.25"" (6.4mm)","-","12.00"" (304.8mm)"
-,-,70-294G-ND,70-294G,Apex Tool Group,PNCH DRFT BRS 3/8,0,0,"23.26000","0","1","-","Active","Brass Punch","-","-","6.00"" (152.4mm)"
-,-,70-199G-ND,70-199G,Apex Tool Group,PNCH DRFT 5/16 BLK,0,0,"24.81000","0","1","-","Active","Drift Pin","0.31"" (7.9mm)","-","12.00"" (304.8mm)"
-,-,70-201G-ND,70-201G,Apex Tool Group,PNCH DRFT 3/8 BLK,0,0,"31.73000","0","1","-","Active","Drift Pin","-","-","15.00"" (381.0mm)"
-,-,70-293G-ND,70-293G,Apex Tool Group,PNCH DRFT BRS 1/2,0,0,"34.39000","0","1","-","Active","Brass Punch","0.50"" (12.7mm)","-","7.00"" (177.8mm)"
-,-,70-291G-ND,70-291G,Apex Tool Group,PNCH DRFT BRS 3/4,0,0,"40.85000","0","1","-","Active","Brass Punch","0.75"" (19.1mm)","-","8.00"" (203.2mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_23490.jpg,431-2478-ND,23490,Wiha,PUNCH PIN 8PC 2MM-6MM IN/POUCH,4,0,"71.70000","0","1","-","Active","Parallel Pin Punch, Set of 8","Assorted","Assorted","Assorted"
-,-,70-546G-ND,70-546G,Apex Tool Group,SET PNCH PIN BRS 3PC,0,0,"77.06000","0","1","-","Active","-","Assorted","Assorted","Assorted"
-,-,70-545G-ND,70-545G,Apex Tool Group,SET PNCH BRS DRFT 3PC,0,0,"89.38000","0","1","-","Active","-","Assorted","Assorted","Assorted"
-,-,70-557G-ND,70-557G,Apex Tool Group,SET PNCH ROLL PIN 7PC,0,0,"93.08000","0","1","-","Active","-","Assorted","Assorted","Assorted"
-,-,70-553G-ND,70-553G,Apex Tool Group,7PC PNCH PIN TL STEEL SET,0,0,"96.11000","0","1","-","Active","-","Assorted","Assorted","Assorted"
-,-,70-556G-ND,70-556G,Apex Tool Group,SET PNCH PIN TL STL LNG 5PC,0,0,"97.85000","0","1","-","Active","Parallel Pin Punch, Set of 5","Assorted","Assorted","Assorted"
-,-,70-552G-ND,70-552G,Apex Tool Group,SET PNCH PIN TL STL 10PC,0,0,"142.66000","0","1","-","Active","-","Assorted","Assorted","Assorted"
-,-,70-550-ND,70-550,Apex Tool Group,SET PNCH 19PC,0,0,"280.77000","0","1","*","Not For New Designs","-","-","-","-"
-,-,70-550G-ND,70-550G,Apex Tool Group,SET PNCH 19PC,0,0,"280.77000","0","1","-","Active","-","Assorted","Assorted","Assorted"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23420-ND,23420,Wiha,PUNCH PIN HEAVY DUTY 2MM,0,0,"9.18000","0","1","-","Active","Parallel Pin Punch","0.08"" (2.0mm)","0.39"" (10.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23421-ND,23421,Wiha,PUNCH PIN HEAVY DUTY 2.5MM,0,0,"9.18000","0","1","-","Active","Parallel Pin Punch","0.10"" (2.5mm)","0.39"" (10.0mm)","5.91"" (150.0mm)"
//media.digikey.com/pdf/Data%20Sheets/Wiha%20PDFs/Precision%20Metric%20Punches.pdf,//media.digikey.com/Photos/Wiha/MFG_234xx.jpg,23422-ND,23422,Wiha,PUNCH PIN HEAVY DUTY 3MM,0,0,"9.18000","0","1","-","Active","Parallel Pin Punch","0.12"" (3.0mm)","0.39"" (10.0mm)","5.91"" (150.0mm)"
