Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tool Type","Wire Gauge","Style","Power Supply Type","Features"
https://www.jonard.com/~/media/0A41BFB82ACF4EF3B0420EAF5A76291F.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/PTX-1BF.jpg,K472-ND,PTX-1BF,Jonard Tools,WIRE WRAP GUN 18 - 32 AWG ELECT,7,0,"268.16000","0","1","PTX","Active","Unwrap, Wrap","18 ~ 32 AWG","Gun, Electric","-","Spring Loaded"
http://www.jonard.com/~/media/5299EE6B23A14775AB7C012BBB8BFE6D.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_PTX-2.jpg,K767-ND,PTX-2,Jonard Tools,WIRE WRAP GUN 18 - 32 AWG ELECT,5,0,"334.82000","0","1","PTX","Active","Unwrap, Wrap","18 ~ 32 AWG","Gun, Electric","-","-"
http://www.jonard.com/~/media/5299EE6B23A14775AB7C012BBB8BFE6D.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/PTX-KIT1.jpg,K477-ND,PTX-KIT1,Jonard Tools,WIRE WRAP GUN 18 - 32 AWG W/BAT,6,0,"352.24000","0","1","PTX","Active","Unwrap, Wrap","18 ~ 32 AWG","Gun, Battery","-","Includes Batteries, Charger"
http://www.jonard.com/~/media/5299EE6B23A14775AB7C012BBB8BFE6D.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_PTX-KIT2.jpg,K661-ND,PTX-KIT2,Jonard Tools,WIRE WRAP GUN 18 - 32 AWG W/BAT,4,0,"405.87000","0","1","PTX","Active","Unwrap, Wrap","18 ~ 32 AWG","Gun, Battery","-","Includes Batteries, Charger"
https://www.jonard.com/~/media/075ACF3EAD5542FDAED4BFB586B56702.pdf,//media.digikey.com/photos/Jonard%20Tools/MFG_WWK-1.jpg,K697-ND,WWK-1,Jonard Tools,WIRE WRAP KIT GUN 22 - 24 AWG,2,0,"406.02000","0","1","-","Active","Strip, Unwrap, Wrap","22 ~ 24 AWG","Gun, Manual","-","Bit, Hand Tool, Pouch, Sleeve, Stripper"
http://www.jonard.com/~/media/5299EE6B23A14775AB7C012BBB8BFE6D.pdf,//media.digikey.com/Photos/OK%20Industries%20-%20Jonard%20Photos/MFG_PTX-KIT1DH.jpg,K599-ND,PTX-KIT1DH,Jonard Tools,WIRE WRAP GUN 18 - 32 AWG W/BAT,3,0,"490.56000","0","1","PTX","Active","Unwrap, Wrap","18 ~ 32 AWG","Gun, Battery","-","Includes Batteries, Bit, Charger, Pouch"
http://www.jonard.com/~/media/075ACF3EAD5542FDAED4BFB586B56702.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/G100^R3278.jpg,K399-ND,G100/R3278,Jonard Tools,WIRE WRAP GUN 18 - 32 AWG,6,0,"158.07000","0","1","G100","Active","Wrap","18 ~ 32 AWG","Gun, Manual","-","Aluminum Body"
https://www.jonard.com/~/media/0A41BFB82ACF4EF3B0420EAF5A76291F.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/PTX-1.jpg,K471-ND,PTX-1,Jonard Tools,WIRE WRAP GUN 18 - 32 AWG ELECT,5,0,"259.32000","0","1","PTX","Active","Unwrap, Wrap","18 ~ 32 AWG","Gun, Electric","-","-"
https://www.jonard.com/~/media/D35C6A7B97A041E78F9342157AC17394.pdf,//media.digikey.com/photos/OK%20Industries%20-%20Jonard%20Photos/HW-UW-224INS.JPG,K587-ND,HW-UW-224INS,Jonard Tools,WIRE WRAP HAND TOOL 20 - 26 AWG,11,0,"98.63000","0","1","HW","Active","Unwrap, Wrap","20 ~ 26 AWG Unwrapping, 22 ~ 24 AWG Wrapping","Hand, Manual","-","Insulated Handle, Regular Wrapping"
-,//media.digikey.com/photos/Jonard%20Tools/MFG_UD-2224.jpg,K782-ND,UD-2224,Jonard Tools,WIRE WRAP HAND TOOL 20 - 26 AWG,17,0,"40.55000","0","1","UD","Active","Unwrap","20 ~ 26 AWG","Hand, Manual","-","Insulated Handle, Sleeved, Spring Loaded"
